"ID","NAMES","cadres_AsTheCowRolls_POT_20"
"77141","Coutevroult",76986.68909774
"77142","Crecy-la-Chapelle",50147.72200328
"77143","Cregy-les-Meaux",40841.3593391
"77144","Crevecoeur-en-Brie",28905.37053721
"77145","Crisenoy",42992.27360968
"77146","Croissy-Beaubourg",389010.90398493
"77147","La Croix-en-Brie",2710.66133935
"77148","Crouy-sur-Ourcq",2492.11435209
"77149","Cucharmoy",2157.88700865
"77150","Cuisy",22406.40918328
"77151","Dagny",4222.61864526
"77152","Dammarie-les-Lys",44599.47792746
"77153","Dammartin-en-Goele",68800.00903339
"77154","Dammartin-sur-Tigeaux",30118.2076
"77155","Dampmart",126016.61185514
"77156","Darvault",10511.99770314
"77157","Dhuisy",5985.95182535
"77158","Diant",2682.83229657
"77159","Donnemarie-Dontilly",2556.23000687
"77161","Dormelles",5890.35384947
"77162","Doue",4063.05244027
"77163","Douy-la-Ramee",7161.77249369
"77164","Echouboulains",5789.26737317
"77165","Les Ecrennes",13846.36321979
"77166","Ecuelles",11385.52397355
"77167","Egligny",2015.52175458
"77168","Egreville",3814.85387449
"77169","Emerainville",414501.6156546
"77170","Episy",12855.43443806
"77171","Esbly",70092.7569339
"77172","Esmans",6507.54469337
"77173","Etrepilly",11899.74394713
"77174","Everly",1662.90848918
"77175","Evry-Gregy-sur-Yerre",106498.5052692
"77176","Faremoutiers",14118.78938576
"77177","Favieres",77664.94221059
"77178","Fay-les-Nemours",5516.98256119
"77179","Fericy",15188.81425869
"77180","Ferolles-Attilly",186523.01117535
"77181","Ferrieres-en-Brie",332808.54614146
"77182","La Ferte-Gaucher",2343.59208263
"77183","La Ferte-sous-Jouarre",11165.25697694
"77184","Flagy",5144.41170445
"77185","Fleury-en-Biere",53522.37459413
"77186","Fontainebleau",23791.29490333
"77187","Fontaine-Fourches",848.43595427
"77188","Fontaine-le-Port",19630.28812346
"77190","Fontains",3669.60076469
"77191","Fontenailles",8401.54688986
"77192","Fontenay-Tresigny",30829.22321723
"77193","Forfry",10203.77902369
"77194","Forges",8336.99902414
"77195","Fouju",26416.58240801
"77196","Fresnes-sur-Marne",120186.56247141
"77197","Fretoy",3021.90648685
"77198","Fromont",4961.75861691
"77199","Fublaines",22098.14710857
"77200","Garentreville",3135.40540352
"77201","Gastins",4299.74230654
"77202","La Genevraye",10459.10033664
"77203","Germigny-l'Eveque",12436.86950126
"77204","Germigny-sous-Coulombs",2284.07475852
"77205","Gesvres-le-Chapitre",12389.42461315
"77206","Giremoutiers",13477.90729936
"77207","Gironville",2163.68830391
"77208","Gouaix",1383.37942435
"77209","Gouvernes",235984.97396539
"77210","La Grande-Paroisse",7311.35451775
"77211","Grandpuits-Bailly-Carrois",6343.97783028
"77212","Gravon",2443.00426948
"77214","Gressy",153125.8253384
"77215","Gretz-Armainvilliers",121127.90968271
"77216","Grez-sur-Loing",12346.19876944
"77217","Grisy-Suisnes",96689.47393616
"77218","Grisy-sur-Seine",1350.10566804
"77219","Guerard",25713.29139108
"77220","Guercheville",5444.53864205
