"ID","NAMES","agriculteurs_AsTheCrowFlies_POT_7500"
"75101","Paris 1er Arrondissement",1303.61357443
"75102","Paris 2e  Arrondissement",1270.3581527
"75103","Paris 3e  Arrondissement",1184.87023155
"75104","Paris 4e  Arrondissement",1178.30885421
"75105","Paris 5e  Arrondissement",1171.85299486
"75106","Paris 6e  Arrondissement",1272.36304668
"75107","Paris 7e  Arrondissement",1353.48473093
"75108","Paris 8e  Arrondissement",1366.42115641
"75109","Paris 9e  Arrondissement",1284.59634382
"75110","Paris 10e  Arrondissement",1160.2540378
"75111","Paris 11e  Arrondissement",1051.79049961
"75112","Paris 12e  Arrondissement",683.54012316
"75113","Paris 13e  Arrondissement",978.84941484
"75114","Paris 14e  Arrondissement",1124.62265961
"75115","Paris 15e  Arrondissement",1262.23508189
"75116","Paris 16e  Arrondissement",1285.95803779
"75117","Paris 17e  Arrondissement",1313.31805687
"75118","Paris 18e  Arrondissement",1146.47035129
"75119","Paris 19e  Arrondissement",950.3759074
"75120","Paris 20e  Arrondissement",893.50240545
"77001","Acheres-la-Foret",82.12386599
"77002","Amillis",105.35171129
"77003","Amponville",111.46013593
"77004","Andrezel",67.4575716
"77005","Annet-sur-Marne",73.84641633
"77006","Arbonne-la-Foret",76.76265647
"77007","Argentieres",98.28718409
"77008","Armentieres-en-Brie",93.84164417
"77009","Arville",109.75357595
"77010","Aubepierre-Ozouer-le-Repos",77.29547759
"77011","Aufferville",128.83668541
"77012","Augers-en-Brie",100.61374013
"77013","Aulnoy",115.01962433
"77014","Avon",34.59104307
"77015","Baby",33.35846213
"77016","Bagneaux-sur-Loing",94.07338136
"77018","Bailly-Romainvilliers",81.87796712
"77019","Balloy",68.79589124
"77020","Bannost-Villegagnon",126.34869394
"77021","Barbey",57.29404279
"77022","Barbizon",82.00701901
"77023","Barcy",68.37721614
"77024","Bassevelle",74.24859905
"77025","Bazoches-les-Bray",66.77079097
"77026","Beauchery-Saint-Martin",72.75986413
"77027","Beaumont-du-Gatinais",42.05218509
"77028","Beautheil",103.65987859
"77029","Beauvoir",89.30307256
"77030","Bellot",112.03518219
"77031","Bernay-Vilbert",125.71132828
"77032","Beton-Bazoches",143.41114538
"77033","Bezalles",132.7654612
"77034","Blandy",49.9840758
"77035","Blennes",47.88198894
"77036","Boisdon",134.9592543
"77037","Bois-le-Roi",67.32237024
"77038","Boissettes",88.21673786
"77039","Boissise-la-Bertrand",85.25710379
"77040","Boissise-le-Roi",89.95372181
"77041","Boissy-aux-Cailles",98.94675055
"77042","Boissy-le-Chatel",98.05379803
"77043","Boitron",92.48874712
"77044","Bombon",43.41248295
"77045","Bougligny",110.93209757
"77046","Boulancourt",60.78583915
"77047","Bouleurs",109.4559182
"77048","Bourron-Marlotte",48.89711524
"77049","Boutigny",107.21681705
