"ID","NAMES","agriculteurs_AsTheCowRolls_ACC_0.005"
"77136","Courquetaine",7.06393015065905
"77137","Courtacon",3.86454059345301
"77138","Courtomer",8.2655190192808
"77139","Courtry",8.58682824882718
"77140","Coutencon",10.1364362184097
"77141","Coutevroult",6.55597038665708
"77142","Crecy-la-Chapelle",5.92819818392968
"77143","Cregy-les-Meaux",6.80534732664897
"77144","Crevecoeur-en-Brie",5.96476098105863
"77145","Crisenoy",8.84365674975783
"77146","Croissy-Beaubourg",7.19661846003822
"77147","La Croix-en-Brie",7.36719491138485
"77148","Crouy-sur-Ourcq",9.92472762263053
"77149","Cucharmoy",8.2957659861266
"77150","Cuisy",7.96543116021642
"77151","Dagny",6.19598782607083
"77152","Dammarie-les-Lys",7.32550467354423
"77153","Dammartin-en-Goele",9.70269942821068
"77154","Dammartin-sur-Tigeaux",7.30039725056809
"77155","Dampmart",9.86246624034614
"77156","Darvault",6.68992391843311
"77157","Dhuisy",6.64957089397815
"77158","Diant",7.24734328227625
"77159","Donnemarie-Dontilly",6.68381107549705
"77161","Dormelles",6.01116541369844
"77162","Doue",6.65259176901566
"77163","Douy-la-Ramee",13.0165617633022
"77164","Echouboulains",10.86418992784
"77165","Les Ecrennes",10.7150798853987
"77166","Ecuelles",8.65174065776267
"77167","Egligny",7.74077051575435
"77168","Egreville",6.30801438327022
"77169","Emerainville",7.14149465167976
"77170","Episy",8.33270504066574
"77171","Esbly",7.48462923612733
"77172","Esmans",6.93764315629601
"77173","Etrepilly",8.37197324164877
"77174","Everly",7.35543291316176
"77175","Evry-Gregy-sur-Yerre",6.9282067993058
"77176","Faremoutiers",6.05999639757981
"77177","Favieres",8.28328513089081
"77178","Fay-les-Nemours",7.20131017924825
"77179","Fericy",11.3902478850195
"77180","Ferolles-Attilly",7.59689640128444
"77181","Ferrieres-en-Brie",6.46380244245618
"77182","La Ferte-Gaucher",5.09450445655604
"77183","La Ferte-sous-Jouarre",6.42483302882674
"77184","Flagy",6.59886957772141
"77185","Fleury-en-Biere",6.44223164052956
"77186","Fontainebleau",7.71323189627069
"77187","Fontaine-Fourches",10.7343229966488
"77188","Fontaine-le-Port",10.3921411636228
"77190","Fontains",9.07454812270562
"77191","Fontenailles",7.81837568293488
"77192","Fontenay-Tresigny",5.90379302495831
"77193","Forfry",11.7785170982488
"77194","Forges",8.45600736746034
"77195","Fouju",10.0285507519003
"77196","Fresnes-sur-Marne",8.83425423627106
"77197","Fretoy",6.34128404157019
"77198","Fromont",6.92501261260513
"77199","Fublaines",8.84844528348113
"77200","Garentreville",5.34370227133049
"77201","Gastins",7.73217496683336
"77202","La Genevraye",8.68191104456163
"77203","Germigny-l'Eveque",9.36600979289775
"77204","Germigny-sous-Coulombs",6.51676649980337
"77205","Gesvres-le-Chapitre",10.7508500718866
"77206","Giremoutiers",6.61229966534074
"77207","Gironville",6.55943544037486
"77208","Gouaix",7.66876874976393
"77209","Gouvernes",7.09289386772635
"77210","La Grande-Paroisse",10.295412795307
"77211","Grandpuits-Bailly-Carrois",7.79280255710995
"77212","Gravon",10.0737520282776
"77214","Gressy",8.61408707670313
"77215","Gretz-Armainvilliers",6.96980468557786
"77216","Grez-sur-Loing",8.24277622843969
"77217","Grisy-Suisnes",5.95019216132825
"77218","Grisy-sur-Seine",9.20925787194164
"77219","Guerard",6.38037963563904
"77220","Guercheville",6.98663001648527
"77221","Guermantes",6.78089706350471
"77222","Guignes",6.67629284787794
"77223","Gurcy-le-Chatel",8.12296219462613
"77224","Hautefeuille",6.86372141859696
"77225","La Haute-Maison",6.74456417325331
"77226","Hericy",10.6830602848702
"77227","Herme",5.40751570756567
"77228","Hondevilliers",8.16178852481201
"77229","La Houssaye-en-Brie",5.41932152409238
"77230","Ichy",5.7837835972696
"77231","Isles-les-Meldeuses",7.3448471210104
"77232","Isles-les-Villenoy",8.02459050864876
"77233","Iverny",6.57467949019142
"77234","Jablines",10.5923915384764
"77235","Jaignes",7.00498203630706
"77236","Jaulnes",7.61410166374113
"77237","Jossigny",7.10485311621931
"77238","Jouarre",5.67758137643106
"77239","Jouy-le-Chatel",5.74088663505842
"77240","Jouy-sur-Morin",6.78569788175227
"77241","Juilly",7.60656865533477
"77242","Jutigny",5.85437092094579
"77243","Lagny-sur-Marne",6.80003045417908
"77244","Larchant",6.76498674868041
"77245","Laval-en-Brie",8.19972186051676
"77246","Lechelle",8.23750252476172
"77247","Lescherolles",7.01247536198213
"77248","Lesches",9.45436754671407
"77249","Lesigny",6.77517299544979
"77250","Leudon-en-Brie",5.98207349381375
"77251","Lieusaint",7.32681241385168
"77252","Limoges-Fourches",6.97740114760357
"77253","Lissy",6.69152616172437
"77254","Liverdy-en-Brie",7.92754681694707
"77255","Livry-sur-Seine",8.83559689768506
"77256","Lizines",6.51710003485913
"77257","Lizy-sur-Ourcq",5.93826061637931
"77258","Lognes",6.54228338368497
"77259","Longperrier",10.0508806031697
"77260","Longueville",6.12509116702002
"77261","Lorrez-le-Bocage-Preaux",4.16182902278776
"77262","Louan-Villegruis-Fontaine",11.9336445647476
"77263","Luisetaines",5.45417862975093
"77264","Lumigny-Nesles-Ormeaux",4.39918373556456
"77265","Luzancy",8.01007177475554
"77266","Machault",11.2564200168614
"77267","La Madeleine-sur-Loing",7.96463455939389
"77268","Magny-le-Hongre",8.19321271985528
"77269","Maincy",7.80692328153551
"77270","Maisoncelles-en-Brie",6.19357070777546
"77271","Maisoncelles-en-Gatinais",6.04412141336708
"77272","Maison-Rouge",5.77582231474531
"77273","Marchemoret",10.2176475800752
"77274","Marcilly",9.32978773623705
"77275","Les Marets",6.18420656567916
"77276","Mareuil-les-Meaux",8.00107363775243
"77277","Marles-en-Brie",5.29396926710265
"77278","Marolles-en-Brie",8.56233881830394
"77279","Marolles-sur-Seine",8.00848902384484
"77280","Mary-sur-Marne",5.94021227649487
"77281","Mauperthuis",4.89944556810662
"77282","Mauregard",8.90356059721851
"77283","May-en-Multien",10.2644320153114
"77284","Meaux",6.24067675006857
"77285","Le Mee-sur-Seine",7.52113782522988
"77286","Meigneux",7.58349385808152
"77287","Meilleray",9.15867343467233
"77288","Melun",6.44012316092991
