"ID","NAMES","ouvrier_AsTheCrowFlies_ACC_0.005"
"75101","Paris 1er Arrondissement",586.773145520123
"75102","Paris 2e  Arrondissement",368.234326113173
"75103","Paris 3e  Arrondissement",325.892144662966
"75104","Paris 4e  Arrondissement",463.425295771821
"75105","Paris 5e  Arrondissement",475.616347110107
"75106","Paris 6e  Arrondissement",627.418300926888
"75107","Paris 7e  Arrondissement",688.399042931224
"75108","Paris 8e  Arrondissement",570.557980338126
"75109","Paris 9e  Arrondissement",249.070430967537
"75110","Paris 10e  Arrondissement",0
"75111","Paris 11e  Arrondissement",0
"75112","Paris 12e  Arrondissement",0
"75113","Paris 13e  Arrondissement",0
"75114","Paris 14e  Arrondissement",0
"75115","Paris 15e  Arrondissement",0
"75116","Paris 16e  Arrondissement",498.610560907014
"75117","Paris 17e  Arrondissement",0
"75118","Paris 18e  Arrondissement",0
"75119","Paris 19e  Arrondissement",0
"75120","Paris 20e  Arrondissement",0
"77001","Acheres-la-Foret",11786.6144024798
"77002","Amillis",10753.9978249177
"77003","Amponville",13779.5828325137
"77004","Andrezel",8593.60500459524
"77005","Annet-sur-Marne",4929.32216058312
"77006","Arbonne-la-Foret",10060.7787942166
"77007","Argentieres",9269.59152630822
"77008","Armentieres-en-Brie",7012.74733811445
"77009","Arville",16670.6760696829
"77010","Aubepierre-Ozouer-le-Repos",9859.58399695519
"77011","Aufferville",13507.7551340092
"77012","Augers-en-Brie",15207.9166817234
"77013","Aulnoy",8028.10904924699
"77014","Avon",7683.7821925961
"77015","Baby",19018.4104569524
"77016","Bagneaux-sur-Loing",9557.0845931549
"77018","Bailly-Romainvilliers",5756.17286050127
"77019","Balloy",12937.4373696381
"77020","Bannost-Villegagnon",12850.6913063064
"77021","Barbey",10558.3745807905
"77022","Barbizon",7622.47159985538
"77023","Barcy",6144.34382158894
"77024","Bassevelle",13197.6967876346
"77025","Bazoches-les-Bray",13921.9989732883
"77026","Beauchery-Saint-Martin",17400.9715650504
"77027","Beaumont-du-Gatinais",21413.795097112
"77028","Beautheil",9368.12060733878
"77029","Beauvoir",9254.36776877915
"77030","Bellot",13284.8007519861
"77031","Bernay-Vilbert",10177.6590341577
"77032","Beton-Bazoches",12949.0281175832
"77033","Bezalles",13183.8353305879
"77034","Blandy",8043.56285356489
"77035","Blennes",15740.0147620527
"77036","Boisdon",13062.9564016342
"77037","Bois-le-Roi",6082.822783511
"77038","Boissettes",2436.60017469974
"77039","Boissise-la-Bertrand",3410.72290769266
"77040","Boissise-le-Roi",4531.55011266739
"77041","Boissy-aux-Cailles",14218.1068965082
"77042","Boissy-le-Chatel",8227.45698691576
"77043","Boitron",11707.8767048201
