"ID","NAMES","cadres_AsTheCrowFlies_ACC_0.05"
"75101","Paris 1er Arrondissement",1563.10311368189
"75102","Paris 2e  Arrondissement",1399.33089469144
"75103","Paris 3e  Arrondissement",1300.28289472199
"75104","Paris 4e  Arrondissement",1436.62541551958
"75105","Paris 5e  Arrondissement",1491.68441876598
"75106","Paris 6e  Arrondissement",1546.17109214787
"75107","Paris 7e  Arrondissement",1709.75445161213
"75108","Paris 8e  Arrondissement",1792.94575228077
"75109","Paris 9e  Arrondissement",1307.93150769385
"75110","Paris 10e  Arrondissement",1136.13502004611
"75111","Paris 11e  Arrondissement",1080.30437926294
"75112","Paris 12e  Arrondissement",2651.19593218183
"75113","Paris 13e  Arrondissement",2152.01656916369
"75114","Paris 14e  Arrondissement",1450.20387288229
"75115","Paris 15e  Arrondissement",829.366499723989
"75116","Paris 16e  Arrondissement",2568.9500706418
"75117","Paris 17e  Arrondissement",1455.86942191701
"75118","Paris 18e  Arrondissement",1452.5554850318
"75119","Paris 19e  Arrondissement",1856.18648518942
"75120","Paris 20e  Arrondissement",1564.68326019493
"77001","Acheres-la-Foret",30967.0393734219
"77002","Amillis",33270.1420583643
"77003","Amponville",34969.1780038559
"77004","Andrezel",22535.1942548846
"77005","Annet-sur-Marne",13809.8143185149
"77006","Arbonne-la-Foret",26736.1652743554
"77007","Argentieres",23596.5286954757
"77008","Armentieres-en-Brie",28797.5614701079
"77009","Arville",42653.690238857
"77010","Aubepierre-Ozouer-le-Repos",25846.9589420749
"77011","Aufferville",41383.4762238354
"77012","Augers-en-Brie",44242.2873984867
"77013","Aulnoy",30517.125067109
"77014","Avon",30083.0533311299
"77015","Baby",99999999999999
"77016","Bagneaux-sur-Loing",41649.9063673475
"77018","Bailly-Romainvilliers",17655.9475435732
"77019","Balloy",44099.0227344077
"77020","Bannost-Villegagnon",36789.9560569338
"77021","Barbey",42003.3863736471
"77022","Barbizon",25005.5384446234
"77023","Barcy",23941.5652815138
"77024","Bassevelle",40172.2029626798
"77025","Bazoches-les-Bray",45586.753615873
"77026","Beauchery-Saint-Martin",48550.481480426
"77027","Beaumont-du-Gatinais",45060.7867870767
"77028","Beautheil",31152.6329912558
"77029","Beauvoir",23620.9753851954
"77030","Bellot",41574.7197892994
"77031","Bernay-Vilbert",25370.5384154478
"77032","Beton-Bazoches",38728.8254026839
"77033","Bezalles",39126.5733329815
"77034","Blandy",24179.1040632409
"77035","Blennes",47382.9034590968
"77036","Boisdon",38333.7935095184
"77037","Bois-le-Roi",25550.4208907052
"77038","Boissettes",20770.4660901489
"77039","Boissise-la-Bertrand",19716.7032989768
"77040","Boissise-le-Roi",20502.5537667787
"77041","Boissy-aux-Cailles",32885.7590802822
"77042","Boissy-le-Chatel",32784.9914083073
"77043","Boitron",38908.9037820729
"77044","Bombon",26382.6788091761
"77045","Bougligny",42713.5388882932
"77046","Boulancourt",36197.6765604309
"77047","Bouleurs",22055.9895432047
"77048","Bourron-Marlotte",34135.9005789984
"77049","Boutigny",23426.0477865226
"77050","Bransles",48758.0883935727
"77051","Bray-sur-Seine",46871.6764079715
"77052","Breau",27309.4608912483
"77053","Brie-Comte-Robert",13025.9590871338
"77054","La Brosse-Montceaux",42573.6456057055
"77055","Brou-sur-Chantereine",10272.6214129807
"77056","Burcy",38666.8414177235
"77057","Bussieres",38092.6473356425
"77058","Bussy-Saint-Georges",13256.930848023
"77059","Bussy-Saint-Martin",11237.7942931204
"77060","Buthiers",34425.4807154033
"77061","Cannes-Ecluse",40192.2846425692
