"ID","NAMES","employe_AsTheCrowFlies_ACC_0.01"
"77136","Courquetaine",10110.2574966466
"77137","Courtacon",22667.079841829
"77138","Courtomer",14259.7505822748
"77139","Courtry",3469.95381084202
"77140","Coutencon",16511.6157203715
"77141","Coutevroult",8054.49622649402
"77142","Crecy-la-Chapelle",10021.1958368283
"77143","Cregy-les-Meaux",8034.58450406964
"77144","Crevecoeur-en-Brie",12377.4066883059
"77145","Crisenoy",9608.70927402057
"77146","Croissy-Beaubourg",3940.02763851495
"77147","La Croix-en-Brie",18436.7205249953
"77148","Crouy-sur-Ourcq",19407.9944737239
"77149","Cucharmoy",20757.5412645948
"77150","Cuisy",10227.2528158033
"77151","Dagny",18799.3144227536
"77152","Dammarie-les-Lys",5835.96032421451
"77153","Dammartin-en-Goele",10145.1441977288
"77154","Dammartin-sur-Tigeaux",10734.8901817709
"77155","Dampmart",5966.11480946508
"77156","Darvault",16802.7593545704
"77157","Dhuisy",19554.9507859154
"77158","Diant",21208.0879030855
"77159","Donnemarie-Dontilly",19768.246947259
"77161","Dormelles",16371.2972625537
"77162","Doue",15790.6657868767
"77163","Douy-la-Ramee",13173.2855444841
"77164","Echouboulains",14696.5556925675
"77165","Les Ecrennes",13329.0474598164
"77166","Ecuelles",13688.513763841
"77167","Egligny",20434.6998992533
"77168","Egreville",25010.1656214322
"77169","Emerainville",3174.34429976547
"77170","Episy",14055.3014391232
"77171","Esbly",6946.06399355
"77172","Esmans",17919.4079423456
"77173","Etrepilly",12508.0705701568
"77174","Everly",25460.0427471582
"77175","Evry-Gregy-sur-Yerre",7168.93979698999
"77176","Faremoutiers",13716.3213101095
"77177","Favieres",7794.59436162936
"77178","Fay-les-Nemours",20746.8978904827
"77179","Fericy",11507.7564996601
"77180","Ferolles-Attilly",6002.84678561715
"77181","Ferrieres-en-Brie",5179.18309949804
"77182","La Ferte-Gaucher",22347.5452259811
"77183","La Ferte-sous-Jouarre",14843.1691724267
"77184","Flagy",17406.60076566
"77185","Fleury-en-Biere",11133.0700213423
"77186","Fontainebleau",11777.080339946
"77187","Fontaine-Fourches",32498.0093489865
"77188","Fontaine-le-Port",10292.9678299805
"77190","Fontains",16948.0059142272
"77191","Fontenailles",15062.6120824036
"77192","Fontenay-Tresigny",12802.5322351082
"77193","Forfry",12391.0426409414
"77194","Forges",15495.681636798
"77195","Fouju",10145.3104677274
"77196","Fresnes-sur-Marne",7660.12126194882
"77197","Fretoy",19892.3925144728
"77198","Fromont",21321.338565335
"77199","Fublaines",8190.70257859978
"77200","Garentreville",21755.2539536412
"77201","Gastins",17478.4347589103
"77202","La Genevraye",14686.2985188101
"77203","Germigny-l'Eveque",9721.6808825584
"77204","Germigny-sous-Coulombs",20950.1496843675
"77205","Gesvres-le-Chapitre",11177.3531435201
"77206","Giremoutiers",12270.7711783212
"77207","Gironville",26804.7537955667
"77208","Gouaix",26517.9978650126
"77209","Gouvernes",4337.51161047406
"77210","La Grande-Paroisse",14491.974490958
"77211","Grandpuits-Bailly-Carrois",16557.4176995346
"77212","Gravon",21702.571096788
"77214","Gressy",6296.82502764933
"77215","Gretz-Armainvilliers",7720.35495078957
"77216","Grez-sur-Loing",15726.4228859708
"77217","Grisy-Suisnes",8054.84825447619
"77218","Grisy-sur-Seine",28254.7725472038
"77219","Guerard",11480.1252279865
"77220","Guercheville",20265.1928954614
"77221","Guermantes",4669.23581941256
"77222","Guignes",11647.6349301747
"77223","Gurcy-le-Chatel",18626.9956019507
"77224","Hautefeuille",13262.8123281069
"77225","La Haute-Maison",10881.1992060687
"77226","Hericy",11529.3808724242
"77227","Herme",28423.9672411307
"77228","Hondevilliers",22559.4559240977
"77229","La Houssaye-en-Brie",11294.792504722
"77230","Ichy",23762.5370935047
"77231","Isles-les-Meldeuses",11869.1996162855
"77232","Isles-les-Villenoy",7064.20255988165
"77233","Iverny",9311.60996598409
"77234","Jablines",6859.28272333983
"77235","Jaignes",13671.2931762776
"77236","Jaulnes",27106.1330003325
"77237","Jossigny",6069.549226674
"77238","Jouarre",13670.8650715109
"77239","Jouy-le-Chatel",18926.5196682465
"77240","Jouy-sur-Morin",20932.1996335107
"77241","Juilly",9286.98419504274
"77242","Jutigny",23329.968856341
"77243","Lagny-sur-Marne",4896.85085583066
"77244","Larchant",18213.5386143393
"77245","Laval-en-Brie",15963.0577453671
"77246","Lechelle",28576.7380030989
"77247","Lescherolles",24456.9247440719
"77248","Lesches",7123.90989811888
"77249","Lesigny",5202.05901988174
"77250","Leudon-en-Brie",21500.3518714664
"77251","Lieusaint",4933.06199017138
"77252","Limoges-Fourches",7701.79865454814
"77253","Lissy",8454.80118258608
"77254","Liverdy-en-Brie",10596.2520249765
"77255","Livry-sur-Seine",7278.47204168582
"77256","Lizines",20833.4282154747
"77257","Lizy-sur-Ourcq",14152.20616215
"77258","Lognes",3233.23234799174
"77259","Longperrier",9299.88406716108
"77260","Longueville",23490.346999086
"77261","Lorrez-le-Bocage-Preaux",20821.7950188191
"77262","Louan-Villegruis-Fontaine",32358.8851086625
"77263","Luisetaines",22297.7450334231
"77264","Lumigny-Nesles-Ormeaux",14349.21601861
"77265","Luzancy",17789.266981184
"77266","Machault",12561.8398146372
"77267","La Madeleine-sur-Loing",22107.1188718841
"77268","Magny-le-Hongre",6939.68371308754
"77269","Maincy",7284.40560778186
"77270","Maisoncelles-en-Brie",11203.4982110184
"77271","Maisoncelles-en-Gatinais",24483.0228307531
"77272","Maison-Rouge",20325.1711234278
"77273","Marchemoret",11333.5048444507
"77274","Marcilly",11478.4177384721
"77275","Les Marets",23971.2198539127
"77276","Mareuil-les-Meaux",6941.27552198826
"77277","Marles-en-Brie",12769.1249808561
"77278","Marolles-en-Brie",17636.7616005887
"77279","Marolles-sur-Seine",18759.1512138701
"77280","Mary-sur-Marne",13435.2169025376
"77281","Mauperthuis",14903.6925778448
"77282","Mauregard",6443.67159293449
"77283","May-en-Multien",16628.2467720829
"77284","Meaux",7543.05879978655
"77285","Le Mee-sur-Seine",4651.63000048466
"77286","Meigneux",18986.8660602703
"77287","Meilleray",27367.9634739144
"77288","Melun",4955.63206595253
"77289","Melz-sur-Seine",30307.7564783357
"77290","Mery-sur-Marne",18709.885577774
"77291","Le Mesnil-Amelot",6336.95728380161
"77292","Messy",7670.51642961212
"77293","Misy-sur-Yonne",21381.275309545
"77294","Mitry-Mory",5182.48882360195
"77295","Moisenay",8921.9687043501
"77296","Moissy-Cramayel",5619.09311538193
"77297","Mondreville",27025.0228627649
"77298","Mons-en-Montois",20309.9850664784
"77299","Montarlot",14337.8604930241
"77300","Montceaux-les-Meaux",9963.58185931182
"77301","Montceaux-les-Provins",29161.1090274568
"77302","Montcourt-Fromonville",15710.6632730172
"77303","Montdauphin",27578.291985294
"77304","Montenils",30380.5507788555
"77305","Montereau-Fault-Yonne",16415.0927501755
"77306","Montereau-sur-le-Jard",7004.58193383834
"77307","Montevrain",5341.37823201814
"77308","Montge-en-Goele",10304.9575471636
"77309","Monthyon",9822.41774764671
"77310","Montigny-le-Guesdier",26909.8030101547
"77311","Montigny-Lencoup",18086.2407478652
"77312","Montigny-sur-Loing",13689.4622711367
"77313","Montmachoux",19535.1959844335
"77314","Montolivet",28034.7605179289
"77315","Montry",7011.40358237988
"77316","Moret-sur-Loing",13307.4571951367
"77317","Mormant",14051.8049951197
"77318","Mortcerf",11478.6070782982
"77319","Mortery",22815.521814197
"77320","Mouroux",13408.8146756035
"77321","Mousseaux-les-Bray",25590.1528998755
"77322","Moussy-le-Neuf",9086.48791305488
"77323","Moussy-le-Vieux",8341.20831132593
"77325","Mouy-sur-Seine",25336.3931169562
"77326","Nandy",5240.67398563567
"77327","Nangis",17230.2701733748
"77328","Nanteau-sur-Essonne",18790.0818822698
"77329","Nanteau-sur-Lunain",18286.7454582991
"77330","Nanteuil-les-Meaux",7177.77310190075
"77331","Nanteuil-sur-Marne",19768.2996338663
"77332","Nantouillet",8435.45820306636
"77333","Nemours",18061.967419356
"77335","Chauconin-Neufmontiers",8151.88087812752
"77336","Neufmoutiers-en-Brie",9692.4408407527
"77337","Noisiel",2894.29115209724
"77338","Noisy-Rudignon",16942.5212782858
"77339","Noisy-sur-Ecole",15050.869515032
"77340","Nonville",15906.9353646165
"77341","Noyen-sur-Seine",29038.0992710567
"77342","Obsonville",22789.0049645101
"77343","Ocquerre",15410.314720017
