"ID","NAMES","intermediaires_AsTheCrowFlies_POT_5000"
"75101","Paris 1er Arrondissement",242390.43058398
"75102","Paris 2e  Arrondissement",242999.99743276
"75103","Paris 3e  Arrondissement",245158.19305286
"75104","Paris 4e  Arrondissement",244327.99690885
"75105","Paris 5e  Arrondissement",234354.00096891
"75106","Paris 6e  Arrondissement",232959.14354868
"75107","Paris 7e  Arrondissement",221873.59401502
"75108","Paris 8e  Arrondissement",221005.43210665
"75109","Paris 9e  Arrondissement",232658.50547822
"75110","Paris 10e  Arrondissement",234407.65624675
"75111","Paris 11e  Arrondissement",237271.02312965
"75112","Paris 12e  Arrondissement",177446.11286527
"75113","Paris 13e  Arrondissement",206690.52138488
"75114","Paris 14e  Arrondissement",198055.01608453
"75115","Paris 15e  Arrondissement",185114.94617921
"75116","Paris 16e  Arrondissement",159502.26068738
"75117","Paris 17e  Arrondissement",199329.61380371
"75118","Paris 18e  Arrondissement",207894.21481575
"75119","Paris 19e  Arrondissement",206614.27971788
"75120","Paris 20e  Arrondissement",217335.86915945
"77001","Acheres-la-Foret",790.33223382
"77002","Amillis",534.22169265
"77003","Amponville",519.62177823
"77004","Andrezel",1717.95841768
"77005","Annet-sur-Marne",8010.16676341
"77006","Arbonne-la-Foret",747.330724
"77007","Argentieres",1940.7731845
"77008","Armentieres-en-Brie",2034.73390665
"77009","Arville",200.86660181
"77010","Aubepierre-Ozouer-le-Repos",1428.94684831
"77011","Aufferville",362.65105001
"77012","Augers-en-Brie",197.3207152
"77013","Aulnoy",2405.13407958
"77014","Avon",5245.49772515
"77015","Baby",162.30446631
"77016","Bagneaux-sur-Loing",1709.85208184
"77018","Bailly-Romainvilliers",7839.52426892
"77019","Balloy",411.3275647
"77020","Bannost-Villegagnon",392.35752042
"77021","Barbey",1085.06304652
"77022","Barbizon",1416.63317189
"77023","Barcy",2834.20098243
"77024","Bassevelle",442.34917867
"77025","Bazoches-les-Bray",468.15786202
"77026","Beauchery-Saint-Martin",226.26186933
"77027","Beaumont-du-Gatinais",101.63138253
"77028","Beautheil",1452.03572026
"77029","Beauvoir",1976.18712135
"77030","Bellot",578.51154057
"77031","Bernay-Vilbert",1352.22652147
"77032","Beton-Bazoches",302.51769644
"77033","Bezalles",290.26386628
"77034","Blandy",1179.82297256
"77035","Blennes",275.83830159
"77036","Boisdon",322.28556879
"77037","Bois-le-Roi",4025.64163914
"77038","Boissettes",12360.7750722
"77039","Boissise-la-Bertrand",12266.23486482
"77040","Boissise-le-Roi",7047.64702572
"77041","Boissy-aux-Cailles",489.08602881
"77042","Boissy-le-Chatel",2460.39046222
"77043","Boitron",699.41347242
"77044","Bombon",1298.62468407
"77045","Bougligny",763.5923949
"77046","Boulancourt",211.73520181
"77047","Bouleurs",4089.24300352
"77048","Bourron-Marlotte",1377.65633534
"77049","Boutigny",5722.10238146
"77050","Bransles",259.11771362
"77051","Bray-sur-Seine",607.28946384
"77052","Breau",1234.04362533
"77053","Brie-Comte-Robert",8624.81083592
"77054","La Brosse-Montceaux",950.1742352
"77055","Brou-sur-Chantereine",24536.3445134
"77056","Burcy",230.15149277
"77057","Bussieres",839.91628117
"77058","Bussy-Saint-Georges",14474.62967635
"77059","Bussy-Saint-Martin",21968.22726284
"77060","Buthiers",296.47328087
"77061","Cannes-Ecluse",2301.70077505
"77062","Carnetin",11886.02097711
"77063","La Celle-sur-Morin",2066.40213114
