"ID","NAMES","employe_AsTheCowRolls_POT_15"
"77142","Crecy-la-Chapelle",25648.06577242
"77143","Cregy-les-Meaux",30846.45337343
"77144","Crevecoeur-en-Brie",12408.83044213
"77145","Crisenoy",32352.72795904
"77146","Croissy-Beaubourg",199420.32630507
"77147","La Croix-en-Brie",3596.19991648
"77148","Crouy-sur-Ourcq",2493.81126497
"77149","Cucharmoy",3799.43728902
"77150","Cuisy",16636.68919254
"77151","Dagny",4858.84212081
"77152","Dammarie-les-Lys",36042.31722052
"77153","Dammartin-en-Goele",31755.21616418
"77154","Dammartin-sur-Tigeaux",14889.21678678
"77155","Dampmart",67417.54585913
"77156","Darvault",9261.03917835
"77157","Dhuisy",5094.63625127
"77158","Diant",3209.11082887
"77159","Donnemarie-Dontilly",4108.45554461
"77161","Dormelles",6362.80533544
"77162","Doue",6025.70231766
"77163","Douy-la-Ramee",7616.86309371
"77164","Echouboulains",5189.20618657
"77165","Les Ecrennes",10827.52268749
"77166","Ecuelles",12276.24730039
"77167","Egligny",3269.99876845
"77168","Egreville",4333.73552929
"77169","Emerainville",209488.84679624
"77170","Episy",12593.75484547
"77171","Esbly",45456.57205688
"77172","Esmans",8123.57818826
"77173","Etrepilly",14474.6801121
"77174","Everly",3886.0656409
"77175","Evry-Gregy-sur-Yerre",66664.6077083
"77176","Faremoutiers",10426.18743008
"77177","Favieres",35817.79093096
"77178","Fay-les-Nemours",6050.26185119
"77179","Fericy",11760.66757348
"77180","Ferolles-Attilly",87712.825494
"77181","Ferrieres-en-Brie",164022.04248696
"77182","La Ferte-Gaucher",4157.76827032
"77183","La Ferte-sous-Jouarre",10973.52182658
"77184","Flagy",5473.78100653
"77185","Fleury-en-Biere",29156.58678076
"77186","Fontainebleau",20258.45791889
"77187","Fontaine-Fourches",1420.88495893
"77188","Fontaine-le-Port",16946.22388476
"77190","Fontains",3812.46038605
"77191","Fontenailles",6867.47099959
"77192","Fontenay-Tresigny",13604.39373054
"77193","Forfry",10211.2080871
"77194","Forges",8123.38279327
"77195","Fouju",19283.13292658
"77196","Fresnes-sur-Marne",69499.84599742
"77197","Fretoy",3108.2733284
"77198","Fromont",2608.55031636
"77199","Fublaines",19461.00076424
"77200","Garentreville",3257.27566884
"77201","Gastins",4687.63530233
"77202","La Genevraye",10492.43410837
"77203","Germigny-l'Eveque",15438.83986048
"77204","Germigny-sous-Coulombs",1908.44401751
"77205","Gesvres-le-Chapitre",12626.19261163
"77206","Giremoutiers",11129.01920516
"77207","Gironville",2490.97422655
"77208","Gouaix",3311.39548551
