"ID","NAMES","employe_AsTheCowRolls_POT_10"
"75101","Paris 1er Arrondissement",337928.67415842
"75102","Paris 2e  Arrondissement",335897.50480188
"75103","Paris 3e  Arrondissement",357902.90030572
"75104","Paris 4e  Arrondissement",356287.97835764
"75105","Paris 5e  Arrondissement",343290.93275545
"75106","Paris 6e  Arrondissement",327652.8951632
"75107","Paris 7e  Arrondissement",302894.2234532
"75108","Paris 8e  Arrondissement",351486.88343926
"75109","Paris 9e  Arrondissement",369002.13350115
"75110","Paris 10e  Arrondissement",392844.9607465
"75111","Paris 11e  Arrondissement",349837.8631024
"75112","Paris 12e  Arrondissement",342116.74154028
"75113","Paris 13e  Arrondissement",334894.72662707
"75114","Paris 14e  Arrondissement",310354.91703338
"75115","Paris 15e  Arrondissement",265656.00880656
"75116","Paris 16e  Arrondissement",272585.49395441
"75117","Paris 17e  Arrondissement",344747.31458254
"75118","Paris 18e  Arrondissement",341617.25564348
"75119","Paris 19e  Arrondissement",339311.11216673
"75120","Paris 20e  Arrondissement",351949.8689929
"77001","Acheres-la-Foret",2085.69529636
"77002","Amillis",2204.19869117
"77003","Amponville",1040.39120253
"77004","Andrezel",3140.72781003
"77005","Annet-sur-Marne",16054.08668231
"77006","Arbonne-la-Foret",3499.18100455
"77007","Argentieres",2797.03807674
"77008","Armentieres-en-Brie",3368.09762825
"77009","Arville",658.33329066
"77010","Aubepierre-Ozouer-le-Repos",3067.48792066
"77011","Aufferville",2170.30605862
"77012","Augers-en-Brie",563.91695713
"77013","Aulnoy",4303.1252329
"77014","Avon",7621.28363124
"77015","Baby",593.9450563
"77016","Bagneaux-sur-Loing",4307.09564092
"77018","Bailly-Romainvilliers",14316.85668522
"77019","Balloy",1388.52590377
"77020","Bannost-Villegagnon",842.72581394
"77021","Barbey",2575.33783067
"77022","Barbizon",5468.76123741
"77023","Barcy",10490.91223922
"77024","Bassevelle",736.91095965
"77025","Bazoches-les-Bray",1294.28846733
"77026","Beauchery-Saint-Martin",754.76742755
"77027","Beaumont-du-Gatinais",245.78225617
"77028","Beautheil",2367.38469014
"77029","Beauvoir",3247.28913878
"77030","Bellot",1252.47734912
"77031","Bernay-Vilbert",2056.07209167
"77032","Beton-Bazoches",1067.03147393
"77033","Bezalles",660.55181828
"77034","Blandy",5683.37443147
"77035","Blennes",552.54454373
"77036","Boisdon",805.62406978
"77037","Bois-le-Roi",11691.04557266
"77038","Boissettes",14473.67772513
"77039","Boissise-la-Bertrand",14507.74289783
"77040","Boissise-le-Roi",12350.5345023
"77041","Boissy-aux-Cailles",823.15469526
"77042","Boissy-le-Chatel",4272.76040309
"77043","Boitron",894.45466544
"77044","Bombon",1656.26779529
"77045","Bougligny",2095.25407183
"77046","Boulancourt",326.18109073
"77047","Bouleurs",8399.13064493
