"ID","NAMES","population_AsTheCowRolls_ACC_0.05"
"77134","Courchamp",40.4387606587549
"77135","Courpalay",27.4029693620061
"77136","Courquetaine",21.3806995022018
"77137","Courtacon",35.3247222818874
"77138","Courtomer",27.8343188219015
"77139","Courtry",11.7710458599414
"77140","Coutencon",36.7999924573805
"77141","Coutevroult",18.5148487288908
"77142","Crecy-la-Chapelle",20.6328340294808
"77143","Cregy-les-Meaux",20.5914618831531
"77144","Crevecoeur-en-Brie",22.5647461738431
"77145","Crisenoy",20.5868044157673
"77146","Croissy-Beaubourg",11.1823930117397
"77147","La Croix-en-Brie",35.3719543215392
"77148","Crouy-sur-Ourcq",35.5209961201609
"77149","Cucharmoy",37.5687163130423
"77150","Cuisy",22.6422948713531
"77151","Dagny",31.8148969014361
"77152","Dammarie-les-Lys",20.6685047738637
"77153","Dammartin-en-Goele",18.299099936704
"77154","Dammartin-sur-Tigeaux",22.4768055644133
"77155","Dampmart",16.0857867952962
"77156","Darvault",29.5686112927678
"77157","Dhuisy",29.715285059364
"77158","Diant",42.8011072857471
"77159","Donnemarie-Dontilly",40.4957082973124
"77161","Dormelles",38.5300907327853
"77162","Doue",33.5957800957548
"77163","Douy-la-Ramee",28.3225614491093
"77164","Echouboulains",34.204397365624
"77165","Les Ecrennes",28.2180688947048
"77166","Ecuelles",33.1743647778668
"77167","Egligny",42.3227368787393
"77168","Egreville",35.6242776080318
"77169","Emerainville",10.9551046728777
"77170","Episy",31.0114275232972
"77171","Esbly",18.5637567771545
"77172","Esmans",36.7462247298759
"77173","Etrepilly",26.4739475358502
"77174","Everly",46.5746460821396
"77175","Evry-Gregy-sur-Yerre",16.2018102623012
"77176","Faremoutiers",26.1513471345682
"77177","Favieres",18.5673957453273
"77178","Fay-les-Nemours",33.7500580251593
"77179","Fericy",29.7391616906557
"77180","Ferolles-Attilly",15.0671102103726
"77181","Ferrieres-en-Brie",11.925233723011
"77182","La Ferte-Gaucher",38.3810971630111
"77183","La Ferte-sous-Jouarre",26.9560152068349
"77184","Flagy",39.5410502487492
"77185","Fleury-en-Biere",20.1866528609422
"77186","Fontainebleau",25.4806230454955
"77187","Fontaine-Fourches",48.7402523597392
"77188","Fontaine-le-Port",26.7772968430974
"77190","Fontains",34.9921800643132
"77191","Fontenailles",29.537150338512
"77192","Fontenay-Tresigny",22.2095286452405
"77193","Forfry",26.2211376331527
"77194","Forges",31.4369289840184
"77195","Fouju",22.9915867893388
"77196","Fresnes-sur-Marne",15.9585118967052
"77197","Fretoy",33.1768882731618
"77198","Fromont",32.3168236711385
"77199","Fublaines",23.7516355339352
"77200","Garentreville",36.2209188621513
"77201","Gastins",31.175457601967
"77202","La Genevraye",32.9810906777994
"77203","Germigny-l'Eveque",26.3178272805091
"77204","Germigny-sous-Coulombs",33.4158525703909
"77205","Gesvres-le-Chapitre",25.5257147383758
"77206","Giremoutiers",26.4227776784383
"77207","Gironville",39.6765513074696
"77208","Gouaix",47.3942612994835
"77209","Gouvernes",12.9839988746687
"77210","La Grande-Paroisse",35.2236620861603
"77211","Grandpuits-Bailly-Carrois",30.3745107360054
"77212","Gravon",40.1977198309347
"77214","Gressy",15.142765384363
"77215","Gretz-Armainvilliers",16.3882060481462
"77216","Grez-sur-Loing",30.9305533753102
