"ID","NAMES","artisans_AsTheCrowFlies_ACC_0.01"
"75101","Paris 1er Arrondissement",342.794713275948
"75102","Paris 2e  Arrondissement",302.057600437247
"75103","Paris 3e  Arrondissement",231.089789394758
"75104","Paris 4e  Arrondissement",310.537276907688
"75105","Paris 5e  Arrondissement",292.163150314307
"75106","Paris 6e  Arrondissement",248.515342862539
"75107","Paris 7e  Arrondissement",122.677746985855
"75108","Paris 8e  Arrondissement",218.280167635609
"75109","Paris 9e  Arrondissement",100.791160762643
"75110","Paris 10e  Arrondissement",19.5038422195516
"75111","Paris 11e  Arrondissement",0
"75112","Paris 12e  Arrondissement",0
"75113","Paris 13e  Arrondissement",0
"75114","Paris 14e  Arrondissement",10.3491006987873
"75115","Paris 15e  Arrondissement",0
"75116","Paris 16e  Arrondissement",0
"75117","Paris 17e  Arrondissement",0
"75118","Paris 18e  Arrondissement",0
"75119","Paris 19e  Arrondissement",0
"75120","Paris 20e  Arrondissement",0
"77001","Acheres-la-Foret",14114.407730285
"77002","Amillis",16824.2038175082
"77003","Amponville",17574.3513395947
"77004","Andrezel",12065.8836095491
"77005","Annet-sur-Marne",6420.91975365358
"77006","Arbonne-la-Foret",11708.4324198076
"77007","Argentieres",13403.7570260685
"77008","Armentieres-en-Brie",12930.1647193766
"77009","Arville",23739.5256699009
"77010","Aubepierre-Ozouer-le-Repos",14676.690135969
"77011","Aufferville",21460.0211642315
"77012","Augers-en-Brie",24716.5350911259
"77013","Aulnoy",13394.3741097997
"77014","Avon",11186.8098574786
"77015","Baby",31072.7214288941
"77016","Bagneaux-sur-Loing",19220.5988387211
"77018","Bailly-Romainvilliers",7488.98473258412
"77019","Balloy",23025.9575548137
"77020","Bannost-Villegagnon",19310.1388900334
"77021","Barbey",20316.2279727646
"77022","Barbizon",9904.68460282064
"77023","Barcy",11837.3085239597
"77024","Bassevelle",21316.1878407746
"77025","Bazoches-les-Bray",24550.3451628033
"77026","Beauchery-Saint-Martin",28814.7505499447
"77027","Beaumont-du-Gatinais",27521.8938428404
"77028","Beautheil",15406.8441080086
"77029","Beauvoir",13358.3294557323
"77030","Bellot",22319.4199873878
"77031","Bernay-Vilbert",14322.2255123973
"77032","Beton-Bazoches",20220.975872556
"77033","Bezalles",20721.7651396393
"77034","Blandy",11657.1403680251
"77035","Blennes",23898.8504305609
"77036","Boisdon",20197.4810918999
"77037","Bois-le-Roi",9191.60353482265
"77038","Boissettes",6917.33853730739
"77039","Boissise-la-Bertrand",6660.59551631075
"77040","Boissise-le-Roi",7534.0183117765
"77041","Boissy-aux-Cailles",16995.4263713018
"77042","Boissy-le-Chatel",15026.7039057173
"77043","Boitron",19861.8858351501
"77044","Bombon",13815.9922913861
"77045","Bougligny",21224.9006710224
"77046","Boulancourt",20364.1127442117
"77047","Bouleurs",8731.30982940945
"77048","Bourron-Marlotte",13254.2484851477
"77049","Boutigny",8980.43555364237
"77050","Bransles",25876.1479377194
"77051","Bray-sur-Seine",26114.643792704
"77052","Breau",14156.759230623
"77053","Brie-Comte-Robert",6318.314313498
"77054","La Brosse-Montceaux",20200.613950958
"77055","Brou-sur-Chantereine",4131.04472680799
"77056","Burcy",20742.1321953824
"77057","Bussieres",19334.7683287385
"77058","Bussy-Saint-Georges",5583.31639909655
"77059","Bussy-Saint-Martin",4638.2640171437
"77060","Buthiers",18896.0264430479
"77061","Cannes-Ecluse",18328.3962257922
"77062","Carnetin",5707.6830700444
"77063","La Celle-sur-Morin",11975.9123475078
"77065","Cely",10069.907572835
"77066","Cerneux",23873.0870622975
"77067","Cesson",6474.83259851664
"77068","Cessoy-en-Montois",20709.9725711739
"77069","Chailly-en-Biere",8948.891292305
"77070","Chailly-en-Brie",15533.2794234936
"77071","Chaintreaux",22298.9664775098
"77072","Chalautre-la-Grande",31113.4157773154
"77073","Chalautre-la-Petite",26206.0113260053
"77075","Chalifert",6607.99344265782
"77076","Chalmaison",24890.9819687864
"77077","Chambry",11057.0513655206
"77078","Chamigny",17454.4366509338
"77079","Champagne-sur-Seine",12366.7332312073
"77080","Champcenest",21790.6052133438
"77081","Champdeuil",10059.5627365518
"77082","Champeaux",12235.318191033
"77083","Champs-sur-Marne",2981.37559241425
"77084","Changis-sur-Marne",12661.7543623222
"77085","Chanteloup-en-Brie",5507.14140000934
"77086","La Chapelle-Gauthier",13589.295164953
"77087","La Chapelle-Iger",16083.138667913
"77088","La Chapelle-la-Reine",15497.6014697431
"77089","La Chapelle-Rablais",16180.4979812347
"77090","La Chapelle-Saint-Sulpice",21160.7713531424
"77091","Les Chapelles-Bourbon",10547.8750280544
"77093","La Chapelle-Moutils",25030.3419166934
"77094","Charmentray",8314.00658988491
"77095","Charny",8741.53943302847
"77096","Chartrettes",9157.49299592166
"77097","Chartronges",20161.9301997043
"77098","Chateaubleau",19243.1900522201
"77099","Chateau-Landon",25154.6061083645
"77100","Le Chatelet-en-Brie",11731.4807053621
"77101","Chatenay-sur-Seine",20550.1605200036
"77102","Chatenoy",19330.0548149963
"77103","Chatillon-la-Borde",12612.4550114161
"77104","Chatres",10795.8870409129
"77106","Chauffry",16333.6506004692
"77107","Chaumes-en-Brie",12654.7211874625
"77108","Chelles",2990.84266304556
"77109","Chenoise",20374.5132999777
"77110","Chenou",23959.1265368263
"77111","Chessy",6099.79611839331
"77112","Chevrainvilliers",18659.6969833238
"77113","Chevru",18304.4487067334
"77114","Chevry-Cossigny",7066.62723183724
"77115","Chevry-en-Sereine",21925.7302963844
"77116","Choisy-en-Brie",18277.3786144178
"77117","Citry",20760.9292129115
"77118","Claye-Souilly",6210.91917257424
"77119","Clos-Fontaine",17340.2447472035
"77120","Cocherel",17770.5646964612
"77121","Collegien",4809.60252229646
"77122","Combs-la-Ville",6060.73332562865
"77123","Compans",7491.41079542076
"77124","Conches-sur-Gondoire",5215.54187664952
"77125","Conde-Sainte-Libiaire",7367.58982242752
"77126","Congis-sur-Therouanne",13538.1502442201
"77127","Coubert",8884.25797206588
"77128","Couilly-Pont-aux-Dames",7830.68100327908
"77129","Coulombs-en-Valois",21898.565235279
"77130","Coulommes",9083.28733369065
"77131","Coulommiers",14094.6503527897
"77132","Coupvray",6688.96231469506
"77133","Courcelles-en-Bassee",19364.355409399
"77134","Courchamp",22782.5764211362
"77135","Courpalay",15504.7004654562
"77136","Courquetaine",9978.28515879159
"77137","Courtacon",21756.873822108
"77138","Courtomer",13909.4421189127
"77139","Courtry",3583.67346783374
"77140","Coutencon",17175.1563372714
"77141","Coutevroult",7943.95167665497
"77142","Crecy-la-Chapelle",9788.00859097021
"77143","Cregy-les-Meaux",9870.41239600496
"77144","Crevecoeur-en-Brie",11705.7599633171
"77145","Crisenoy",10314.5691071176
"77146","Croissy-Beaubourg",4408.82530530036
"77147","La Croix-en-Brie",18398.8079733599
"77148","Crouy-sur-Ourcq",20895.8706162394
"77149","Cucharmoy",20650.0396404724
"77150","Cuisy",10891.6000752462
"77151","Dagny",17954.0696096784
"77152","Dammarie-les-Lys",7281.63711770911
"77153","Dammartin-en-Goele",10754.9410068874
"77154","Dammartin-sur-Tigeaux",10322.9023111747
"77155","Dampmart",6197.81208246286
"77156","Darvault",15719.9112963623
"77157","Dhuisy",20763.7157543076
"77158","Diant",21308.7200591925
"77159","Donnemarie-Dontilly",20452.2090298156
"77161","Dormelles",16321.5368447344
"77162","Doue",15626.4524772303
"77163","Douy-la-Ramee",14720.8359928547
"77164","Echouboulains",15270.7242645058
"77165","Les Ecrennes",13788.9056027751
"77166","Ecuelles",13546.2049088058
"77167","Egligny",21140.0458126266
"77168","Egreville",24281.6902792552
"77169","Emerainville",3414.14578402712
"77170","Episy",13633.9163569271
"77171","Esbly",7161.75253736316
"77172","Esmans",18131.0062082847
"77173","Etrepilly",14285.7791321983
"77174","Everly",25779.868362907
"77175","Evry-Gregy-sur-Yerre",7753.6699937887
"77176","Faremoutiers",13009.7342676392
"77177","Favieres",7899.24549323138
"77178","Fay-les-Nemours",19160.2519398204
"77179","Fericy",11720.8799330833
"77180","Ferolles-Attilly",5795.3446568342
"77181","Ferrieres-en-Brie",5468.56668702544
"77182","La Ferte-Gaucher",21426.2365604607
"77183","La Ferte-sous-Jouarre",15665.6742149531
"77184","Flagy",17414.0408331792
"77185","Fleury-en-Biere",10506.7877418542
"77186","Fontainebleau",11144.4826737038
"77187","Fontaine-Fourches",32578.1168157147
"77188","Fontaine-le-Port",10638.3127526296
"77190","Fontains",17438.6170255485
"77191","Fontenailles",15416.2814102969
"77192","Fontenay-Tresigny",12435.6184174347
"77193","Forfry",13585.3008339916
"77194","Forges",15996.0597288051
"77195","Fouju",10816.3135005744
"77196","Fresnes-sur-Marne",7761.12586806797
"77197","Fretoy",18974.394549288
"77198","Fromont",19857.1738558331
"77199","Fublaines",9639.17665110139
"77200","Garentreville",20151.2882781519
"77201","Gastins",17120.7240096932
"77202","La Genevraye",13950.3982525203
"77203","Germigny-l'Eveque",11678.6747660009
"77204","Germigny-sous-Coulombs",22287.896248321
"77205","Gesvres-le-Chapitre",12573.5406883073
"77206","Giremoutiers",12038.553853068
"77207","Gironville",25403.4771473977
"77208","Gouaix",26706.8320112555
"77209","Gouvernes",4886.54770788272
"77210","La Grande-Paroisse",14789.6897989984
"77211","Grandpuits-Bailly-Carrois",16615.2097929721
"77212","Gravon",22319.2802494054
"77214","Gressy",6622.32766714318
"77215","Gretz-Armainvilliers",7700.287849906
"77216","Grez-sur-Loing",14502.4847675059
"77217","Grisy-Suisnes",8032.22827235033
"77218","Grisy-sur-Seine",28473.438555304
"77219","Guerard",10995.2472393716
"77220","Guercheville",18551.1435614001
"77221","Guermantes",5141.16214805357
"77222","Guignes",11768.696196225
"77223","Gurcy-le-Chatel",19334.6857722256
"77224","Hautefeuille",12621.9743603768
"77225","La Haute-Maison",11033.0212662925
"77226","Hericy",11536.8281010821
"77227","Herme",28433.577460064
"77228","Hondevilliers",22420.2911697029
"77229","La Houssaye-en-Brie",10888.0526510841
"77230","Ichy",22264.0226178934
"77231","Isles-les-Meldeuses",13635.4842281138
"77232","Isles-les-Villenoy",7531.51559309752
"77233","Iverny",10094.6007552497
"77234","Jablines",7024.78067883309
"77235","Jaignes",15097.1990600517
"77236","Jaulnes",27511.1547311455
"77237","Jossigny",6406.29024437098
"77238","Jouarre",13953.8272181672
"77239","Jouy-le-Chatel",18339.7558530757
"77240","Jouy-sur-Morin",20110.7385835184
"77241","Juilly",10031.8317754721
"77242","Jutigny",23668.3904743629
"77243","Lagny-sur-Marne",5248.42190908486
"77244","Larchant",16572.6278974285
"77245","Laval-en-Brie",16589.0042761782
"77246","Lechelle",28140.439400601
"77247","Lescherolles",23570.9751389329
"77248","Lesches",7359.29456527405
"77249","Lesigny",5036.45110009947
"77250","Leudon-en-Brie",20586.6126246352
"77251","Lieusaint",5929.95055275952
"77252","Limoges-Fourches",8419.45306044949
"77253","Lissy",9185.27006438592
"77254","Liverdy-en-Brie",10361.908872535
"77255","Livry-sur-Seine",8377.9766073459
"77256","Lizines",21186.1568851437
"77257","Lizy-sur-Ourcq",15941.4088724927
"77258","Lognes",3746.3538688713
"77259","Longperrier",10173.8658877508
"77260","Longueville",23684.8495704919
"77261","Lorrez-le-Bocage-Preaux",20450.1396371733
"77262","Louan-Villegruis-Fontaine",31692.1433681584
"77263","Luisetaines",22878.6813102337
"77264","Lumigny-Nesles-Ormeaux",13604.5115693045
"77265","Luzancy",18615.3499147439
"77266","Machault",12794.6166626164
"77267","La Madeleine-sur-Loing",20597.672531459
"77268","Magny-le-Hongre",7015.58785988332
"77269","Maincy",8771.84473158975
"77270","Maisoncelles-en-Brie",11056.8010410512
"77271","Maisoncelles-en-Gatinais",22880.1482188936
"77272","Maison-Rouge",20511.0899572481
"77273","Marchemoret",12276.5414175561
"77274","Marcilly",13073.0006150015
"77275","Les Marets",23178.3551067048
"77276","Mareuil-les-Meaux",7880.22821552366
"77277","Marles-en-Brie",12236.2085462483
"77278","Marolles-en-Brie",16608.4378753492
"77279","Marolles-sur-Seine",19257.0157671799
"77280","Mary-sur-Marne",15228.3620057843
"77281","Mauperthuis",13962.9519379732
"77282","Mauregard",7309.75019084483
"77283","May-en-Multien",18293.9327868352
"77284","Meaux",9323.57629452769
"77285","Le Mee-sur-Seine",6740.13486530205
"77286","Meigneux",19574.5563141719
"77287","Meilleray",26619.3353533964
"77288","Melun",7352.0419455863
"77289","Melz-sur-Seine",30158.8644279674
"77290","Mery-sur-Marne",19475.2346800639
"77291","Le Mesnil-Amelot",7115.79338056273
"77292","Messy",7823.68476283641
"77293","Misy-sur-Yonne",21874.7912768614
"77294","Mitry-Mory",5605.56888268408
"77295","Moisenay",10041.9600051724
"77296","Moissy-Cramayel",6840.67435200983
"77297","Mondreville",25518.9236956954
"77298","Mons-en-Montois",20902.304066737
"77299","Montarlot",14308.2563824956
"77300","Montceaux-les-Meaux",11097.0339393457
"77301","Montceaux-les-Provins",28370.0562621428
"77302","Montcourt-Fromonville",14670.9150159724
"77303","Montdauphin",27063.2516681168
"77304","Montenils",29899.8622393433
"77305","Montereau-Fault-Yonne",16828.5748123532
"77306","Montereau-sur-le-Jard",8218.28371009421
"77307","Montevrain",5697.86333614535
"77308","Montge-en-Goele",10871.2930039455
"77309","Monthyon",10948.108410433
"77310","Montigny-le-Guesdier",27355.2808553948
"77311","Montigny-Lencoup",18785.9731334774
"77312","Montigny-sur-Loing",13064.2504012563
"77313","Montmachoux",19721.7052626716
"77314","Montolivet",27497.2421912853
"77315","Montry",7149.80843353285
"77316","Moret-sur-Loing",13074.5721069773
"77317","Mormant",14199.8382602313
"77318","Mortcerf",10961.1014883327
"77319","Mortery",22533.1248624159
"77320","Mouroux",12933.6934473406
"77321","Mousseaux-les-Bray",26052.4762400179
"77322","Moussy-le-Neuf",10124.5538269445
"77323","Moussy-le-Vieux",9148.82934075929
"77325","Mouy-sur-Seine",25756.6720052796
"77326","Nandy",6148.58758936162
"77327","Nangis",17500.9531045173
"77328","Nanteau-sur-Essonne",17675.1098044755
"77329","Nanteau-sur-Lunain",17603.0023579892
"77330","Nanteuil-les-Meaux",8424.42895091822
"77331","Nanteuil-sur-Marne",20479.4492441494
"77332","Nantouillet",8873.18066319676
"77333","Nemours",16778.4087365983
"77335","Chauconin-Neufmontiers",9230.75850296746
"77336","Neufmoutiers-en-Brie",9511.02914657056
"77337","Noisiel",3373.31748343258
"77338","Noisy-Rudignon",17085.2791927076
"77339","Noisy-sur-Ecole",13694.7574153318
"77340","Nonville",15203.4071538312
"77341","Noyen-sur-Seine",29173.7049996816
"77342","Obsonville",21106.0654572528
"77343","Ocquerre",17089.5028867333
"77344","Oissery",14136.3126967685
"77345","Orly-sur-Morin",18283.4076627442
"77347","Les Ormes-sur-Voulzie",24320.0379514763
"77348","Ormesson",18205.0508854946
"77349","Othis",11696.6121151488
"77350","Ozoir-la-Ferriere",5858.88905907962
"77352","Ozouer-le-Voulgis",10811.0175193536
"77353","Paley",19262.3180847387
"77354","Pamfou",13382.3574339036
"77355","Paroy",23056.2714392199
"77356","Passy-sur-Seine",30022.2232372485
"77357","Pecy",17711.7698939121
"77358","Penchard",10281.7173976082
"77359","Perthes",8990.29672592769
"77360","Pezarches",13650.4864743351
"77361","Pierre-Levee",11755.9851353633
"77363","Le Pin",4284.38965155737
"77364","Le Plessis-aux-Bois",10190.8348745095
"77365","Le Plessis-Feu-Aussoux",15472.8620762807
"77366","Le Plessis-l'Eveque",10527.1878513172
"77367","Le Plessis-Placy",16197.3904875214
"77368","Poigny",24426.9089463384
"77369","Poincy",10413.0275028639
"77370","Poligny",18483.2801730956
"77371","Pommeuse",12196.8280092925
"77372","Pomponne",4978.1970901972
"77373","Pontault-Combault",3776.93853918736
"77374","Pontcarre",5806.01813213665
"77376","Precy-sur-Marne",7728.29422674762
"77377","Presles-en-Brie",8769.93317301554
"77378","Pringy",7522.91200239923
"77379","Provins",24388.2764172591
"77380","Puisieux",15478.8521715652
"77381","Quiers",16047.3939292774
"77382","Quincy-Voisins",7863.52803726912
"77383","Rampillon",18831.6660395644
"77384","Reau",7368.05523942297
"77385","Rebais",18139.9385484771
"77386","Recloses",13467.9173639594
"77387","Remauville",20179.5721275043
"77388","Reuil-en-Brie",17129.4522644271
"77389","La Rochette",7834.46706605264
"77390","Roissy-en-Brie",4957.8543837629
"77391","Rouilly",23786.6261125379
"77392","Rouvres",12214.6220307819
"77393","Rozay-en-Brie",14900.4391344358
"77394","Rubelles",8062.53018459392
"77395","Rumont",19079.0764606513
"77396","Rupereux",24100.2933022635
"77397","Saacy-sur-Marne",19150.2357680433
"77398","Sablonnieres",21048.4376517517
"77399","Saint-Ange-le-Viel",18722.1843946143
"77400","Saint-Augustin",13309.8642730742
"77401","Sainte-Aulde",19511.9652244639
"77402","Saint-Barthelemy",24132.652300091
"77403","Saint-Brice",25898.6346218361
"77404","Sainte-Colombe",24001.6939490863
"77405","Saint-Cyr-sur-Morin",16311.3467977955
"77406","Saint-Denis-les-Rebais",16782.9680348307
"77407","Saint-Fargeau-Ponthierry",6977.94453510242
"77408","Saint-Fiacre",9738.40473174676
"77409","Saint-Germain-Laval",17638.2693687986
"77410","Saint-Germain-Laxis",9049.24032043865
"77411","Saint-Germain-sous-Doue",14720.391325385
"77412","Saint-Germain-sur-Ecole",9545.74276253272
"77413","Saint-Germain-sur-Morin",7501.17842329856
"77414","Saint-Hilliers",22020.9474821168
"77415","Saint-Jean-les-Deux-Jumeaux",11923.2506745198
"77416","Saint-Just-en-Brie",19090.0196745806
"77417","Saint-Leger",19867.2899262057
"77418","Saint-Loup-de-Naud",22651.939344171
"77419","Saint-Mammes",12855.2088417495
"77420","Saint-Mard",10466.5172961507
"77421","Saint-Mars-Vieux-Maisons",22499.2393017055
"77423","Saint-Martin-des-Champs",22771.9978550025
"77424","Saint-Martin-du-Boschet",27373.2893468925
"77425","Saint-Martin-en-Biere",10644.9007438169
"77426","Saint-Mery",12984.5712456674
"77427","Saint-Mesmes",8602.12481789712
"77428","Saint-Ouen-en-Brie",15313.7739086762
"77429","Saint-Ouen-sur-Morin",17346.5370750859
"77430","Saint-Pathus",13832.546621981
"77431","Saint-Pierre-les-Nemours",16760.735333475
"77432","Saint-Remy-la-Vanne",18682.2976029437
"77433","Saints",14568.0291034371
"77434","Saint-Sauveur-les-Bray",24009.9571549438
"77435","Saint-Sauveur-sur-Ecole",8322.789607089
"77436","Saint-Simeon",17059.3883255714
"77437","Saint-Soupplets",12101.2599605631
"77438","Saint-Thibault-des-Vignes",4576.71236974337
"77439","Salins",18068.3603595864
"77440","Sammeron",13523.2787255357
"77441","Samois-sur-Seine",10553.9357940555
"77442","Samoreau",11489.8796896248
