"ID","NAMES","total_AsTheCrowFlies_POT_5000"
"75101","Paris 1er Arrondissement",1026684.10190344
"75102","Paris 2e  Arrondissement",1026964.36792189
"75103","Paris 3e  Arrondissement",1023643.26959545
"75104","Paris 4e  Arrondissement",1015817.459486
"75105","Paris 5e  Arrondissement",972729.21964031
"75106","Paris 6e  Arrondissement",981240.99339984
"75107","Paris 7e  Arrondissement",950185.13851831
"75108","Paris 8e  Arrondissement",951427.7349845
"75109","Paris 9e  Arrondissement",990821.97609524
"75110","Paris 10e  Arrondissement",985604.30265369
"75111","Paris 11e  Arrondissement",975911.9336903
"75112","Paris 12e  Arrondissement",694611.66056917
"75113","Paris 13e  Arrondissement",839329.58501174
"75114","Paris 14e  Arrondissement",820627.08750519
"75115","Paris 15e  Arrondissement",787856.78448434
"75116","Paris 16e  Arrondissement",689717.89336684
"75117","Paris 17e  Arrondissement",859216.30290938
"75118","Paris 18e  Arrondissement",886891.78688175
"75119","Paris 19e  Arrondissement",865355.41168867
"75120","Paris 20e  Arrondissement",882610.7871633
"77001","Acheres-la-Foret",3043.86542285
"77002","Amillis",2090.58908636
"77003","Amponville",2096.88226786
"77004","Andrezel",6319.86979253
"77005","Annet-sur-Marne",26291.11245622
"77006","Arbonne-la-Foret",2645.6575759
"77007","Argentieres",7218.06687595
"77008","Armentieres-en-Brie",7003.89547059
"77009","Arville",824.55096996
"77010","Aubepierre-Ozouer-le-Repos",5190.93264408
"77011","Aufferville",1394.56229519
"77012","Augers-en-Brie",872.19981087
"77013","Aulnoy",9143.60187198
"77014","Avon",18243.56591152
"77015","Baby",713.37851578
"77016","Bagneaux-sur-Loing",8013.37055529
"77018","Bailly-Romainvilliers",26236.21927865
"77019","Balloy",1591.52267499
"77020","Bannost-Villegagnon",1723.999094
"77021","Barbey",3793.9911398
"77022","Barbizon",5127.29390947
"77023","Barcy",10434.00431365
"77024","Bassevelle",1904.90547602
"77025","Bazoches-les-Bray",2051.35045484
"77026","Beauchery-Saint-Martin",876.94517123
"77027","Beaumont-du-Gatinais",548.01531843
"77028","Beautheil",5502.23610253
"77029","Beauvoir",7345.47212173
"77030","Bellot",2642.51317067
"77031","Bernay-Vilbert",4886.2089594
"77032","Beton-Bazoches",1486.62723193
"77033","Bezalles",1326.15637304
"77034","Blandy",3797.51590981
"77035","Blennes",929.68092452
"77036","Boisdon",1471.29741234
"77037","Bois-le-Roi",13181.31147969
"77038","Boissettes",46425.93591005
"77039","Boissise-la-Bertrand",44361.99232035
"77040","Boissise-le-Roi",25168.25892295
"77041","Boissy-aux-Cailles",1997.9156519
"77042","Boissy-le-Chatel",9547.70477381
"77043","Boitron",2847.99448648
"77044","Bombon",4319.52708106
"77045","Bougligny",3596.98639311
"77046","Boulancourt",836.73017657
"77047","Bouleurs",13656.78725982
"77048","Bourron-Marlotte",5049.24721482
"77049","Boutigny",21247.71808463
"77050","Bransles",1171.43295782
"77051","Bray-sur-Seine",2627.25085494
"77052","Breau",4015.78044268
