"ID","NAMES","total_AsTheCrowFlies_ACC_0.01"
"75101","Paris 1er Arrondissement",487.499840932781
"75102","Paris 2e  Arrondissement",389.775775038256
"75103","Paris 3e  Arrondissement",305.499935486365
"75104","Paris 4e  Arrondissement",391.931757923328
"75105","Paris 5e  Arrondissement",302.110648748666
"75106","Paris 6e  Arrondissement",415.244024049977
"75107","Paris 7e  Arrondissement",403.362550062593
"75108","Paris 8e  Arrondissement",465.271649418012
"75109","Paris 9e  Arrondissement",215.421096264688
"75110","Paris 10e  Arrondissement",29.0312631801736
"75111","Paris 11e  Arrondissement",0
"75112","Paris 12e  Arrondissement",0
"75113","Paris 13e  Arrondissement",0
"75114","Paris 14e  Arrondissement",0
"75115","Paris 15e  Arrondissement",0
"75116","Paris 16e  Arrondissement",0
"75117","Paris 17e  Arrondissement",0
"75118","Paris 18e  Arrondissement",0
"75119","Paris 19e  Arrondissement",0
"75120","Paris 20e  Arrondissement",0
"77001","Acheres-la-Foret",15720.0689113604
"77002","Amillis",18638.6126372166
"77003","Amponville",19454.3678855167
"77004","Andrezel",12269.5184909463
"77005","Annet-sur-Marne",6489.63060666415
"77006","Arbonne-la-Foret",12849.2940133273
"77007","Argentieres",14020.2668121261
"77008","Armentieres-en-Brie",12817.8585677118
"77009","Arville",25894.5746095388
"77010","Aubepierre-Ozouer-le-Repos",15229.6873288644
"77011","Aufferville",23791.6330308481
"77012","Augers-en-Brie",27055.8283293046
"77013","Aulnoy",14736.6350206733
"77014","Avon",11817.0919413245
"77015","Baby",32535.4182479074
"77016","Bagneaux-sur-Loing",21622.7802503742
"77018","Bailly-Romainvilliers",7758.25356132069
"77019","Balloy",23895.7699278546
"77020","Bannost-Villegagnon",21165.1925741717
"77021","Barbey",21037.2455232313
"77022","Barbizon",10496.4390522999
"77023","Barcy",11408.9444473396
"77024","Bassevelle",22863.4446800063
"77025","Bazoches-les-Bray",25560.4804596357
"77026","Beauchery-Saint-Martin",30992.4353136779
"77027","Beaumont-du-Gatinais",29303.6469176361
"77028","Beautheil",17129.9693273275
"77029","Beauvoir",13889.3385199064
"77030","Bellot",24396.5035014707
"77031","Bernay-Vilbert",15280.2200428643
"77032","Beton-Bazoches",22437.1283832271
"77033","Bezalles",22817.5165053559
"77034","Blandy",11483.741794466
"77035","Blennes",25290.500891591
"77036","Boisdon",22247.3700734028
"77037","Bois-le-Roi",9156.23344827705
"77038","Boissettes",6215.96689391191
"77039","Boissise-la-Bertrand",6102.38370238538
"77040","Boissise-le-Roi",7459.36908104049
"77041","Boissy-aux-Cailles",18630.4664421706
"77042","Boissy-le-Chatel",16731.0483270807
"77043","Boitron",21526.1453457095
"77044","Bombon",13958.9593207663
"77045","Bougligny",23688.6000377886
"77046","Boulancourt",22001.7948570269
"77047","Bouleurs",9288.83500807876
"77048","Bourron-Marlotte",14681.6948032141
"77049","Boutigny",9270.63690189894
"77050","Bransles",28141.8570182192
"77051","Bray-sur-Seine",27349.4805216691
"77052","Breau",14294.5814909502
"77053","Brie-Comte-Robert",6455.65422905733
"77054","La Brosse-Montceaux",21036.1233950046
"77055","Brou-sur-Chantereine",4105.41848289828
"77056","Burcy",22812.8391557417
"77057","Bussieres",20685.3285926731
"77058","Bussy-Saint-Georges",5448.42099644946
"77059","Bussy-Saint-Martin",4324.11190631905
"77060","Buthiers",20518.7257291885
"77061","Cannes-Ecluse",19035.009709599
"77062","Carnetin",5718.87532898709
"77063","La Celle-sur-Morin",13049.6474482095
"77065","Cely",10710.8353991105
"77066","Cerneux",26237.7099212407
"77067","Cesson",5627.62791747453
"77068","Cessoy-en-Montois",21521.2029441003
"77069","Chailly-en-Biere",9266.44901301392
"77070","Chailly-en-Brie",17453.6715503175
"77071","Chaintreaux",24554.3556226325
"77072","Chalautre-la-Grande",33109.667727275
"77073","Chalautre-la-Petite",27943.9274283223
"77075","Chalifert",6705.51139948359
"77076","Chalmaison",26179.7752749767
"77077","Chambry",10686.5235573975
"77078","Chamigny",17886.9360208315
"77079","Champagne-sur-Seine",12825.3709242484
"77080","Champcenest",23981.8281531457
"77081","Champdeuil",9964.25327553172
"77082","Champeaux",12292.8494725904
"77083","Champs-sur-Marne",2885.40739627009
"77084","Changis-sur-Marne",12669.64863675
"77085","Chanteloup-en-Brie",5362.60422417807
"77086","La Chapelle-Gauthier",13586.714244497
"77087","La Chapelle-Iger",17156.509324131
"77088","La Chapelle-la-Reine",17386.2351453719
"77089","La Chapelle-Rablais",16347.7065198764
"77090","La Chapelle-Saint-Sulpice",22488.0281686409
"77091","Les Chapelles-Bourbon",11083.4199056309
"77093","La Chapelle-Moutils",27307.3105172325
"77094","Charmentray",8341.24482162279
"77095","Charny",8758.72628493516
"77096","Chartrettes",8901.10224339163
"77097","Chartronges",22446.0186468914
"77098","Chateaubleau",20259.861683346
"77099","Chateau-Landon",27604.8951564074
"77100","Le Chatelet-en-Brie",11638.2751191215
"77101","Chatenay-sur-Seine",21165.9935891198
"77102","Chatenoy",21695.852620033
"77103","Chatillon-la-Borde",12530.2191417129
"77104","Chatres",11408.7855794402
"77106","Chauffry",18339.1160888039
"77107","Chaumes-en-Brie",13154.6139693071
"77108","Chelles",3046.14267813057
"77109","Chenoise",22019.9357015222
"77110","Chenou",26372.1871172486
"77111","Chessy",6113.63119264031
"77112","Chevrainvilliers",20943.503764516
"77113","Chevru",20389.8835922611
"77114","Chevry-Cossigny",7547.8851938803
"77115","Chevry-en-Sereine",23373.2746132402
"77116","Choisy-en-Brie",20454.7822809807
"77117","Citry",21858.8426184012
"77118","Claye-Souilly",6308.89104821371
"77119","Clos-Fontaine",18036.4815966502
"77120","Cocherel",17883.3712844721
"77121","Collegien",4536.17902649468
"77122","Combs-la-Ville",5641.03769649948
"77123","Compans",7448.97052896291
"77124","Conches-sur-Gondoire",5032.3221951771
"77125","Conde-Sainte-Libiaire",7591.29635455554
"77126","Congis-sur-Therouanne",13178.9874816341
"77127","Coubert",9236.6447173455
"77128","Couilly-Pont-aux-Dames",8232.09161231486
"77129","Coulombs-en-Valois",21931.0338676265
"77130","Coulommes",9574.70236793408
"77131","Coulommiers",15670.050749137
"77132","Coupvray",6869.8002550496
"77133","Courcelles-en-Bassee",19937.2343417948
"77134","Courchamp",24998.6626260454
"77135","Courpalay",16277.7819873439
"77136","Courquetaine",10332.1994817459
"77137","Courtacon",24041.094405383
"77138","Courtomer",14748.1545563525
"77139","Courtry",3713.79495481107
"77140","Coutencon",17426.4818337398
"77141","Coutevroult",8398.15660692952
"77142","Crecy-la-Chapelle",10486.6473609866
"77143","Cregy-les-Meaux",9557.63210558284
"77144","Crevecoeur-en-Brie",12655.7666487518
"77145","Crisenoy",10140.8143963498
"77146","Croissy-Beaubourg",4224.42560892785
"77147","La Croix-en-Brie",19298.7128270562
"77148","Crouy-sur-Ourcq",20757.6322906069
"77149","Cucharmoy",22069.5895275198
"77150","Cuisy",10705.7982347579
"77151","Dagny",19900.1706144978
"77152","Dammarie-les-Lys",6658.77722374206
"77153","Dammartin-en-Goele",10523.5951555731
"77154","Dammartin-sur-Tigeaux",11028.2448142728
"77155","Dampmart",6200.42128362277
"77156","Darvault",17686.6417810681
"77157","Dhuisy",21058.556968983
"77158","Diant",22478.8103422693
"77159","Donnemarie-Dontilly",21088.6547940324
"77161","Dormelles",17517.2336521949
"77162","Doue",17207.9020282448
"77163","Douy-la-Ramee",14230.7438296044
"77164","Echouboulains",15354.2786535222
"77165","Les Ecrennes",13773.8599486
"77166","Ecuelles",14419.4938649387
"77167","Egligny",21862.6065062413
"77168","Egreville",26297.2411767746
"77169","Emerainville",3363.50764497713
"77170","Episy",14828.7892695413
"77171","Esbly",7359.51083466923
"77172","Esmans",18967.4732631821
"77173","Etrepilly",13804.712204233
"77174","Everly",27116.2176309153
