"ID","NAMES","cadres_AsTheCowRolls_ACC_0.01"
"77138","Courtomer",22.0957175435291
"77139","Courtry",8.39307872219469
"77140","Coutencon",29.2094025538508
"77141","Coutevroult",12.2121404550712
"77142","Crecy-la-Chapelle",15.1741029945592
"77143","Cregy-les-Meaux",15.4094199601948
"77144","Crevecoeur-en-Brie",17.0240605701572
"77145","Crisenoy",15.1161894243964
"77146","Croissy-Beaubourg",6.79535062010927
"77147","La Croix-en-Brie",28.9390580754403
"77148","Crouy-sur-Ourcq",29.6440144263747
"77149","Cucharmoy",31.1834131469199
"77150","Cuisy",17.9597097769689
"77151","Dagny",25.8584591083227
"77152","Dammarie-les-Lys",13.1961954496861
"77153","Dammartin-en-Goele",15.3548457729959
"77154","Dammartin-sur-Tigeaux",16.7376533456352
"77155","Dampmart",10.5717587344504
"77156","Darvault",21.9861032077664
"77157","Dhuisy",23.4845720055181
"77158","Diant",34.4500978178627
"77159","Donnemarie-Dontilly",32.4209324510813
"77161","Dormelles",29.9923598748181
"77162","Doue",26.8770573683308
"77163","Douy-la-Ramee",23.076985366385
"77164","Echouboulains",26.2285680619991
"77165","Les Ecrennes",20.7189246927133
"77166","Ecuelles",23.6206539938208
"77167","Egligny",34.5871370233445
"77168","Egreville",28.0262097642896
"77169","Emerainville",6.53338736707142
"77170","Episy",21.7427260448648
"77171","Esbly",11.7397797425495
"77172","Esmans",27.9533756537265
"77173","Etrepilly",20.924546245873
"77174","Everly",38.6777405507641
"77175","Evry-Gregy-sur-Yerre",11.5546522051469
"77176","Faremoutiers",20.321179198666
"77177","Favieres",13.2114022965134
"77178","Fay-les-Nemours",26.1786951814815
"77179","Fericy",20.3550043057546
"77180","Ferolles-Attilly",10.3152292862483
"77181","Ferrieres-en-Brie",7.20993596452738
"77182","La Ferte-Gaucher",31.4384680484604
"77183","La Ferte-sous-Jouarre",21.0155084279643
"77184","Flagy",30.6007616433484
"77185","Fleury-en-Biere",14.53624239298
"77186","Fontainebleau",16.2260463468502
"77187","Fontaine-Fourches",40.6177973093065
"77188","Fontaine-le-Port",18.0101075673519
"77190","Fontains",27.5140364774616
"77191","Fontenailles",22.8104426837526
"77192","Fontenay-Tresigny",16.8408650406797
"77193","Forfry",21.174219759237
"77194","Forges",24.0250851072644
"77195","Fouju",17.0304577108561
"77196","Fresnes-sur-Marne",11.9326356818593
"77197","Fretoy",26.964157753085
"77198","Fromont",25.5383429957349
"77199","Fublaines",17.803627073867
"77200","Garentreville",28.9681093268871
"77201","Gastins",25.4923470993492
"77202","La Genevraye",24.0735464654882
"77203","Germigny-l'Eveque",20.7579280335669
"77204","Germigny-sous-Coulombs",26.9822793279087
"77205","Gesvres-le-Chapitre",20.5966259507545
"77206","Giremoutiers",20.4660934568547
"77207","Gironville",31.5596345887626
"77208","Gouaix",40.1610572601694
"77209","Gouvernes",7.39196050309062
"77210","La Grande-Paroisse",26.2361466110507
"77211","Grandpuits-Bailly-Carrois",24.1757507015673
"77212","Gravon",31.9634721552108
"77214","Gressy",11.2676760472583
"77215","Gretz-Armainvilliers",11.2301249730149
"77216","Grez-sur-Loing",21.9038827314445
"77217","Grisy-Suisnes",11.9935351101351
"77218","Grisy-sur-Seine",37.9571203889671
"77219","Guerard",17.2742540290335
"77220","Guercheville",25.4529662586898
"77221","Guermantes",7.66488805166452
"77222","Guignes",16.2309381850913
"77223","Gurcy-le-Chatel",31.4384949568545
"77224","Hautefeuille",20.6262271257367
"77225","La Haute-Maison",18.4512598681846
"77226","Hericy",18.5972084619927
"77227","Herme",37.7362650009916
"77228","Hondevilliers",29.6021592986516
"77229","La Houssaye-en-Brie",16.3143691559318
"77230","Ichy",31.2989557820605
"77231","Isles-les-Meldeuses",21.8663199673776
"77232","Isles-les-Villenoy",13.6004557057737
"77233","Iverny",15.8112580272753
"77234","Jablines",13.2567401267988
"77235","Jaignes",22.1491056538868
"77236","Jaulnes",36.0309492913666
"77237","Jossigny",8.96478184901084
"77238","Jouarre",22.4501694628927
"77239","Jouy-le-Chatel",24.6469846037336
"77240","Jouy-sur-Morin",31.0659435332938
"77241","Juilly",15.6687130448487
"77242","Jutigny",36.2334644368905
"77243","Lagny-sur-Marne",7.56654483637894
"77244","Larchant",22.6082080327788
"77245","Laval-en-Brie",25.9525825836308
"77246","Lechelle",40.0220512490122
"77247","Lescherolles",34.5676787412044
"77248","Lesches",12.2863054909742
"77249","Lesigny",8.70379345209052
"77250","Leudon-en-Brie",30.8982034160181
"77251","Lieusaint",9.88914021285585
"77252","Limoges-Fourches",12.1552920561838
"77253","Lissy",13.1510531272065
"77254","Liverdy-en-Brie",15.8653951725636
"77255","Livry-sur-Seine",14.7187163178068
"77256","Lizines",34.305690539052
"77257","Lizy-sur-Ourcq",23.754035645397
"77258","Lognes",6.10495076015695
