"ID","NAMES","cadres_AsTheCrowFlies_POT_10000"
"75101","Paris 1er Arrondissement",814934.69262065
"75102","Paris 2e  Arrondissement",804063.29126293
"75103","Paris 3e  Arrondissement",792824.5455715
"75104","Paris 4e  Arrondissement",799522.59677362
"75105","Paris 5e  Arrondissement",803025.07228027
"75106","Paris 6e  Arrondissement",817633.42314009
"75107","Paris 7e  Arrondissement",817733.86688466
"75108","Paris 8e  Arrondissement",802891.48874231
"75109","Paris 9e  Arrondissement",792396.83270222
"75110","Paris 10e  Arrondissement",770461.65316382
"75111","Paris 11e  Arrondissement",762198.82243438
"75112","Paris 12e  Arrondissement",640122.75652893
"75113","Paris 13e  Arrondissement",759398.58805833
"75114","Paris 14e  Arrondissement",783873.76346645
"75115","Paris 15e  Arrondissement",786494.89915126
"75116","Paris 16e  Arrondissement",741837.94516061
"75117","Paris 17e  Arrondissement",763396.1093556
"75118","Paris 18e  Arrondissement",736369.75416711
"75119","Paris 19e  Arrondissement",698942.13983132
"75120","Paris 20e  Arrondissement",706869.89238346
"77001","Acheres-la-Foret",3347.74204042
"77002","Amillis",1719.00790903
"77003","Amponville",1590.09364874
"77004","Andrezel",4358.00443393
"77005","Annet-sur-Marne",31222.59162976
"77006","Arbonne-la-Foret",5681.03282009
"77007","Argentieres",2996.64781732
"77008","Armentieres-en-Brie",4689.15750475
"77009","Arville",580.53284136
"77010","Aubepierre-Ozouer-le-Repos",2451.0499398
"77011","Aufferville",1199.47048384
"77012","Augers-en-Brie",502.97637887
"77013","Aulnoy",3115.70551299
"77014","Avon",9646.89303822
"77015","Baby",247.94753879
"77016","Bagneaux-sur-Loing",2013.38544465
"77018","Bailly-Romainvilliers",19755.97715968
"77019","Balloy",729.45768209
"77020","Bannost-Villegagnon",787.09650498
"77021","Barbey",1256.70343527
"77022","Barbizon",10140.9882314
"77023","Barcy",5821.49071361
"77024","Bassevelle",1053.24163173
"77025","Bazoches-les-Bray",589.9544499
"77026","Beauchery-Saint-Martin",543.20888167
"77027","Beaumont-du-Gatinais",137.21980349
"77028","Beautheil",2403.98181539
"77029","Beauvoir",3001.94217652
"77030","Bellot",838.25699326
"77031","Bernay-Vilbert",2544.24314999
"77032","Beton-Bazoches",725.89537341
"77033","Bezalles",724.70819168
"77034","Blandy",6418.33357304
"77035","Blennes",528.96636901
"77036","Boisdon",723.28371717
"77037","Bois-le-Roi",12913.44481094
"77038","Boissettes",17066.99830291
"77039","Boissise-la-Bertrand",18866.69115998
"77040","Boissise-le-Roi",16568.90392897
"77041","Boissy-aux-Cailles",1652.81315825
"77042","Boissy-le-Chatel",2520.66854555
"77043","Boitron",1311.79979438
"77044","Bombon",2911.31428799
"77045","Bougligny",1522.62259705
"77046","Boulancourt",655.74558296
"77047","Bouleurs",11517.03408959
"77048","Bourron-Marlotte",6120.45013114
"77049","Boutigny",9915.54051777
"77050","Bransles",601.10289679
"77051","Bray-sur-Seine",587.32965942
"77052","Breau",2671.83028537
"77053","Brie-Comte-Robert",34084.98565738
"77054","La Brosse-Montceaux",1343.35640122
"77055","Brou-sur-Chantereine",73276.18828168
"77056","Burcy",867.80198523
"77057","Bussieres",1477.3924
"77058","Bussy-Saint-Georges",39078.35716302
"77059","Bussy-Saint-Martin",58525.83513201
"77060","Buthiers",1000.60802225
"77061","Cannes-Ecluse",1936.28515886
"77062","Carnetin",39147.17236066
"77063","La Celle-sur-Morin",4465.32570471
"77065","Cely",8629.03347157
"77066","Cerneux",444.37042934
"77067","Cesson",21687.26056025
"77068","Cessoy-en-Montois",1163.81066486
"77069","Chailly-en-Biere",12539.89045943
"77070","Chailly-en-Brie",2381.83202873
"77071","Chaintreaux",1141.9710057
"77072","Chalautre-la-Grande",449.84264733
"77073","Chalautre-la-Petite",1165.16539472
"77075","Chalifert",24675.44262604
"77076","Chalmaison",1181.86435939
"77077","Chambry",6756.89947154
"77078","Chamigny",1933.08432156
"77079","Champagne-sur-Seine",8005.54456636
"77080","Champcenest",661.55130713
"77081","Champdeuil",9089.69849571
"77082","Champeaux",4602.88413442
"77083","Champs-sur-Marne",135679.03538695
"77084","Changis-sur-Marne",4722.78024237
"77085","Chanteloup-en-Brie",34157.84714358
"77086","La Chapelle-Gauthier",3483.79152852
"77087","La Chapelle-Iger",1806.50838581
"77088","La Chapelle-la-Reine",2550.59955185
"77089","La Chapelle-Rablais",1687.2458909
"77090","La Chapelle-Saint-Sulpice",1244.92209506
"77091","Les Chapelles-Bourbon",7235.99551674
"77093","La Chapelle-Moutils",458.03812512
"77094","Charmentray",15471.29504416
"77095","Charny",13371.60207246
"77096","Chartrettes",12847.15790596
"77097","Chartronges",900.99291012
"77098","Chateaubleau",1072.75132071
"77099","Chateau-Landon",793.80901699
"77100","Le Chatelet-en-Brie",7492.24619054
"77101","Chatenay-sur-Seine",1112.05038413
"77102","Chatenoy",1789.12752799
"77103","Chatillon-la-Borde",5064.76309678
"77104","Chatres",6058.92617652
"77106","Chauffry",2084.92100273
"77107","Chaumes-en-Brie",3578.87107013
"77108","Chelles",119153.06312512
"77109","Chenoise",944.01338758
"77110","Chenou",930.22338542
"77111","Chessy",26928.91656916
"77112","Chevrainvilliers",1797.19880605
"77113","Chevru",1200.11157015
"77114","Chevry-Cossigny",25389.65214264
"77115","Chevry-en-Sereine",840.48118268
"77116","Choisy-en-Brie",1379.45225951
"77117","Citry",1213.31628713
"77118","Claye-Souilly",31783.59833167
"77119","Clos-Fontaine",1454.47819894
"77120","Cocherel",1868.08270234
"77121","Collegien",58313.82474171
"77122","Combs-la-Ville",35951.51118122
"77123","Compans",18659.50799073
"77124","Conches-sur-Gondoire",40538.83512074
"77125","Conde-Sainte-Libiaire",17294.02526757
"77126","Congis-sur-Therouanne",4447.6507734
"77127","Coubert",12355.79825637
"77128","Couilly-Pont-aux-Dames",15111.2807975
"77129","Coulombs-en-Valois",694.54992326
"77130","Coulommes",10109.34643991
"77131","Coulommiers",2883.9605362
"77132","Coupvray",22667.42896719
"77133","Courcelles-en-Bassee",1360.36207364
