"ID","NAMES","artisans_AsTheCrowFlies_POT_7500"
"75101","Paris 1er Arrondissement",81550.17750483
"75102","Paris 2e  Arrondissement",81275.50335583
"75103","Paris 3e  Arrondissement",79877.07560342
"75104","Paris 4e  Arrondissement",79389.25432809
"75105","Paris 5e  Arrondissement",77788.38565545
"75106","Paris 6e  Arrondissement",79418.23889169
"75107","Paris 7e  Arrondissement",79167.97277842
"75108","Paris 8e  Arrondissement",79729.72194884
"75109","Paris 9e  Arrondissement",80488.46473501
"75110","Paris 10e  Arrondissement",78569.95345378
"75111","Paris 11e  Arrondissement",76266.87936428
"75112","Paris 12e  Arrondissement",60453.59517707
"75113","Paris 13e  Arrondissement",70007.82258352
"75114","Paris 14e  Arrondissement",70744.11913223
"75115","Paris 15e  Arrondissement",70628.57232926
"75116","Paris 16e  Arrondissement",66018.34210044
"75117","Paris 17e  Arrondissement",75959.29112826
"75118","Paris 18e  Arrondissement",75273.56469566
"75119","Paris 19e  Arrondissement",71321.71323554
"75120","Paris 20e  Arrondissement",70728.62996432
"77001","Acheres-la-Foret",541.87933969
"77002","Amillis",474.0320338
"77003","Amponville",364.32788637
"77004","Andrezel",741.20717367
"77005","Annet-sur-Marne",3769.49832204
"77006","Arbonne-la-Foret",831.52412952
"77007","Argentieres",795.87568269
"77008","Armentieres-en-Brie",956.92778939
"77009","Arville",178.55617983
"77010","Aubepierre-Ozouer-le-Repos",579.79502558
"77011","Aufferville",337.94687363
"77012","Augers-en-Brie",152.81805563
"77013","Aulnoy",888.89945471
"77014","Avon",1448.39971552
"77015","Baby",136.98700178
"77016","Bagneaux-sur-Loing",684.04272361
"77018","Bailly-Romainvilliers",2708.37167203
"77019","Balloy",226.73272216
"77020","Bannost-Villegagnon",227.61349746
"77021","Barbey",396.58580416
"77022","Barbizon",1362.61295559
"77023","Barcy",1187.1128549
"77024","Bassevelle",317.74206987
"77025","Bazoches-les-Bray",217.6625021
"77026","Beauchery-Saint-Martin",159.82078617
"77027","Beaumont-du-Gatinais",82.89670573
"77028","Beautheil",754.15850937
"77029","Beauvoir",773.0835548
"77030","Bellot",378.88141461
"77031","Bernay-Vilbert",652.8685076
"77032","Beton-Bazoches",247.69559165
