"ID","NAMES","population_AsTheCrowFlies_ACC_0.01"
"77137","Courtacon",23596.9895843469
"77138","Courtomer",14840.0881822304
"77139","Courtry",3637.99196567042
"77140","Coutencon",16866.0478945644
"77141","Coutevroult",8676.85540281068
"77142","Crecy-la-Chapelle",10624.185677973
"77143","Cregy-les-Meaux",9561.04251223337
"77144","Crevecoeur-en-Brie",12792.3953828252
"77145","Crisenoy",10146.5950310919
"77146","Croissy-Beaubourg",4317.38268378843
"77147","La Croix-en-Brie",19046.233970043
"77148","Crouy-sur-Ourcq",20699.7834582155
"77149","Cucharmoy",21555.5338081016
"77150","Cuisy",10764.3502446944
"77151","Dagny",19648.3206660762
"77152","Dammarie-les-Lys",6470.19863826208
"77153","Dammartin-en-Goele",10539.179821242
"77154","Dammartin-sur-Tigeaux",11221.1348847211
"77155","Dampmart",6415.47743369644
"77156","Darvault",16798.5800170342
"77157","Dhuisy",20915.7870342239
"77158","Diant",21455.7323247864
"77159","Donnemarie-Dontilly",20392.7292749076
"77161","Dormelles",16495.8471495744
"77162","Doue",16954.7794730687
"77163","Douy-la-Ramee",14269.0147311485
"77164","Echouboulains",14897.6660676185
"77165","Les Ecrennes",13514.5639361607
"77166","Ecuelles",13614.6387657028
"77167","Egligny",21013.0688796427
"77168","Egreville",25234.0707804408
"77169","Emerainville",3403.90704210723
"77170","Episy",13988.0891273582
"77171","Esbly",7584.47528692253
"77172","Esmans",18088.1492062323
"77173","Etrepilly",13790.9877335259
"77174","Everly",26216.6395893177
"77175","Evry-Gregy-sur-Yerre",7627.38026473977
"77176","Faremoutiers",14333.0070839803
"77177","Favieres",8135.60431558518
"77178","Fay-les-Nemours",20776.5339850865
"77179","Fericy",11510.9483999954
"77180","Ferolles-Attilly",6148.92700574825
"77181","Ferrieres-en-Brie",5476.87363991691
"77182","La Ferte-Gaucher",23353.8875433524
"77183","La Ferte-sous-Jouarre",16059.2382253064
"77184","Flagy",17557.4267621287
"77185","Fleury-en-Biere",11139.5579310938
"77186","Fontainebleau",11563.2303360754
"77187","Fontaine-Fourches",33183.1778993344
"77188","Fontaine-le-Port",10381.9379930344
"77190","Fontains",17414.1002763599
"77191","Fontenailles",15378.8846350874
"77192","Fontenay-Tresigny",13156.3971026664
"77193","Forfry",13260.8849935857
"77194","Forges",15648.6953484031
"77195","Fouju",10620.1725646208
"77196","Fresnes-sur-Marne",7897.74217174006
"77197","Fretoy",20695.4456060084
"77198","Fromont",21310.0279305311
"77199","Fublaines",9672.29939812507
"77200","Garentreville",21750.0064175184
"77201","Gastins",17946.8764018975
"77202","La Genevraye",14603.3594452945
"77203","Germigny-l'Eveque",11278.085693505
"77204","Germigny-sous-Coulombs",22363.3080674766
"77205","Gesvres-le-Chapitre",12237.3554657706
"77206","Giremoutiers",13014.3346168508
"77207","Gironville",26898.6002413239
"77208","Gouaix",27389.8895956972
"77209","Gouvernes",4746.27000585231
"77210","La Grande-Paroisse",14517.8625872062
"77211","Grandpuits-Bailly-Carrois",17072.867180476
"77212","Gravon",22233.3143051872
"77214","Gressy",6678.54110783784
"77215","Gretz-Armainvilliers",7953.91658887718
"77216","Grez-sur-Loing",15601.6883063687
"77217","Grisy-Suisnes",8288.91689967337
"77218","Grisy-sur-Seine",29021.9429134844
"77219","Guerard",12089.0602497496
"77220","Guercheville",20223.4466262121
"77221","Guermantes",5113.14499502471
"77222","Guignes",12161.8918879108
"77223","Gurcy-le-Chatel",19194.7177228928
"77224","Hautefeuille",13774.2425972173
"77225","La Haute-Maison",11647.7404990175
"77226","Hericy",11422.9245136206
"77227","Herme",29263.0918660457
"77228","Hondevilliers",23795.3407903582
"77229","La Houssaye-en-Brie",11748.908879993
"77230","Ichy",23800.7829570288
"77231","Isles-les-Meldeuses",13306.3625700671
"77232","Isles-les-Villenoy",7756.41386631865
"77233","Iverny",10026.5667918523
"77234","Jablines",7333.82841721467
"77235","Jaignes",15045.6441226051
"77236","Jaulnes",27834.7455367101
"77237","Jossigny",6643.22108956588
"77238","Jouarre",14744.2208404494
"77239","Jouy-le-Chatel",19736.5854424904
"77240","Jouy-sur-Morin",22011.3260817325
"77241","Juilly",9913.89655121143
"77242","Jutigny",24134.6467783806
"77243","Lagny-sur-Marne",5235.94698460929
"77244","Larchant",18126.1675632577
"77245","Laval-en-Brie",16230.5254507178
"77246","Lechelle",29540.5766028941
