"ID","NAMES","employe_AsTheCrowFlies_POT_2500"
"75101","Paris 1er Arrondissement",47277.98885277
"75102","Paris 2e  Arrondissement",57517.66069037
"75103","Paris 3e  Arrondissement",64586.46748339
"75104","Paris 4e  Arrondissement",56487.02123834
"75105","Paris 5e  Arrondissement",52969.79144444
"75106","Paris 6e  Arrondissement",46909.52595795
"75107","Paris 7e  Arrondissement",39934.9149396
"75108","Paris 8e  Arrondissement",42904.42508746
"75109","Paris 9e  Arrondissement",62619.33304578
"75110","Paris 10e  Arrondissement",78814.44406432
"75111","Paris 11e  Arrondissement",69972.55343411
"75112","Paris 12e  Arrondissement",37763.62424654
"75113","Paris 13e  Arrondissement",50614.13991922
"75114","Paris 14e  Arrondissement",55362.62361608
"75115","Paris 15e  Arrondissement",46738.52341265
"75116","Paris 16e  Arrondissement",29299.08200682
"75117","Paris 17e  Arrondissement",52722.20063818
"75118","Paris 18e  Arrondissement",67421.70208083
"75119","Paris 19e  Arrondissement",76918.58931751
"75120","Paris 20e  Arrondissement",71029.97080265
"77001","Acheres-la-Foret",257.35008196
"77002","Amillis",166.64608528
"77003","Amponville",97.14855249
"77004","Andrezel",620.3696802
"77005","Annet-sur-Marne",1100.83633881
"77006","Arbonne-la-Foret",165.47619961
"77007","Argentieres",463.45295848
"77008","Armentieres-en-Brie",440.6058953
"77009","Arville",41.03733069
"77010","Aubepierre-Ozouer-le-Repos",359.83937414
"77011","Aufferville",89.53754404
"77012","Augers-en-Brie",37.3211611
"77013","Aulnoy",274.06129014
"77014","Avon",2385.0887957
"77015","Baby",57.67071149
"77016","Bagneaux-sur-Loing",470.31870989
"77018","Bailly-Romainvilliers",3208.90299328
"77019","Balloy",79.243357
"77020","Bannost-Villegagnon",111.11743712
"77021","Barbey",211.73711312
"77022","Barbizon",267.21710862
"77023","Barcy",280.47718633
"77024","Bassevelle",90.94784701
"77025","Bazoches-les-Bray",188.01238886
"77026","Beauchery-Saint-Martin",70.34845614
"77027","Beaumont-du-Gatinais",166.0520689
"77028","Beautheil",217.48899893
"77029","Beauvoir",586.35297364
"77030","Bellot",146.0218654
"77031","Bernay-Vilbert",316.15517894
"77032","Beton-Bazoches",132.64982813
"77033","Bezalles",78.03444614
"77034","Blandy",118.26301853
"77035","Blennes",74.02882703
"77036","Boisdon",109.88593834
"77037","Bois-le-Roi",621.50217632
"77038","Boissettes",5849.37433495
"77039","Boissise-la-Bertrand",2058.36378601
"77040","Boissise-le-Roi",907.11198138
"77041","Boissy-aux-Cailles",58.35089424
"77042","Boissy-le-Chatel",837.56344975
"77043","Boitron",201.64500723
"77044","Bombon",331.44993787
"77045","Bougligny",145.06351114
"77046","Boulancourt",87.2073026
"77047","Bouleurs",701.03885306
