"ID","NAMES","employe_AsTheCrowFlies_ACC_0.005"
"75101","Paris 1er Arrondissement",352.258602784784
"75102","Paris 2e  Arrondissement",268.732652136363
"75103","Paris 3e  Arrondissement",194.998550572465
"75104","Paris 4e  Arrondissement",255.298415680791
"75105","Paris 5e  Arrondissement",182.101088597994
"75106","Paris 6e  Arrondissement",274.459550426888
"75107","Paris 7e  Arrondissement",242.113317048523
"75108","Paris 8e  Arrondissement",282.359587900344
"75109","Paris 9e  Arrondissement",106.929529168365
"75110","Paris 10e  Arrondissement",0
"75111","Paris 11e  Arrondissement",0
"75112","Paris 12e  Arrondissement",0
"75113","Paris 13e  Arrondissement",0
"75114","Paris 14e  Arrondissement",0
"75115","Paris 15e  Arrondissement",0
"75116","Paris 16e  Arrondissement",0
"75117","Paris 17e  Arrondissement",0
"75118","Paris 18e  Arrondissement",0
"75119","Paris 19e  Arrondissement",0
"75120","Paris 20e  Arrondissement",0
"77001","Acheres-la-Foret",12390.138172131
"77002","Amillis",12931.7914228475
"77003","Amponville",15100.1057317268
"77004","Andrezel",9371.85374091869
"77005","Annet-sur-Marne",5089.30157636997
"77006","Arbonne-la-Foret",10337.1132135587
"77007","Argentieres",10633.8518865204
"77008","Armentieres-en-Brie",7795.04377873395
"77009","Arville",19539.3870003807
"77010","Aubepierre-Ozouer-le-Repos",11388.1126171697
"77011","Aufferville",16774.9629232073
"77012","Augers-en-Brie",18677.0626389481
"77013","Aulnoy",9747.96848594497
"77014","Avon",7708.56874424421
"77015","Baby",23198.6471744331
"77016","Bagneaux-sur-Loing",13506.5318709445
"77018","Bailly-Romainvilliers",5002.47016402934
"77019","Balloy",15929.432394789
"77020","Bannost-Villegagnon",14959.2349899684
"77021","Barbey",13823.1558564446
"77022","Barbizon",8038.14245321689
"77023","Barcy",6750.66733675265
"77024","Bassevelle",15413.4194801141
"77025","Bazoches-les-Bray",17098.6715021904
"77026","Beauchery-Saint-Martin",21832.4324609195
"77027","Beaumont-du-Gatinais",23648.3822461452
"77028","Beautheil",11603.6150331073
"77029","Beauvoir",10566.0475993597
"77030","Bellot",16546.5416126507
"77031","Bernay-Vilbert",11587.8343665784
"77032","Beton-Bazoches",15470.7052729309
"77033","Bezalles",15717.443595481
"77034","Blandy",8550.26634999811
"77035","Blennes",17792.018522759
"77036","Boisdon",15428.4130364546
"77037","Bois-le-Roi",6420.41973649767
"77038","Boissettes",3137.49709820571
"77039","Boissise-la-Bertrand",3768.00928461732
"77040","Boissise-le-Roi",5147.81149482757
"77041","Boissy-aux-Cailles",15141.1881282792
"77042","Boissy-le-Chatel",10463.3134089229
"77043","Boitron",13956.347749338
"77044","Bombon",10684.9598115229
"77045","Bougligny",15648.8665982873
"77046","Boulancourt",17989.4339362432
"77047","Bouleurs",6350.58304017166
"77048","Bourron-Marlotte",9521.64847769815
"77049","Boutigny",5393.49888090304
"77050","Bransles",19434.3175348444
"77051","Bray-sur-Seine",18162.2262974458
"77052","Breau",10940.7440377584
"77053","Brie-Comte-Robert",4899.85495621672
"77054","La Brosse-Montceaux",13800.649591049
"77055","Brou-sur-Chantereine",2931.04347841096
"77056","Burcy",17519.9936013853
"77057","Bussieres",13623.1552972958
"77058","Bussy-Saint-Georges",3447.46539842808
"77059","Bussy-Saint-Martin",2914.72159487774
"77060","Buthiers",16826.228064259
"77061","Cannes-Ecluse",11911.2776463422
"77062","Carnetin",4083.10847522588
"77063","La Celle-sur-Morin",9783.71860440838
"77065","Cely",8481.46613531275
"77066","Cerneux",18322.4275393377
"77067","Cesson",3446.30603739103
"77068","Cessoy-en-Montois",14017.1859307628
"77069","Chailly-en-Biere",6637.51027822816
"77070","Chailly-en-Brie",11068.1855923976
"77071","Chaintreaux",15966.9504322904
"77072","Chalautre-la-Grande",23655.2720009031
"77073","Chalautre-la-Petite",18137.8498152364
"77075","Chalifert",4440.00894460241
"77076","Chalmaison",16415.2520817536
"77077","Chambry",5222.74687670233
"77078","Chamigny",11859.3819426816
"77079","Champagne-sur-Seine",7799.35652715172
"77080","Champcenest",16427.4700523823
"77081","Champdeuil",7747.79444769978
"77082","Champeaux",9292.19646879399
"77083","Champs-sur-Marne",1132.57941425131
"77084","Changis-sur-Marne",7900.36452436825
"77085","Chanteloup-en-Brie",3303.07262947671
"77086","La Chapelle-Gauthier",10542.9034510295
"77087","La Chapelle-Iger",12920.6868516092
"77088","La Chapelle-la-Reine",13164.2767504993
"77089","La Chapelle-Rablais",12090.6888957038
"77090","La Chapelle-Saint-Sulpice",14651.702516211
"77091","Les Chapelles-Bourbon",8640.23435663878
"77093","La Chapelle-Moutils",19572.8366559774
"77094","Charmentray",6340.34281902028
"77095","Charny",6978.7588912236
