"ID","NAMES","intermediaires_AsTheCrowFlies_POT_2500"
"75101","Paris 1er Arrondissement",58280.88988767
"75102","Paris 2e  Arrondissement",69519.42263247
"75103","Paris 3e  Arrondissement",78535.98266041
"75104","Paris 4e  Arrondissement",69984.25929107
"75105","Paris 5e  Arrondissement",63209.88804733
"75106","Paris 6e  Arrondissement",57191.61497357
"75107","Paris 7e  Arrondissement",48346.55891558
"75108","Paris 8e  Arrondissement",49556.47030989
"75109","Paris 9e  Arrondissement",71742.6058496
"75110","Paris 10e  Arrondissement",88959.29387993
"75111","Paris 11e  Arrondissement",81501.93577997
"75112","Paris 12e  Arrondissement",45268.97222095
"75113","Paris 13e  Arrondissement",53194.35196134
"75114","Paris 14e  Arrondissement",62382.08087972
"75115","Paris 15e  Arrondissement",56332.47244871
"75116","Paris 16e  Arrondissement",33110.46420531
"75117","Paris 17e  Arrondissement",57292.45367583
"75118","Paris 18e  Arrondissement",69069.42559145
"75119","Paris 19e  Arrondissement",74611.29294655
"75120","Paris 20e  Arrondissement",76885.94617587
"77001","Acheres-la-Foret",241.05598059
"77002","Amillis",122.11805939
"77003","Amponville",77.83955231
"77004","Andrezel",449.59512132
"77005","Annet-sur-Marne",1320.58045442
"77006","Arbonne-la-Foret",168.79228471
"77007","Argentieres",482.68893738
"77008","Armentieres-en-Brie",401.46732654
"77009","Arville",35.2158094
"77010","Aubepierre-Ozouer-le-Repos",334.50418403
"77011","Aufferville",112.12154972
"77012","Augers-en-Brie",51.10610059
"77013","Aulnoy",219.28616476
"77014","Avon",2284.64240169
"77015","Baby",56.44680494
"77016","Bagneaux-sur-Loing",199.67310019
"77018","Bailly-Romainvilliers",2728.67584417
"77019","Balloy",79.52580586
"77020","Bannost-Villegagnon",132.91231462
"77021","Barbey",194.1854258
"77022","Barbizon",364.61618464
"77023","Barcy",290.99043655
"77024","Bassevelle",64.11801341
"77025","Bazoches-les-Bray",140.07125885
"77026","Beauchery-Saint-Martin",56.88601465
"77027","Beaumont-du-Gatinais",88.54725304
"77028","Beautheil",181.01719759
"77029","Beauvoir",495.93568481
"77030","Bellot",132.32167632
"77031","Bernay-Vilbert",303.56624797
"77032","Beton-Bazoches",76.03592513
"77033","Bezalles",42.26363895
"77034","Blandy",182.84989159
"77035","Blennes",108.6605239
"77036","Boisdon",89.47362857
"77037","Bois-le-Roi",1154.30090631
"77038","Boissettes",4265.01235056
"77039","Boissise-la-Bertrand",1798.79502758
"77040","Boissise-le-Roi",1076.11644003
"77041","Boissy-aux-Cailles",56.22538476
"77042","Boissy-le-Chatel",713.70305414
"77043","Boitron",160.32773669
"77044","Bombon",332.54940509
"77045","Bougligny",119.37753375
"77046","Boulancourt",98.45172858
"77047","Bouleurs",720.78234865
"77048","Bourron-Marlotte",382.07847894
"77049","Boutigny",646.97777633
"77050","Bransles",30.30196077
"77051","Bray-sur-Seine",289.43202168
"77052","Breau",307.352711
"77053","Brie-Comte-Robert",2683.72617731
"77054","La Brosse-Montceaux",185.04736503
"77055","Brou-sur-Chantereine",4092.79725265
"77056","Burcy",49.61511407
"77057","Bussieres",157.17362847
"77058","Bussy-Saint-Georges",5171.94830526
"77059","Bussy-Saint-Martin",5065.59352237
"77060","Buthiers",121.36639167
"77061","Cannes-Ecluse",633.09317129
"77062","Carnetin",2367.70266549
"77063","La Celle-sur-Morin",608.86969984
"77065","Cely",391.80209545
"77066","Cerneux",54.43552228
"77067","Cesson",3769.61531018
"77068","Cessoy-en-Montois",167.80832887
"77069","Chailly-en-Biere",398.47296603
"77070","Chailly-en-Brie",424.22518395
"77071","Chaintreaux",170.55374287
"77072","Chalautre-la-Grande",59.55741285
"77073","Chalautre-la-Petite",198.11697029
"77075","Chalifert",2035.94793889
"77076","Chalmaison",224.49356643
"77077","Chambry",709.36045576
"77078","Chamigny",398.44689806
"77079","Champagne-sur-Seine",1659.71295508
"77080","Champcenest",18.7254425
"77081","Champdeuil",326.64774281
"77082","Champeaux",156.92629401
"77083","Champs-sur-Marne",11530.96606863
"77084","Changis-sur-Marne",387.39380591
"77085","Chanteloup-en-Brie",4913.52164956
"77086","La Chapelle-Gauthier",298.81149362
"77087","La Chapelle-Iger",118.82857818
"77088","La Chapelle-la-Reine",338.81992642
"77089","La Chapelle-Rablais",173.35607756
"77090","La Chapelle-Saint-Sulpice",132.07352605
"77091","Les Chapelles-Bourbon",257.32050701
"77093","La Chapelle-Moutils",98.20688928
"77094","Charmentray",438.48762857
"77095","Charny",399.34063661
"77096","Chartrettes",1371.67513872
"77097","Chartronges",51.32513633
"77098","Chateaubleau",95.33650968
"77099","Chateau-Landon",281.36354173
"77100","Le Chatelet-en-Brie",814.45403779
"77101","Chatenay-sur-Seine",159.7925005
"77102","Chatenoy",108.45064025
"77103","Chatillon-la-Borde",174.01588079
"77104","Chatres",303.88749129
"77106","Chauffry",346.5929353
"77107","Chaumes-en-Brie",659.88200659
"77108","Chelles",10461.14102272
"77109","Chenoise",115.34226949
"77110","Chenou",45.48471033
"77111","Chessy",3457.53357513
"77112","Chevrainvilliers",67.35323864
"77113","Chevru",119.67535567
"77114","Chevry-Cossigny",731.59512727
"77115","Chevry-en-Sereine",88.38052961
"77116","Choisy-en-Brie",175.16858169
"77117","Citry",201.69835089
"77118","Claye-Souilly",2336.0226225
"77119","Clos-Fontaine",115.17715547
"77120","Cocherel",171.96023984
"77121","Collegien",3155.87515294
"77122","Combs-la-Ville",4124.72823649
"77123","Compans",670.91906921
"77124","Conches-sur-Gondoire",5899.63909226
"77125","Conde-Sainte-Libiaire",2385.43735409
"77126","Congis-sur-Therouanne",443.92589017
"77127","Coubert",678.77139164
"77128","Couilly-Pont-aux-Dames",1661.98830281
"77129","Coulombs-en-Valois",109.8684668
"77130","Coulommes",443.43123888
"77131","Coulommiers",1805.46030467
"77132","Coupvray",2901.85737886
"77133","Courcelles-en-Bassee",157.35394671
"77134","Courchamp",45.18135384
"77135","Courpalay",206.98007408
"77136","Courquetaine",444.66705687
"77137","Courtacon",48.54812546
"77138","Courtomer",225.22638455
"77139","Courtry",5114.11557442
"77140","Coutencon",79.26655062
"77141","Coutevroult",1810.44365236
"77142","Crecy-la-Chapelle",763.75964872
"77143","Cregy-les-Meaux",2815.24585867
"77144","Crevecoeur-en-Brie",210.15636363
"77145","Crisenoy",238.80501481
"77146","Croissy-Beaubourg",3380.49494354
"77147","La Croix-en-Brie",89.23255035
"77148","Crouy-sur-Ourcq",264.7465924
"77149","Cucharmoy",69.68609908
"77150","Cuisy",403.83787685
"77151","Dagny",83.48358195
"77152","Dammarie-les-Lys",3841.20691257
"77153","Dammartin-en-Goele",2347.94817077
"77154","Dammartin-sur-Tigeaux",342.38228419
"77155","Dampmart",2657.06105753
"77156","Darvault",901.05859251
"77157","Dhuisy",61.97598464
"77158","Diant",128.92797277
"77159","Donnemarie-Dontilly",305.16935304
"77161","Dormelles",214.22026111
"77162","Doue",199.36575999
"77163","Douy-la-Ramee",110.52972813
"77164","Echouboulains",130.26931068
"77165","Les Ecrennes",153.31745603
"77166","Ecuelles",1082.25741377
"77167","Egligny",83.32314497
"77168","Egreville",201.47530552
"77169","Emerainville",6430.77636763
"77170","Episy",258.46602784
"77171","Esbly",2378.24561561
"77172","Esmans",297.96521526
"77173","Etrepilly",195.93376743
