"ID","NAMES","intermediaires_AsTheCowRolls_POT_0"
"75101","Paris 1er Arrondissement",2134
"75102","Paris 2e  Arrondissement",3052
"75103","Paris 3e  Arrondissement",5003
"75104","Paris 4e  Arrondissement",3578
"75105","Paris 5e  Arrondissement",6857
"75106","Paris 6e  Arrondissement",4065
"75107","Paris 7e  Arrondissement",5230
"75108","Paris 8e  Arrondissement",3811
"75109","Paris 9e  Arrondissement",7752
"75110","Paris 10e  Arrondissement",13075
"75111","Paris 11e  Arrondissement",23681
"75112","Paris 12e  Arrondissement",20388
"75113","Paris 13e  Arrondissement",23741
"75114","Paris 14e  Arrondissement",17247
"75115","Paris 15e  Arrondissement",29743
"75116","Paris 16e  Arrondissement",15406
"75117","Paris 17e  Arrondissement",20446
"75118","Paris 18e  Arrondissement",27914
"75119","Paris 19e  Arrondissement",24726
"75120","Paris 20e  Arrondissement",28087
"77001","Acheres-la-Foret",135
"77002","Amillis",108
"77003","Amponville",52
"77004","Andrezel",28
"77005","Annet-sur-Marne",564
"77006","Arbonne-la-Foret",128
"77007","Argentieres",83
"77008","Armentieres-en-Brie",166
"77009","Arville",16
"77010","Aubepierre-Ozouer-le-Repos",130
"77011","Aufferville",91
"77012","Augers-en-Brie",44
"77013","Aulnoy",44
"77014","Avon",1917
"77015","Baby",12
"77016","Bagneaux-sur-Loing",88
"77018","Bailly-Romainvilliers",1180
"77019","Balloy",37
"77020","Bannost-Villegagnon",123
"77021","Barbey",25
"77022","Barbizon",161
"77023","Barcy",51
"77024","Bassevelle",37
"77025","Bazoches-les-Bray",85
"77026","Beauchery-Saint-Martin",52
"77027","Beaumont-du-Gatinais",88
"77028","Beautheil",94
"77029","Beauvoir",29
"77030","Bellot",110
"77031","Bernay-Vilbert",113
"77032","Beton-Bazoches",59
"77033","Bezalles",26
"77034","Blandy",137
"77035","Blennes",103
"77036","Boisdon",0
"77037","Bois-le-Roi",829
"77038","Boissettes",60
"77039","Boissise-la-Bertrand",152
"77040","Boissise-le-Roi",481
"77041","Boissy-aux-Cailles",44
"77042","Boissy-le-Chatel",453
"77043","Boitron",44
"77044","Bombon",144
"77045","Bougligny",83
"77046","Boulancourt",63
"77047","Bouleurs",202
"77048","Bourron-Marlotte",305
"77049","Boutigny",116
"77050","Bransles",29
"77051","Bray-sur-Seine",180
"77052","Breau",50
"77053","Brie-Comte-Robert",2452
"77054","La Brosse-Montceaux",128
"77055","Brou-sur-Chantereine",635
"77056","Burcy",19
"77057","Bussieres",48
"77058","Bussy-Saint-Georges",4292
"77059","Bussy-Saint-Martin",164
"77060","Buthiers",92
"77061","Cannes-Ecluse",392
"77062","Carnetin",59
"77063","La Celle-sur-Morin",252
"77065","Cely",145
"77066","Cerneux",44
"77067","Cesson",1642
"77068","Cessoy-en-Montois",20
"77069","Chailly-en-Biere",297
"77070","Chailly-en-Brie",211
"77071","Chaintreaux",155
"77072","Chalautre-la-Grande",59
"77073","Chalautre-la-Petite",82
"77075","Chalifert",216
"77076","Chalmaison",69
"77077","Chambry",132
"77078","Chamigny",189
"77079","Champagne-sur-Seine",742
"77080","Champcenest",0
"77081","Champdeuil",123
"77082","Champeaux",97
"77083","Champs-sur-Marne",3627
"77084","Changis-sur-Marne",161
"77085","Chanteloup-en-Brie",437
"77086","La Chapelle-Gauthier",266
"77087","La Chapelle-Iger",28
"77088","La Chapelle-la-Reine",304
"77089","La Chapelle-Rablais",156
"77090","La Chapelle-Saint-Sulpice",27
"77091","Les Chapelles-Bourbon",74
"77093","La Chapelle-Moutils",68
"77094","Charmentray",32
"77095","Charny",259
"77096","Chartrettes",419
"77097","Chartronges",27
"77098","Chateaubleau",36
"77099","Chateau-Landon",280
"77100","Le Chatelet-en-Brie",776
"77101","Chatenay-sur-Seine",136
"77102","Chatenoy",26
"77103","Chatillon-la-Borde",20
"77104","Chatres",133
"77106","Chauffry",140
"77107","Chaumes-en-Brie",462
"77108","Chelles",7550
"77109","Chenoise",111
"77110","Chenou",17
"77111","Chessy",715
"77112","Chevrainvilliers",32
"77113","Chevru",88
"77114","Chevry-Cossigny",607
"77115","Chevry-en-Sereine",68
"77116","Choisy-en-Brie",158
"77117","Citry",72
"77118","Claye-Souilly",1970
"77119","Clos-Fontaine",37
"77120","Cocherel",84
"77121","Collegien",584
"77122","Combs-la-Ville",3431
"77123","Compans",104
"77124","Conches-sur-Gondoire",251
"77125","Conde-Sainte-Libiaire",223
"77126","Congis-sur-Therouanne",316
"77127","Coubert",322
"77128","Couilly-Pont-aux-Dames",254
"77129","Coulombs-en-Valois",64
"77130","Coulommes",65
"77131","Coulommiers",1603
"77132","Coupvray",454
"77133","Courcelles-en-Bassee",47
"77134","Courchamp",12
"77135","Courpalay",151
"77136","Courquetaine",32
"77137","Courtacon",31
"77138","Courtomer",86
"77139","Courtry",1047
"77140","Coutencon",32
"77141","Coutevroult",176
"77142","Crecy-la-Chapelle",644
"77143","Cregy-les-Meaux",720
"77144","Crevecoeur-en-Brie",32
"77145","Crisenoy",83
"77146","Croissy-Beaubourg",299
"77147","La Croix-en-Brie",76
"77148","Crouy-sur-Ourcq",255
"77149","Cucharmoy",42
"77150","Cuisy",60
"77151","Dagny",32
"77152","Dammarie-les-Lys",2382
"77153","Dammartin-en-Goele",1484
"77154","Dammartin-sur-Tigeaux",148
"77155","Dampmart",428
