"ID","NAMES","population_AsTheCowRolls_POT_10"
"77141","Coutevroult",87973.13412201
"77142","Crecy-la-Chapelle",43038.40810508
"77143","Cregy-les-Meaux",89313.34210988
"77144","Crevecoeur-en-Brie",15134.24938615
"77145","Crisenoy",50684.08909053
"77146","Croissy-Beaubourg",362952.4029212
"77147","La Croix-en-Brie",8372.17593487
"77148","Crouy-sur-Ourcq",4320.50331597
"77149","Cucharmoy",8667.3608837
"77150","Cuisy",24681.28819286
"77151","Dagny",9184.47975702
"77152","Dammarie-les-Lys",122150.78139284
"77153","Dammartin-en-Goele",36269.28994599
"77154","Dammartin-sur-Tigeaux",19803.3059496
"77155","Dampmart",119806.48564876
"77156","Darvault",31144.90368112
"77157","Dhuisy",8014.24892399
"77158","Diant",6829.02714061
"77159","Donnemarie-Dontilly",9286.26252002
"77161","Dormelles",11864.96112614
"77162","Doue",12280.70880273
"77163","Douy-la-Ramee",9351.4866493
"77164","Echouboulains",7109.97056254
"77165","Les Ecrennes",14237.14278151
"77166","Ecuelles",40025.50442541
"77167","Egligny",6485.02755868
"77168","Egreville",10104.06733283
"77169","Emerainville",399066.23682343
"77170","Episy",40233.09246308
"77171","Esbly",100878.33411868
"77172","Esmans",28315.5350909
"77173","Etrepilly",35859.34411815
"77174","Everly",11259.82597594
"77175","Evry-Gregy-sur-Yerre",86089.03471041
"77176","Faremoutiers",32657.29315625
"77177","Favieres",44206.7387481
"77178","Fay-les-Nemours",22454.77229391
"77179","Fericy",25554.58283893
"77180","Ferolles-Attilly",137733.57391949
"77181","Ferrieres-en-Brie",282751.7912637
"77182","La Ferte-Gaucher",13234.25860957
"77183","La Ferte-sous-Jouarre",25063.92967791
"77184","Flagy",10426.40514674
"77185","Fleury-en-Biere",34675.8768412
"77186","Fontainebleau",64931.07323266
"77187","Fontaine-Fourches",3776.8730626
"77188","Fontaine-le-Port",37162.0383649
"77190","Fontains",10542.71305727
"77191","Fontenailles",18234.84701597
