"ID","NAMES","total_AsTheCrowFlies_POT_2500"
"75101","Paris 1er Arrondissement",263112.13375233
"75102","Paris 2e  Arrondissement",304370.76504962
"75103","Paris 3e  Arrondissement",329476.71794094
"75104","Paris 4e  Arrondissement",295821.304587
"75105","Paris 5e  Arrondissement",269864.56491573
"75106","Paris 6e  Arrondissement",255315.70367518
"75107","Paris 7e  Arrondissement",223846.01589363
"75108","Paris 8e  Arrondissement",229592.14725789
"75109","Paris 9e  Arrondissement",315055.50043837
"75110","Paris 10e  Arrondissement",368464.20691259
"75111","Paris 11e  Arrondissement",327378.38022332
"75112","Paris 12e  Arrondissement",174684.46849131
"75113","Paris 13e  Arrondissement",217904.72776601
"75114","Paris 14e  Arrondissement",260410.10658517
"75115","Paris 15e  Arrondissement",243184.13682454
"75116","Paris 16e  Arrondissement",155022.13330353
"75117","Paris 17e  Arrondissement",251531.50676883
"75118","Paris 18e  Arrondissement",291816.98020178
"75119","Paris 19e  Arrondissement",300992.31367496
"75120","Paris 20e  Arrondissement",300315.90444274
"77001","Acheres-la-Foret",971.69047673
"77002","Amillis",438.86735959
"77003","Amponville",332.2996975
"77004","Andrezel",1739.586299
"77005","Annet-sur-Marne",4237.63257138
"77006","Arbonne-la-Foret",573.62643964
"77007","Argentieres",1691.37936371
"77008","Armentieres-en-Brie",1369.63888752
"77009","Arville",143.6262804
"77010","Aubepierre-Ozouer-le-Repos",1224.61504405
"77011","Aufferville",372.73028156
"77012","Augers-en-Brie",204.70194383
"77013","Aulnoy",858.91684693
"77014","Avon",7962.82480078
"77015","Baby",193.37371517
"77016","Bagneaux-sur-Loing",1313.43610424
"77018","Bailly-Romainvilliers",9365.02697721
"77019","Balloy",319.76990044
"77020","Bannost-Villegagnon",439.39242183
"77021","Barbey",653.2166466
"77022","Barbizon",1277.00405055
"77023","Barcy",951.82938909
"77024","Bassevelle",314.40794847
"77025","Bazoches-les-Bray",612.79179762
"77026","Beauchery-Saint-Martin",213.27145185
"77027","Beaumont-du-Gatinais",472.30942919
"77028","Beautheil",690.27438943
"77029","Beauvoir",1836.03258551
"77030","Bellot",519.54779245
"77031","Bernay-Vilbert",1124.95253623
"77032","Beton-Bazoches",455.85924301
"77033","Bezalles",243.74021835
"77034","Blandy",542.44079641
"77035","Blennes",317.24498926
"77036","Boisdon",382.77513745
"77037","Bois-le-Roi",3621.93514079
"77038","Boissettes",17269.80210475
"77039","Boissise-la-Bertrand",6569.24190726
"77040","Boissise-le-Roi",3551.4959556
"77041","Boissy-aux-Cailles",222.28252915
"77042","Boissy-le-Chatel",2567.64557035
"77043","Boitron",655.29962622
"77044","Bombon",1084.17968112
"77045","Bougligny",543.11277984
"77046","Boulancourt",357.59232908
"77047","Bouleurs",2486.79333082
"77048","Bourron-Marlotte",1417.78839398
"77049","Boutigny",2202.95737847
"77050","Bransles",230.22044246
"77051","Bray-sur-Seine",1371.92001503
"77052","Breau",936.26345321
"77053","Brie-Comte-Robert",8997.22048036
"77054","La Brosse-Montceaux",550.85330997
"77055","Brou-sur-Chantereine",13790.85818763
"77056","Burcy",183.23797451
"77057","Bussieres",674.84720687
"77058","Bussy-Saint-Georges",16811.7906316
"77059","Bussy-Saint-Martin",17072.25152894
"77060","Buthiers",505.88126997
"77061","Cannes-Ecluse",2313.9718344
"77062","Carnetin",8154.30017255
"77063","La Celle-sur-Morin",1857.51680511
"77065","Cely",1414.8401842
"77066","Cerneux",170.57979232
"77067","Cesson",11447.59654604
"77068","Cessoy-en-Montois",644.16057395
"77069","Chailly-en-Biere",1391.54766513
"77070","Chailly-en-Brie",1539.73830041
"77071","Chaintreaux",530.8694099
"77072","Chalautre-la-Grande",318.49058563
"77073","Chalautre-la-Petite",747.64390247
"77075","Chalifert",6652.13218522
"77076","Chalmaison",957.88570767
"77077","Chambry",2444.85710672
"77078","Chamigny",1484.27389548
"77079","Champagne-sur-Seine",6139.05452224
"77080","Champcenest",161.38542137
"77081","Champdeuil",1063.54678785
"77082","Champeaux",564.91193169
"77083","Champs-sur-Marne",41296.06717391
"77084","Changis-sur-Marne",1297.82253101
"77085","Chanteloup-en-Brie",16155.5411993
"77086","La Chapelle-Gauthier",925.79931934
"77087","La Chapelle-Iger",458.15765536
"77088","La Chapelle-la-Reine",1430.64111044
"77089","La Chapelle-Rablais",555.47502632
"77090","La Chapelle-Saint-Sulpice",533.17796213
"77091","Les Chapelles-Bourbon",851.02380493
"77093","La Chapelle-Moutils",359.97827889
"77094","Charmentray",1273.65045266
"77095","Charny",1181.25803478
"77096","Chartrettes",4161.26933857
"77097","Chartronges",231.78701388
"77098","Chateaubleau",376.80170504
"77099","Chateau-Landon",1284.14045101
"77100","Le Chatelet-en-Brie",2346.19226754
"77101","Chatenay-sur-Seine",565.57342799
"77102","Chatenoy",363.88524098
"77103","Chatillon-la-Borde",562.43914937
"77104","Chatres",945.62117428
"77106","Chauffry",1319.33771502
"77107","Chaumes-en-Brie",2350.31732932
"77108","Chelles",36631.65883414
"77109","Chenoise",642.92866904
