"ID","NAMES","artisans_AsTheCowRolls_ACC_0.05"
"75101","Paris 1er Arrondissement",3.26545555007897
"75102","Paris 2e  Arrondissement",3.17840157801377
"75103","Paris 3e  Arrondissement",2.72935104558009
"75104","Paris 4e  Arrondissement",3.07454786269394
"75105","Paris 5e  Arrondissement",3.35387315713021
"75106","Paris 6e  Arrondissement",3.43498560911899
"75107","Paris 7e  Arrondissement",3.83044050453134
"75108","Paris 8e  Arrondissement",2.74472665849764
"75109","Paris 9e  Arrondissement",2.39178589647
"75110","Paris 10e  Arrondissement",2.03478631427916
"75111","Paris 11e  Arrondissement",2.73963367289328
"75112","Paris 12e  Arrondissement",4.24194241628276
"75113","Paris 13e  Arrondissement",3.57635400668437
"75114","Paris 14e  Arrondissement",3.74913293679097
"75115","Paris 15e  Arrondissement",4.19049655532098
"75116","Paris 16e  Arrondissement",4.85697527852415
"75117","Paris 17e  Arrondissement",2.4147546311008
"75118","Paris 18e  Arrondissement",2.79345241918528
"75119","Paris 19e  Arrondissement",3.43120675288974
"75120","Paris 20e  Arrondissement",3.19031147586661
"77001","Acheres-la-Foret",27.6133472269994
"77002","Amillis",32.5147624461463
"77003","Amponville",30.4445763679171
"77004","Andrezel",24.689333616098
"77005","Annet-sur-Marne",15.5111707575766
"77006","Arbonne-la-Foret",24.4816704390513
"77007","Argentieres",25.8960345787259
"77008","Armentieres-en-Brie",27.4547863835466
"77009","Arville",39.5032914241314
"77010","Aubepierre-Ozouer-le-Repos",26.9425000220305
"77011","Aufferville",35.6647656761233
"77012","Augers-en-Brie",38.0951963814172
"77013","Aulnoy",30.1955725309549
"77014","Avon",26.9066280432547
"77015","Baby",47.8799538679854
"77016","Bagneaux-sur-Loing",32.4492953243698
"77018","Bailly-Romainvilliers",16.893648141466
"77019","Balloy",40.357066605986
"77020","Bannost-Villegagnon",32.071476055236
"77021","Barbey",36.7461210921495
"77022","Barbizon",22.0599560912788
"77023","Barcy",22.9836568579452
"77024","Bassevelle",34.8797771418392
"77025","Bazoches-les-Bray",41.2879316864981
"77026","Beauchery-Saint-Martin",45.9786785309732
"77027","Beaumont-du-Gatinais",42.6559676514572
"77028","Beautheil",31.6263299993626
"77029","Beauvoir",25.3769001452291
"77030","Bellot",40.4427875948686
"77031","Bernay-Vilbert",26.2083349128838
"77032","Beton-Bazoches",32.9064889221991
"77033","Bezalles",34.8114327791788
"77034","Blandy",24.4870999127246
"77035","Blennes",45.5950630777509
"77036","Boisdon",32.7139330189814
"77037","Bois-le-Roi",24.0606243767228
"77038","Boissettes",21.4874509911148
"77039","Boissise-la-Bertrand",21.3314757462475
"77040","Boissise-le-Roi",20.0413784356323
"77041","Boissy-aux-Cailles",31.3833565636144
"77042","Boissy-le-Chatel",30.912356620276
"77043","Boitron",35.7035229813987
"77044","Bombon",29.042786668486
"77045","Bougligny",36.6950233442373
"77046","Boulancourt",36.1035213056935
"77047","Bouleurs",20.2229354356155
"77048","Bourron-Marlotte",31.9083369964274
"77049","Boutigny",21.331248954991
"77050","Bransles",36.8896429326517
"77051","Bray-sur-Seine",44.2413996604685
"77052","Breau",27.2581458714368
"77053","Brie-Comte-Robert",15.1754256931792
"77054","La Brosse-Montceaux",38.5028381751408
"77055","Brou-sur-Chantereine",11.9582091474072
"77056","Burcy",35.2832679848296
"77057","Bussieres",31.538690398062
"77058","Bussy-Saint-Georges",12.5246583155901
"77059","Bussy-Saint-Martin",12.9329257270526
"77060","Buthiers",32.9356960508988
"77061","Cannes-Ecluse",36.7978164876841
"77062","Carnetin",15.9690412520102
"77063","La Celle-sur-Morin",25.4296201925503
"77065","Cely",20.2428767052805
"77066","Cerneux",37.1049527620166
"77067","Cesson",18.6795424301909
"77068","Cessoy-en-Montois",42.4745448031434
"77069","Chailly-en-Biere",21.0092870106303
"77070","Chailly-en-Brie",29.84704390945
"77071","Chaintreaux",35.7472298375231
"77072","Chalautre-la-Grande",50.8067519665859
"77073","Chalautre-la-Petite",42.7176755910669
"77075","Chalifert",16.4651853528813
"77076","Chalmaison",46.1883576460201
"77077","Chambry",22.0924959510193
"77078","Chamigny",29.768146586264
"77079","Champagne-sur-Seine",30.9801801290953
"77080","Champcenest",37.5317972641762
"77081","Champdeuil",20.8542554829827
"77082","Champeaux",25.4999006937326
"77083","Champs-sur-Marne",10.2146206469322
"77084","Changis-sur-Marne",24.7439372959323
"77085","Chanteloup-en-Brie",15.0633339390277
"77086","La Chapelle-Gauthier",27.1585548443941
"77087","La Chapelle-Iger",28.2830845210547
"77088","La Chapelle-la-Reine",26.3766118573648
"77089","La Chapelle-Rablais",33.6224077668137
"77090","La Chapelle-Saint-Sulpice",39.0906370337339
"77091","Les Chapelles-Bourbon",21.2505809151775
"77093","La Chapelle-Moutils",42.9774955708528
"77094","Charmentray",19.0355988137318
"77095","Charny",19.2988225435304
"77096","Chartrettes",25.2496124006302
"77097","Chartronges",38.0593051761384
"77098","Chateaubleau",36.0740790053114
"77099","Chateau-Landon",38.5210899308811
"77100","Le Chatelet-en-Brie",25.5260274782117
"77101","Chatenay-sur-Seine",40.5444001885613
"77102","Chatenoy",34.5405910255241
"77103","Chatillon-la-Borde",25.6302873482233
"77104","Chatres",20.3804600776766
"77106","Chauffry",34.933636945822
"77107","Chaumes-en-Brie",22.823304118923
"77108","Chelles",10.4242774556159
"77109","Chenoise",34.4816106667946
"77110","Chenou",40.3481314563918
"77111","Chessy",15.8065140607462
"77112","Chevrainvilliers",34.4904377618067
"77113","Chevru",33.5306208273075
"77114","Chevry-Cossigny",16.1436992020481
"77115","Chevry-en-Sereine",41.2492883093997
"77116","Choisy-en-Brie",35.1203269701316
"77117","Citry",34.5171627611005
"77118","Claye-Souilly",13.4842655254793
"77119","Clos-Fontaine",32.227940662856
"77120","Cocherel",29.6923150934844
"77121","Collegien",11.2717043652596
"77122","Combs-la-Ville",15.9012802613962
"77123","Compans",15.4109933194643
"77124","Conches-sur-Gondoire",14.5657803211423
"77125","Conde-Sainte-Libiaire",19.8928662844508
"77126","Congis-sur-Therouanne",28.5917747637602
"77127","Coubert",17.5631536691299
"77128","Couilly-Pont-aux-Dames",16.9009056442697
"77129","Coulombs-en-Valois",33.3998036100082
"77130","Coulommes",20.8711886929919
"77131","Coulommiers",27.2168255251104
"77132","Coupvray",17.2491659989915
"77133","Courcelles-en-Bassee",38.6024677270609
"77134","Courchamp",40.1095088627734
"77135","Courpalay",27.1237477530301
"77136","Courquetaine",21.3489560775232
"77137","Courtacon",34.9708657622632
"77138","Courtomer",27.6623349062823
"77139","Courtry",11.7497179934103
"77140","Coutencon",37.0367278500019
"77141","Coutevroult",18.1998662694425
"77142","Crecy-la-Chapelle",20.4193195890064
"77143","Cregy-les-Meaux",20.5372403769383
"77144","Crevecoeur-en-Brie",22.2124336543491
"77145","Crisenoy",20.989443022175
"77146","Croissy-Beaubourg",11.154484536485
"77147","La Croix-en-Brie",35.3092105231659
"77148","Crouy-sur-Ourcq",35.4740319631038
"77149","Cucharmoy",37.2860139894685
"77150","Cuisy",22.6778562156578
"77151","Dagny",31.3884308986348
"77152","Dammarie-les-Lys",21.007003808513
"77153","Dammartin-en-Goele",18.4858125902445
"77154","Dammartin-sur-Tigeaux",22.1527439671184
"77155","Dampmart",16.0258780899102
"77156","Darvault",29.9332188932955
"77157","Dhuisy",29.4735991151952
"77158","Diant",42.9406187089389
"77159","Donnemarie-Dontilly",40.6122168323703
"77161","Dormelles",38.7293522032128
"77162","Doue",33.1730291907081
"77163","Douy-la-Ramee",28.3445435956531
"77164","Echouboulains",34.6252789069194
"77165","Les Ecrennes",28.7328819758877
"77166","Ecuelles",33.4664923805087
"77167","Egligny",42.5036837815114
"77168","Egreville",35.8098783356478
"77169","Emerainville",10.8820251196653
"77170","Episy",31.2388051131568
"77171","Esbly",18.3703633175087
"77172","Esmans",36.8953805823032
"77173","Etrepilly",26.4511441081972
"77174","Everly",46.5278939723784
"77175","Evry-Gregy-sur-Yerre",16.5188915455622
"77176","Faremoutiers",25.7992849486314
"77177","Favieres",18.2068294363834
"77178","Fay-les-Nemours",34.0329251659697
"77179","Fericy",30.08384388141
"77180","Ferolles-Attilly",14.8752662184596
"77181","Ferrieres-en-Brie",11.8497465326332
"77182","La Ferte-Gaucher",37.8476576578803
"77183","La Ferte-sous-Jouarre",26.7510498642337
"77184","Flagy",39.7554566217257
"77185","Fleury-en-Biere",20.5556507426097
"77186","Fontainebleau",25.7488635585448
"77187","Fontaine-Fourches",48.8296409544054
"77188","Fontaine-le-Port",27.1461948003231
"77190","Fontains",35.1489400203945
"77191","Fontenailles",29.9698565731606
"77192","Fontenay-Tresigny",21.887008592398
"77193","Forfry",26.2571365382943
"77194","Forges",31.7561508107703
"77195","Fouju",23.4843661552835
"77196","Fresnes-sur-Marne",15.9781571716794
"77197","Fretoy",32.7100942871857
"77198","Fromont",32.526793381642
"77199","Fublaines",23.5683400051278
"77200","Garentreville",36.3697709451601
"77201","Gastins",30.9850330013164
"77202","La Genevraye",33.2374616735434
"77203","Germigny-l'Eveque",26.2550761272157
"77204","Germigny-sous-Coulombs",33.2249552251194
"77205","Gesvres-le-Chapitre",25.5665488051991
"77206","Giremoutiers",26.0931776096395
"77207","Gironville",39.9038689495493
"77208","Gouaix",47.1755783611969
"77209","Gouvernes",12.9219032778487
"77210","La Grande-Paroisse",35.4214658442869
