"ID","NAMES","cadres_AsTheCrowFlies_POT_5000"
"75101","Paris 1er Arrondissement",424762.25129148
"75102","Paris 2e  Arrondissement",413533.80159
"75103","Paris 3e  Arrondissement",403547.20496912
"75104","Paris 4e  Arrondissement",407721.72578359
"75105","Paris 5e  Arrondissement",397070.25131245
"75106","Paris 6e  Arrondissement",413341.44184974
"75107","Paris 7e  Arrondissement",411696.71629934
"75108","Paris 8e  Arrondissement",400471.19078171
"75109","Paris 9e  Arrondissement",393331.99646009
"75110","Paris 10e  Arrondissement",371800.58650709
"75111","Paris 11e  Arrondissement",370919.15554638
"75112","Paris 12e  Arrondissement",239158.92586909
"75113","Paris 13e  Arrondissement",326310.64441877
"75114","Paris 14e  Arrondissement",338951.05030638
"75115","Paris 15e  Arrondissement",345249.0570548
"75116","Paris 16e  Arrondissement",304298.73386438
"75117","Paris 17e  Arrondissement",343509.92658119
"75118","Paris 18e  Arrondissement",317552.50299653
"75119","Paris 19e  Arrondissement",289415.36599957
"75120","Paris 20e  Arrondissement",314057.36768415
"77001","Acheres-la-Foret",642.62777491
"77002","Amillis",249.25637114
"77003","Amponville",344.12682324
"77004","Andrezel",739.45174718
"77005","Annet-sur-Marne",4838.8030335
"77006","Arbonne-la-Foret",669.60685245
"77007","Argentieres",907.49218076
"77008","Armentieres-en-Brie",889.97278992
"77009","Arville",69.98274053
"77010","Aubepierre-Ozouer-le-Repos",589.50364666
"77011","Aufferville",158.73793422
"77012","Augers-en-Brie",82.90161894
"77013","Aulnoy",916.13633117
"77014","Avon",4476.95815142
"77015","Baby",54.96227949
"77016","Bagneaux-sur-Loing",787.81768035
"77018","Bailly-Romainvilliers",5759.06981752
"77019","Balloy",133.28461461
"77020","Bannost-Villegagnon",181.2449134
"77021","Barbey",302.53991783
"77022","Barbizon",1128.6819999
"77023","Barcy",1219.30056641
"77024","Bassevelle",220.94399005
"77025","Bazoches-les-Bray",147.13293802
"77026","Beauchery-Saint-Martin",92.99649531
"77027","Beaumont-du-Gatinais",42.4086686
"77028","Beautheil",615.10432874
"77029","Beauvoir",881.47861715
"77030","Bellot",241.10175421
"77031","Bernay-Vilbert",716.45938623
"77032","Beton-Bazoches",135.37750749
"77033","Bezalles",118.93236695
"77034","Blandy",635.35152012
"77035","Blennes",124.07854737
"77036","Boisdon",140.13583609
"77037","Bois-le-Roi",3214.4638515
"77038","Boissettes",6682.22072261
"77039","Boissise-la-Bertrand",6525.96346532
"77040","Boissise-le-Roi",3934.59995143
"77041","Boissy-aux-Cailles",343.83160736
"77042","Boissy-le-Chatel",900.87441075
"77043","Boitron",306.26599826
"77044","Bombon",539.11018634
"77045","Bougligny",357.63821353
"77046","Boulancourt",111.96593502
"77047","Bouleurs",2502.59360607
"77048","Bourron-Marlotte",1010.7000162
"77049","Boutigny",2848.49840225
"77050","Bransles",111.54391868
"77051","Bray-sur-Seine",167.21000097
"77052","Breau",504.58769515
"77053","Brie-Comte-Robert",5433.55380767
"77054","La Brosse-Montceaux",275.07865654
"77055","Brou-sur-Chantereine",14221.58525379
"77056","Burcy",114.12645508
"77057","Bussieres",351.2715706
"77058","Bussy-Saint-Georges",10684.50863985
"77059","Bussy-Saint-Martin",14746.12742114
"77060","Buthiers",161.60008038
"77061","Cannes-Ecluse",724.16148262
"77062","Carnetin",7436.34224698
"77063","La Celle-sur-Morin",1047.69008951
"77065","Cely",1199.56038311
"77066","Cerneux",73.20835965
"77067","Cesson",7208.07813191
"77068","Cessoy-en-Montois",296.88842262
"77069","Chailly-en-Biere",1957.1917542
"77070","Chailly-en-Brie",822.91074659
"77071","Chaintreaux",239.34210449
"77072","Chalautre-la-Grande",70.37987884
"77073","Chalautre-la-Petite",578.29922371
"77075","Chalifert",7126.01873716
"77076","Chalmaison",307.31546062
"77077","Chambry",2442.2595477
"77078","Chamigny",759.50705504
"77079","Champagne-sur-Seine",3312.54323302
"77080","Champcenest",90.90851685
"77081","Champdeuil",724.68182326
"77082","Champeaux",631.61021056
