"ID","NAMES","population_AsTheCrowFlies_POT_5000"
"75101","Paris 1er Arrondissement",1903490.3436204
"75102","Paris 2e  Arrondissement",1901967.38902433
"75103","Paris 3e  Arrondissement",1892635.62363369
"75104","Paris 4e  Arrondissement",1878346.66919397
"75105","Paris 5e  Arrondissement",1804111.19530212
"75106","Paris 6e  Arrondissement",1824667.64273342
"75107","Paris 7e  Arrondissement",1777412.23154778
"75108","Paris 8e  Arrondissement",1777448.25135092
"75109","Paris 9e  Arrondissement",1839790.49322712
"75110","Paris 10e  Arrondissement",1826910.20563733
"75111","Paris 11e  Arrondissement",1805435.28253384
"75112","Paris 12e  Arrondissement",1302142.55843887
"75113","Paris 13e  Arrondissement",1568969.90424039
"75114","Paris 14e  Arrondissement",1546584.64630826
"75115","Paris 15e  Arrondissement",1497790.72576617
"75116","Paris 16e  Arrondissement",1324030.78381863
"75117","Paris 17e  Arrondissement",1613727.94182839
"75118","Paris 18e  Arrondissement",1656687.01437569
"75119","Paris 19e  Arrondissement",1620340.65947171
"75120","Paris 20e  Arrondissement",1640805.09687691
"77001","Acheres-la-Foret",6269.48688713
"77002","Amillis",4291.08785716
"77003","Amponville",4045.14564131
"77004","Andrezel",12278.3572336
"77005","Annet-sur-Marne",50189.96450359
"77006","Arbonne-la-Foret",5789.50893989
"77007","Argentieres",13834.29136239
"77008","Armentieres-en-Brie",14481.96366753
"77009","Arville",1566.69233585
"77010","Aubepierre-Ozouer-le-Repos",10104.69584077
"77011","Aufferville",2716.66368733
"77012","Augers-en-Brie",1981.75038863
"77013","Aulnoy",19225.26703372
"77014","Avon",39512.22739292
"77015","Baby",1639.27623481
"77016","Bagneaux-sur-Loing",18122.45179275
"77018","Bailly-Romainvilliers",46768.24665462
"77019","Balloy",3432.54961458
"77020","Bannost-Villegagnon",3389.56800474
"77021","Barbey",8580.56287463
"77022","Barbizon",10963.56137789
"77023","Barcy",20887.59150166
"77024","Bassevelle",3900.02843567
"77025","Bazoches-les-Bray",4617.05855831
"77026","Beauchery-Saint-Martin",1940.32727255
"77027","Beaumont-du-Gatinais",1339.08688142
"77028","Beautheil",11258.41858953
"77029","Beauvoir",14106.18060066
"77030","Bellot",5660.88128534
"77031","Bernay-Vilbert",9596.61399946
"77032","Beton-Bazoches",3134.68491261
"77033","Bezalles",2668.86384633
"77034","Blandy",7606.84661868
"77035","Blennes",1968.85238772
"77036","Boisdon",2943.90569552
"77037","Bois-le-Roi",27608.03753392
"77038","Boissettes",95548.11216751
"77039","Boissise-la-Bertrand",91252.20594507
"77040","Boissise-le-Roi",52295.27419215
"77041","Boissy-aux-Cailles",3853.17243292
"77042","Boissy-le-Chatel",19957.46977815
"77043","Boitron",5879.21638313
"77044","Bombon",8669.29678383
"77045","Bougligny",7895.3775673
"77046","Boulancourt",1575.31884365
"77047","Bouleurs",26236.98675627
"77048","Bourron-Marlotte",10895.64507572
"77049","Boutigny",42486.22533162
"77050","Bransles",2542.60746497
"77051","Bray-sur-Seine",6042.01473423
"77052","Breau",7985.79782001
"77053","Brie-Comte-Robert",56917.41829455
"77054","La Brosse-Montceaux",7588.19553863
"77055","Brou-sur-Chantereine",171174.35993287
"77056","Burcy",1528.9903014
"77057","Bussieres",6804.25530543
"77058","Bussy-Saint-Georges",88754.33947908
"77059","Bussy-Saint-Martin",142825.04937685
"77060","Buthiers",2140.93529296
"77061","Cannes-Ecluse",22541.38880293
"77062","Carnetin",76013.77211174
"77063","La Celle-sur-Morin",12849.66397909
"77065","Cely",10946.77091312
"77066","Cerneux",1802.21419496
"77067","Cesson",99727.09677015
"77068","Cessoy-en-Montois",6050.61855053
"77069","Chailly-en-Biere",23685.15364797
"77070","Chailly-en-Brie",18394.10814745
"77071","Chaintreaux",5885.06908238
"77072","Chalautre-la-Grande",1621.1692422
"77073","Chalautre-la-Petite",13698.38768256
"77075","Chalifert",61517.54342939
"77076","Chalmaison",8679.06227672
"77077","Chambry",44712.45806494
"77078","Chamigny",13463.0473892
"77079","Champagne-sur-Seine",34911.46253229
"77080","Champcenest",2166.28317646
"77081","Champdeuil",10289.43742468
"77082","Champeaux",9737.68371755
"77083","Champs-sur-Marne",317006.46639928
"77084","Changis-sur-Marne",13359.37112517
"77085","Chanteloup-en-Brie",96499.39955681
"77086","La Chapelle-Gauthier",6922.33782003
"77087","La Chapelle-Iger",5767.70252585
"77088","La Chapelle-la-Reine",6247.10086437
"77089","La Chapelle-Rablais",5111.23454672
"77090","La Chapelle-Saint-Sulpice",5003.53571464
"77091","Les Chapelles-Bourbon",13184.51222118
"77093","La Chapelle-Moutils",3819.44237974
"77094","Charmentray",17957.43850442
"77095","Charny",13003.4915946
"77096","Chartrettes",35816.96021123
"77097","Chartronges",6372.18078838
"77098","Chateaubleau",3320.7902343
"77099","Chateau-Landon",5886.53437835
"77100","Le Chatelet-en-Brie",10403.4161384
"77101","Chatenay-sur-Seine",4869.10899926
"77102","Chatenoy",8097.7890355
"77103","Chatillon-la-Borde",7871.15782177
"77104","Chatres",16202.02340215
"77106","Chauffry",11737.67208326
"77107","Chaumes-en-Brie",15190.12199008
"77108","Chelles",290897.09129215
"77109","Chenoise",2899.37780212
"77110","Chenou",4501.20850587
"77111","Chessy",79225.98890981
"77112","Chevrainvilliers",5801.48446276
"77113","Chevru",4335.41197344
"77114","Chevry-Cossigny",39655.28623058
"77115","Chevry-en-Sereine",3798.24705742
"77116","Choisy-en-Brie",6073.75867172
"77117","Citry",5500.12828306
"77118","Claye-Souilly",52698.8463411
"77119","Clos-Fontaine",6715.63419997
"77120","Cocherel",6724.33300059
"77121","Collegien",133693.4379025
"77122","Combs-la-Ville",87671.43753315
"77123","Compans",39788.4739498
"77124","Conches-sur-Gondoire",108792.23906841
"77125","Conde-Sainte-Libiaire",47525.17106884
"77126","Congis-sur-Therouanne",14790.9645182
"77127","Coubert",16151.3780249
"77128","Couilly-Pont-aux-Dames",41395.31492578
"77129","Coulombs-en-Valois",3037.22317836
"77130","Coulommes",24350.10431015
"77131","Coulommiers",25563.84802709
"77132","Coupvray",61887.64155012
"77133","Courcelles-en-Bassee",9000.38071187
"77134","Courchamp",2142.08017633
"77135","Courpalay",6890.76295621
"77136","Courquetaine",14383.61830777
"77137","Courtacon",2282.74692336
"77138","Courtomer",11915.69638148
"77139","Courtry",219676.23851092
"77140","Coutencon",4433.63635495
"77141","Coutevroult",40694.23412886
"77142","Crecy-la-Chapelle",15655.77641683
"77143","Cregy-les-Meaux",63858.39886796
"77144","Crevecoeur-en-Brie",7458.47806508
"77145","Crisenoy",9790.04670903
"77146","Croissy-Beaubourg",154588.73968475
"77147","La Croix-en-Brie",4553.33567101
"77148","Crouy-sur-Ourcq",3796.09787697
"77149","Cucharmoy",3455.76558673
"77150","Cuisy",13961.15302853
"77151","Dagny",3840.84314195
"77152","Dammarie-les-Lys",89203.80229629
"77153","Dammartin-en-Goele",25228.03408887
"77154","Dammartin-sur-Tigeaux",11879.59167586
"77155","Dampmart",70197.13896499
"77156","Darvault",21469.87620623
"77157","Dhuisy",3111.11304696
"77158","Diant",3633.08773702
"77159","Donnemarie-Dontilly",6226.24368644
"77161","Dormelles",6673.99816945
"77162","Doue",9205.21780884
"77163","Douy-la-Ramee",5681.71401688
"77164","Echouboulains",4504.7776968
"77165","Les Ecrennes",6235.54478565
"77166","Ecuelles",20751.87364492
"77167","Egligny",5298.31236416
"77168","Egreville",3645.53074281
"77169","Emerainville",252039.68482439
"77170","Episy",13711.4420235
"77171","Esbly",48094.01961399
"77172","Esmans",16548.68099166
"77173","Etrepilly",7242.72546821
"77174","Everly",6779.45466414
"77175","Evry-Gregy-sur-Yerre",43509.54674284
"77176","Faremoutiers",12796.89181231
"77177","Favieres",26723.90160655
"77178","Fay-les-Nemours",14739.90224727
"77179","Fericy",16621.69225868
"77180","Ferolles-Attilly",61296.63703087
"77181","Ferrieres-en-Brie",92309.45084734
"77182","La Ferte-Gaucher",9045.1006547
"77183","La Ferte-sous-Jouarre",17073.98324968
"77184","Flagy",6711.81710347
"77185","Fleury-en-Biere",9215.60629108
"77186","Fontainebleau",26982.08834033
"77187","Fontaine-Fourches",1378.18684879
"77188","Fontaine-le-Port",17985.67640467
"77190","Fontains",8931.03129543
"77191","Fontenailles",6458.69774623
"77192","Fontenay-Tresigny",12811.15723993
"77193","Forfry",10493.6971439
"77194","Forges",19911.66581609
"77195","Fouju",8837.00572015
"77196","Fresnes-sur-Marne",24902.33043972
"77197","Fretoy",3778.77843532
"77198","Fromont",1951.06374506
"77199","Fublaines",59201.21068825
"77200","Garentreville",2165.82976311
"77201","Gastins",4202.15988612
"77202","La Genevraye",12362.56995509
"77203","Germigny-l'Eveque",37883.0100338
"77204","Germigny-sous-Coulombs",2101.40257935
"77205","Gesvres-le-Chapitre",12507.82164645
"77206","Giremoutiers",13343.71979254
"77207","Gironville",1546.57520615
"77208","Gouaix",6137.65692375
"77209","Gouvernes",128041.83171949
"77210","La Grande-Paroisse",22227.11877977
"77211","Grandpuits-Bailly-Carrois",9757.89796426
"77212","Gravon",3240.69721895
"77214","Gressy",50582.8719985
"77215","Gretz-Armainvilliers",41024.40733058
"77216","Grez-sur-Loing",15457.89932222
"77217","Grisy-Suisnes",24607.14611685
"77218","Grisy-sur-Seine",4167.65304879
"77219","Guerard",13389.61043452
"77220","Guercheville",3070.43895114
"77221","Guermantes",112994.79527002
"77222","Guignes",13723.97141777
"77223","Gurcy-le-Chatel",6001.92476037
"77224","Hautefeuille",9071.14029876
"77225","La Haute-Maison",6613.38354088
"77226","Hericy",28293.01086638
"77227","Herme",4299.02303337
"77228","Hondevilliers",3568.06938426
"77229","La Houssaye-en-Brie",8830.96316257
"77230","Ichy",1424.15570777
"77231","Isles-les-Meldeuses",13719.60533192
"77232","Isles-les-Villenoy",46295.85111323
"77233","Iverny",13709.25610507
"77234","Jablines",45351.9922229
"77235","Jaignes",12048.90037632
"77236","Jaulnes",5370.70121315
"77237","Jossigny",65599.70179514
"77238","Jouarre",11211.97800343
"77239","Jouy-le-Chatel",3375.35399258
"77240","Jouy-sur-Morin",9548.26156049
"77241","Juilly",19768.42883504
"77242","Jutigny",8272.66107984
"77243","Lagny-sur-Marne",106778.30432136
"77244","Larchant",7054.28611898
"77245","Laval-en-Brie",6589.11232172
"77246","Lechelle",3990.98903974
"77247","Lescherolles",5241.36024176
"77248","Lesches",39430.76974589
"77249","Lesigny",96329.60144771
"77250","Leudon-en-Brie",3869.88741174
"77251","Lieusaint",101682.52691405
"77252","Limoges-Fourches",21516.73599818
"77253","Lissy",12106.3705883
"77254","Liverdy-en-Brie",15963.70652222
"77255","Livry-sur-Seine",66423.73540309
"77256","Lizines",5724.54263455
"77257","Lizy-sur-Ourcq",9838.15472515
"77258","Lognes",207746.11539912
"77259","Longperrier",25942.78639961
"77260","Longueville",10959.22672046
"77261","Lorrez-le-Bocage-Preaux",4266.24277074
"77262","Louan-Villegruis-Fontaine",911.63308528
"77263","Luisetaines",6089.71432206
"77264","Lumigny-Nesles-Ormeaux",7213.76315869
"77265","Luzancy",12147.05768527
"77266","Machault",15383.79085571
"77267","La Madeleine-sur-Loing",12847.37215863
"77268","Magny-le-Hongre",57325.88700434
"77269","Maincy",59561.3383338
"77270","Maisoncelles-en-Brie",10623.54766527
"77271","Maisoncelles-en-Gatinais",2911.29208562
"77272","Maison-Rouge",3797.15927459
"77273","Marchemoret",18683.24242686
"77274","Marcilly",9804.49155377
"77275","Les Marets",1832.82467402
"77276","Mareuil-les-Meaux",64608.7055561
"77277","Marles-en-Brie",10193.10149285
"77278","Marolles-en-Brie",9185.40874601
"77279","Marolles-sur-Seine",15573.9250666
"77280","Mary-sur-Marne",10899.4701092
"77281","Mauperthuis",14332.99833567
"77282","Mauregard",35898.24622039
"77283","May-en-Multien",6185.73098267
"77284","Meaux",75284.14405373
"77285","Le Mee-sur-Seine",109845.71803655
"77286","Meigneux",5561.95644511
"77287","Meilleray",1901.53397768
"77288","Melun",103163.94216781
"77289","Melz-sur-Seine",2436.12971365
"77290","Mery-sur-Marne",9473.43066632
"77291","Le Mesnil-Amelot",41816.32342716
"77292","Messy",26977.77256326
"77293","Misy-sur-Yonne",3293.44620057
"77294","Mitry-Mory",88977.35499256
"77295","Moisenay",21756.59648968
"77296","Moissy-Cramayel",74956.38164711
"77297","Mondreville",1440.98624456
"77298","Mons-en-Montois",6323.03296012
"77299","Montarlot",16210.1439671
"77300","Montceaux-les-Meaux",19994.30201476
"77301","Montceaux-les-Provins",1279.36984739
"77302","Montcourt-Fromonville",19277.59448661
"77303","Montdauphin",1485.31272286
"77304","Montenils",518.7957992
"77305","Montereau-Fault-Yonne",27485.59929225
"77306","Montereau-sur-le-Jard",37281.0950145
"77307","Montevrain",90356.533053
"77308","Montge-en-Goele",17580.22316264
"77309","Monthyon",18416.72094557
"77310","Montigny-le-Guesdier",4004.82797623
"77311","Montigny-Lencoup",5958.51812582
"77312","Montigny-sur-Loing",14161.43625015
"77313","Montmachoux",6930.78690207
"77314","Montolivet",1341.46446761
"77315","Montry",52113.5775378
"77316","Moret-sur-Loing",24990.19718278
"77317","Mormant",10071.74990788
"77318","Mortcerf",8355.15402839
"77319","Mortery",10753.2870983
"77320","Mouroux",23395.33317433
"77321","Mousseaux-les-Bray",5178.16642514
"77322","Moussy-le-Neuf",21483.87138243
"77323","Moussy-le-Vieux",23772.42260025
"77325","Mouy-sur-Seine",6596.67252083
"77326","Nandy",92583.58861085
"77327","Nangis",10641.10029262
"77328","Nanteau-sur-Essonne",2466.10513421
"77329","Nanteau-sur-Lunain",5396.03729477
"77330","Nanteuil-les-Meaux",69416.91199496
"77331","Nanteuil-sur-Marne",6590.62122226
"77332","Nantouillet",18852.99016336
"77333","Nemours",23011.8974525
"77335","Chauconin-Neufmontiers",41182.0635893
"77336","Neufmoutiers-en-Brie",11456.08874081
"77337","Noisiel",246250.60622868
"77338","Noisy-Rudignon",13351.0657642
"77339","Noisy-sur-Ecole",8011.95883566
"77340","Nonville",11188.42218653
"77341","Noyen-sur-Seine",3312.23335923
"77342","Obsonville",2002.44178549
"77343","Ocquerre",8585.9471838
"77344","Oissery",11694.67544229
"77345","Orly-sur-Morin",7321.23299618
"77347","Les Ormes-sur-Voulzie",6722.71923499
"77348","Ormesson",15776.70153979
"77349","Othis",20417.89814629
"77350","Ozoir-la-Ferriere",74900.36761126
"77352","Ozouer-le-Voulgis",14367.93463877
"77353","Paley",4388.13666191
"77354","Pamfou",7322.46468681
"77355","Paroy",7065.77124715
"77356","Passy-sur-Seine",2731.21231923
"77357","Pecy",3146.1360241
"77358","Penchard",43913.7057922
"77359","Perthes",19450.04895117
"77360","Pezarches",7662.36161102
"77361","Pierre-Levee",6240.95309153
"77363","Le Pin",153377.87843978
"77364","Le Plessis-aux-Bois",12501.34835562
"77365","Le Plessis-Feu-Aussoux",4965.1240667
"77366","Le Plessis-l'Eveque",13688.06679327
"77367","Le Plessis-Placy",7716.46819895
"77368","Poigny",17960.85448498
"77369","Poincy",66604.11885478
"77370","Poligny",15060.58059149
"77371","Pommeuse",18072.07884068
"77372","Pomponne",122585.15701068
"77373","Pontault-Combault",166006.41195606
"77374","Pontcarre",76646.46324208
"77376","Precy-sur-Marne",26964.6230836
"77377","Presles-en-Brie",23544.35009529
"77378","Pringy",43982.35988182
"77379","Provins",16909.53273552
"77380","Puisieux",3682.22690382
"77381","Quiers",6682.9961928
"77382","Quincy-Voisins",45242.53648676
"77383","Rampillon",6890.02198202
"77384","Reau",63426.73354328
"77385","Rebais",7300.45717241
"77386","Recloses",7450.81201796
"77387","Remauville",4955.51750492
"77388","Reuil-en-Brie",16388.01484854
"77389","La Rochette",82496.48306531
"77390","Roissy-en-Brie",114808.85437369
"77391","Rouilly",12868.56994668
"77392","Rouvres",21579.13458946
"77393","Rozay-en-Brie",7342.99870346
"77394","Rubelles",73674.40198138
"77395","Rumont",2414.62112356
"77396","Rupereux",1959.10233599
"77397","Saacy-sur-Marne",9150.25239833
"77398","Sablonnieres",5431.95804148
"77399","Saint-Ange-le-Viel",5220.55965446
"77400","Saint-Augustin",19631.91267668
"77401","Sainte-Aulde",7315.30098292
"77402","Saint-Barthelemy",4725.28139182
"77403","Saint-Brice",12914.2594804
"77404","Sainte-Colombe",16318.11208465
"77405","Saint-Cyr-sur-Morin",11650.10076101
"77406","Saint-Denis-les-Rebais",8944.91178173
"77407","Saint-Fargeau-Ponthierry",48973.27686471
"77408","Saint-Fiacre",38506.91509831
"77409","Saint-Germain-Laval",22120.19053138
"77410","Saint-Germain-Laxis",27713.41755142
"77411","Saint-Germain-sous-Doue",14369.50156321
"77412","Saint-Germain-sur-Ecole",13294.33665482
"77413","Saint-Germain-sur-Morin",48543.34999136
"77414","Saint-Hilliers",3319.23374605
"77415","Saint-Jean-les-Deux-Jumeaux",11220.25195127
"77416","Saint-Just-en-Brie",2990.83700973
"77417","Saint-Leger",7457.57410655
"77418","Saint-Loup-de-Naud",10780.68413407
"77419","Saint-Mammes",31070.03899456
"77420","Saint-Mard",23087.22054188
"77421","Saint-Mars-Vieux-Maisons",3980.99593967
"77423","Saint-Martin-des-Champs",7980.4746459
"77424","Saint-Martin-du-Boschet",1160.295338
"77425","Saint-Martin-en-Biere",7591.81804434
"77426","Saint-Mery",8373.33371399
"77427","Saint-Mesmes",17188.65728569
"77428","Saint-Ouen-en-Brie",8704.65032494
"77429","Saint-Ouen-sur-Morin",8726.87312363
"77430","Saint-Pathus",12348.1274905
"77431","Saint-Pierre-les-Nemours",20651.66937732
"77432","Saint-Remy-la-Vanne",9068.30822536
"77433","Saints",13221.37591989
"77434","Saint-Sauveur-les-Bray",6165.28218239
"77435","Saint-Sauveur-sur-Ecole",26642.28652488
"77436","Saint-Simeon",9694.8651151
"77437","Saint-Soupplets",14315.27499769
"77438","Saint-Thibault-des-Vignes",144743.41897975
"77439","Salins",10905.106173
"77440","Sammeron",14751.45381089
"77441","Samois-sur-Seine",27062.41097522
"77442","Samoreau",39225.87945091
"77443","Sancy",12060.56079051
"77444","Sancy-les-Provins",1684.37200486
"77445","Savigny-le-Temple",88135.26609104
"77446","Savins",8077.98046297
"77447","Seine-Port",75077.87521104
"77448","Sept-Sorts",17026.18414365
"77449","Serris",63563.58023639
"77450","Servon",79357.98827036
"77451","Signy-Signets",10272.85734012
"77452","Sigy",6429.79644937
"77453","Sivry-Courtry",21307.75953595
"77454","Sognolles-en-Montois",5823.15427596
"77455","Soignolles-en-Brie",12377.19186321
"77456","Soisy-Bouy",10746.38973314
"77457","Solers",13005.19194991
"77458","Souppes-sur-Loing",9464.48770094
"77459","Sourdun",7057.15006285
"77460","Tancrou",9655.46643857
"77461","Thenisy",7003.85592409
"77462","Thieux",27579.84740944
"77463","Thomery",40258.31904703
"77464","Thorigny-sur-Marne",84164.61659119
"77465","Thoury-Ferottes",5941.38959413
"77466","Tigeaux",15942.11763908
"77467","La Tombe",4329.09672017
"77468","Torcy",179728.89124349
"77469","Touquin",6528.38661565
"77470","Tournan-en-Brie",20912.81768621
"77471","Tousson",4611.10557228
"77472","La Tretoire",6792.98546551
"77473","Treuzy-Levelay",7758.74626929
"77474","Trilbardou",27287.79933447
"77475","Trilport",43337.89227714
"77476","Trocy-en-Multien",8511.77522022
"77477","Ury",6227.11329982
"77478","Ussy-sur-Marne",14701.30083826
"77479","Vaires-sur-Marne",204008.31549475
"77480","Valence-en-Brie",7416.78144328
"77481","Vanville",3931.65964352
"77482","Varennes-sur-Seine",24463.17773555
