"ID","NAMES","population_AsTheCowRolls_POT_15"
"75101","Paris 1er Arrondissement",4788294.60532931
"75102","Paris 2e  Arrondissement",4733290.98151594
"75103","Paris 3e  Arrondissement",4850817.71159709
"75104","Paris 4e  Arrondissement",4903079.23528662
"75105","Paris 5e  Arrondissement",4804603.46312375
"75106","Paris 6e  Arrondissement",4730983.53411679
"75107","Paris 7e  Arrondissement",4571393.86739471
"75108","Paris 8e  Arrondissement",4856098.443677
"75109","Paris 9e  Arrondissement",4928287.34409908
"75110","Paris 10e  Arrondissement",5052598.57154607
"75111","Paris 11e  Arrondissement",4747163.94928699
"75112","Paris 12e  Arrondissement",4728277.91385223
"75113","Paris 13e  Arrondissement",4717993.98231108
"75114","Paris 14e  Arrondissement",4606463.32600748
"75115","Paris 15e  Arrondissement",4268565.93510673
"75116","Paris 16e  Arrondissement",4403056.92482869
"75117","Paris 17e  Arrondissement",4762220.18265532
"75118","Paris 18e  Arrondissement",4685772.96052458
"75119","Paris 19e  Arrondissement",4598266.29431205
"75120","Paris 20e  Arrondissement",4681224.00569768
"77001","Acheres-la-Foret",59917.94429221
"77002","Amillis",37859.47957317
"77003","Amponville",32211.29781712
"77004","Andrezel",75873.57155866
"77005","Annet-sur-Marne",503265.46300435
"77006","Arbonne-la-Foret",112208.31910782
"77007","Argentieres",49096.84938749
"77008","Armentieres-en-Brie",65299.1153735
"77009","Arville",18334.90592135
"77010","Aubepierre-Ozouer-le-Repos",47295.94656931
"77011","Aufferville",33589.92285374
"77012","Augers-en-Brie",13052.85607837
"77013","Aulnoy",54051.11421388
"77014","Avon",127034.33976241
"77015","Baby",10174.39932461
"77016","Bagneaux-sur-Loing",49635.92663515
"77018","Bailly-Romainvilliers",316937.17099354
"77019","Balloy",30080.68461211
"77020","Bannost-Villegagnon",19152.83148123
"77021","Barbey",39211.86963893
"77022","Barbizon",168536.57829295
"77023","Barcy",126166.0181848
"77024","Bassevelle",18090.61225694
"77025","Bazoches-les-Bray",26918.82070266
"77026","Beauchery-Saint-Martin",14958.35799385
"77027","Beaumont-du-Gatinais",6413.47333427
"77028","Beautheil",38865.02814082
"77029","Beauvoir",57325.8563544
"77030","Bellot",21212.90603381
"77031","Bernay-Vilbert",46798.28651715
"77032","Beton-Bazoches",23340.85910116
"77033","Bezalles",15924.82216433
"77034","Blandy",128924.50601296
"77035","Blennes",11809.67000227
"77036","Boisdon",18350.09885669
"77037","Bois-le-Roi",182312.89112965
"77038","Boissettes",206030.10161512
"77039","Boissise-la-Bertrand",210926.03434939
"77040","Boissise-le-Roi",277402.58169975
"77041","Boissy-aux-Cailles",24731.78632544
"77042","Boissy-le-Chatel",48773.33668512
"77043","Boitron",19159.84285174
"77044","Bombon",43932.08020379
"77045","Bougligny",30938.75521292
