"ID","NAMES","agriculteurs_AsTheCrowFlies_ACC_0.005"
"77136","Courquetaine",4053.89861185562
"77137","Courtacon",3588.92294446914
"77138","Courtomer",4492.60685251108
"77139","Courtry",5287.72520761386
"77140","Coutencon",5490.4700110959
"77141","Coutevroult",5147.90073868992
"77142","Crecy-la-Chapelle",3560.85729655529
"77143","Cregy-les-Meaux",4888.84065757159
"77144","Crevecoeur-en-Brie",4152.27929354282
"77145","Crisenoy",5325.91863439128
"77146","Croissy-Beaubourg",5661.9452100066
"77147","La Croix-en-Brie",4951.43612491841
"77148","Crouy-sur-Ourcq",5556.46349477047
"77149","Cucharmoy",5072.53121127431
"77150","Cuisy",4505.08307503543
"77151","Dagny",4551.19918305983
"77152","Dammarie-les-Lys",4950.98396973814
"77153","Dammartin-en-Goele",5667.72167566751
"77154","Dammartin-sur-Tigeaux",5242.02691799246
"77155","Dampmart",5307.24970761999
"77156","Darvault",5249.07936762662
"77157","Dhuisy",4137.51623027801
"77158","Diant",5522.12796121857
"77159","Donnemarie-Dontilly",3925.26351688682
"77161","Dormelles",3781.96463643324
"77162","Doue",3380.51363153988
"77163","Douy-la-Ramee",7550.36388153305
"77164","Echouboulains",6363.47744797125
"77165","Les Ecrennes",7449.58559878808
"77166","Ecuelles",5209.71721970498
"77167","Egligny",4325.98416515106
"77168","Egreville",5048.39627841819
"77169","Emerainville",5207.30840102197
"77170","Episy",5738.6700486629
"77171","Esbly",5271.74683070095
"77172","Esmans",4485.00196105813
"77173","Etrepilly",5859.36867307939
"77174","Everly",5147.04579808869
"77175","Evry-Gregy-sur-Yerre",4272.28848755568
"77176","Faremoutiers",3936.86898145244
"77177","Favieres",5768.67456055902
"77178","Fay-les-Nemours",4456.17689703158
"77179","Fericy",7287.17006038994
"77180","Ferolles-Attilly",4695.41636102195
"77181","Ferrieres-en-Brie",5295.06588315612
"77182","La Ferte-Gaucher",3315.93776888839
"77183","La Ferte-sous-Jouarre",4486.39849920069
"77184","Flagy",4003.70032587838
"77185","Fleury-en-Biere",4687.58345290777
"77186","Fontainebleau",7068.6120320503
"77187","Fontaine-Fourches",8062.33074068668
"77188","Fontaine-le-Port",6496.10513528909
"77190","Fontains",4826.71270915265
"77191","Fontenailles",6699.20741733625
"77192","Fontenay-Tresigny",3825.49758717636
"77193","Forfry",7120.84833401495
"77194","Forges",5486.17858077622
"77195","Fouju",5896.35542807632
"77196","Fresnes-sur-Marne",5222.31719669945
"77197","Fretoy",3657.59284435285
"77198","Fromont",4638.15378373105
"77199","Fublaines",5023.45024861795
"77200","Garentreville",3132.86118226943
"77201","Gastins",5185.61363916037
"77202","La Genevraye",6057.45760977197
"77203","Germigny-l'Eveque",5427.94956034614
"77204","Germigny-sous-Coulombs",3778.2698109904
"77205","Gesvres-le-Chapitre",6293.20932404888
"77206","Giremoutiers",4270.58102337777
