"ID","NAMES","population_AsTheCrowFlies_POT_10000"
"75101","Paris 1er Arrondissement",4476750.42105541
"75102","Paris 2e  Arrondissement",4482576.74385406
"75103","Paris 3e  Arrondissement",4468084.09905067
"75104","Paris 4e  Arrondissement",4451388.13310006
"75105","Paris 5e  Arrondissement",4392532.19354957
"75106","Paris 6e  Arrondissement",4409159.76384589
"75107","Paris 7e  Arrondissement",4356797.9996362
"75108","Paris 8e  Arrondissement",4367534.1098887
"75109","Paris 9e  Arrondissement",4442217.02697912
"75110","Paris 10e  Arrondissement",4426221.23843588
"75111","Paris 11e  Arrondissement",4381036.66710036
"75112","Paris 12e  Arrondissement",3843671.74736026
"75113","Paris 13e  Arrondissement",4173726.51207732
"75114","Paris 14e  Arrondissement",4143244.55499466
"75115","Paris 15e  Arrondissement",4061235.34814128
"75116","Paris 16e  Arrondissement",3818195.03595078
"75117","Paris 17e  Arrondissement",4230964.88024919
"75118","Paris 18e  Arrondissement",4289161.9480068
"75119","Paris 19e  Arrondissement",4211431.95499486
"75120","Paris 20e  Arrondissement",4210550.22414659
"77001","Acheres-la-Foret",33796.0626905
"77002","Amillis",32031.18063666
"77003","Amponville",20069.57962302
"77004","Andrezel",60154.69409258
"77005","Annet-sur-Marne",366252.8159971
"77006","Arbonne-la-Foret",55930.52013571
"77007","Argentieres",44375.70006478
"77008","Armentieres-en-Brie",81270.64478897
"77009","Arville",11318.84486682
"77010","Aubepierre-Ozouer-le-Repos",38820.56131026
"77011","Aufferville",23328.53644187
"77012","Augers-en-Brie",12245.34172932
"77013","Aulnoy",54669.12748119
"77014","Avon",92933.30355173
"77015","Baby",7948.58762625
"77016","Bagneaux-sur-Loing",39235.64532496
"77018","Bailly-Romainvilliers",184199.97013878
"77019","Balloy",19542.90506472
"77020","Bannost-Villegagnon",15938.08568483
"77021","Barbey",33787.48153974
"77022","Barbizon",110080.21291133
"77023","Barcy",94798.21815574
"77024","Bassevelle",20501.70951831
"77025","Bazoches-les-Bray",16113.50856609
"77026","Beauchery-Saint-Martin",12538.37308179
"77027","Beaumont-du-Gatinais",3128.84134747
"77028","Beautheil",42242.34925132
"77029","Beauvoir",44582.21624975
"77030","Bellot",20416.68108373
"77031","Bernay-Vilbert",37328.87761006
"77032","Beton-Bazoches",17206.61066066
"77033","Bezalles",16178.54389174
"77034","Blandy",81682.02491256
"77035","Blennes",9977.0889271
"77036","Boisdon",15812.39963491
"77037","Bois-le-Roi",143157.65920726
"77038","Boissettes",212696.85759296
"77039","Boissise-la-Bertrand",238832.17008664
"77040","Boissise-le-Roi",205726.20784171
"77041","Boissy-aux-Cailles",18371.46637963
"77042","Boissy-le-Chatel",49024.49685983
"77043","Boitron",26644.65255481
"77044","Bombon",42230.92456897
"77045","Bougligny",31692.27624448
"77046","Boulancourt",8224.22026363
"77047","Bouleurs",131023.76355123
"77048","Bourron-Marlotte",66929.89638109
"77049","Boutigny",130186.23549891
"77050","Bransles",13785.87585344
"77051","Bray-sur-Seine",16432.50690688
"77052","Breau",39409.33794262
"77053","Brie-Comte-Robert",370761.5977352
"77054","La Brosse-Montceaux",33742.68914382
"77055","Brou-sur-Chantereine",827801.19124551
"77056","Burcy",13466.19198118
"77057","Bussieres",28257.73424161
"77058","Bussy-Saint-Georges",390693.83873507
"77059","Bussy-Saint-Martin",601575.35562774
"77060","Buthiers",11646.1377883
"77061","Cannes-Ecluse",44648.81387287
