"ID","NAMES","intermediaires_AsTheCrowFlies_POT_10000"
"75101","Paris 1er Arrondissement",566066.52506599
"75102","Paris 2e  Arrondissement",565377.13316881
"75103","Paris 3e  Arrondissement",565173.18561973
"75104","Paris 4e  Arrondissement",565670.59351795
"75105","Paris 5e  Arrondissement",560767.25048339
"75106","Paris 6e  Arrondissement",561106.61566636
"75107","Paris 7e  Arrondissement",552170.84201738
"75108","Paris 8e  Arrondissement",549606.36471016
"75109","Paris 9e  Arrondissement",557775.16586765
"75110","Paris 10e  Arrondissement",556064.47263483
"75111","Paris 11e  Arrondissement",555859.85680001
"75112","Paris 12e  Arrondissement",497432.54566396
"75113","Paris 13e  Arrondissement",537733.27238324
"75114","Paris 14e  Arrondissement",531613.10300326
"75115","Paris 15e  Arrondissement",516954.58746164
"75116","Paris 16e  Arrondissement",481450.40409882
"75117","Paris 17e  Arrondissement",529045.18564145
"75118","Paris 18e  Arrondissement",534353.29619499
"75119","Paris 19e  Arrondissement",526482.18962338
"75120","Paris 20e  Arrondissement",534202.41649459
"77001","Acheres-la-Foret",4305.32946478
"77002","Amillis",4010.96624556
"77003","Amponville",2532.3976048
"77004","Andrezel",8814.13445152
"77005","Annet-sur-Marne",53382.25797592
"77006","Arbonne-la-Foret",7416.09738354
"77007","Argentieres",6487.16638223
"77008","Armentieres-en-Brie",10568.13784377
"77009","Arville",1235.47016748
"77010","Aubepierre-Ozouer-le-Repos",5529.06056426
"77011","Aufferville",2496.44313541
"77012","Augers-en-Brie",1227.13187988
"77013","Aulnoy",7287.68368729
"77014","Avon",12675.5878472
"77015","Baby",795.26036194
"77016","Bagneaux-sur-Loing",4203.61163668
"77018","Bailly-Romainvilliers",29235.85895512
"77019","Balloy",2234.70152446
"77020","Bannost-Villegagnon",1797.83777023
"77021","Barbey",3819.02416023
"77022","Barbizon",14763.78991069
"77023","Barcy",12980.79287142
"77024","Bassevelle",2451.61107815
"77025","Bazoches-les-Bray",1803.16221442
"77026","Beauchery-Saint-Martin",1285.2734713
"77027","Beaumont-du-Gatinais",328.79310719
"77028","Beautheil",5545.14841147
"77029","Beauvoir",6519.58925657
"77030","Bellot",2161.53353082
"77031","Bernay-Vilbert",5404.99072881
"77032","Beton-Bazoches",1829.12940187
"77033","Bezalles",1711.51291482
"77034","Blandy",11717.48682335
"77035","Blennes",1245.8014153
"77036","Boisdon",1704.01595956
"77037","Bois-le-Roi",19442.1440312
"77038","Boissettes",29771.63365759
"77039","Boissise-la-Bertrand",33630.64953028
"77040","Boissise-le-Roi",28831.02698805
"77041","Boissy-aux-Cailles",2450.05129228
"77042","Boissy-le-Chatel",6245.21981876
"77043","Boitron",3173.7698465
"77044","Bombon",6180.5054139
"77045","Bougligny",3296.71141419
"77046","Boulancourt",1116.72691496
"77047","Bouleurs",19554.70612178
"77048","Bourron-Marlotte",8467.2363624
"77049","Boutigny",18514.47712739
"77050","Bransles",1395.93129596
"77051","Bray-sur-Seine",1753.58240341
"77052","Breau",5759.11763435
"77053","Brie-Comte-Robert",53466.92953914
"77054","La Brosse-Montceaux",3860.45806151
"77055","Brou-sur-Chantereine",113218.46200452
"77056","Burcy",1624.42160874
"77057","Bussieres",3464.75334892
"77058","Bussy-Saint-Georges",58671.92319263
"77059","Bussy-Saint-Martin",86931.87926607
"77060","Buthiers",1590.24644292
"77061","Cannes-Ecluse",5200.09724571
"77062","Carnetin",64498.92816728
"77063","La Celle-sur-Morin",8398.49822536
"77065","Cely",13622.65200495
"77066","Cerneux",1178.53829493
"77067","Cesson",39466.11538232
"77068","Cessoy-en-Montois",3038.74098946
"77069","Chailly-en-Biere",19399.4261715
"77070","Chailly-en-Brie",5805.47955862
"77071","Chaintreaux",2534.7351673
"77072","Chalautre-la-Grande",1100.53297244
"77073","Chalautre-la-Petite",2970.24594269
"77075","Chalifert",38796.47328133
"77076","Chalmaison",3094.92855523
"77077","Chambry",14669.44196061
"77078","Chamigny",4531.28243481
"77079","Champagne-sur-Seine",11597.01779746
"77080","Champcenest",1602.1226802
"77081","Champdeuil",17261.67096525
"77082","Champeaux",9110.13200918
"77083","Champs-sur-Marne",172780.14067439
"77084","Changis-sur-Marne",10566.42468966
"77085","Chanteloup-en-Brie",52091.74267764
"77086","La Chapelle-Gauthier",6712.55542088
"77087","La Chapelle-Iger",3952.68129895
"77088","La Chapelle-la-Reine",3672.30662948
"77089","La Chapelle-Rablais",4362.03533236
"77090","La Chapelle-Saint-Sulpice",3087.63431663
"77091","Les Chapelles-Bourbon",12066.71899251
"77093","La Chapelle-Moutils",1278.54107212
"77094","Charmentray",27512.67604971
"77095","Charny",25351.85714143
"77096","Chartrettes",20145.838961
"77097","Chartronges",2403.20944052
"77098","Chateaubleau",2694.92730032
"77099","Chateau-Landon",1821.9133252
"77100","Le Chatelet-en-Brie",11914.37275227
"77101","Chatenay-sur-Seine",3330.41494983
"77102","Chatenoy",3582.18045711
"77103","Chatillon-la-Borde",9090.53430368
"77104","Chatres",10913.65497633
"77106","Chauffry",5376.36224247
"77107","Chaumes-en-Brie",7457.61995897
"77108","Chelles",164042.92345211
"77109","Chenoise",2233.02489738
"77110","Chenou",2087.10137109
"77111","Chessy",41148.87620941
"77112","Chevrainvilliers",3413.47039754
"77113","Chevru",2971.88223854
"77114","Chevry-Cossigny",39298.63055343
"77115","Chevry-en-Sereine",1871.74480344
"77116","Choisy-en-Brie",3583.26684495
"77117","Citry",2780.24735296
"77118","Claye-Souilly",58576.52299045
"77119","Clos-Fontaine",3502.4708142
"77120","Cocherel",4403.30708521
"77121","Collegien",84895.17788562
"77122","Combs-la-Ville",59771.37469726
"77123","Compans",40231.29691033
"77124","Conches-sur-Gondoire",62025.53781446
"77125","Conde-Sainte-Libiaire",27908.77269767
"77126","Congis-sur-Therouanne",10174.1204138
"77127","Coubert",21389.62769628
"77128","Couilly-Pont-aux-Dames",24298.44775199
"77129","Coulombs-en-Valois",1726.10056682
"77130","Coulommes",18173.86193505
"77131","Coulommiers",6716.80543148
"77132","Coupvray",35069.277368
"77133","Courcelles-en-Bassee",4099.41148482
"77134","Courchamp",1916.78730156
"77135","Courpalay",4732.04102845
"77136","Courquetaine",15018.42844661
"77137","Courtacon",1524.41010043
"77138","Courtomer",6004.16916593
"77139","Courtry",130727.90414495
"77140","Coutencon",4428.09670229
"77141","Coutevroult",24686.65923309
