"ID","NAMES","ouvrier_AsTheCrowFlies_POT_7500"
"77142","Crecy-la-Chapelle",4124.48607767
"77143","Cregy-les-Meaux",10124.48629105
"77144","Crevecoeur-en-Brie",2240.84025552
"77145","Crisenoy",4607.55943347
"77146","Croissy-Beaubourg",32400.82633172
"77147","La Croix-en-Brie",1627.90575639
"77148","Crouy-sur-Ourcq",1132.46828695
"77149","Cucharmoy",1682.97592157
"77150","Cuisy",4277.64827694
"77151","Dagny",1188.58133645
"77152","Dammarie-les-Lys",14245.56737932
"77153","Dammartin-en-Goele",4680.34521962
"77154","Dammartin-sur-Tigeaux",2994.44035955
"77155","Dampmart",12843.42932223
"77156","Darvault",3646.31314832
"77157","Dhuisy",1225.21070242
"77158","Diant",1056.05053722
"77159","Donnemarie-Dontilly",1479.44130822
"77161","Dormelles",2188.36032389
"77162","Doue",2972.29975163
"77163","Douy-la-Ramee",2462.00655604
"77164","Echouboulains",2447.1827176
"77165","Les Ecrennes",1792.22693377
"77166","Ecuelles",3834.56500884
"77167","Egligny",1487.18914943
"77168","Egreville",796.77424271
"77169","Emerainville",48319.49782264
"77170","Episy",3010.32241088
"77171","Esbly",9845.75799663
"77172","Esmans",3696.22552191
"77173","Etrepilly",3767.60224265
"77174","Everly",1927.87027731
"77175","Evry-Gregy-sur-Yerre",10231.94326724
"77176","Faremoutiers",3119.32694709
"77177","Favieres",7892.916959
"77178","Fay-les-Nemours",3268.82490545
"77179","Fericy",3445.17492842
"77180","Ferolles-Attilly",16117.12219486
"77181","Ferrieres-en-Brie",20095.23984025
"77182","La Ferte-Gaucher",1943.51604854
"77183","La Ferte-sous-Jouarre",2907.11368616
"77184","Flagy",2121.90908487
"77185","Fleury-en-Biere",2451.92128057
"77186","Fontainebleau",3145.47902853
"77187","Fontaine-Fourches",400.18668477
"77188","Fontaine-le-Port",4424.24213905
"77190","Fontains",1920.51772793
"77191","Fontenailles",2015.32645909
"77192","Fontenay-Tresigny",3054.11097468
"77193","Forfry",2996.9880048
"77194","Forges",4231.63327911
"77195","Fouju",4234.26331782
"77196","Fresnes-sur-Marne",8724.86835415
"77197","Fretoy",1047.30763621
"77198","Fromont",540.517208
"77199","Fublaines",9841.22120297
"77200","Garentreville",873.84940075
"77201","Gastins",1703.8997949
"77202","La Genevraye",3176.7671538
"77203","Germigny-l'Eveque",8392.84540628
"77204","Germigny-sous-Coulombs",774.11473872
"77205","Gesvres-le-Chapitre",4289.28820968
"77206","Giremoutiers",3635.77385313
"77207","Gironville",330.76936833
"77208","Gouaix",2016.31823077
"77209","Gouvernes",23957.2951801
"77210","La Grande-Paroisse",5053.73282979
