"ID","NAMES","total_AsTheCowRolls_POT_10"
"75101","Paris 1er Arrondissement",1484634.67111291
"75102","Paris 2e  Arrondissement",1460508.59618195
"75103","Paris 3e  Arrondissement",1519650.97051751
"75104","Paris 4e  Arrondissement",1536430.84513663
"75105","Paris 5e  Arrondissement",1496373.91170584
"75106","Paris 6e  Arrondissement",1458376.60526302
"75107","Paris 7e  Arrondissement",1368478.38013248
"75108","Paris 8e  Arrondissement",1516280.96474179
"75109","Paris 9e  Arrondissement",1564465.51212688
"75110","Paris 10e  Arrondissement",1619819.16039792
"75111","Paris 11e  Arrondissement",1454934.51830812
"75112","Paris 12e  Arrondissement",1398154.61373411
"75113","Paris 13e  Arrondissement",1430262.65960591
"75114","Paris 14e  Arrondissement",1377907.63895713
"75115","Paris 15e  Arrondissement",1220247.57167282
"75116","Paris 16e  Arrondissement",1233551.63367699
"75117","Paris 17e  Arrondissement",1459161.87749602
"75118","Paris 18e  Arrondissement",1394573.41764802
"75119","Paris 19e  Arrondissement",1341171.56619116
"75120","Paris 20e  Arrondissement",1401583.20203334
"77001","Acheres-la-Foret",7373.03167399
"77002","Amillis",6747.355959
"77003","Amponville",3483.28748889
"77004","Andrezel",9770.27692382
"77005","Annet-sur-Marne",52820.97360651
"77006","Arbonne-la-Foret",13334.09971528
"77007","Argentieres",8977.62495979
"77008","Armentieres-en-Brie",10038.23459363
"77009","Arville",2143.77774931
"77010","Aubepierre-Ozouer-le-Repos",9915.17818106
"77011","Aufferville",6783.98961383
"77012","Augers-en-Brie",1880.04496019
"77013","Aulnoy",12810.82310083
"77014","Avon",27558.41609424
"77015","Baby",1905.8213829
"77016","Bagneaux-sur-Loing",12907.35051316
"77018","Bailly-Romainvilliers",46929.83385239
"77019","Balloy",4348.30319775
"77020","Bannost-Villegagnon",2785.34658404
"77021","Barbey",7775.72295741
"77022","Barbizon",19266.80808433
"77023","Barcy",30363.73855253
"77024","Bassevelle",2279.09614963
"77025","Bazoches-les-Bray",4046.83784253
"77026","Beauchery-Saint-Martin",2247.61534005
"77027","Beaumont-du-Gatinais",757.66799708
"77028","Beautheil",7432.17567847
"77029","Beauvoir",10422.45608576
"77030","Bellot",3908.33279013
"77031","Bernay-Vilbert",7190.86436983
"77032","Beton-Bazoches",3509.05315909
"77033","Bezalles",2197.70702787
"77034","Blandy",18170.94925731
"77035","Blennes",1706.28180659
"77036","Boisdon",2702.68872213
"77037","Bois-le-Roi",39656.42723146
"77038","Boissettes",44885.60006276
"77039","Boissise-la-Bertrand",45082.54626355
"77040","Boissise-le-Roi",41618.49565126
"77041","Boissy-aux-Cailles",2798.06634097
"77042","Boissy-le-Chatel",12818.80021758
"77043","Boitron",2868.15787052
"77044","Bombon",5427.71507283
"77045","Bougligny",6378.43135227
"77046","Boulancourt",1270.75043213
"77047","Bouleurs",27362.72354552
"77048","Bourron-Marlotte",14235.32229281
"77049","Boutigny",23712.31062169
"77050","Bransles",3867.35017855
"77051","Bray-sur-Seine",4028.66231234
"77052","Breau",8550.16288688
"77053","Brie-Comte-Robert",65331.95168642
"77054","La Brosse-Montceaux",8507.23338846
"77055","Brou-sur-Chantereine",165080.73920262
"77056","Burcy",2120.74842574
"77057","Bussieres",6401.40668264
"77058","Bussy-Saint-Georges",129703.78245194
"77059","Bussy-Saint-Martin",134900.47827321
"77060","Buthiers",2165.65220629
"77061","Cannes-Ecluse",12506.29119409
"77062","Carnetin",62130.15445933
"77063","La Celle-sur-Morin",13740.82859742
"77065","Cely",18930.94249496
"77066","Cerneux",2094.829255
"77067","Cesson",80282.55656021
"77068","Cessoy-en-Montois",3780.22765337
"77069","Chailly-en-Biere",38795.9507704
"77070","Chailly-en-Brie",15882.15524454
"77071","Chaintreaux",6661.84008547
"77072","Chalautre-la-Grande",577.97742904
"77073","Chalautre-la-Petite",7618.97720191
"77075","Chalifert",64795.61991368
"77076","Chalmaison",5319.74216338
"77077","Chambry",34786.18791524
"77078","Chamigny",8203.85818343
"77079","Champagne-sur-Seine",22008.49796624
"77080","Champcenest",2108.9409786
"77081","Champdeuil",19877.07665577
"77082","Champeaux",10770.44063607
"77083","Champs-sur-Marne",275148.57570877
"77084","Changis-sur-Marne",18270.86072636
"77085","Chanteloup-en-Brie",87128.97185657
"77086","La Chapelle-Gauthier",9308.50451272
"77087","La Chapelle-Iger",4621.0709992
"77088","La Chapelle-la-Reine",10123.90059633
"77089","La Chapelle-Rablais",5707.759986
"77090","La Chapelle-Saint-Sulpice",6228.18433832
"77091","Les Chapelles-Bourbon",12423.57411714
"77093","La Chapelle-Moutils",2507.07354323
"77094","Charmentray",27837.34975046
"77095","Charny",22618.423363
"77096","Chartrettes",29781.63302212
"77097","Chartronges",3666.99066948
"77098","Chateaubleau",2860.09744944
"77099","Chateau-Landon",4828.90879199
"77100","Le Chatelet-en-Brie",20344.84657557
"77101","Chatenay-sur-Seine",4009.76202486
"77102","Chatenoy",8343.7033468
"77103","Chatillon-la-Borde",9739.00889883
"77104","Chatres",17442.67702991
"77106","Chauffry",6857.5564161
"77107","Chaumes-en-Brie",13396.27984481
"77108","Chelles",249874.17125876
"77109","Chenoise",4326.26402585
"77110","Chenou",3950.45473708
"77111","Chessy",77607.03846836
"77112","Chevrainvilliers",8379.03318442
"77113","Chevru",4010.5887229
"77114","Chevry-Cossigny",47982.30997251
"77115","Chevry-en-Sereine",3360.5460316
"77116","Choisy-en-Brie",5873.62147897
"77117","Citry",4037.10080308
"77118","Claye-Souilly",94414.03362044
"77119","Clos-Fontaine",6136.15918228
"77120","Cocherel",5342.26482405
"77121","Collegien",193336.01766584
