"ID","NAMES","agriculteurs_AsTheCowRolls_POT_20"
"77148","Crouy-sur-Ourcq",136.62292283
"77149","Cucharmoy",336.52042015
"77150","Cuisy",218.05460085
"77151","Dagny",456.31550974
"77152","Dammarie-les-Lys",373.72204885
"77153","Dammartin-en-Goele",297.46350353
"77154","Dammartin-sur-Tigeaux",414.69728759
"77155","Dampmart",374.17998679
"77156","Darvault",403.71912681
"77157","Dhuisy",243.14252172
"77158","Diant",205.31871173
"77159","Donnemarie-Dontilly",291.92591461
"77161","Dormelles",253.82524503
"77162","Doue",286.80384191
"77163","Douy-la-Ramee",131.95529978
"77164","Echouboulains",209.80518374
"77165","Les Ecrennes",245.08228359
"77166","Ecuelles",284.42023312
"77167","Egligny",227.05429429
"77168","Egreville",258.92771332
"77169","Emerainville",978.93448494
"77170","Episy",323.62760767
"77171","Esbly",407.36807391
"77172","Esmans",264.35867748
"77173","Etrepilly",230.52476098
"77174","Everly",271.74621801
"77175","Evry-Gregy-sur-Yerre",445.25648203
"77176","Faremoutiers",430.49789172
"77177","Favieres",463.58728033
"77178","Fay-les-Nemours",297.87462282
"77179","Fericy",208.43536716
"77180","Ferolles-Attilly",571.56365848
"77181","Ferrieres-en-Brie",899.18370485
"77182","La Ferte-Gaucher",353.16262242
"77183","La Ferte-sous-Jouarre",364.02901615
"77184","Flagy",236.45957574
"77185","Fleury-en-Biere",445.36602103
"77186","Fontainebleau",394.93939011
"77187","Fontaine-Fourches",156.14223768
"77188","Fontaine-le-Port",219.30686759
"77190","Fontains",242.89814658
"77191","Fontenailles",307.88516975
"77192","Fontenay-Tresigny",450.4982515
"77193","Forfry",163.82653606
"77194","Forges",271.38758754
"77195","Fouju",306.02414656
"77196","Fresnes-sur-Marne",407.02244267
"77197","Fretoy",393.56644457
"77198","Fromont",273.09719976
"77199","Fublaines",323.01682511
"77200","Garentreville",267.25222133
"77201","Gastins",356.27824081
"77202","La Genevraye",305.04258033
"77203","Germigny-l'Eveque",254.74325446
"77204","Germigny-sous-Coulombs",153.06300967
"77205","Gesvres-le-Chapitre",193.13270638
"77206","Giremoutiers",402.37557537
"77207","Gironville",226.93780658
"77208","Gouaix",244.50072155
"77209","Gouvernes",621.93489542
"77210","La Grande-Paroisse",207.03187472
"77211","Grandpuits-Bailly-Carrois",324.76981777
"77212","Gravon",205.89931363
"77214","Gressy",478.1866682
"77215","Gretz-Armainvilliers",570.07790232
"77216","Grez-sur-Loing",344.30193031
"77217","Grisy-Suisnes",479.89045831
"77218","Grisy-sur-Seine",216.7952325
"77219","Guerard",401.24094478
"77220","Guercheville",271.16504843
"77221","Guermantes",623.46303044
"77222","Guignes",430.24919901
"77223","Gurcy-le-Chatel",265.64295807
"77224","Hautefeuille",379.61689528
"77225","La Haute-Maison",362.01600578
"77226","Hericy",246.23931457
"77227","Herme",290.10428013
"77228","Hondevilliers",224.13596474
"77229","La Houssaye-en-Brie",453.11507571
"77230","Ichy",239.85544574
"77231","Isles-les-Meldeuses",255.13625733
"77232","Isles-les-Villenoy",350.79045968
"77233","Iverny",290.29233121
"77234","Jablines",285.4820548
"77235","Jaignes",273.2284158
"77236","Jaulnes",241.21230927
"77237","Jossigny",682.27748343
"77238","Jouarre",347.60847796
"77239","Jouy-le-Chatel",495.67332869
"77240","Jouy-sur-Morin",326.8607519
"77241","Juilly",268.87228905
"77242","Jutigny",322.74559295
"77243","Lagny-sur-Marne",604.90449823
"77244","Larchant",337.77666984
"77245","Laval-en-Brie",265.08501899
"77246","Lechelle",244.51355492
"77247","Lescherolles",263.31091329
"77248","Lesches",338.95048224
"77249","Lesigny",685.9828644
"77250","Leudon-en-Brie",366.00524047
"77251","Lieusaint",470.02299187
"77252","Limoges-Fourches",440.29108362
"77253","Lissy",429.99874181
"77254","Liverdy-en-Brie",385.47608715
"77255","Livry-sur-Seine",281.63243878
"77256","Lizines",300.93636865
"77257","Lizy-sur-Ourcq",251.28836903
"77258","Lognes",1027.93447968
"77259","Longperrier",282.04552134
"77260","Longueville",329.48728062
"77261","Lorrez-le-Bocage-Preaux",264.49177389
"77262","Louan-Villegruis-Fontaine",134.12153465
"77263","Luisetaines",279.79039554
"77264","Lumigny-Nesles-Ormeaux",460.22811929
"77265","Luzancy",252.60767079
"77266","Machault",229.47756683
"77267","La Madeleine-sur-Loing",267.93431061
"77268","Magny-le-Hongre",471.68510163
"77269","Maincy",361.31541142
"77270","Maisoncelles-en-Brie",373.5452315
"77271","Maisoncelles-en-Gatinais",228.3402419
"77272","Maison-Rouge",355.28149688
"77273","Marchemoret",235.64527325
"77274","Marcilly",233.8216892
"77275","Les Marets",319.28301312
"77276","Mareuil-les-Meaux",390.20522277
"77277","Marles-en-Brie",456.64061263
"77278","Marolles-en-Brie",372.18656418
