"ID","NAMES","artisans_AsTheCrowFlies_POT_10000"
"77144","Crevecoeur-en-Brie",1698.31258082
"77145","Crisenoy",2461.23618242
"77146","Croissy-Beaubourg",16275.0583479
"77147","La Croix-en-Brie",580.06795004
"77148","Crouy-sur-Ourcq",259.5499982
"77149","Cucharmoy",592.26792144
"77150","Cuisy",2003.65771044
"77151","Dagny",696.94791742
"77152","Dammarie-les-Lys",4091.98024923
"77153","Dammartin-en-Goele",1975.93899292
"77154","Dammartin-sur-Tigeaux",2465.76761818
"77155","Dampmart",7247.73347384
"77156","Darvault",1246.04640459
"77157","Dhuisy",432.34414124
"77158","Diant",537.38586877
"77159","Donnemarie-Dontilly",581.66015553
"77161","Dormelles",1091.12739098
"77162","Doue",1217.47502584
"77163","Douy-la-Ramee",1039.37346353
"77164","Echouboulains",988.20693124
"77165","Les Ecrennes",1083.67712588
"77166","Ecuelles",1655.60263153
"77167","Egligny",560.40329227
"77168","Egreville",380.13846981
"77169","Emerainville",24776.88863504
"77170","Episy",1606.13665233
"77171","Esbly",4920.85159715
"77172","Esmans",930.51283242
"77173","Etrepilly",1309.58468871
"77174","Everly",574.42428135
"77175","Evry-Gregy-sur-Yerre",5314.2709325
"77176","Faremoutiers",1512.93446944
"77177","Favieres",4928.60770021
"77178","Fay-les-Nemours",943.16694852
"77179","Fericy",1942.48262877
"77180","Ferolles-Attilly",10300.81469357
"77181","Ferrieres-en-Brie",10210.73631237
"77182","La Ferte-Gaucher",675.09316213
"77183","La Ferte-sous-Jouarre",996.71289936
"77184","Flagy",954.65111522
"77185","Fleury-en-Biere",2358.82856388
"77186","Fontainebleau",2145.94775306
"77187","Fontaine-Fourches",210.68622191
"77188","Fontaine-le-Port",2389.76856763
"77190","Fontains",608.50165374
"77191","Fontenailles",724.13799316
"77192","Fontenay-Tresigny",1532.8556646
"77193","Forfry",1220.47255526
"77194","Forges",1072.31204755
"77195","Fouju",2165.6616216
"77196","Fresnes-sur-Marne",5681.00217968
"77197","Fretoy",580.5802687
"77198","Fromont",481.97223982
"77199","Fublaines",2833.28158722
"77200","Garentreville",613.59857167
"77201","Gastins",688.44903177
"77202","La Genevraye",1534.90846204
"77203","Germigny-l'Eveque",2130.41204727
"77204","Germigny-sous-Coulombs",258.98892212
"77205","Gesvres-le-Chapitre",1581.40439932
"77206","Giremoutiers",1770.79614865
"77207","Gironville",248.17165033
"77208","Gouaix",597.58510763
"77209","Gouvernes",12178.49459369
"77210","La Grande-Paroisse",1419.40947327
"77211","Grandpuits-Bailly-Carrois",700.13953486
"77212","Gravon",464.05043921
"77214","Gressy",8377.23675543
