"ID","NAMES","ouvrier_AsTheCowRolls_POT_20"
"75101","Paris 1er Arrondissement",426037.44211424
"75102","Paris 2e  Arrondissement",423473.11044276
"75103","Paris 3e  Arrondissement",437833.90428383
"75104","Paris 4e  Arrondissement",437408.60809198
"75105","Paris 5e  Arrondissement",428060.53559824
"75106","Paris 6e  Arrondissement",418687.46928923
"75107","Paris 7e  Arrondissement",405213.75305833
"75108","Paris 8e  Arrondissement",429005.06453148
"75109","Paris 9e  Arrondissement",438579.8145763
"75110","Paris 10e  Arrondissement",453667.94253004
"75111","Paris 11e  Arrondissement",438231.2305999
"75112","Paris 12e  Arrondissement",441744.290438
"75113","Paris 13e  Arrondissement",426480.28161766
"75114","Paris 14e  Arrondissement",408587.65111911
"75115","Paris 15e  Arrondissement",377432.80826172
"75116","Paris 16e  Arrondissement",388414.32878394
"75117","Paris 17e  Arrondissement",426158.30087916
"75118","Paris 18e  Arrondissement",431832.91096756
"75119","Paris 19e  Arrondissement",435949.78300199
"75120","Paris 20e  Arrondissement",444135.72166577
"77001","Acheres-la-Foret",14616.56306073
"77002","Amillis",8507.53031241
"77003","Amponville",8273.54886597
"77004","Andrezel",24139.01570438
"77005","Annet-sur-Marne",128079.36921053
"77006","Arbonne-la-Foret",27392.09064626
"77007","Argentieres",16700.03082168
"77008","Armentieres-en-Brie",14549.19972941
"77009","Arville",4086.48034146
"77010","Aubepierre-Ozouer-le-Repos",14276.73404013
"77011","Aufferville",6259.01694758
"77012","Augers-en-Brie",3880.12186334
"77013","Aulnoy",11332.08000236
"77014","Avon",22633.72152284
"77015","Baby",3119.91712347
"77016","Bagneaux-sur-Loing",8690.69606898
"77018","Bailly-Romainvilliers",81477.01734546
"77019","Balloy",6819.0101462
"77020","Bannost-Villegagnon",6579.76403507
"77021","Barbey",7919.80927977
"77022","Barbizon",39187.85675341
"77023","Barcy",31085.3565828
"77024","Bassevelle",4821.76199265
"77025","Bazoches-les-Bray",6435.57541541
"77026","Beauchery-Saint-Martin",3244.72111807
"77027","Beaumont-du-Gatinais",2151.96358591
"77028","Beautheil",8314.14287763
"77029","Beauvoir",19169.82504498
"77030","Bellot",5165.50030302
"77031","Bernay-Vilbert",14618.02283711
"77032","Beton-Bazoches",6927.66708929
"77033","Bezalles",5215.37287703
"77034","Blandy",31102.02390346
"77035","Blennes",3408.32620515
"77036","Boisdon",6121.16638201
"77037","Bois-le-Roi",32209.04581862
"77038","Boissettes",44562.94111977
"77039","Boissise-la-Bertrand",45811.26665042
"77040","Boissise-le-Roi",58765.85337989
"77041","Boissy-aux-Cailles",6482.03722245
"77042","Boissy-le-Chatel",9494.70124798
"77043","Boitron",5134.78368056
"77044","Bombon",14094.38407688
"77045","Bougligny",5679.50270035
"77046","Boulancourt",2800.73186609
"77047","Bouleurs",46915.5243845
"77048","Bourron-Marlotte",12516.83844743
"77049","Boutigny",36368.35738475
"77050","Bransles",5186.96628462
"77051","Bray-sur-Seine",5575.68112386
"77052","Breau",19109.34704619
"77053","Brie-Comte-Robert",127653.57847876
"77054","La Brosse-Montceaux",8346.83636944
"77055","Brou-sur-Chantereine",190091.4839659
"77056","Burcy",4557.20617236
"77057","Bussieres",7873.38379325
"77058","Bussy-Saint-Georges",179788.5967987
"77059","Bussy-Saint-Martin",162660.62896588
"77060","Buthiers",4658.53868218
"77061","Cannes-Ecluse",9771.18111244
"77062","Carnetin",105629.97724559
"77063","La Celle-sur-Morin",16936.87793327
"77065","Cely",54542.79857914
"77066","Cerneux",4366.08544536
"77067","Cesson",71164.90711166
"77068","Cessoy-en-Montois",5707.09215684
"77069","Chailly-en-Biere",47588.13575975
"77070","Chailly-en-Brie",11562.38157868
"77071","Chaintreaux",6447.47101486
"77072","Chalautre-la-Grande",2146.56479699
"77073","Chalautre-la-Petite",5072.00661741
"77075","Chalifert",90984.05965101
"77076","Chalmaison",5269.37107838
"77077","Chambry",36101.11467615
"77078","Chamigny",10387.8250322
"77079","Champagne-sur-Seine",16015.47203955
"77080","Champcenest",4893.17682468
"77081","Champdeuil",48969.35350224
"77082","Champeaux",25351.03230433
"77083","Champs-sur-Marne",256503.10282032
"77084","Changis-sur-Marne",22652.83934984
"77085","Chanteloup-en-Brie",128212.44715427
"77086","La Chapelle-Gauthier",19760.60896933
"77087","La Chapelle-Iger",9766.1944301
"77088","La Chapelle-la-Reine",17721.21825047
"77089","La Chapelle-Rablais",8669.28832185
"77090","La Chapelle-Saint-Sulpice",6519.21230194
"77091","Les Chapelles-Bourbon",34623.49153284
"77093","La Chapelle-Moutils",3267.53162041
"77094","Charmentray",66978.00790807
"77095","Charny",65066.21446124
"77096","Chartrettes",28059.17212075
"77097","Chartronges",5610.42762025
"77098","Chateaubleau",6038.34695651
"77099","Chateau-Landon",4740.2759418
"77100","Le Chatelet-en-Brie",27912.76123889
"77101","Chatenay-sur-Seine",6820.60639583
"77102","Chatenoy",7080.6729446
"77103","Chatillon-la-Borde",25473.86122725
"77104","Chatres",44538.99153061
"77106","Chauffry",7245.46424552
"77107","Chaumes-en-Brie",28789.60596413
"77108","Chelles",246387.56772355
"77109","Chenoise",6708.38109515
"77110","Chenou",4351.2959047
"77111","Chessy",105463.73067716
"77112","Chevrainvilliers",7128.27113429
"77113","Chevru",7291.41841349
"77114","Chevry-Cossigny",99693.08986846
"77115","Chevry-en-Sereine",5502.47333269
"77116","Choisy-en-Brie",7563.84681045
"77117","Citry",4750.44279075
"77118","Claye-Souilly",173661.99256687
"77119","Clos-Fontaine",7454.34307415
"77120","Cocherel",9981.87201941
"77121","Collegien",216221.2779509
"77122","Combs-la-Ville",108573.91928502
"77123","Compans",148590.58505242
"77124","Conches-sur-Gondoire",134890.76833883
"77125","Conde-Sainte-Libiaire",51595.22768609
"77126","Congis-sur-Therouanne",13810.01564656
"77127","Coubert",77214.4852191
"77128","Couilly-Pont-aux-Dames",80682.4788609
"77129","Coulombs-en-Valois",4866.84414214
"77130","Coulommes",40348.70353564
"77131","Coulommiers",14233.64518493
"77132","Coupvray",77808.6166624
"77133","Courcelles-en-Bassee",7100.28899798
"77134","Courchamp",4869.78183884
"77135","Courpalay",12576.842837
"77136","Courquetaine",37846.58302015
"77137","Courtacon",6333.86488365
"77138","Courtomer",11595.67445815
"77139","Courtry",207963.03716842
"77140","Coutencon",7502.19047427
"77141","Coutevroult",63354.31002687
"77142","Crecy-la-Chapelle",43269.21195044
"77143","Cregy-les-Meaux",50098.04932992
"77144","Crevecoeur-en-Brie",27244.86985754
"77145","Crisenoy",50369.7586531
"77146","Croissy-Beaubourg",231602.48871444
"77147","La Croix-en-Brie",6228.02529493
"77148","Crouy-sur-Ourcq",5482.52803515
"77149","Cucharmoy",5745.09556561
"77150","Cuisy",32455.97278645
"77151","Dagny",8782.26791933
"77152","Dammarie-les-Lys",47956.11644109
"77153","Dammartin-en-Goele",79985.16927233
"77154","Dammartin-sur-Tigeaux",28604.14025821
"77155","Dampmart",102112.25712006
"77156","Darvault",12787.42834414
"77157","Dhuisy",9177.0261517
"77158","Diant",5358.21584174
"77159","Donnemarie-Dontilly",7098.26725429
"77161","Dormelles",8796.18742419
"77162","Doue",8434.20089151
"77163","Douy-la-Ramee",12044.09022244
"77164","Echouboulains",9474.5574701
"77165","Les Ecrennes",18605.20008773
"77166","Ecuelles",13476.00583245
"77167","Egligny",5813.93601705
"77168","Egreville",6070.05225194
"77169","Emerainville",240384.28017005
"77170","Episy",14957.3676095
"77171","Esbly",64414.92496907
"77172","Esmans",9841.01097047
"77173","Etrepilly",18468.5684396
"77174","Everly",5332.01132176
"77175","Evry-Gregy-sur-Yerre",99639.42441638
"77176","Faremoutiers",16455.22430278
"77177","Favieres",63092.72907717
"77178","Fay-les-Nemours",7472.4425799
"77179","Fericy",17120.54974885
"77180","Ferolles-Attilly",131305.44947673
"77181","Ferrieres-en-Brie",203315.89108157
"77182","La Ferte-Gaucher",6228.43651376
"77183","La Ferte-sous-Jouarre",16196.66956879
"77184","Flagy",7955.8640666
"77185","Fleury-en-Biere",50747.47887683
"77186","Fontainebleau",26689.6580228
"77187","Fontaine-Fourches",2968.36284255
"77188","Fontaine-le-Port",22397.47141139
"77190","Fontains",7120.69058776
"77191","Fontenailles",13474.05126037
"77192","Fontenay-Tresigny",30444.99001283
"77193","Forfry",16433.61817501
"77194","Forges",12297.69179245
"77195","Fouju",33370.72415193
"77196","Fresnes-sur-Marne",118988.75926885
"77197","Fretoy",6546.27290289
"77198","Fromont",5267.62841258
"77199","Fublaines",26424.2413107
"77200","Garentreville",4782.19279683
"77201","Gastins",8092.51272858
"77202","La Genevraye",12357.58587027
"77203","Germigny-l'Eveque",18750.61152249
