"ID","NAMES","intermediaires_AsTheCowRolls_ACC_0.05"
"75101","Paris 1er Arrondissement",4.46292237779266
"75102","Paris 2e  Arrondissement",4.27197306921797
"75103","Paris 3e  Arrondissement",3.18812042718336
"75104","Paris 4e  Arrondissement",3.46874606984722
"75105","Paris 5e  Arrondissement",3.84337674289301
"75106","Paris 6e  Arrondissement",4.32749752747219
"75107","Paris 7e  Arrondissement",5.14344627885099
"75108","Paris 8e  Arrondissement",4.05787698324289
"75109","Paris 9e  Arrondissement",3.20426663204421
"75110","Paris 10e  Arrondissement",2.44345708216732
"75111","Paris 11e  Arrondissement",2.7944396122544
"75112","Paris 12e  Arrondissement",3.89533401982477
"75113","Paris 13e  Arrondissement",3.34700577815749
"75114","Paris 14e  Arrondissement",3.8781694081408
"75115","Paris 15e  Arrondissement",5.07500968435287
"75116","Paris 16e  Arrondissement",5.69744258540654
"75117","Paris 17e  Arrondissement",3.6970671930544
"75118","Paris 18e  Arrondissement",3.64534135163319
"75119","Paris 19e  Arrondissement",3.91713962789905
"75120","Paris 20e  Arrondissement",3.0785676584325
"77001","Acheres-la-Foret",27.1699015302135
"77002","Amillis",32.7965445547386
"77003","Amponville",30.125481509104
"77004","Andrezel",24.0624854634698
"77005","Annet-sur-Marne",15.3760187633481
"77006","Arbonne-la-Foret",23.6904300470113
"77007","Argentieres",25.6515415290102
"77008","Armentieres-en-Brie",27.3431337934014
"77009","Arville",39.1475128207164
"77010","Aubepierre-Ozouer-le-Repos",26.683687847556
"77011","Aufferville",35.4051145093704
"77012","Augers-en-Brie",38.420593039347
"77013","Aulnoy",30.3015059456108
"77014","Avon",26.4141809526478
"77015","Baby",47.6988415675764
"77016","Bagneaux-sur-Loing",32.1075454252305
"77018","Bailly-Romainvilliers",16.7046688307409
"77019","Balloy",40.0848353145222
"77020","Bannost-Villegagnon",32.291322290252
"77021","Barbey",36.3506508863354
"77022","Barbizon",21.3781158976311
"77023","Barcy",22.8202058673892
"77024","Bassevelle",34.9672115653995
"77025","Bazoches-les-Bray",41.0259119651955
"77026","Beauchery-Saint-Martin",46.2643582256406
"77027","Beaumont-du-Gatinais",42.414650316907
"77028","Beautheil",31.8491376942649
"77029","Beauvoir",25.1382175632497
"77030","Bellot",40.6814205802098
"77031","Bernay-Vilbert",26.2316202868162
"77032","Beton-Bazoches",33.1953326390791
"77033","Bezalles",35.0872870904369
"77034","Blandy",23.436542021874
"77035","Blennes",45.396396075986
"77036","Boisdon",32.9623062974774
"77037","Bois-le-Roi",23.1462488351277
"77038","Boissettes",20.7038494085907
"77039","Boissise-la-Bertrand",20.5609114551384
"77040","Boissise-le-Roi",18.7270896778915
"77041","Boissy-aux-Cailles",31.0562965762357
"77042","Boissy-le-Chatel",31.0867895495459
"77043","Boitron",35.8063093445292
"77044","Bombon",28.2022033838604
"77045","Bougligny",36.4074715303411
"77046","Boulancourt",35.8241863324169
"77047","Bouleurs",20.0988841665606
"77048","Bourron-Marlotte",31.541333251652
"77049","Boutigny",21.1824794731752
"77050","Bransles",36.606379906418
"77051","Bray-sur-Seine",43.9870582698948
"77052","Breau",26.5658229962917
"77053","Brie-Comte-Robert",14.6558797568049
"77054","La Brosse-Montceaux",38.165053743739
"77055","Brou-sur-Chantereine",11.7619592724964
"77056","Burcy",35.0197227587136
"77057","Bussieres",31.5737101716324
