"ID","NAMES","agriculteurs_AsTheCrowFlies_POT_2500"
"75101","Paris 1er Arrondissement",310.07846329
"75102","Paris 2e  Arrondissement",305.85472228
"75103","Paris 3e  Arrondissement",266.56792009
"75104","Paris 4e  Arrondissement",254.84296852
"75105","Paris 5e  Arrondissement",233.26551794
"75106","Paris 6e  Arrondissement",275.40710547
"75107","Paris 7e  Arrondissement",293.59495475
"75108","Paris 8e  Arrondissement",303.76108402
"75109","Paris 9e  Arrondissement",299.77091414
"75110","Paris 10e  Arrondissement",249.50458487
"75111","Paris 11e  Arrondissement",185.46858033
"75112","Paris 12e  Arrondissement",66.62572536
"75113","Paris 13e  Arrondissement",118.63006777
"75114","Paris 14e  Arrondissement",187.50543092
"75115","Paris 15e  Arrondissement",240.94316584
"75116","Paris 16e  Arrondissement",301.82848312
"75117","Paris 17e  Arrondissement",281.08208754
"75118","Paris 18e  Arrondissement",189.51931918
"75119","Paris 19e  Arrondissement",128.24974555
"75120","Paris 20e  Arrondissement",122.42130357
"77001","Acheres-la-Foret",17.49873096
"77002","Amillis",4.86810914
"77003","Amponville",7.01010188
"77004","Andrezel",12.7393264
"77005","Annet-sur-Marne",3.5020569
"77006","Arbonne-la-Foret",7.07250612
"77007","Argentieres",2.31008144
"77008","Armentieres-en-Brie",0.85084037
"77009","Arville",9.52896506
"77010","Aubepierre-Ozouer-le-Repos",9.56062704
"77011","Aufferville",22.81493231
"77012","Augers-en-Brie",7.9435166
"77013","Aulnoy",3.24514299
"77014","Avon",0.58705602
"77015","Baby",6.1225708
"77016","Bagneaux-sur-Loing",3.57535769
"77018","Bailly-Romainvilliers",4.58986236
"77019","Balloy",10.40178354
"77020","Bannost-Villegagnon",18.66131108
"77021","Barbey",0.87675776
"77022","Barbizon",30.17630421
"77023","Barcy",3.34134798
"77024","Bassevelle",8.31789512
"77025","Bazoches-les-Bray",16.24139204
"77026","Beauchery-Saint-Martin",12.2253198
"77027","Beaumont-du-Gatinais",16.27361352
"77028","Beautheil",19.88206076
"77029","Beauvoir",1.82336444
"77030","Bellot",9.63161191
"77031","Bernay-Vilbert",25.35758188
"77032","Beton-Bazoches",23.05940653
"77033","Bezalles",29.77045745
"77034","Blandy",4.10660732
"77035","Blennes",0.67610479
"77036","Boisdon",28.62539007
"77037","Bois-le-Roi",4.99591902
"77038","Boissettes",4.02053154
"77039","Boissise-la-Bertrand",2.65629229
"77040","Boissise-le-Roi",6.49562781
"77041","Boissy-aux-Cailles",21.44636984
"77042","Boissy-le-Chatel",5.28279519
"77043","Boitron",11.8436208
"77044","Bombon",1.23131716
"77045","Bougligny",8.01923854
"77046","Boulancourt",7.0145648
"77047","Bouleurs",25.94837428
"77048","Bourron-Marlotte",8.2015866
"77049","Boutigny",11.35340728
"77050","Bransles",8.09916452
"77051","Bray-sur-Seine",11.7250831
"77052","Breau",2.22231072
"77053","Brie-Comte-Robert",13.48493711
"77054","La Brosse-Montceaux",6.0706105
"77055","Brou-sur-Chantereine",3.31086857
"77056","Burcy",16.92584052
"77057","Bussieres",5.61810908
"77058","Bussy-Saint-Georges",20.23405224
"77059","Bussy-Saint-Martin",5.68896422
"77060","Buthiers",10.59319368
"77061","Cannes-Ecluse",9.45660847
"77062","Carnetin",4.93007788
"77063","La Celle-sur-Morin",7.72249938
"77065","Cely",5.40343136
"77066","Cerneux",10.41429502
"77067","Cesson",10.14612234
"77068","Cessoy-en-Montois",12.21370172
"77069","Chailly-en-Biere",35.35636924
"77070","Chailly-en-Brie",1.04647177
"77071","Chaintreaux",14.41614641
"77072","Chalautre-la-Grande",16.02401502
"77073","Chalautre-la-Petite",9.55020596
"77075","Chalifert",9.28952258
"77076","Chalmaison",7.40964056
"77077","Chambry",7.52619684
"77078","Chamigny",5.13221234
"77079","Champagne-sur-Seine",2.22133156
"77080","Champcenest",30.53785554
"77081","Champdeuil",5.5291658
"77082","Champeaux",6.22373624
"77083","Champs-sur-Marne",9.80732564
"77084","Changis-sur-Marne",3.69980066
"77085","Chanteloup-en-Brie",13.37468178
"77086","La Chapelle-Gauthier",0.00826104
"77087","La Chapelle-Iger",8.29179956
"77088","La Chapelle-la-Reine",14.66460004
"77089","La Chapelle-Rablais",1.09720193
"77090","La Chapelle-Saint-Sulpice",8.82884532
"77091","Les Chapelles-Bourbon",17.01849784
"77093","La Chapelle-Moutils",7.32984963
"77094","Charmentray",7.19823948
"77095","Charny",12.0196681
"77096","Chartrettes",9.55821282
"77097","Chartronges",11.7830748
"77098","Chateaubleau",14.69498884
"77099","Chateau-Landon",13.35713712
"77100","Le Chatelet-en-Brie",9.85445628
"77101","Chatenay-sur-Seine",12.50043552
"77102","Chatenoy",9.96731184
"77103","Chatillon-la-Borde",0.8702826
"77104","Chatres",6.35937896
"77106","Chauffry",2.89368365
"77107","Chaumes-en-Brie",6.31242836
"77108","Chelles",17.88724903
"77109","Chenoise",8.07597482
"77110","Chenou",24.76490212
"77111","Chessy",10.54179828
"77112","Chevrainvilliers",12.57529316
"77113","Chevru",15.030483
"77114","Chevry-Cossigny",5.90392524
"77115","Chevry-en-Sereine",9.10654614
"77116","Choisy-en-Brie",17.84921332
"77117","Citry",16.43658261
"77118","Claye-Souilly",6.99837778
"77119","Clos-Fontaine",3.00602444
"77120","Cocherel",7.70984895
"77121","Collegien",7.6251647
"77122","Combs-la-Ville",6.50260716
"77123","Compans",7.97673126
"77124","Conches-sur-Gondoire",13.62736342
"77125","Conde-Sainte-Libiaire",6.36750216
"77126","Congis-sur-Therouanne",10.7236575
"77127","Coubert",16.71861459
"77128","Couilly-Pont-aux-Dames",11.02004208
"77129","Coulombs-en-Valois",32.44108395
"77130","Coulommes",23.53384328
"77131","Coulommiers",11.16124227
"77132","Coupvray",5.99298239
"77133","Courcelles-en-Bassee",10.29783794
"77134","Courchamp",9.92177026
"77135","Courpalay",8.42096856
"77136","Courquetaine",15.620016
"77137","Courtacon",10.91986524
"77138","Courtomer",5.95119964
"77139","Courtry",4.24184675
"77140","Coutencon",5.79652511
"77141","Coutevroult",10.76945508
"77142","Crecy-la-Chapelle",18.8183416
"77143","Cregy-les-Meaux",10.65118228
"77144","Crevecoeur-en-Brie",10.52554888
"77145","Crisenoy",1.81624208
"77146","Croissy-Beaubourg",1.00574534
"77147","La Croix-en-Brie",12.23161756
"77148","Crouy-sur-Ourcq",3.06055713
"77149","Cucharmoy",4.60585616
"77150","Cuisy",12.44131632
"77151","Dagny",5.35695652
"77152","Dammarie-les-Lys",4.86333348
"77153","Dammartin-en-Goele",4.41816056
"77154","Dammartin-sur-Tigeaux",4.60457944
"77155","Dampmart",12.37583415
"77156","Darvault",8.51192589
"77157","Dhuisy",16.59151226
"77158","Diant",17.16627668
"77159","Donnemarie-Dontilly",16.02951452
"77161","Dormelles",19.76537608
"77162","Doue",26.70991276
"77163","Douy-la-Ramee",2.42843008
"77164","Echouboulains",9.21499288
