"ID","NAMES","intermediaires_AsTheCrowFlies_ACC_0.01"
"77137","Courtacon",24349.4329183569
"77138","Courtomer",14285.5112292409
"77139","Courtry",3597.50479176683
"77140","Coutencon",17054.067725572
"77141","Coutevroult",7902.19221079266
"77142","Crecy-la-Chapelle",10080.7544005359
"77143","Cregy-les-Meaux",9166.53013057789
"77144","Crevecoeur-en-Brie",12191.0359118082
"77145","Crisenoy",9834.62495616516
"77146","Croissy-Beaubourg",4045.97725803112
"77147","La Croix-en-Brie",19183.1307021092
"77148","Crouy-sur-Ourcq",20459.9967930571
"77149","Cucharmoy",22264.9423988061
"77150","Cuisy",10353.3894333236
"77151","Dagny",19921.7665055342
"77152","Dammarie-les-Lys",6414.1494330714
"77153","Dammartin-en-Goele",10177.4318353444
"77154","Dammartin-sur-Tigeaux",10581.5407273639
"77155","Dampmart",5780.10700311257
"77156","Darvault",17468.3664915024
"77157","Dhuisy",20846.2848094217
"77158","Diant",22176.0004310837
"77159","Donnemarie-Dontilly",21075.225613278
"77161","Dormelles",17083.3568193068
"77162","Doue",17087.5884814187
"77163","Douy-la-Ramee",13783.6235871887
"77164","Echouboulains",14875.5942894152
"77165","Les Ecrennes",13307.0224455834
"77166","Ecuelles",13834.5677652455
"77167","Egligny",21813.8445591961
"77168","Egreville",26143.3265854965
"77169","Emerainville",3270.37750219182
"77170","Episy",14360.7859704326
"77171","Esbly",6871.74624266248
"77172","Esmans",18519.8457704857
"77173","Etrepilly",13443.0392127406
"77174","Everly",27346.482776405
"77175","Evry-Gregy-sur-Yerre",7191.34260879067
"77176","Faremoutiers",13801.1404621284
"77177","Favieres",7703.82644538836
"77178","Fay-les-Nemours",21402.6118856045
"77179","Fericy",11219.7743316573
"77180","Ferolles-Attilly",5920.98204682023
"77181","Ferrieres-en-Brie",5114.52116529124
"77182","La Ferte-Gaucher",23851.5333655079
"77183","La Ferte-sous-Jouarre",16070.5704280749
"77184","Flagy",18133.702418462
"77185","Fleury-en-Biere",10962.5738937749
"77186","Fontainebleau",11465.0906534942
"77187","Fontaine-Fourches",34235.5948292998
"77188","Fontaine-le-Port",10092.4848037173
"77190","Fontains",17510.4501865715
"77191","Fontenailles",15208.9235848789
"77192","Fontenay-Tresigny",12742.2464185409
"77193","Forfry",12826.837502265
"77194","Forges",15763.2023105548
"77195","Fouju",10316.1633862532
"77196","Fresnes-sur-Marne",7565.55087519741
"77197","Fretoy",21107.3168992561
"77198","Fromont",21465.0635744527
"77199","Fublaines",9330.24720966059
"77200","Garentreville",22113.1322028647
"77201","Gastins",17801.5210966073
"77202","La Genevraye",15061.9589211655
"77203","Germigny-l'Eveque",11092.3267298129
"77204","Germigny-sous-Coulombs",22214.505389514
"77205","Gesvres-le-Chapitre",11712.8059116933
"77206","Giremoutiers",12691.3633715543
"77207","Gironville",27253.4679686061
"77208","Gouaix",28401.4393226761
"77209","Gouvernes",4245.03795548869
"77210","La Grande-Paroisse",14632.8741074952
"77211","Grandpuits-Bailly-Carrois",16859.6342948387
"77212","Gravon",23016.1847763658
"77214","Gressy",6395.13334681406
"77215","Gretz-Armainvilliers",7655.36387012799
"77216","Grez-sur-Loing",15963.8172199087
"77217","Grisy-Suisnes",7993.55315312387
"77218","Grisy-sur-Seine",30160.8571669288
"77219","Guerard",11458.0612091067
"77220","Guercheville",20471.6487013098
"77221","Guermantes",4489.82773837587
"77222","Guignes",11715.3000467923
"77223","Gurcy-le-Chatel",19759.1603075513
"77224","Hautefeuille",13225.0065683748
"77225","La Haute-Maison",11330.4837915314
"77226","Hericy",11151.909728661
"77227","Herme",30367.6718165027
"77228","Hondevilliers",24115.3413167909
"77229","La Houssaye-en-Brie",11125.5503163149
"77230","Ichy",24127.4894496285
"77231","Isles-les-Meldeuses",13193.98540738
"77232","Isles-les-Villenoy",7229.14455603748
"77233","Iverny",9556.78662388764
"77234","Jablines",6647.45571020968
"77235","Jaignes",15002.8046615036
"77236","Jaulnes",28869.6699406616
"77237","Jossigny",5911.8001128725
"77238","Jouarre",14718.1856157955
"77239","Jouy-le-Chatel",20010.2330011752
"77240","Jouy-sur-Morin",22483.9902989673
"77241","Juilly",9330.18657504112
"77242","Jutigny",25180.613701922
"77243","Lagny-sur-Marne",4703.88421138769
"77244","Larchant",18429.6419421353
"77245","Laval-en-Brie",16368.5596630712
"77246","Lechelle",30569.2829105185
"77247","Lescherolles",26138.005194743
"77248","Lesches",7029.27550519075
"77249","Lesigny",5163.41207179736
"77250","Leudon-en-Brie",23064.6927083348
"77251","Lieusaint",5042.47379703394
"77252","Limoges-Fourches",7823.88420572843
"77253","Lissy",8622.67355937709
"77254","Liverdy-en-Brie",10545.058654644
"77255","Livry-sur-Seine",7591.47612791842
"77256","Lizines",22430.5174659909
"77257","Lizy-sur-Ourcq",15397.281991603
"77258","Lognes",3394.05248935644
"77259","Longperrier",9412.51044586109
"77260","Longueville",25338.7699049529
"77261","Lorrez-le-Bocage-Preaux",21960.6816348811
"77262","Louan-Villegruis-Fontaine",34224.4377982522
"77263","Luisetaines",23938.3908135679
"77264","Lumigny-Nesles-Ormeaux",14335.7678502676
"77265","Luzancy",19161.9801387458
"77266","Machault",12327.3844130644
"77267","La Madeleine-sur-Loing",22931.9336850637
"77268","Magny-le-Hongre",6714.22391085468
"77269","Maincy",7704.08847307958
"77270","Maisoncelles-en-Brie",11476.5058608116
"77271","Maisoncelles-en-Gatinais",25129.6888539058
"77272","Maison-Rouge",21665.5328382421
"77273","Marchemoret",11405.0621792235
"77274","Marcilly",12316.4215989119
"77275","Les Marets",25830.3672061118
"77276","Mareuil-les-Meaux",7563.39154519334
"77277","Marles-en-Brie",12672.5091063954
"77278","Marolles-en-Brie",18509.1523177881
"77279","Marolles-sur-Seine",19556.1686689278
"77280","Mary-sur-Marne",14791.3941230946
"77281","Mauperthuis",15135.0205339554
"77282","Mauregard",6862.69554346881
"77283","May-en-Multien",17719.3126594974
"77284","Meaux",8755.20031536226
"77285","Le Mee-sur-Seine",5395.37743968828
"77286","Meigneux",20180.0847194051
"77287","Meilleray",29022.4609217442
"77288","Melun",5779.92282365042
"77289","Melz-sur-Seine",32236.9151520181
"77290","Mery-sur-Marne",20168.6597418043
"77291","Le Mesnil-Amelot",6709.9637647833
"77292","Messy",7661.27966386931
"77293","Misy-sur-Yonne",22547.9870484455
"77294","Mitry-Mory",5422.34810019382
"77295","Moisenay",9167.45605738424
"77296","Moissy-Cramayel",5747.78417500882
"77297","Mondreville",27629.5694258235
"77298","Mons-en-Montois",21752.1946862626
"77299","Montarlot",14641.0506721777
"77300","Montceaux-les-Meaux",10956.5268742149
"77301","Montceaux-les-Provins",31052.5472110858
"77302","Montcourt-Fromonville",16101.914214322
"77303","Montdauphin",29159.8438623096
"77304","Montenils",32031.7586508968
"77305","Montereau-Fault-Yonne",16827.6409010662
"77306","Montereau-sur-le-Jard",7310.71307861956
"77307","Montevrain",5158.55440741056
"77308","Montge-en-Goele",10339.351662183
"77309","Monthyon",10337.8553907813
"77310","Montigny-le-Guesdier",28587.9001194533
"77311","Montigny-Lencoup",18977.7720126469
"77312","Montigny-sur-Loing",13766.7797025952
"77313","Montmachoux",20334.7181475799
"77314","Montolivet",29730.8994240989
"77315","Montry",6897.39758533743
"77316","Moret-sur-Loing",13313.8042696432
"77317","Mormant",14152.2025662637
"77318","Mortcerf",11302.4350994712
"77319","Mortery",24584.9585793309
"77320","Mouroux",13802.1002821575
