"ID","NAMES","ouvrier_AsTheCrowFlies_POT_10000"
"75101","Paris 1er Arrondissement",266275.7351454
"75102","Paris 2e  Arrondissement",272812.24974644
"75103","Paris 3e  Arrondissement",275657.10675093
"75104","Paris 4e  Arrondissement",269149.48428572
"75105","Paris 5e  Arrondissement",257844.31737869
"75106","Paris 6e  Arrondissement",253769.24319794
"75107","Paris 7e  Arrondissement",246264.11424273
"75108","Paris 8e  Arrondissement",256080.68849685
"75109","Paris 9e  Arrondissement",272960.08116121
"75110","Paris 10e  Arrondissement",281279.5984459
"75111","Paris 11e  Arrondissement",276824.3334142
"75112","Paris 12e  Arrondissement",250690.06353467
"75113","Paris 13e  Arrondissement",244312.1355325
"75114","Paris 14e  Arrondissement",228416.07638633
"75115","Paris 15e  Arrondissement",215324.06893013
"75116","Paris 16e  Arrondissement",200615.92843718
"75117","Paris 17e  Arrondissement",255142.22911758
"75118","Paris 18e  Arrondissement",278119.13785021
"75119","Paris 19e  Arrondissement",284559.52017516
"75120","Paris 20e  Arrondissement",277880.33743067
"77001","Acheres-la-Foret",2554.14246711
"77002","Amillis",3803.07998615
"77003","Amponville",1880.45989538
"77004","Andrezel",6395.47190086
"77005","Annet-sur-Marne",34426.69883691
"77006","Arbonne-la-Foret",4308.47140438
"77007","Argentieres",4963.77079768
"77008","Armentieres-en-Brie",9246.31021204
"77009","Arville",1302.80433952
"77010","Aubepierre-Ozouer-le-Repos",4535.75316327
"77011","Aufferville",2735.23318865
"77012","Augers-en-Brie",1537.05908894
"77013","Aulnoy",6107.7584181
"77014","Avon",7031.79226491
"77015","Baby",1069.30652182
"77016","Bagneaux-sur-Loing",4607.95783567
"77018","Bailly-Romainvilliers",15229.75897822
"77019","Balloy",2393.45187717
"77020","Bannost-Villegagnon",2010.03151357
"77021","Barbey",4105.8173614
"77022","Barbizon",9716.44480453
"77023","Barcy",10704.90424625
"77024","Bassevelle",2411.72858974
"77025","Bazoches-les-Bray",2019.40685975
"77026","Beauchery-Saint-Martin",1496.70688214
"77027","Beaumont-du-Gatinais",347.52403654
"77028","Beautheil",4864.7094271
"77029","Beauvoir",4985.19304956
"77030","Bellot",2708.68211747
"77031","Bernay-Vilbert",4248.54509616
"77032","Beton-Bazoches",2206.93952866
"77033","Bezalles",2068.09315902
"77034","Blandy",8315.51650659
"77035","Blennes",968.84203328
"77036","Boisdon",2013.41179793
"77037","Bois-le-Roi",13090.71204064
"77038","Boissettes",20952.13978305
"77039","Boissise-la-Bertrand",23694.00200231
"77040","Boissise-le-Roi",20152.48118041
"77041","Boissy-aux-Cailles",1561.62044924
"77042","Boissy-le-Chatel",5705.68353839
"77043","Boitron",3183.53114228
"77044","Bombon",4626.98027548
"77045","Bougligny",3820.90684343
"77046","Boulancourt",794.45191347
"77047","Bouleurs",12187.52372517
"77048","Bourron-Marlotte",5583.17854648
"77049","Boutigny",13093.02573993
"77050","Bransles",1685.68332084
"77051","Bray-sur-Seine",2128.98646128
"77052","Breau",4334.1046864
"77053","Brie-Comte-Robert",32051.27487118
"77054","La Brosse-Montceaux",3984.36573184
"77055","Brou-sur-Chantereine",76846.40858985
"77056","Burcy",1428.69002813
"77057","Bussieres",3216.90503557
"77058","Bussy-Saint-Georges",33916.27724517
"77059","Bussy-Saint-Martin",52654.46363691
