"ID","NAMES","artisans_AsTheCowRolls_POT_20"
"75101","Paris 1er Arrondissement",152356.62071457
"75102","Paris 2e  Arrondissement",150961.70249735
"75103","Paris 3e  Arrondissement",153135.91337009
"75104","Paris 4e  Arrondissement",154582.00405748
"75105","Paris 5e  Arrondissement",152427.58882709
"75106","Paris 6e  Arrondissement",151246.01122575
"75107","Paris 7e  Arrondissement",148318.11121798
"75108","Paris 8e  Arrondissement",153274.64114226
"75109","Paris 9e  Arrondissement",154315.91418225
"75110","Paris 10e  Arrondissement",156508.81262382
"75111","Paris 11e  Arrondissement",151117.28265733
"75112","Paris 12e  Arrondissement",151278.85420306
"75113","Paris 13e  Arrondissement",150938.32435968
"75114","Paris 14e  Arrondissement",148744.56804009
"75115","Paris 15e  Arrondissement",141883.67074616
"75116","Paris 16e  Arrondissement",144702.97336684
"75117","Paris 17e  Arrondissement",151209.56339864
"75118","Paris 18e  Arrondissement",149806.66767025
"75119","Paris 19e  Arrondissement",148012.86745566
"75120","Paris 20e  Arrondissement",149627.86556248
"77001","Acheres-la-Foret",4037.46849896
"77002","Amillis",2140.77132757
"77003","Amponville",2462.99226795
"77004","Andrezel",5526.77730396
"77005","Annet-sur-Marne",31781.3548138
"77006","Arbonne-la-Foret",6769.3572259
"77007","Argentieres",3998.99369431
"77008","Armentieres-en-Brie",3034.76599291
"77009","Arville",1030.29539023
"77010","Aubepierre-Ozouer-le-Repos",3359.26975197
"77011","Aufferville",1668.75702343
"77012","Augers-en-Brie",876.98462105
"77013","Aulnoy",2860.91301695
"77014","Avon",5538.0622338
"77015","Baby",595.6185068
"77016","Bagneaux-sur-Loing",2277.89812418
"77018","Bailly-Romainvilliers",23144.88768182
"77019","Balloy",1237.86938378
"77020","Bannost-Villegagnon",1567.80404873
"77021","Barbey",1545.24273404
"77022","Barbizon",9084.97034126
"77023","Barcy",6910.57920037
"77024","Bassevelle",1086.95644613
"77025","Bazoches-les-Bray",1150.41908936
"77026","Beauchery-Saint-Martin",644.10577474
"77027","Beaumont-du-Gatinais",568.6573428
"77028","Beautheil",2175.74493076
"77029","Beauvoir",4591.2892471
"77030","Bellot",1184.45533971
"77031","Bernay-Vilbert",3761.02972735
"77032","Beton-Bazoches",1632.62716844
"77033","Bezalles",1209.38860018
"77034","Blandy",6449.07914107
"77035","Blennes",757.03768652
"77036","Boisdon",1465.64715439
"77037","Bois-le-Roi",7444.55046341
"77038","Boissettes",9790.22864621
"77039","Boissise-la-Bertrand",10076.99297431
"77040","Boissise-le-Roi",13377.42448627
"77041","Boissy-aux-Cailles",2074.46273338
"77042","Boissy-le-Chatel",2487.40403616
"77043","Boitron",1170.90217301
"77044","Bombon",2852.16202067
"77045","Bougligny",1392.34839394
"77046","Boulancourt",1000.77558978
"77047","Bouleurs",12674.00859842
"77048","Bourron-Marlotte",3287.0288841
"77049","Boutigny",9514.1028648
"77050","Bransles",1261.91644699
"77051","Bray-sur-Seine",998.69427809
"77052","Breau",3874.15349143
"77053","Brie-Comte-Robert",32947.56369027
"77054","La Brosse-Montceaux",1766.21200121
"77055","Brou-sur-Chantereine",51725.36831782
"77056","Burcy",1320.34136324
"77057","Bussieres",1736.35630019
"77058","Bussy-Saint-Georges",52892.79309848
"77059","Bussy-Saint-Martin",46437.90268088
"77060","Buthiers",1584.10822921
"77061","Cannes-Ecluse",2098.33045641
"77062","Carnetin",27705.65610739
"77063","La Celle-sur-Morin",4766.16430974
"77065","Cely",12745.69753924
"77066","Cerneux",991.28427925
"77067","Cesson",15825.78131092
"77068","Cessoy-en-Montois",1004.50619487
"77069","Chailly-en-Biere",11004.79568141
"77070","Chailly-en-Brie",3057.08195722
"77071","Chaintreaux",1623.42670899
"77072","Chalautre-la-Grande",425.31142038
"77073","Chalautre-la-Petite",945.66855207
"77075","Chalifert",24496.01212535
"77076","Chalmaison",950.80518789
"77077","Chambry",8153.51752493
"77078","Chamigny",2233.32415844
"77079","Champagne-sur-Seine",3895.15132096
"77080","Champcenest",1039.08975302
"77081","Champdeuil",11087.67121953
"77082","Champeaux",5275.98831772
"77083","Champs-sur-Marne",77210.86510346
"77084","Changis-sur-Marne",5289.38701568
"77085","Chanteloup-en-Brie",35803.25771006
"77086","La Chapelle-Gauthier",3935.67261675
"77087","La Chapelle-Iger",2435.59768682
"77088","La Chapelle-la-Reine",4743.0336279
"77089","La Chapelle-Rablais",1740.28382052
"77090","La Chapelle-Saint-Sulpice",1204.33096819
"77091","Les Chapelles-Bourbon",9814.25504764
"77093","La Chapelle-Moutils",742.44298085
"77094","Charmentray",15528.64598041
"77095","Charny",14946.01235287
"77096","Chartrettes",6272.18368549
"77097","Chartronges",1277.29351943
"77098","Chateaubleau",1193.56244919
"77099","Chateau-Landon",1086.03595353
"77100","Le Chatelet-en-Brie",5934.27676439
"77101","Chatenay-sur-Seine",1204.05526458
"77102","Chatenoy",1912.08314747
"77103","Chatillon-la-Borde",5226.00705814
"77104","Chatres",12138.21869963
"77106","Chauffry",1770.15550263
"77107","Chaumes-en-Brie",7157.37146332
"77108","Chelles",69145.91844574
"77109","Chenoise",1416.38138096
"77110","Chenou",996.41286347
"77111","Chessy",28522.7933446
"77112","Chevrainvilliers",1966.28370226
"77113","Chevru",1757.10749354
"77114","Chevry-Cossigny",26501.38552879
"77115","Chevry-en-Sereine",1203.89598478
"77116","Choisy-en-Brie",1811.79691711
"77117","Citry",1038.6158624
"77118","Claye-Souilly",43692.72515296
"77119","Clos-Fontaine",1573.90711484
"77120","Cocherel",2078.26191286
"77121","Collegien",63405.02901639
"77122","Combs-la-Ville",26091.048426
"77123","Compans",35980.7995166
"77124","Conches-sur-Gondoire",37485.14755116
"77125","Conde-Sainte-Libiaire",13691.08589067
"77126","Congis-sur-Therouanne",2704.92101861
"77127","Coubert",19798.44874383
"77128","Couilly-Pont-aux-Dames",22519.99311362
"77129","Coulombs-en-Valois",910.11914667
"77130","Coulommes",10649.29008608
"77131","Coulommiers",3852.88696801
"77132","Coupvray",20660.40777605
"77133","Courcelles-en-Bassee",1293.21351713
"77134","Courchamp",978.08240964
"77135","Courpalay",3119.62708118
"77136","Courquetaine",9553.72301099
"77137","Courtacon",1430.83536564
"77138","Courtomer",2815.49595233
"77139","Courtry",55542.56773129
"77140","Coutencon",1395.43065155
"77141","Coutevroult",17484.83031435
"77142","Crecy-la-Chapelle",11972.8747824
"77143","Cregy-les-Meaux",11677.97193043
"77144","Crevecoeur-en-Brie",7651.37761064
"77145","Crisenoy",10867.48693925
"77146","Croissy-Beaubourg",69329.42664096
"77147","La Croix-en-Brie",1241.73912082
"77148","Crouy-sur-Ourcq",880.75582193
"77149","Cucharmoy",1110.38164807
"77150","Cuisy",6963.22054152
"77151","Dagny",2121.46951058
"77152","Dammarie-les-Lys",10997.81241941
"77153","Dammartin-en-Goele",17609.49780306
"77154","Dammartin-sur-Tigeaux",7873.11136609
"77155","Dampmart",27462.45948756
"77156","Darvault",3367.26959234
"77157","Dhuisy",1976.57456358
"77158","Diant",1147.77701546
"77159","Donnemarie-Dontilly",1232.74144394
"77161","Dormelles",2010.37720784
"77162","Doue",1940.19111607
"77163","Douy-la-Ramee",2298.23288204
"77164","Echouboulains",1883.80157365
"77165","Les Ecrennes",3806.50078006
"77166","Ecuelles",3305.86021889
"77167","Egligny",1012.94369999
"77168","Egreville",1529.89645705
"77169","Emerainville",72736.01911539
"77170","Episy",3748.28092417
"77171","Esbly",16841.63468964
"77172","Esmans",2158.90197193
"77173","Etrepilly",3772.60699887
"77174","Everly",963.68070936
"77175","Evry-Gregy-sur-Yerre",24017.95423835
"77176","Faremoutiers",4594.59823925
"77177","Favieres",17800.05860998
"77178","Fay-les-Nemours",1946.24410185
"77179","Fericy",3944.56174693
"77180","Ferolles-Attilly",36986.38432227
"77181","Ferrieres-en-Brie",60562.48753819
"77182","La Ferte-Gaucher",1442.248547
"77183","La Ferte-sous-Jouarre",3668.40416129
"77184","Flagy",1798.45559423
"77185","Fleury-en-Biere",11879.02390305
"77186","Fontainebleau",6438.54463406
"77187","Fontaine-Fourches",581.66866955
"77188","Fontaine-le-Port",5006.0943761
"77190","Fontains",1397.60849845
"77191","Fontenailles",2682.65936956
"77192","Fontenay-Tresigny",8387.44429277
"77193","Forfry",3254.36662449
"77194","Forges",2590.7766138
"77195","Fouju",6997.65128945
"77196","Fresnes-sur-Marne",28691.53623552
"77197","Fretoy",1584.97132163
"77198","Fromont",1657.38067428
"77199","Fublaines",6337.4127663
"77200","Garentreville",1306.55596954
"77201","Gastins",1818.10575671
"77202","La Genevraye",3138.94240847
"77203","Germigny-l'Eveque",3976.05228104
"77204","Germigny-sous-Coulombs",817.13425875
"77205","Gesvres-le-Chapitre",3942.12539898
"77206","Giremoutiers",4464.23277392
"77207","Gironville",997.40284688
"77208","Gouaix",828.23043563
"77209","Gouvernes",46754.56851797
"77210","La Grande-Paroisse",2226.49804185
"77211","Grandpuits-Bailly-Carrois",2300.43336986
"77212","Gravon",1122.68415367
"77214","Gressy",35379.78413653
"77215","Gretz-Armainvilliers",26468.76946166
"77216","Grez-sur-Loing",3601.78013762
"77217","Grisy-Suisnes",22309.38634991
"77218","Grisy-sur-Seine",834.67505072
"77219","Guerard",6942.07325577
"77220","Guercheville",1853.16898718
"77221","Guermantes",43798.18282902
"77222","Guignes",9178.55219917
"77223","Gurcy-le-Chatel",1228.04566336
"77224","Hautefeuille",3866.81507907
"77225","La Haute-Maison",5773.47887191
"77226","Hericy",4731.9484853
"77227","Herme",945.01258068
"77228","Hondevilliers",1285.23666597
"77229","La Houssaye-en-Brie",9235.52632954
"77230","Ichy",1064.07374645
"77231","Isles-les-Meldeuses",3177.30472953
"77232","Isles-les-Villenoy",12699.53454239
"77233","Iverny",11406.64465276
"77234","Jablines",16871.35372736
"77235","Jaignes",2757.63595563
"77236","Jaulnes",984.64903605
"77237","Jossigny",41027.25487443
"77238","Jouarre",3132.06940228
