"ID","NAMES","population_AsTheCrowFlies_ACC_0.05"
"75101","Paris 1er Arrondissement",2706.95554206111
"75102","Paris 2e  Arrondissement",2599.47239243079
"75103","Paris 3e  Arrondissement",2522.88802785464
"75104","Paris 4e  Arrondissement",2616.87250018904
"75105","Paris 5e  Arrondissement",2674.49750088324
"75106","Paris 6e  Arrondissement",2710.05522150141
"75107","Paris 7e  Arrondissement",2809.75199927152
"75108","Paris 8e  Arrondissement",2813.59043811523
"75109","Paris 9e  Arrondissement",2567.89569462441
"75110","Paris 10e  Arrondissement",2238.07564078964
"75111","Paris 11e  Arrondissement",2521.01232553293
"75112","Paris 12e  Arrondissement",3196.99199782818
"75113","Paris 13e  Arrondissement",2883.8167190611
"75114","Paris 14e  Arrondissement",2730.28982669939
"75115","Paris 15e  Arrondissement",2813.29860400147
"75116","Paris 16e  Arrondissement",3180.89994463692
"75117","Paris 17e  Arrondissement",2785.59718785399
"75118","Paris 18e  Arrondissement",2651.2060978012
"75119","Paris 19e  Arrondissement",2580.26256378422
"75120","Paris 20e  Arrondissement",2606.18636832993
"77001","Acheres-la-Foret",27580.5887602025
"77002","Amillis",30345.3960492688
"77003","Amponville",31705.3038087165
"77004","Andrezel",20224.5952505938
"77005","Annet-sur-Marne",11805.4435382512
"77006","Arbonne-la-Foret",23290.844371807
"77007","Argentieres",21500.6893808773
"77008","Armentieres-en-Brie",25938.3790898512
"77009","Arville",39701.807283936
"77010","Aubepierre-Ozouer-le-Repos",23414.9158175854
"77011","Aufferville",38247.0724200823
"77012","Augers-en-Brie",40935.8613173419
"77013","Aulnoy",27653.1553854259
"77014","Avon",26072.1837105386
"77015","Baby",48207.9461955967
"77016","Bagneaux-sur-Loing",38184.787945165
"77018","Bailly-Romainvilliers",15629.8231200731
"77019","Balloy",40360.2356098761
"77020","Bannost-Villegagnon",33609.8174931071
"77021","Barbey",38112.597104899
"77022","Barbizon",21380.0991759119
"77023","Barcy",21293.0383439427
"77024","Bassevelle",37185.0563141045
"77025","Bazoches-les-Bray",41847.0976096108
"77026","Beauchery-Saint-Martin",45225.2097658434
"77027","Beaumont-du-Gatinais",42457.2076393045
"77028","Beautheil",28319.4140847828
"77029","Beauvoir",21479.3885382907
"77030","Bellot",38494.8189315868
"77031","Bernay-Vilbert",23129.0232776552
"77032","Beton-Bazoches",35568.2440190628
"77033","Bezalles",35884.4409100299
"77034","Blandy",21357.3217196173
"77035","Blennes",43557.7798160782
"77036","Boisdon",35178.8653765683
"77037","Bois-le-Roi",22000.508695304
"77038","Boissettes",17650.591788337
"77039","Boissise-la-Bertrand",16482.0872238447
"77040","Boissise-le-Roi",17299.3149020045
"77041","Boissy-aux-Cailles",29839.157206806
"77042","Boissy-le-Chatel",29842.8576699686
"77043","Boitron",35906.6776367336
"77044","Bombon",23578.4063163833
"77045","Bougligny",39382.0440640631
"77046","Boulancourt",33442.5586599152
"77047","Bouleurs",19501.5147143525
"77048","Bourron-Marlotte",30322.3350408071
"77049","Boutigny",20725.2876623521
"77050","Bransles",45413.3322187146
"77051","Bray-sur-Seine",43184.8676357358
"77052","Breau",24325.6223799886
"77053","Brie-Comte-Robert",11575.9601458307
"77054","La Brosse-Montceaux",38598.898586262
"77055","Brou-sur-Chantereine",8510.88479958198
"77056","Burcy",35685.971843725
"77057","Bussieres",35168.5954797372
"77058","Bussy-Saint-Georges",11792.0131737214
"77059","Bussy-Saint-Martin",9920.00695277138
"77060","Buthiers",31578.1278442289
"77061","Cannes-Ecluse",36202.3623581731
"77062","Carnetin",11058.8575490338
"77063","La Celle-sur-Morin",22682.3049048462
"77065","Cely",19823.1742810753
"77066","Cerneux",40191.9030541956
"77067","Cesson",15199.9117080163
"77068","Cessoy-en-Montois",35590.5220606069
"77069","Chailly-en-Biere",20376.7627938472
"77070","Chailly-en-Brie",29796.6733210635
"77071","Chaintreaux",42302.7908087832
"77072","Chalautre-la-Grande",47544.7837285173
"77073","Chalautre-la-Petite",42381.029610497
"77075","Chalifert",13859.620284267
"77076","Chalmaison",40956.6986389422
"77077","Chambry",21329.5457322615
"77078","Chamigny",31759.4916045555
"77079","Champagne-sur-Seine",28220.1836844477
"77080","Champcenest",37525.2416487516
"77081","Champdeuil",17402.449495975
"77082","Champeaux",20945.0476669295
"77083","Champs-sur-Marne",6806.45354269482
"77084","Changis-sur-Marne",26008.0096386781
"77085","Chanteloup-en-Brie",12466.5458157266
"77086","La Chapelle-Gauthier",24641.2390229202
"77087","La Chapelle-Iger",25958.494828789
"77088","La Chapelle-la-Reine",29918.9237294808
"77089","La Chapelle-Rablais",28838.5169027866
"77090","La Chapelle-Saint-Sulpice",35722.1998752642
"77091","Les Chapelles-Bourbon",18111.4372868493
"77093","La Chapelle-Moutils",41286.0393512655
"77094","Charmentray",15248.8470795509
"77095","Charny",15019.3767134239
"77096","Chartrettes",21424.0012614215
"77097","Chartronges",35857.063071493
"77098","Chateaubleau",32137.937044013
"77099","Chateau-Landon",43411.0249087626
"77100","Le Chatelet-en-Brie",23721.4926112918
"77101","Chatenay-sur-Seine",37242.558518585
"77102","Chatenoy",36600.0299121976
"77103","Chatillon-la-Borde",23166.8470831455
"77104","Chatres",18051.9603321752
"77106","Chauffry",31810.8218822602
"77107","Chaumes-en-Brie",20256.0890824567
"77108","Chelles",6973.93063485736
"77109","Chenoise",34689.3840593914
"77110","Chenou",41659.8543723565
"77111","Chessy",13601.1860350026
"77112","Chevrainvilliers",35290.4678751282
"77113","Chevru",33014.2463749486
"77114","Chevry-Cossigny",12770.5863795794
"77115","Chevry-en-Sereine",41921.8904627821
"77116","Choisy-en-Brie",33496.6636325742
"77117","Citry",36016.0373702101
"77118","Claye-Souilly",11158.4078312022
"77119","Clos-Fontaine",27919.0681495329
"77120","Cocherel",31007.1654302622
"77121","Collegien",10039.9684086352
"77122","Combs-la-Ville",11357.4054270226
"77123","Compans",12451.8588989342
"77124","Conches-sur-Gondoire",11469.0765128523
"77125","Conde-Sainte-Libiaire",16546.2735803521
"77126","Congis-sur-Therouanne",25339.9294334441
"77127","Coubert",15095.6219327998
"77128","Couilly-Pont-aux-Dames",17715.1689591785
"77129","Coulombs-en-Valois",33823.8104270341
"77130","Coulommes",20518.0718076403
"77131","Coulommiers",27775.3222027189
"77132","Coupvray",14687.5679681866
"77133","Courcelles-en-Bassee",35987.5970012512
"77134","Courchamp",38512.2047069129
"77135","Courpalay",24765.9013773665
"77136","Courquetaine",16333.7751270074
"77137","Courtacon",37684.1834461942
"77138","Courtomer",22353.6278956637
"77139","Courtry",7769.57104431631
"77140","Coutencon",31400.7682747839
"77141","Coutevroult",16913.1659695038
