"ID","NAMES","employe_AsTheCrowFlies_POT_5000"
"75101","Paris 1er Arrondissement",220016.06962976
"75102","Paris 2e  Arrondissement",224996.38068247
"75103","Paris 3e  Arrondissement",228292.76922372
"75104","Paris 4e  Arrondissement",223729.89117548
"75105","Paris 5e  Arrondissement",212132.72888296
"75106","Paris 6e  Arrondissement",207991.80782015
"75107","Paris 7e  Arrondissement",195791.83408538
"75108","Paris 8e  Arrondissement",200556.62356298
"75109","Paris 9e  Arrondissement",219514.91016962
"75110","Paris 10e  Arrondissement",227248.5766901
"75111","Paris 11e  Arrondissement",223797.85409597
"75112","Paris 12e  Arrondissement",170795.31484588
"75113","Paris 13e  Arrondissement",191837.91662336
"75114","Paris 14e  Arrondissement",179320.43982
"75115","Paris 15e  Arrondissement",162140.37120591
"75116","Paris 16e  Arrondissement",140695.03624379
"75117","Paris 17e  Arrondissement",189683.36326599
"75118","Paris 18e  Arrondissement",212974.21801049
"75119","Paris 19e  Arrondissement",217008.12779174
"75120","Paris 20e  Arrondissement",211852.298532
"77001","Acheres-la-Foret",856.58774248
"77002","Amillis",675.97712718
"77003","Amponville",635.66536542
"77004","Andrezel",2149.10218709
"77005","Annet-sur-Marne",7571.06084465
"77006","Arbonne-la-Foret",628.97425369
"77007","Argentieres",2225.96750561
"77008","Armentieres-en-Brie",2202.50015288
"77009","Arville",232.63299028
"77010","Aubepierre-Ozouer-le-Repos",1597.51157837
"77011","Aufferville",369.4054019
"77012","Augers-en-Brie",248.90435825
"77013","Aulnoy",3083.09493364
"77014","Avon",5048.25304182
"77015","Baby",215.42157147
"77016","Bagneaux-sur-Loing",2708.2299056
"77018","Bailly-Romainvilliers",8180.99323988
"77019","Balloy",476.12867742
"77020","Bannost-Villegagnon",539.95421961
"77021","Barbey",1208.37609172
"77022","Barbizon",1235.41990496
"77023","Barcy",3549.10392156
"77024","Bassevelle",604.63789083
"77025","Bazoches-les-Bray",644.40166278
"77026","Beauchery-Saint-Martin",264.1228571
"77027","Beaumont-du-Gatinais",195.04818328
"77028","Beautheil",1778.45358759
"77029","Beauvoir",2327.19666989
"77030","Bellot",825.57263574
"77031","Bernay-Vilbert",1380.06176951
"77032","Beton-Bazoches",476.83255356
"77033","Bezalles",397.91912808
"77034","Blandy",1065.85484378
"77035","Blennes",282.07570759
"77036","Boisdon",447.80044601
"77037","Bois-le-Roi",3280.05788709
"77038","Boissettes",15024.83047285
"77039","Boissise-la-Bertrand",14145.69880864
"77040","Boissise-le-Roi",7542.74367024
"77041","Boissy-aux-Cailles",566.90506193
"77042","Boissy-le-Chatel",3200.22295388
"77043","Boitron",916.22497413
"77044","Bombon",1315.4506784
"77045","Bougligny",1171.2867519
"77046","Boulancourt",204.50160486
"77047","Bouleurs",3913.92784765
"77048","Bourron-Marlotte",1407.17127543
"77049","Boutigny",7039.78252985
"77050","Bransles",372.22007916
"77051","Bray-sur-Seine",858.00643267
"77052","Breau",1204.29937132
"77053","Brie-Comte-Robert",8419.48138718
"77054","La Brosse-Montceaux",1094.35884642
"77055","Brou-sur-Chantereine",26756.52358106
"77056","Burcy",199.42515504
"77057","Bussieres",1055.16012259
"77058","Bussy-Saint-Georges",14243.29015266
"77059","Bussy-Saint-Martin",23099.72542387
"77060","Buthiers",281.96713756
"77061","Cannes-Ecluse",3227.74136852
"77062","Carnetin",11589.54202968
"77063","La Celle-sur-Morin",1804.49572433
"77065","Cely",1240.68943098
"77066","Cerneux",208.87556818
"77067","Cesson",16082.19336877
"77068","Cessoy-en-Montois",868.2461619
"77069","Chailly-en-Biere",3123.26399345
"77070","Chailly-en-Brie",2946.52271571
"77071","Chaintreaux",860.5678874
"77072","Chalautre-la-Grande",230.6832505
"77073","Chalautre-la-Petite",2142.15142486
"77075","Chalifert",9991.5895049
"77076","Chalmaison",1388.43840918
"77077","Chambry",7698.90964283
"77078","Chamigny",2368.83742085
"77079","Champagne-sur-Seine",4829.17530818
"77080","Champcenest",294.04657324
"77081","Champdeuil",1713.65372582
"77082","Champeaux",1604.14288813
"77083","Champs-sur-Marne",50675.0473858
"77084","Changis-sur-Marne",2046.90975623
"77085","Chanteloup-en-Brie",15586.63407133
"77086","La Chapelle-Gauthier",1028.47309023
"77087","La Chapelle-Iger",863.59863538
"77088","La Chapelle-la-Reine",930.74039787
"77089","La Chapelle-Rablais",769.67343007
"77090","La Chapelle-Saint-Sulpice",776.51086791
"77091","Les Chapelles-Bourbon",1964.36789691
"77093","La Chapelle-Moutils",534.47596786
"77094","Charmentray",2709.73092863
"77095","Charny",2002.87720215
"77096","Chartrettes",4676.29931447
"77097","Chartronges",930.12301498
"77098","Chateaubleau",496.95618005
"77099","Chateau-Landon",881.24261768
"77100","Le Chatelet-en-Brie",1348.44992846
"77101","Chatenay-sur-Seine",702.19254771
"77102","Chatenoy",1126.31153905
"77103","Chatillon-la-Borde",1122.32898248
"77104","Chatres",2441.21633588
"77106","Chauffry",1810.54684438
"77107","Chaumes-en-Brie",2459.77304687
"77108","Chelles",45489.31512714
"77109","Chenoise",476.98968257
"77110","Chenou",674.83512247
"77111","Chessy",13130.25558412
"77112","Chevrainvilliers",784.09665751
"77113","Chevru",657.54818443
"77114","Chevry-Cossigny",5687.53100623
"77115","Chevry-en-Sereine",573.28825385
"77116","Choisy-en-Brie",872.96547172
"77117","Citry",921.39989844
"77118","Claye-Souilly",8184.40696984
"77119","Clos-Fontaine",1100.58790847
"77120","Cocherel",1072.52228299
"77121","Collegien",21855.24908705
"77122","Combs-la-Ville",14191.52156686
"77123","Compans",6446.27801613
"77124","Conches-sur-Gondoire",17383.90288626
"77125","Conde-Sainte-Libiaire",7593.07255734
"77126","Congis-sur-Therouanne",2268.71776738
"77127","Coubert",2471.95124479
"77128","Couilly-Pont-aux-Dames",6528.26573609
"77129","Coulombs-en-Valois",428.90046983
"77130","Coulommes",3747.26109625
"77131","Coulommiers",4084.56195053
"77132","Coupvray",10352.60041108
"77133","Courcelles-en-Bassee",1313.12704158
"77134","Courchamp",299.15151386
"77135","Courpalay",1002.18179658
"77136","Courquetaine",2287.33286477
"77137","Courtacon",313.17951449
"77138","Courtomer",1805.33787506
"77139","Courtry",34068.2847593
"77140","Coutencon",628.10176186
"77141","Coutevroult",6858.99998159
"77142","Crecy-la-Chapelle",2178.73551174
"77143","Cregy-les-Meaux",11011.28603481
"77144","Crevecoeur-en-Brie",1072.97468265
"77145","Crisenoy",1569.24641296
"77146","Croissy-Beaubourg",25483.5797782
"77147","La Croix-en-Brie",736.18129477
"77148","Crouy-sur-Ourcq",578.91009717
"77149","Cucharmoy",553.90036573
"77150","Cuisy",2420.39715678
"77151","Dagny",612.1710544
"77152","Dammarie-les-Lys",14016.02141232
"77153","Dammartin-en-Goele",4065.39496019
"77154","Dammartin-sur-Tigeaux",1692.82883482
"77155","Dampmart",11084.79663236
"77156","Darvault",3183.68141796
"77157","Dhuisy",476.0338361
"77158","Diant",572.54476324
"77159","Donnemarie-Dontilly",878.23859656
"77161","Dormelles",951.84304163
"77162","Doue",1412.09639706
"77163","Douy-la-Ramee",939.10367314
"77164","Echouboulains",619.09085975
"77165","Les Ecrennes",918.67753811
"77166","Ecuelles",2883.296861
"77167","Egligny",764.45889174
"77168","Egreville",533.94046903
"77169","Emerainville",40796.487645
"77170","Episy",1835.30880462
"77171","Esbly",7781.96558135
"77172","Esmans",2378.89199443
"77173","Etrepilly",1089.12388797
"77174","Everly",1058.14851102
"77175","Evry-Gregy-sur-Yerre",7089.76602751
"77176","Faremoutiers",1842.21542314
"77177","Favieres",4046.57448118
"77178","Fay-les-Nemours",2151.14346147
"77179","Fericy",2095.76767573
"77180","Ferolles-Attilly",8813.3204309
"77181","Ferrieres-en-Brie",14783.07859123
"77182","La Ferte-Gaucher",1333.17031482
"77183","La Ferte-sous-Jouarre",2954.3084594
"77184","Flagy",987.08065648
"77185","Fleury-en-Biere",1008.85068802
"77186","Fontainebleau",3348.90325577
"77187","Fontaine-Fourches",189.64463679
"77188","Fontaine-le-Port",2013.70752397
"77190","Fontains",1420.692561
"77191","Fontenailles",987.7423169
"77192","Fontenay-Tresigny",1858.93020943
"77193","Forfry",1816.14150061
"77194","Forges",2829.15022054
"77195","Fouju",1346.58211511
"77196","Fresnes-sur-Marne",3715.31145919
"77197","Fretoy",588.99696502
"77198","Fromont",267.526193
"77199","Fublaines",10156.56083193
"77200","Garentreville",280.161099
"77201","Gastins",671.80003687
"77202","La Genevraye",1699.03663782
"77203","Germigny-l'Eveque",6363.33309003
"77204","Germigny-sous-Coulombs",278.99028988
"77205","Gesvres-le-Chapitre",2169.5598408
"77206","Giremoutiers",1993.31802606
"77207","Gironville",232.47578248
"77208","Gouaix",992.68456425
"77209","Gouvernes",20450.55305047
"77210","La Grande-Paroisse",3231.43720319
"77211","Grandpuits-Bailly-Carrois",1563.43169426
"77212","Gravon",436.6433027
"77214","Gressy",8040.86792699
"77215","Gretz-Armainvilliers",6019.01433582
"77216","Grez-sur-Loing",2157.53633968
"77217","Grisy-Suisnes",3690.03271199
"77218","Grisy-sur-Seine",627.04533102
"77219","Guerard",1849.718314
"77220","Guercheville",438.8435215
"77221","Guermantes",18091.49178558
"77222","Guignes",2401.43424577
"77223","Gurcy-le-Chatel",847.34519403
"77224","Hautefeuille",1318.40642619
"77225","La Haute-Maison",958.09636144
"77226","Hericy",3733.52239755
"77227","Herme",700.31042208
"77228","Hondevilliers",529.9707935
"77229","La Houssaye-en-Brie",1291.3883479
"77230","Ichy",194.04521067
"77231","Isles-les-Meldeuses",2062.13228831
"77232","Isles-les-Villenoy",7326.72017717
"77233","Iverny",2283.40493673
"77234","Jablines",7032.41639307
"77235","Jaignes",1941.99418626
"77236","Jaulnes",755.07823922
"77237","Jossigny",10902.06647257
