"ID","NAMES","agriculteurs_AsTheCrowFlies_ACC_0.05"
"75101","Paris 1er Arrondissement",2854.44887788242
"75102","Paris 2e  Arrondissement",2903.60199258357
"75103","Paris 3e  Arrondissement",3168.13223962137
"75104","Paris 4e  Arrondissement",3223.07669326391
"75105","Paris 5e  Arrondissement",3326.61136763929
"75106","Paris 6e  Arrondissement",3021.05157686655
"75107","Paris 7e  Arrondissement",2870.83053297031
"75108","Paris 8e  Arrondissement",2826.69366223481
"75109","Paris 9e  Arrondissement",2918.65811995878
"75110","Paris 10e  Arrondissement",3294.92181610652
"75111","Paris 11e  Arrondissement",3735.10362244099
"75112","Paris 12e  Arrondissement",5540.60079889403
"75113","Paris 13e  Arrondissement",4235.89245756262
"75114","Paris 14e  Arrondissement",3648.11931013351
"75115","Paris 15e  Arrondissement",3164.31199237769
"75116","Paris 16e  Arrondissement",2913.44534132162
"75117","Paris 17e  Arrondissement",2961.53750517588
"75118","Paris 18e  Arrondissement",3579.97966428181
"75119","Paris 19e  Arrondissement",4319.81349692684
"75120","Paris 20e  Arrondissement",4459.90527976627
"77001","Acheres-la-Foret",16480.9458270189
"77002","Amillis",13765.629989476
"77003","Amponville",17166.6528325254
"77004","Andrezel",16163.3927510491
"77005","Annet-sur-Marne",15296.9350472846
"77006","Arbonne-la-Foret",16427.5765160159
"77007","Argentieres",15472.5456413894
"77008","Armentieres-en-Brie",16297.4670292527
"77009","Arville",21236.2534643499
"77010","Aubepierre-Ozouer-le-Repos",15743.46688474
"77011","Aufferville",19289.1837205331
"77012","Augers-en-Brie",16031.4031543859
"77013","Aulnoy",14182.618282996
"77014","Avon",17618.5669913364
"77015","Baby",23957.8652615465
"77016","Bagneaux-sur-Loing",17717.2284005668
"77018","Bailly-Romainvilliers",15235.9344936708
"77019","Balloy",19068.8382612432
"77020","Bannost-Villegagnon",13989.8992489754
"77021","Barbey",19104.1527270209
"77022","Barbizon",16857.6208262539
"77023","Barcy",18438.7168385002
"77024","Bassevelle",18258.596394013
"77025","Bazoches-les-Bray",19602.8783247201
"77026","Beauchery-Saint-Martin",18767.1014585972
"77027","Beaumont-du-Gatinais",24791.3925928467
"77028","Beautheil",13780.9879860019
"77029","Beauvoir",15625.2939147684
"77030","Bellot",17226.9800004466
"77031","Bernay-Vilbert",14949.796518272
"77032","Beton-Bazoches",14335.8407068801
"77033","Bezalles",14239.7095742086
"77034","Blandy",17044.9910488184
"77035","Blennes",23156.3794251602
"77036","Boisdon",14159.292308332
"77037","Bois-le-Roi",17685.9817415312
"77038","Boissettes",16524.86915284
"77039","Boissise-la-Bertrand",16118.0269118948
