"ID","NAMES","intermediaires_AsTheCrowFlies_ACC_0.05"
"75101","Paris 1er Arrondissement",2768.51080119943
"75102","Paris 2e  Arrondissement",2623.00552060881
"75103","Paris 3e  Arrondissement",2483.64908361493
"75104","Paris 4e  Arrondissement",2615.73100960219
"75105","Paris 5e  Arrondissement",2716.85177624941
"75106","Paris 6e  Arrondissement",2796.74757327993
"75107","Paris 7e  Arrondissement",2928.00954714917
"75108","Paris 8e  Arrondissement",2915.55485946735
"75109","Paris 9e  Arrondissement",2598.07054748736
"75110","Paris 10e  Arrondissement",2140.76084383207
"75111","Paris 11e  Arrondissement",2350.96722608024
"75112","Paris 12e  Arrondissement",3120.11626252521
"75113","Paris 13e  Arrondissement",2904.90746661668
"75114","Paris 14e  Arrondissement",2788.80058311962
"75115","Paris 15e  Arrondissement",2921.69126205691
"75116","Paris 16e  Arrondissement",3388.99333354016
"75117","Paris 17e  Arrondissement",2865.44303451077
"75118","Paris 18e  Arrondissement",2661.81592024663
"75119","Paris 19e  Arrondissement",2565.22119570324
"75120","Paris 20e  Arrondissement",2520.8099762409
"77001","Acheres-la-Foret",27123.0704584708
"77002","Amillis",30052.4940483991
"77003","Amponville",31305.1773691429
"77004","Andrezel",19761.7453184957
"77005","Annet-sur-Marne",11482.1671870501
"77006","Arbonne-la-Foret",22818.6696397951
"77007","Argentieres",21037.1712900484
"77008","Armentieres-en-Brie",25556.0315939325
"77009","Arville",39358.9943696338
"77010","Aubepierre-Ozouer-le-Repos",23012.0153148721
"77011","Aufferville",37952.8203182065
"77012","Augers-en-Brie",40773.5283373567
"77013","Aulnoy",27201.9908350916
"77014","Avon",25686.8661021844
"77015","Baby",48130.6481444774
"77016","Bagneaux-sur-Loing",37925.3450388217
"77018","Bailly-Romainvilliers",15107.7046462516
"77019","Balloy",40245.1064387988
"77020","Bannost-Villegagnon",33364.3218500224
"77021","Barbey",37974.1959409459
"77022","Barbizon",20852.7362085184
"77023","Barcy",20961.6955099466
"77024","Bassevelle",36898.4399185434
"77025","Bazoches-les-Bray",41724.5250056815
"77026","Beauchery-Saint-Martin",45110.4521968984
"77027","Beaumont-du-Gatinais",42108.9662863653
"77028","Beautheil",27964.0637385451
"77029","Beauvoir",21019.620187404
"77030","Bellot",38270.2619467415
"77031","Bernay-Vilbert",22720.8117164911
"77032","Beton-Bazoches",35350.5894954831
"77033","Bezalles",35674.6866038614
"77034","Blandy",20892.293038895
"77035","Blennes",43424.8926883838
"77036","Boisdon",34963.6425479115
"77037","Bois-le-Roi",21467.9130320613
"77038","Boissettes",17076.8598533414
"77039","Boissise-la-Bertrand",15944.1663019411
"77040","Boissise-le-Roi",16703.4390112191
"77041","Boissy-aux-Cailles",29379.7453333116
"77042","Boissy-le-Chatel",29415.0839242595
"77043","Boitron",35644.1589126303
"77044","Bombon",23172.0427363402
"77045","Bougligny",39080.9428207058
"77046","Boulancourt",33067.0577322026
"77047","Bouleurs",18873.5611761704
"77048","Bourron-Marlotte",30017.0964741591
"77049","Boutigny",20232.7417374308
"77050","Bransles",45227.0492887359
"77051","Bray-sur-Seine",43082.5024415553
"77052","Breau",23894.4741347586
"77053","Brie-Comte-Robert",11266.4713908032
"77054","La Brosse-Montceaux",38452.2166630087
"77055","Brou-sur-Chantereine",8321.46362408164
"77056","Burcy",35356.5537278963
"77057","Bussieres",34886.8012615569
"77058","Bussy-Saint-Georges",11247.4152306806
"77059","Bussy-Saint-Martin",9427.12657967661
"77060","Buthiers",31159.6548971639
"77061","Cannes-Ecluse",36029.1885922485
"77062","Carnetin",10733.5801745033
"77063","La Celle-sur-Morin",22130.7019700463
"77065","Cely",19234.0409540308
"77066","Cerneux",40025.9849056906
"77067","Cesson",14685.9832915736
"77068","Cessoy-en-Montois",35417.2317446641
"77069","Chailly-en-Biere",19860.7534252669
"77070","Chailly-en-Brie",29384.545945256
