"ID","NAMES","employe_AsTheCowRolls_POT_0"
"75101","Paris 1er Arrondissement",1778
"75102","Paris 2e  Arrondissement",2248
"75103","Paris 3e  Arrondissement",3418
"75104","Paris 4e  Arrondissement",2696
"75105","Paris 5e  Arrondissement",4671
"75106","Paris 6e  Arrondissement",3414
"75107","Paris 7e  Arrondissement",4785
"75108","Paris 8e  Arrondissement",3769
"75109","Paris 9e  Arrondissement",5757
"75110","Paris 10e  Arrondissement",11107
"75111","Paris 11e  Arrondissement",17041
"75112","Paris 12e  Arrondissement",15809
"75113","Paris 13e  Arrondissement",23372
"75114","Paris 14e  Arrondissement",14864
"75115","Paris 15e  Arrondissement",23334
"75116","Paris 16e  Arrondissement",14405
"75117","Paris 17e  Arrondissement",17728
"75118","Paris 18e  Arrondissement",26481
"75119","Paris 19e  Arrondissement",26619
"75120","Paris 20e  Arrondissement",27702
"77001","Acheres-la-Foret",143
"77002","Amillis",143
"77003","Amponville",64
"77004","Andrezel",28
"77005","Annet-sur-Marne",404
"77006","Arbonne-la-Foret",128
"77007","Argentieres",50
"77008","Armentieres-en-Brie",146
"77009","Arville",20
"77010","Aubepierre-Ozouer-le-Repos",102
"77011","Aufferville",71
"77012","Augers-en-Brie",24
"77013","Aulnoy",52
"77014","Avon",2079
"77015","Baby",8
"77016","Bagneaux-sur-Loing",314
"77018","Bailly-Romainvilliers",1324
"77019","Balloy",37
"77020","Bannost-Villegagnon",85
"77021","Barbey",29
"77022","Barbizon",113
"77023","Barcy",25
"77024","Bassevelle",45
"77025","Bazoches-les-Bray",126
"77026","Beauchery-Saint-Martin",68
"77027","Beaumont-du-Gatinais",164
"77028","Beautheil",126
"77029","Beauvoir",29
"77030","Bellot",115
"77031","Bernay-Vilbert",109
"77032","Beton-Bazoches",104
"77033","Bezalles",37
"77034","Blandy",70
"77035","Blennes",68
"77036","Boisdon",22
"77037","Bois-le-Roi",442
"77038","Boissettes",32
"77039","Boissise-la-Bertrand",95
"77040","Boissise-le-Roi",399
"77041","Boissy-aux-Cailles",44
"77042","Boissy-le-Chatel",480
"77043","Boitron",69
"77044","Bombon",120
"77045","Bougligny",95
"77046","Boulancourt",47
"77047","Bouleurs",210
"77048","Bourron-Marlotte",269
"77049","Boutigny",144
"77050","Bransles",70
"77051","Bray-sur-Seine",308
"77052","Breau",58
"77053","Brie-Comte-Robert",2475
"77054","La Brosse-Montceaux",99
"77055","Brou-sur-Chantereine",760
"77056","Burcy",26
"77057","Bussieres",80
"77058","Bussy-Saint-Georges",3858
"77059","Bussy-Saint-Martin",88
"77060","Buthiers",100
"77061","Cannes-Ecluse",324
"77062","Carnetin",51
"77063","La Celle-sur-Morin",188
"77065","Cely",116
"77066","Cerneux",28
"77067","Cesson",1000
"77068","Cessoy-en-Montois",28
"77069","Chailly-en-Biere",207
"77070","Chailly-en-Brie",171
"77071","Chaintreaux",130
"77072","Chalautre-la-Grande",98
"77073","Chalautre-la-Petite",70
"77075","Chalifert",164
"77076","Chalmaison",126
"77077","Chambry",167
"77078","Chamigny",201
"77079","Champagne-sur-Seine",1184
"77080","Champcenest",22
"77081","Champdeuil",141
"77082","Champeaux",101
"77083","Champs-sur-Marne",4107
"77084","Changis-sur-Marne",176
"77085","Chanteloup-en-Brie",359
"77086","La Chapelle-Gauthier",228
"77087","La Chapelle-Iger",16
"77088","La Chapelle-la-Reine",486
"77089","La Chapelle-Rablais",148
"77090","La Chapelle-Saint-Sulpice",62
"77091","Les Chapelles-Bourbon",45
"77093","La Chapelle-Moutils",56
"77094","Charmentray",47
"77095","Charny",216
"77096","Chartrettes",209
"77097","Chartronges",62
"77098","Chateaubleau",44
"77099","Chateau-Landon",452
"77100","Le Chatelet-en-Brie",632
"77101","Chatenay-sur-Seine",140
"77102","Chatenoy",22
"77103","Chatillon-la-Borde",28
"77104","Chatres",80
"77106","Chauffry",152
"77107","Chaumes-en-Brie",395
"77108","Chelles",8207
"77109","Chenoise",239
"77110","Chenou",66
"77111","Chessy",769
"77112","Chevrainvilliers",16
"77113","Chevru",180
"77114","Chevry-Cossigny",533
"77115","Chevry-en-Sereine",72
"77116","Choisy-en-Brie",146
"77117","Citry",112
"77118","Claye-Souilly",1680
"77119","Clos-Fontaine",46
"77120","Cocherel",113
"77121","Collegien",486
"77122","Combs-la-Ville",3471
"77123","Compans",96
"77124","Conches-sur-Gondoire",132
"77125","Conde-Sainte-Libiaire",183
