"ID","NAMES","total_AsTheCrowFlies_ACC_0.05"
"77133","Courcelles-en-Bassee",36308.2603654412
"77134","Courchamp",38641.9351271996
"77135","Courpalay",24799.0333831983
"77136","Courquetaine",16317.3944854874
"77137","Courtacon",37769.9030712759
"77138","Courtomer",22345.2823509077
"77139","Courtry",7890.00943302661
"77140","Coutencon",31686.6969806466
"77141","Coutevroult",16808.67357038
"77142","Crecy-la-Chapelle",20485.5468883108
"77143","Cregy-les-Meaux",19894.4174576827
"77144","Crevecoeur-en-Brie",20539.7539001335
"77145","Crisenoy",18401.0255765403
"77146","Croissy-Beaubourg",9205.56456917619
"77147","La Croix-en-Brie",30460.5041618408
"77148","Crouy-sur-Ourcq",32228.7277904771
"77149","Cucharmoy",35079.0229102336
"77150","Cuisy",17837.7772354919
"77151","Dagny",31963.4966869029
"77152","Dammarie-les-Lys",18576.829014853
"77153","Dammartin-en-Goele",16425.8284654139
"77154","Dammartin-sur-Tigeaux",19539.2622803142
"77155","Dampmart",12758.3349370093
"77156","Darvault",35185.4705953028
"77157","Dhuisy",34073.2221393842
"77158","Diant",41018.1363637859
"77159","Donnemarie-Dontilly",36043.1652838214
"77161","Dormelles",36407.3293771525
"77162","Doue",31357.4741345451
"77163","Douy-la-Ramee",23473.9285724854
"77164","Echouboulains",29748.2012935818
"77165","Les Ecrennes",26529.568856527
"77166","Ecuelles",32223.6369111342
"77167","Egligny",37818.9263352446
"77168","Egreville",44703.4493920421
"77169","Emerainville",7602.91616599872
"77170","Episy",32877.8017215923
"77171","Esbly",15510.2190852811
"77172","Esmans",37055.8380821773
"77173","Etrepilly",24458.3847894913
"77174","Everly",42592.4261339307
"77175","Evry-Gregy-sur-Yerre",13439.089804
"77176","Faremoutiers",23978.6135748782
"77177","Favieres",14518.0006629239
"77178","Fay-les-Nemours",37667.4039394504
"77179","Fericy",25595.1179194009
"77180","Ferolles-Attilly",11067.2743849187
"77181","Ferrieres-en-Brie",11193.0511676133
"77182","La Ferte-Gaucher",37698.7763640863
"77183","La Ferte-sous-Jouarre",30463.1413516262
"77184","Flagy",37486.9472314294
"77185","Fleury-en-Biere",21073.7625489276
"77186","Fontainebleau",25629.6817239696
"77187","Fontaine-Fourches",49666.7203718515
"77188","Fontaine-le-Port",23612.892496956
"77190","Fontains",30241.645011466
"77191","Fontenailles",26963.726456642
"77192","Fontenay-Tresigny",20139.4104194672
"77193","Forfry",21898.5993946326
"77194","Forges",32325.4505448388
"77195","Fouju",19654.7914123551
"77196","Fresnes-sur-Marne",13433.6804446751
"77197","Fretoy",33688.5840051876
"77198","Fromont",34416.7560750908
"77199","Fublaines",21635.4551925991
"77200","Garentreville",36103.2285302367
"77201","Gastins",27692.6483448056
"77202","La Genevraye",33049.7511590268
"77203","Germigny-l'Eveque",23585.921791657
"77204","Germigny-sous-Coulombs",34897.7359802557
"77205","Gesvres-le-Chapitre",20843.3014931449
"77206","Giremoutiers",25058.7972532858
"77207","Gironville",41197.667291575
"77208","Gouaix",43349.3403013713
"77209","Gouvernes",10420.5417253915
"77210","La Grande-Paroisse",32231.7946809099
