"ID","NAMES","total_AsTheCowRolls_ACC_0.005"
"77138","Courtomer",16.4403606578188
"77139","Courtry",5.41979680886202
"77140","Coutencon",19.7219141080974
"77141","Coutevroult",7.71107295343185
"77142","Crecy-la-Chapelle",10.6083998358789
"77143","Cregy-les-Meaux",7.2259307934695
"77144","Crevecoeur-en-Brie",13.2363882673208
"77145","Crisenoy",10.2844029472344
"77146","Croissy-Beaubourg",5.27589750209941
"77147","La Croix-en-Brie",20.8337821645697
"77148","Crouy-sur-Ourcq",21.479197904237
"77149","Cucharmoy",22.2938879260646
"77150","Cuisy",12.2269472895741
"77151","Dagny",18.4593074610118
"77152","Dammarie-les-Lys",5.91138364123246
"77153","Dammartin-en-Goele",10.7059275825252
"77154","Dammartin-sur-Tigeaux",12.4929667379616
"77155","Dampmart",6.78387657266494
"77156","Darvault",14.8349526981831
"77157","Dhuisy",17.6049083542526
"77158","Diant",22.1401464417001
"77159","Donnemarie-Dontilly",20.8230989811538
"77161","Dormelles",17.4124037946438
"77162","Doue",18.2921659401165
"77163","Douy-la-Ramee",16.0985353116195
"77164","Echouboulains",17.6130415312583
"77165","Les Ecrennes",13.9666487800718
"77166","Ecuelles",12.4851572837587
"77167","Egligny",22.4544283230845
"77168","Egreville",20.552066485708
"77169","Emerainville",5.06172263568101
"77170","Episy",12.3381451479611
"77171","Esbly",7.19588676411077
"77172","Esmans",16.0750571182706
"77173","Etrepilly",12.405585075346
"77174","Everly",25.2088433850272
"77175","Evry-Gregy-sur-Yerre",8.35427160806994
"77176","Faremoutiers",13.6689629914833
"77177","Favieres",10.3640568225921
"77178","Fay-les-Nemours",18.4572451624723
"77179","Fericy",13.0888528035426
"77180","Ferolles-Attilly",6.85698598553432
"77181","Ferrieres-en-Brie",5.37285184038228
"77182","La Ferte-Gaucher",21.7310147121105
"77183","La Ferte-sous-Jouarre",14.3766284847523
"77184","Flagy",18.3736497480358
"77185","Fleury-en-Biere",10.808960941288
"77186","Fontainebleau",9.93625798083899
"77187","Fontaine-Fourches",28.8031259400943
"77188","Fontaine-le-Port",11.5150310293279
"77190","Fontains",19.954746657729
"77191","Fontenailles",16.0197731231022
"77192","Fontenay-Tresigny",12.6224058805597
"77193","Forfry",14.7936497727181
"77194","Forges",15.6263626715569
"77195","Fouju",11.8137031871931
"77196","Fresnes-sur-Marne",8.75767081838207
"77197","Fretoy",20.4339624942871
"77198","Fromont",20.2512557185872
"77199","Fublaines",10.2387814382028
"77200","Garentreville",21.8478853484481
"77201","Gastins",18.7666846495691
"77202","La Genevraye",13.7262105120702
"77203","Germigny-l'Eveque",11.5192672940833
"77204","Germigny-sous-Coulombs",21.6358568512668
"77205","Gesvres-le-Chapitre",13.465411757394
"77206","Giremoutiers",13.5189820927317
"77207","Gironville",24.4878469179299
"77208","Gouaix",27.4496002602297
"77209","Gouvernes",4.7071898675013
"77210","La Grande-Paroisse",15.7981799849178
"77211","Grandpuits-Bailly-Carrois",16.831633834695
"77212","Gravon",21.4671859505308
"77214","Gressy",7.34629615887799
"77215","Gretz-Armainvilliers",7.60156576770273
"77216","Grez-sur-Loing",13.0067269767277
"77217","Grisy-Suisnes",8.89022228523896
"77218","Grisy-sur-Seine",25.7460652554749
"77219","Guerard",12.3531168347696
"77220","Guercheville",19.6058016946695
"77221","Guermantes",4.70084912651475
"77222","Guignes",11.3069122173339
"77223","Gurcy-le-Chatel",20.670491753249
"77224","Hautefeuille",15.5819620904241
"77225","La Haute-Maison",13.1390504004798
"77226","Hericy",11.3856689613105
"77227","Herme",25.9568086782839
"77228","Hondevilliers",21.3453904393433
"77229","La Houssaye-en-Brie",12.2015689699153
"77230","Ichy",23.9631822995543
"77231","Isles-les-Meldeuses",13.0366651374546
"77232","Isles-les-Villenoy",8.30234974379021
"77233","Iverny",10.5468438137174
"77234","Jablines",10.1423279206798
"77235","Jaignes",15.5380302649545
"77236","Jaulnes",23.8085030069734
"77237","Jossigny",5.85634566088944
"77238","Jouarre",15.0799179080086
"77239","Jouy-le-Chatel",17.4571663454039
"77240","Jouy-sur-Morin",21.582029054318
"77241","Juilly",10.9697178718833
"77242","Jutigny",23.3615522837947
"77243","Lagny-sur-Marne",4.17748255124624
"77244","Larchant",16.2705162067678
"77245","Laval-en-Brie",16.7760166608425
"77246","Lechelle",29.4133911579732
"77247","Lescherolles",25.3169541778351
"77248","Lesches",8.56785242636849
"77249","Lesigny",5.93997467733887
"77250","Leudon-en-Brie",22.4482474039864
"77251","Lieusaint",5.72024533509355
"77252","Limoges-Fourches",8.49922867979335
"77253","Lissy",8.92731166888995
"77254","Liverdy-en-Brie",11.7269175941831
"77255","Livry-sur-Seine",7.06476392883394
"77256","Lizines",22.7109563928328
"77257","Lizy-sur-Ourcq",14.3259789843909
"77258","Lognes",3.77162899006909
"77259","Longperrier",10.8652917439022
"77260","Longueville",23.6695423030128
"77261","Lorrez-le-Bocage-Preaux",20.1831532348255
"77262","Louan-Villegruis-Fontaine",32.9993384776048
"77263","Luisetaines",23.5364417646926
"77264","Lumigny-Nesles-Ormeaux",14.0968848427973
"77265","Luzancy",17.7329449421931
"77266","Machault",13.4723578105599
"77267","La Madeleine-sur-Loing",20.034570663801
"77268","Magny-le-Hongre",7.04872351198534
"77269","Maincy",6.51514314618732
"77270","Maisoncelles-en-Brie",12.705222879322
"77271","Maisoncelles-en-Gatinais",23.2123681767679
"77272","Maison-Rouge",20.6912861310223
"77273","Marchemoret",11.4597582979487
"77274","Marcilly",11.8160981881805
"77275","Les Marets",25.0911058975149
"77276","Mareuil-les-Meaux",8.36494976777067
"77277","Marles-en-Brie",12.9308170448647
"77278","Marolles-en-Brie",18.1024719902003
"77279","Marolles-sur-Seine",17.220079275056
"77280","Mary-sur-Marne",14.6615537044507
"77281","Mauperthuis",15.3433384439988
"77282","Mauregard",10.1671723749588
"77283","May-en-Multien",16.5811558299328
"77284","Meaux",4.6617674795504
"77285","Le Mee-sur-Seine",4.31870858192697
"77286","Meigneux",21.8107204480647
"77287","Meilleray",30.6097885346781
"77288","Melun",2.33114038789249
"77289","Melz-sur-Seine",28.8546672281687
"77290","Mery-sur-Marne",18.7650686973866
"77291","Le Mesnil-Amelot",10.0500176137127
"77292","Messy",7.62492772019111
"77293","Misy-sur-Yonne",20.3362979465434
"77294","Mitry-Mory",6.12131794931388
"77295","Moisenay",9.80569644747291
"77296","Moissy-Cramayel",6.61370355129081
"77297","Mondreville",27.0014319970652
"77298","Mons-en-Montois",22.9117463812495
"77299","Montarlot",13.5345371374798
"77300","Montceaux-les-Meaux",10.3477386615544
"77301","Montceaux-les-Provins",26.2981444014429
"77302","Montcourt-Fromonville",14.075747875145
"77303","Montdauphin",30.5403981699002
"77304","Montenils",32.7716399548505
"77305","Montereau-Fault-Yonne",14.2582796277384
"77306","Montereau-sur-le-Jard",8.10727304977206
"77307","Montevrain",5.79263157883748
"77308","Montge-en-Goele",12.0164418114166
"77309","Monthyon",10.2395764835291
"77310","Montigny-le-Guesdier",25.7244501380067
"77311","Montigny-Lencoup",17.9811125283864
"77312","Montigny-sur-Loing",13.4475681485828
"77313","Montmachoux",20.0204541580676
"77314","Montolivet",30.5840213548077
"77315","Montry",6.99512834542899
"77316","Moret-sur-Loing",11.9317098637106
"77317","Mormant",15.1393547394058
"77318","Mortcerf",12.4177213390939
"77319","Mortery",23.2883308303473
"77320","Mouroux",13.7995729439022
"77321","Mousseaux-les-Bray",23.001515421318
"77322","Moussy-le-Neuf",11.1602842100596
"77323","Moussy-le-Vieux",11.8437209002583
"77325","Mouy-sur-Seine",22.6717441824888
"77326","Nandy",5.749145012071
"77327","Nangis",17.2476290722394
"77328","Nanteau-sur-Essonne",20.3216425785845
"77329","Nanteau-sur-Lunain",18.0212670232474
"77330","Nanteuil-les-Meaux",8.55232183773018
"77331","Nanteuil-sur-Marne",20.5112626932067
"77332","Nantouillet",10.797929809382
"77333","Nemours",13.916635904106
"77335","Chauconin-Neufmontiers",8.67977540599333
"77336","Neufmoutiers-en-Brie",11.7469404295129
"77337","Noisiel",2.30758559940092
"77338","Noisy-Rudignon",16.2086518326437
"77339","Noisy-sur-Ecole",15.8767390742619
"77340","Nonville",15.8704846108082
"77341","Noyen-sur-Seine",25.9033630109703
"77342","Obsonville",22.7322718059443
"77343","Ocquerre",17.269687275604
"77344","Oissery",14.9315429392339
"77345","Orly-sur-Morin",21.4065079922247
"77347","Les Ormes-sur-Voulzie",23.3758929008218
"77348","Ormesson",16.7426032165013
"77349","Othis",13.0130578175754
"77350","Ozoir-la-Ferriere",6.04530650524158
"77352","Ozouer-le-Voulgis",11.867889745988
"77353","Paley",19.9034165724324
"77354","Pamfou",13.7305210665511
"77355","Paroy",22.4565530311109
"77356","Passy-sur-Seine",28.2558847272988
"77357","Pecy",18.4760793095413
"77358","Penchard",8.69303444233832
"77359","Perthes",9.08295271166402
"77360","Pezarches",14.8664719702449
"77361","Pierre-Levee",11.903984913073
"77363","Le Pin",5.61263273650916
"77364","Le Plessis-aux-Bois",11.4742889881447
"77365","Le Plessis-Feu-Aussoux",16.535794031046
"77366","Le Plessis-l'Eveque",10.9112335245773
"77367","Le Plessis-Placy",15.3247814973808
"77368","Poigny",24.5147413081205
"77369","Poincy",8.42877514332448
"77370","Poligny",19.1311588972054
"77371","Pommeuse",13.2637786465038
"77372","Pomponne",5.16908326515749
"77373","Pontault-Combault",5.07604177616103
"77374","Pontcarre",5.83900570812088
"77376","Precy-sur-Marne",10.5418820603047
"77377","Presles-en-Brie",10.4846395937786
"77378","Pringy",9.7721747392448
"77379","Provins",23.2119970194771
"77380","Puisieux",15.3091235554857
"77381","Quiers",17.65470777379
"77382","Quincy-Voisins",7.87720403664146
"77383","Rampillon",20.3599570343094
"77384","Reau",6.78525181215761
"77385","Rebais",18.1664489101369
"77386","Recloses",14.7458071463829
"77387","Remauville",20.2360275256933
"77388","Reuil-en-Brie",15.3631005003949
"77389","La Rochette",6.65855597929464
"77390","Roissy-en-Brie",5.53873919869323
"77391","Rouilly",25.799175359442
"77392","Rouvres",11.1384709729275
"77393","Rozay-en-Brie",14.3016811059347
"77394","Rubelles",6.20097878359457
"77395","Rumont",20.5798996012001
"77396","Rupereux",26.9621254513278
"77397","Saacy-sur-Marne",19.6624554369027
"77398","Sablonnieres",21.8797943740465
"77399","Saint-Ange-le-Viel",20.0635405817858
"77400","Saint-Augustin",15.737711416774
"77401","Sainte-Aulde",17.6023012453606
"77402","Saint-Barthelemy",26.214191073077
"77403","Saint-Brice",25.4161600939339
"77404","Sainte-Colombe",23.5308278396013
"77405","Saint-Cyr-sur-Morin",18.4939752881615
"77406","Saint-Denis-les-Rebais",18.067662469838
"77407","Saint-Fargeau-Ponthierry",7.81400339966773
"77408","Saint-Fiacre",11.0536115493404
"77409","Saint-Germain-Laval",15.8170310593764
"77410","Saint-Germain-Laxis",8.24422260048189
"77411","Saint-Germain-sous-Doue",18.8356810235555
"77412","Saint-Germain-sur-Ecole",11.2517673728157
"77413","Saint-Germain-sur-Morin",7.4181558879099
"77414","Saint-Hilliers",24.2771216750451
"77415","Saint-Jean-les-Deux-Jumeaux",10.527249206109
"77416","Saint-Just-en-Brie",22.4897590410087
"77417","Saint-Leger",21.8523339930773
"77418","Saint-Loup-de-Naud",23.658459618625
"77419","Saint-Mammes",11.4798185417151
"77420","Saint-Mard",10.3687900867572
"77421","Saint-Mars-Vieux-Maisons",23.8486729808917
"77423","Saint-Martin-des-Champs",24.4310945108264
"77424","Saint-Martin-du-Boschet",28.1039309366073
"77425","Saint-Martin-en-Biere",11.7351255300866
"77426","Saint-Mery",14.051239308495
"77427","Saint-Mesmes",10.3588201798033
"77428","Saint-Ouen-en-Brie",15.7020306770328
"77429","Saint-Ouen-sur-Morin",18.8841082761693
"77430","Saint-Pathus",13.9005528777906
"77431","Saint-Pierre-les-Nemours",14.7091651682435
"77432","Saint-Remy-la-Vanne",19.2793982520713
"77433","Saints",16.0553710092981
"77434","Saint-Sauveur-les-Bray",24.564012591933
"77435","Saint-Sauveur-sur-Ecole",10.3158256287679
"77436","Saint-Simeon",18.1285508593374
"77437","Saint-Soupplets",10.9180380064895
"77438","Saint-Thibault-des-Vignes",4.26285345638676
"77439","Salins",17.0472626143997
"77440","Sammeron",11.4559618800662
"77441","Samois-sur-Seine",11.8138946700454
"77442","Samoreau",10.4495078151553
"77443","Sancy",11.7861427526781
"77444","Sancy-les-Provins",25.4309550843461
"77445","Savigny-le-Temple",5.6424512513461
"77446","Savins",23.1023504550764
"77447","Seine-Port",7.46586350582257
"77448","Sept-Sorts",13.3327883435881
"77449","Serris",6.91474931905966
"77450","Servon",5.98243673410613
"77451","Signy-Signets",14.2207291121864
"77452","Sigy",22.2690365918538
"77453","Sivry-Courtry",9.04944039249078
"77454","Sognolles-en-Montois",23.2182665860055
"77455","Soignolles-en-Brie",10.2429458211963
"77456","Soisy-Bouy",26.9870416248574
"77457","Solers",10.5281295191296
"77458","Souppes-sur-Loing",18.9524139041475
"77459","Sourdun",24.9510726903045
"77460","Tancrou",15.9546337311324
"77461","Thenisy",22.3609716391317
"77462","Thieux",10.1418769562569
