"ID","NAMES","population_AsTheCowRolls_POT_20"
"75101","Paris 1er Arrondissement",6494697.52344709
"75102","Paris 2e  Arrondissement",6424985.60939682
"75103","Paris 3e  Arrondissement",6530810.32537964
"75104","Paris 4e  Arrondissement",6594500.9563504
"75105","Paris 5e  Arrondissement",6522602.65721382
"75106","Paris 6e  Arrondissement",6465373.74184276
"75107","Paris 7e  Arrondissement",6329784.80409895
"75108","Paris 8e  Arrondissement",6535034.65543309
"75109","Paris 9e  Arrondissement",6575354.34220854
"75110","Paris 10e  Arrondissement",6680383.54910593
"75111","Paris 11e  Arrondissement",6433484.20202446
"75112","Paris 12e  Arrondissement",6471520.12286168
"75113","Paris 13e  Arrondissement",6478378.32400922
"75114","Paris 14e  Arrondissement",6387747.89692417
"75115","Paris 15e  Arrondissement",6066796.82890991
"75116","Paris 16e  Arrondissement",6180611.13677094
"75117","Paris 17e  Arrondissement",6435722.17658689
"75118","Paris 18e  Arrondissement",6373511.77721727
"75119","Paris 19e  Arrondissement",6286793.81253278
"75120","Paris 20e  Arrondissement",6373537.04118767
"77001","Acheres-la-Foret",161163.01236393
"77002","Amillis",74195.64014181
"77003","Amponville",92283.19836461
"77004","Andrezel",241223.88998943
"77005","Annet-sur-Marne",1388007.63299496
"77006","Arbonne-la-Foret",299107.18958591
"77007","Argentieres",162773.11986804
"77008","Armentieres-en-Brie",136682.20867592
"77009","Arville",37650.63121224
"77010","Aubepierre-Ozouer-le-Repos",134971.20404016
"77011","Aufferville",62299.11083903
"77012","Augers-en-Brie",30918.8465774
"77013","Aulnoy",106368.91921983
"77014","Avon",242759.04997638
"77015","Baby",24644.36765688
"77016","Bagneaux-sur-Loing",88754.62667864
"77018","Bailly-Romainvilliers",979356.87982345
"77019","Balloy",58011.15882637
"77020","Bannost-Villegagnon",55143.47416276
"77021","Barbey",73239.56652152
"77022","Barbizon",426557.36531763
"77023","Barcy",303768.02725077
"77024","Bassevelle",42500.14702075
"77025","Bazoches-les-Bray",53531.47676238
"77026","Beauchery-Saint-Martin",25935.74936378
"77027","Beaumont-du-Gatinais",19047.95239057
"77028","Beautheil",74485.01916958
"77029","Beauvoir",188601.02975534
"77030","Bellot",41916.43302802
"77031","Bernay-Vilbert",140106.48715292
"77032","Beton-Bazoches",57059.09314205
"77033","Bezalles",42360.59795101
"77034","Blandy",311110.15508323
"77035","Blennes",31423.49488325
"77036","Boisdon",50795.9026777
"77037","Bois-le-Roi",344745.37030861
"77038","Boissettes",474069.56341167
"77039","Boissise-la-Bertrand",488518.80511758
"77040","Boissise-le-Roi",656592.68292835
"77041","Boissy-aux-Cailles",74020.9952346
"77042","Boissy-le-Chatel",87604.98074261
"77043","Boitron",44168.90916792
"77044","Bombon",133699.66021924
"77045","Bougligny",53805.18635174
"77046","Boulancourt",30704.50309898
"77047","Bouleurs",529519.24692267
"77048","Bourron-Marlotte",136171.83126441
"77049","Boutigny",399541.17805482
"77050","Bransles",48661.14055392
"77051","Bray-sur-Seine",44887.30864069
"77052","Breau",182642.59591786
"77053","Brie-Comte-Robert",1494903.48654184
"77054","La Brosse-Montceaux",81481.04400923
"77055","Brou-sur-Chantereine",2233694.91698207
"77056","Burcy",46215.99094978
"77057","Bussieres",70992.00928539
"77058","Bussy-Saint-Georges",2268333.04253062
"77059","Bussy-Saint-Martin",1996018.99539334
"77060","Buthiers",52390.73519225
"77061","Cannes-Ecluse",96186.52516528
"77062","Carnetin",1200279.35754517
"77063","La Celle-sur-Morin",177527.57801748
"77065","Cely",611308.49175804
"77066","Cerneux",34708.42048095
"77067","Cesson",767106.88392282
"77068","Cessoy-en-Montois",45664.97690585
"77069","Chailly-en-Biere",518737.30658759
"77070","Chailly-en-Brie",106990.50019865
"77071","Chaintreaux",62135.14491696
"77072","Chalautre-la-Grande",17157.66893818
"77073","Chalautre-la-Petite",39930.27028648
"77075","Chalifert",1048792.73005415
"77076","Chalmaison",41798.69394067
"77077","Chambry",356235.60721508
"77078","Chamigny",96489.06119924
"77079","Champagne-sur-Seine",173730.78925839
"77080","Champcenest",38755.6956093
"77081","Champdeuil",511749.03394039
"77082","Champeaux",249360.76856667
"77083","Champs-sur-Marne",3321618.96062758
"77084","Changis-sur-Marne",227931.7253814
"77085","Chanteloup-en-Brie",1536666.70153784
"77086","La Chapelle-Gauthier",189043.91968214
"77087","La Chapelle-Iger",89757.09170748
"77088","La Chapelle-la-Reine",194453.2981029
"77089","La Chapelle-Rablais",79186.50609005
"77090","La Chapelle-Saint-Sulpice",52006.24672103
"77091","Les Chapelles-Bourbon",386645.64738738
"77093","La Chapelle-Moutils",24914.61570978
"77094","Charmentray",678942.05924268
"77095","Charny",657003.80975115
"77096","Chartrettes",296947.13207511
"77097","Chartronges",44871.81682798
"77098","Chateaubleau",48604.91844164
"77099","Chateau-Landon",42071.16355264
"77100","Le Chatelet-en-Brie",286487.6531592
"77101","Chatenay-sur-Seine",58112.60898739
"77102","Chatenoy",72061.67434277
"77103","Chatillon-la-Borde",255241.84819892
"77104","Chatres",497785.57477658
"77106","Chauffry",62292.62820825
"77107","Chaumes-en-Brie",296233.31186094
"77108","Chelles",2986224.9999863
"77109","Chenoise",54573.90092004
"77110","Chenou",38219.66811444
"77111","Chessy",1223820.17488878
"77112","Chevrainvilliers",73079.74493405
"77113","Chevru",60493.28968432
"77114","Chevry-Cossigny",1161555.24749176
"77115","Chevry-en-Sereine",50242.4924401
"77116","Choisy-en-Brie",62788.87200835
"77117","Citry",42599.51944846
"77118","Claye-Souilly",1906834.50152137
"77119","Clos-Fontaine",63138.95359108
"77120","Cocherel",92554.9653578
"77121","Collegien",2727430.13983007
"77122","Combs-la-Ville",1246664.23319576
"77123","Compans",1587814.68422013
"77124","Conches-sur-Gondoire",1611968.15405547
"77125","Conde-Sainte-Libiaire",578467.55041155
"77126","Congis-sur-Therouanne",125797.32141444
"77127","Coubert",872310.23688788
"77128","Couilly-Pont-aux-Dames",952335.28132199
"77129","Coulombs-en-Valois",42525.11847599
"77130","Coulommes",445109.60737289
"77131","Coulommiers",139375.83502649
"77132","Coupvray",884039.90596473
"77133","Courcelles-en-Bassee",62846.31910172
"77134","Courchamp",38402.66030136
"77135","Courpalay",117323.69716005
"77136","Courquetaine",411164.64752643
"77137","Courtacon",50982.04571813
"77138","Courtomer",108197.74438003
"77139","Courtry",2402197.2710104
"77140","Coutencon",66610.82590891
"77141","Coutevroult",732247.87449089
"77142","Crecy-la-Chapelle",493148.24906579
"77143","Cregy-les-Meaux",505553.05222557
"77144","Crevecoeur-en-Brie",300379.00678324
"77145","Crisenoy",521386.91971
"77146","Croissy-Beaubourg",2984806.13547101
"77147","La Croix-en-Brie",50867.52074235
"77148","Crouy-sur-Ourcq",45508.53084598
"77149","Cucharmoy",45868.65084405
"77150","Cuisy",311404.55961715
"77151","Dagny",74308.81228506
"77152","Dammarie-les-Lys",515782.25779247
"77153","Dammartin-en-Goele",797998.42927452
"77154","Dammartin-sur-Tigeaux",314859.03880101
"77155","Dampmart",1185212.25783833
"77156","Darvault",134130.77388403
"77157","Dhuisy",86505.15406923
"77158","Diant",49656.40003025
"77159","Donnemarie-Dontilly",58258.79792574
"77161","Dormelles",87742.72812188
"77162","Doue",73845.33563794
"77163","Douy-la-Ramee",109084.8085044
"77164","Echouboulains",89558.82210512
"77165","Les Ecrennes",184066.80100577
"77166","Ecuelles",143983.17261801
"77167","Egligny",48235.92212388
"77168","Egreville",58960.84120032
"77169","Emerainville",3134501.15911717
"77170","Episy",159858.65876771
"77171","Esbly",718480.78239413
"77172","Esmans",97887.05111698
"77173","Etrepilly",172389.00261422
"77174","Everly",42405.87474226
"77175","Evry-Gregy-sur-Yerre",1118390.92994985
