"ID","NAMES","agriculteurs_AsTheCowRolls_POT_15"
"75101","Paris 1er Arrondissement",1714.33640874
"75102","Paris 2e  Arrondissement",1699.3798946
"75103","Paris 3e  Arrondissement",1655.31459046
"75104","Paris 4e  Arrondissement",1682.02376374
"75105","Paris 5e  Arrondissement",1662.3132474
"75106","Paris 6e  Arrondissement",1696.12632132
"75107","Paris 7e  Arrondissement",1694.1376027
"75108","Paris 8e  Arrondissement",1798.31526266
"75109","Paris 9e  Arrondissement",1749.70074111
"75110","Paris 10e  Arrondissement",1713.5651658
"75111","Paris 11e  Arrondissement",1546.13745567
"75112","Paris 12e  Arrondissement",1480.94227364
"75113","Paris 13e  Arrondissement",1568.04129091
"75114","Paris 14e  Arrondissement",1645.53771418
"75115","Paris 15e  Arrondissement",1638.52655765
"75116","Paris 16e  Arrondissement",1756.14760745
"75117","Paris 17e  Arrondissement",1755.55232323
"75118","Paris 18e  Arrondissement",1651.792348
"75119","Paris 19e  Arrondissement",1503.53255569
"75120","Paris 20e  Arrondissement",1456.01860009
"77001","Acheres-la-Foret",172.75375702
"77002","Amillis",203.16470641
"77003","Amponville",160.66301177
"77004","Andrezel",143.36186881
"77005","Annet-sur-Marne",172.67524543
"77006","Arbonne-la-Foret",182.78774073
"77007","Argentieres",150.34962036
"77008","Armentieres-en-Brie",120.32498748
"77009","Arville",150.80875366
"77010","Aubepierre-Ozouer-le-Repos",160.84681115
"77011","Aufferville",187.14084702
"77012","Augers-en-Brie",193.34644398
"77013","Aulnoy",178.27770203
"77014","Avon",160.45617998
"77015","Baby",74.6613629
"77016","Bagneaux-sur-Loing",187.94195181
"77018","Bailly-Romainvilliers",206.7474032
"77019","Balloy",130.93038391
"77020","Bannost-Villegagnon",224.23092148
"77021","Barbey",113.51308454
"77022","Barbizon",162.01666914
"77023","Barcy",147.13698647
"77024","Bassevelle",95.10883365
"77025","Bazoches-les-Bray",126.31619713
"77026","Beauchery-Saint-Martin",125.90544701
"77027","Beaumont-du-Gatinais",90.59826014
"77028","Beautheil",183.75227018
"77029","Beauvoir",168.18567971
"77030","Bellot",142.64637629
"77031","Bernay-Vilbert",241.55796591
"77032","Beton-Bazoches",268.18572824
"77033","Bezalles",214.08971907
"77034","Blandy",131.62841021
"77035","Blennes",88.01107287
"77036","Boisdon",233.75740176
"77037","Bois-le-Roi",139.17002463
"77038","Boissettes",121.0454206
"77039","Boissise-la-Bertrand",124.06024309
"77040","Boissise-le-Roi",176.21109641
"77041","Boissy-aux-Cailles",136.81919601
"77042","Boissy-le-Chatel",175.18816172
"77043","Boitron",101.10003276
"77044","Bombon",81.53645378
"77045","Bougligny",164.22768553
"77046","Boulancourt",120.82321486
"77047","Bouleurs",212.086912
"77048","Bourron-Marlotte",130.3106572
"77049","Boutigny",172.92636929
"77050","Bransles",126.49617173
"77051","Bray-sur-Seine",136.89265198
"77052","Breau",117.18956312
"77053","Brie-Comte-Robert",254.1354024
"77054","La Brosse-Montceaux",122.97064795
"77055","Brou-sur-Chantereine",224.69640461
"77056","Burcy",156.70268179
"77057","Bussieres",146.84153743
"77058","Bussy-Saint-Georges",287.75127757
"77059","Bussy-Saint-Martin",235.41567612
"77060","Buthiers",153.08744489
"77061","Cannes-Ecluse",144.53684507
"77062","Carnetin",139.27656537
"77063","La Celle-sur-Morin",220.98194665
"77065","Cely",231.4228861
"77066","Cerneux",211.37853772
"77067","Cesson",185.16673725
