"ID","NAMES","intermediaires_AsTheCowRolls_POT_15"
"75101","Paris 1er Arrondissement",606851.49532673
"75102","Paris 2e  Arrondissement",597188.54444237
"75103","Paris 3e  Arrondissement",613476.85243205
"75104","Paris 4e  Arrondissement",623658.33296469
"75105","Paris 5e  Arrondissement",612890.5035316
"75106","Paris 6e  Arrondissement",603233.83709711
"75107","Paris 7e  Arrondissement",581752.79313077
"75108","Paris 8e  Arrondissement",611938.8161918
"75109","Paris 9e  Arrondissement",619729.39397263
"75110","Paris 10e  Arrondissement",635904.79969535
"75111","Paris 11e  Arrondissement",602181.61868742
"75112","Paris 12e  Arrondissement",605250.84906332
"75113","Paris 13e  Arrondissement",607569.03572177
"75114","Paris 14e  Arrondissement",591363.84942565
"75115","Paris 15e  Arrondissement",544449.28736231
"75116","Paris 16e  Arrondissement",554957.40866858
"75117","Paris 17e  Arrondissement",597624.50527928
"75118","Paris 18e  Arrondissement",586622.52591108
"75119","Paris 19e  Arrondissement",576524.95039008
"75120","Paris 20e  Arrondissement",592410.83987396
"77001","Acheres-la-Foret",7530.07991265
"77002","Amillis",4764.532657
"77003","Amponville",3959.88263739
"77004","Andrezel",10962.75151525
"77005","Annet-sur-Marne",69474.61931108
"77006","Arbonne-la-Foret",14924.27039141
"77007","Argentieres",7092.00462451
"77008","Armentieres-en-Brie",8426.80803264
"77009","Arville",1936.45897305
"77010","Aubepierre-Ozouer-le-Repos",6764.30992187
"77011","Aufferville",3656.09940478
"77012","Augers-en-Brie",1313.01276738
"77013","Aulnoy",7133.63055395
"77014","Avon",16477.66132205
"77015","Baby",1040.17432365
"77016","Bagneaux-sur-Loing",5501.67843547
"77018","Bailly-Romainvilliers",47433.02384187
"77019","Balloy",3288.18398082
"77020","Bannost-Villegagnon",2254.61053888
"77021","Barbey",4525.2944112
"77022","Barbizon",22716.07290936
"77023","Barcy",17774.74122838
"77024","Bassevelle",2208.69361882
"77025","Bazoches-les-Bray",2907.87424511
"77026","Beauchery-Saint-Martin",1514.77196756
"77027","Beaumont-du-Gatinais",689.39741216
"77028","Beautheil",5096.19223359
"77029","Beauvoir",8280.48033246
"77030","Bellot",2373.30768093
"77031","Bernay-Vilbert",6546.50026267
"77032","Beton-Bazoches",2572.44517103
"77033","Bezalles",1740.5672442
"77034","Blandy",18103.41368847
"77035","Blennes",1412.59780775
"77036","Boisdon",2097.49307869
"77037","Bois-le-Roi",24915.3587327
"77038","Boissettes",28831.92791111
"77039","Boissise-la-Bertrand",29527.79459537
"77040","Boissise-le-Roi",38564.36022799
"77041","Boissy-aux-Cailles",3129.15862459
"77042","Boissy-le-Chatel",6353.58004218
"77043","Boitron",2338.510676
"77044","Bombon",6232.79231208
"77045","Bougligny",3220.82268363
"77046","Boulancourt",1210.48547623
"77047","Bouleurs",27091.7162012
"77048","Bourron-Marlotte",9246.5038132
"77049","Boutigny",21091.61006122
"77050","Bransles",2600.60952741
"77051","Bray-sur-Seine",2353.1506168
"77052","Breau",9103.46438281
"77053","Brie-Comte-Robert",82405.1539299
"77054","La Brosse-Montceaux",5345.25822558
"77055","Brou-sur-Chantereine",135329.49114184
"77056","Burcy",2160.35872421
