"ID","NAMES","ouvrier_AsTheCrowFlies_POT_2500"
"75101","Paris 1er Arrondissement",17474.24744302
"75102","Paris 2e  Arrondissement",23353.00600027
"75103","Paris 3e  Arrondissement",26295.34810258
"75104","Paris 4e  Arrondissement",21129.78710494
"75105","Paris 5e  Arrondissement",17863.45803423
"75106","Paris 6e  Arrondissement",15000.68885786
"75107","Paris 7e  Arrondissement",12396.05434703
"75108","Paris 8e  Arrondissement",15699.4555066
"75109","Paris 9e  Arrondissement",27134.38545619
"75110","Paris 10e  Arrondissement",35119.12067142
"75111","Paris 11e  Arrondissement",29456.30731241
"75112","Paris 12e  Arrondissement",14523.97116184
"75113","Paris 13e  Arrondissement",18356.27627051
"75114","Paris 14e  Arrondissement",18426.86465017
"75115","Paris 15e  Arrondissement",14416.19073965
"75116","Paris 16e  Arrondissement",8087.4980686
"75117","Paris 17e  Arrondissement",21422.43420877
"75118","Paris 18e  Arrondissement",33440.78558954
"75119","Paris 19e  Arrondissement",38011.37426469
"75120","Paris 20e  Arrondissement",32194.20431366
"77001","Acheres-la-Foret",161.35347499
"77002","Amillis",89.23447747
"77003","Amponville",50.94612351
"77004","Andrezel",371.69204565
"77005","Annet-sur-Marne",652.73516003
"77006","Arbonne-la-Foret",44.96057534
"77007","Argentieres",388.02193155
"77008","Armentieres-en-Brie",270.43629578
"77009","Arville",28.86269203
"77010","Aubepierre-Ozouer-le-Repos",349.50036157
"77011","Aufferville",76.14808967
"77012","Augers-en-Brie",68.06147587
"77013","Aulnoy",222.6488022
"77014","Avon",1212.23083548
"77015","Baby",48.58643056
"77016","Bagneaux-sur-Loing",480.44563546
"77018","Bailly-Romainvilliers",1006.67067223
"77019","Balloy",94.34035689
"77020","Bannost-Villegagnon",108.76765004
"77021","Barbey",153.01070317
"77022","Barbizon",213.50729799
"77023","Barcy",215.43174086
"77024","Bassevelle",66.59381226
"77025","Bazoches-les-Bray",177.55090508
"77026","Beauchery-Saint-Martin",44.107367
"77027","Beaumont-du-Gatinais",116.27365252
"77028","Beautheil",117.31430574
"77029","Beauvoir",420.29545296
"77030","Bellot",145.17101339
"77031","Bernay-Vilbert",232.28287869
"77032","Beton-Bazoches",151.05809869
"77033","Bezalles",63.37343743
"77034","Blandy",64.41325367
"77035","Blennes",31.33420875
"77036","Boisdon",101.59251408
"77037","Bois-le-Roi",294.37387481
"77038","Boissettes",4551.48309462
"77039","Boissise-la-Bertrand",1456.89040837
"77040","Boissise-le-Roi",568.74404894
"77041","Boissy-aux-Cailles",16.6936616
"77042","Boissy-le-Chatel",640.99178357
"77043","Boitron",149.82574845
"77044","Bombon",215.84762348
"77045","Bougligny",147.47579018
"77046","Boulancourt",91.49489616
"77047","Bouleurs",424.86320364
"77048","Bourron-Marlotte",246.73638065
"77049","Boutigny",406.54567356
"77050","Bransles",75.0857672
"77051","Bray-sur-Seine",495.81925527
"77052","Breau",173.84869898
"77053","Brie-Comte-Robert",1732.059163
"77054","La Brosse-Montceaux",158.84164192
"77055","Brou-sur-Chantereine",2525.43326307
"77056","Burcy",28.80473027
"77057","Bussieres",186.99035908
"77058","Bussy-Saint-Georges",1715.72025798
"77059","Bussy-Saint-Martin",2894.70368315
"77060","Buthiers",153.66357319
"77061","Cannes-Ecluse",668.6949922
"77062","Carnetin",1427.92964927
"77063","La Celle-sur-Morin",358.1203309
"77065","Cely",204.27057072
"77066","Cerneux",40.66436329
"77067","Cesson",1925.52717781
"77068","Cessoy-en-Montois",150.57435515
"77069","Chailly-en-Biere",290.44205378
"77070","Chailly-en-Brie",416.04163164
"77071","Chaintreaux",136.49796471
"77072","Chalautre-la-Grande",78.46601601
"77073","Chalautre-la-Petite",184.13066301
"77075","Chalifert",960.88518439
"77076","Chalmaison",274.92599856
"77077","Chambry",524.53670329
"77078","Chamigny",290.80164824
"77079","Champagne-sur-Seine",1320.41558175
"77080","Champcenest",33.47074539
"77081","Champdeuil",188.94245751
"77082","Champeaux",104.24181693
"77083","Champs-sur-Marne",6879.67857011
"77084","Changis-sur-Marne",228.33718998
"77085","Chanteloup-en-Brie",2089.70314133
"77086","La Chapelle-Gauthier",216.75661662
"77087","La Chapelle-Iger",111.70256937
"77088","La Chapelle-la-Reine",308.79155649
"77089","La Chapelle-Rablais",108.42467238
"77090","La Chapelle-Saint-Sulpice",147.61432154
"77091","Les Chapelles-Bourbon",151.50169016
"77093","La Chapelle-Moutils",100.66634075
"77094","Charmentray",245.53246347
"77095","Charny",226.49876055
"77096","Chartrettes",438.43538372
"77097","Chartronges",47.29592758
"77098","Chateaubleau",89.9423641
"77099","Chateau-Landon",335.31101161
"77100","Le Chatelet-en-Brie",470.11104978
"77101","Chatenay-sur-Seine",156.42062133
"77102","Chatenoy",72.54664466
"77103","Chatillon-la-Borde",112.34131374
"77104","Chatres",163.94452403
"77106","Chauffry",317.16165033
