"ID","NAMES","total_AsTheCrowFlies_POT_7500"
"77141","Coutevroult",46251.34590654
"77142","Crecy-la-Chapelle",24588.42224381
"77143","Cregy-les-Meaux",44797.43327397
"77144","Crevecoeur-en-Brie",11953.05475942
"77145","Crisenoy",22819.03964325
"77146","Croissy-Beaubourg",189542.56690277
"77147","La Croix-en-Brie",6070.19932833
"77148","Crouy-sur-Ourcq",3860.81074471
"77149","Cucharmoy",6015.1931617
"77150","Cuisy",20657.68704714
"77151","Dagny",4865.93961141
"77152","Dammarie-les-Lys",67906.76958672
"77153","Dammartin-en-Goele",23086.07348772
"77154","Dammartin-sur-Tigeaux",19178.21061362
"77155","Dampmart",83130.55904599
"77156","Darvault",14811.36508258
"77157","Dhuisy",5140.28908356
"77158","Diant",4640.03721547
"77159","Donnemarie-Dontilly",5858.60351691
"77161","Dormelles",10443.24949994
"77162","Doue",12360.67242107
"77163","Douy-la-Ramee",10878.30091501
"77164","Echouboulains",9676.0025334
"77165","Les Ecrennes",8995.16847134
"77166","Ecuelles",20626.3666309
"77167","Egligny",5773.11632293
"77168","Egreville",3186.06579565
"77169","Emerainville",288337.59576766
"77170","Episy",16996.03653382
"77171","Esbly",61647.15002354
"77172","Esmans",13429.15076092
"77173","Etrepilly",15584.90839967
"77174","Everly",6666.11427739
"77175","Evry-Gregy-sur-Yerre",56804.85038944
"77176","Faremoutiers",14762.69525859
"77177","Favieres",48608.53607312
"77178","Fay-les-Nemours",12097.58444433
"77179","Fericy",21339.97013302
"77180","Ferolles-Attilly",93432.89093577
"77181","Ferrieres-en-Brie",121164.01422746
"77182","La Ferte-Gaucher",6383.85942849
"77183","La Ferte-sous-Jouarre",13072.30625795
"77184","Flagy",9422.6604994
"77185","Fleury-en-Biere",14657.33816219
"77186","Fontainebleau",22390.63830145
"77187","Fontaine-Fourches",1377.59758284
"77188","Fontaine-le-Port",26669.45322653
"77190","Fontains",7519.91932379
"77191","Fontenailles",8414.34319849
"77192","Fontenay-Tresigny",14569.11719096
"77193","Forfry",13772.82274184
"77194","Forges",15216.65935069
"77195","Fouju",20827.90894251
"77196","Fresnes-sur-Marne",49793.8109445
"77197","Fretoy",4102.67309308
"77198","Fromont",2799.02041399
"77199","Fublaines",44336.08750088
"77200","Garentreville",4066.19389217
"77201","Gastins",6684.43946586
"77202","La Genevraye",15925.05347767
"77203","Germigny-l'Eveque",35658.13659276
"77204","Germigny-sous-Coulombs",2994.5062315
"77205","Gesvres-le-Chapitre",19377.83433847
"77206","Giremoutiers",16486.37194107
"77207","Gironville",1421.65607063
"77208","Gouaix",7071.77737964
"77209","Gouvernes",144090.23556432
"77210","La Grande-Paroisse",20811.22897693
"77211","Grandpuits-Bailly-Carrois",9083.70970692
"77212","Gravon",4471.80679989
"77214","Gressy",75468.3636092
"77215","Gretz-Armainvilliers",49928.13663647
"77216","Grez-sur-Loing",14213.84455837
"77217","Grisy-Suisnes",41192.46275153
"77218","Grisy-sur-Seine",4365.47352327
"77219","Guerard",16976.08707388
"77220","Guercheville",5131.39772085
"77221","Guermantes",124355.17428478
"77222","Guignes",14638.04141434
"77223","Gurcy-le-Chatel",6183.96608089
"77224","Hautefeuille",12313.43080951
"77225","La Haute-Maison",16998.59059229
"77226","Hericy",26591.12248842
"77227","Herme",5678.15452404
"77228","Hondevilliers",4099.90012164
"77229","La Houssaye-en-Brie",14248.64942761
"77230","Ichy",2284.02110474
"77231","Isles-les-Meldeuses",19520.00847762
"77232","Isles-les-Villenoy",57929.352422
"77233","Iverny",26532.68661527
"77234","Jablines",65897.78973554
"77235","Jaignes",13693.25072501
"77236","Jaulnes",4206.22246585
"77237","Jossigny",79158.71082682
"77238","Jouarre",13165.42413494
"77239","Jouy-le-Chatel",3850.50519861
"77240","Jouy-sur-Morin",7513.27202594
"77241","Juilly",26772.54421724
