"ID","NAMES","total_AsTheCowRolls_POT_15"
"75101","Paris 1er Arrondissement",2482557.44564135
"75102","Paris 2e  Arrondissement",2451637.27048562
"75103","Paris 3e  Arrondissement",2509120.27002648
"75104","Paris 4e  Arrondissement",2539602.32584377
"75105","Paris 5e  Arrondissement",2492134.73719454
"75106","Paris 6e  Arrondissement",2456639.24674443
"75107","Paris 7e  Arrondissement",2375815.35126219
"75108","Paris 8e  Arrondissement",2510244.68140056
"75109","Paris 9e  Arrondissement",2544964.23197529
"75110","Paris 10e  Arrondissement",2604136.85922416
"75111","Paris 11e  Arrondissement",2454439.66608023
"75112","Paris 12e  Arrondissement",2443695.1247543
"75113","Paris 13e  Arrondissement",2447932.62795378
"75114","Paris 14e  Arrondissement",2392864.45259527
"75115","Paris 15e  Arrondissement",2220574.11434078
"75116","Paris 16e  Arrondissement",2279276.81064503
"75117","Paris 17e  Arrondissement",2458362.96155043
"75118","Paris 18e  Arrondissement",2414619.28714297
"75119","Paris 19e  Arrondissement",2367024.9335118
"75120","Paris 20e  Arrondissement",2412443.76999034
"77001","Acheres-la-Foret",27926.29913312
"77002","Amillis",18376.75971892
"77003","Amponville",15087.61621379
"77004","Andrezel",38579.30293258
"77005","Annet-sur-Marne",251671.2338332
"77006","Arbonne-la-Foret",53469.07909322
"77007","Argentieres",25210.99832745
"77008","Armentieres-en-Brie",31997.23648481
"77009","Arville",8308.44465227
"77010","Aubepierre-Ozouer-le-Repos",24151.61057289
"77011","Aufferville",15244.30446159
"77012","Augers-en-Brie",5972.07346663
"77013","Aulnoy",26390.34889041
"77014","Avon",59401.55392159
"77015","Baby",4532.80417006
"77016","Bagneaux-sur-Loing",22476.58000748
"77018","Bailly-Romainvilliers",165666.19001894
"77019","Balloy",13203.65042227
"77020","Bannost-Villegagnon",9343.05424972
"77021","Barbey",17279.78039483
"77022","Barbizon",81254.19140013
"77023","Barcy",63837.96443486
"77024","Bassevelle",8789.41246987
"77025","Bazoches-les-Bray",11857.17406588
"77026","Beauchery-Saint-Martin",6708.20146683
"77027","Beaumont-du-Gatinais",2972.91805204
"77028","Beautheil",19052.56356262
"77029","Beauvoir",29384.57038409
"77030","Bellot",10008.3833513
"77031","Bernay-Vilbert",23848.87462829
"77032","Beton-Bazoches",11048.27662955
"77033","Bezalles",7573.99513499
"77034","Blandy",63946.41267444
"77035","Blennes",5352.59812261
"77036","Boisdon",8852.71480619
"77037","Bois-le-Roi",88215.32142155
"77038","Boissettes",101507.87136306
"77039","Boissise-la-Bertrand",103912.17522043
"77040","Boissise-le-Roi",135535.4463162
"77041","Boissy-aux-Cailles",11758.47771269
"77042","Boissy-le-Chatel",23698.88028528
"77043","Boitron",9284.69765495
"77044","Bombon",21949.17019699
"77045","Bougligny",13916.64681155
"77046","Boulancourt",4547.22357862
"77047","Bouleurs",94836.91370649
"77048","Bourron-Marlotte",34442.10758471
"77049","Boutigny",74506.76723699
"77050","Bransles",11240.84338076
"77051","Bray-sur-Seine",9914.62974333
"77052","Breau",32349.91548533
"77053","Brie-Comte-Robert",290731.04259023
"77054","La Brosse-Montceaux",20028.21478465
"77055","Brou-sur-Chantereine",498280.17594323
"77056","Burcy",8766.13154021
"77057","Bussieres",14992.12779608
"77058","Bussy-Saint-Georges",465379.51219786
"77059","Bussy-Saint-Martin",415793.39042016
"77060","Buthiers",7976.38535721
"77061","Cannes-Ecluse",24811.55974305
"77062","Carnetin",223613.68298146
"77063","La Celle-sur-Morin",33635.45632225
"77065","Cely",106830.49747587
"77066","Cerneux",6929.74646315
"77067","Cesson",177711.86317943
"77068","Cessoy-en-Montois",10221.29719337
"77069","Chailly-en-Biere",110879.21198175
"77070","Chailly-en-Brie",28845.54433748
"77071","Chaintreaux",15296.70504569
"77072","Chalautre-la-Grande",3174.25829177
"77073","Chalautre-la-Petite",12420.30049895
"77075","Chalifert",196785.28977938
"77076","Chalmaison",12020.88121824
"77077","Chambry",71721.36880441
"77078","Chamigny",18870.95779329
"77079","Champagne-sur-Seine",44770.46797997
"77080","Champcenest",8446.05043106
"77081","Champdeuil",93123.82155357
"77082","Champeaux",47431.38638901
"77083","Champs-sur-Marne",819540.22274948
"77084","Changis-sur-Marne",48881.4735234
"77085","Chanteloup-en-Brie",290805.15097564
"77086","La Chapelle-Gauthier",33597.10262162
"77087","La Chapelle-Iger",16180.97616519
"77088","La Chapelle-la-Reine",34038.6427111
"77089","La Chapelle-Rablais",14393.49843779
"77090","La Chapelle-Saint-Sulpice",14772.40671951
"77091","Les Chapelles-Bourbon",55544.12741541
"77093","La Chapelle-Moutils",5643.4522204
"77094","Charmentray",111181.60702546
"77095","Charny",104179.15458289
"77096","Chartrettes",72912.76479901
"77097","Chartronges",9828.86806828
"77098","Chateaubleau",10713.16289467
"77099","Chateau-Landon",10833.31517262
"77100","Le Chatelet-en-Brie",65854.29438945
"77101","Chatenay-sur-Seine",12832.02678477
"77102","Chatenoy",17535.00564574
"77103","Chatillon-la-Borde",46783.56947888
"77104","Chatres",71590.07059812
"77106","Chauffry",17085.51657652
"77107","Chaumes-en-Brie",43833.23396049
"77108","Chelles",725665.3230736
"77109","Chenoise",12197.69934955
"77110","Chenou",9703.10779251
"77111","Chessy",233273.89143449
"77112","Chevrainvilliers",17751.90381306
"77113","Chevru",13263.43904471
"77114","Chevry-Cossigny",204864.2371651
"77115","Chevry-en-Sereine",9761.76460076
"77116","Choisy-en-Brie",15973.56313349
"77117","Citry",9482.44588695
"77118","Claye-Souilly",381172.27272138
"77119","Clos-Fontaine",13798.5691452
"77120","Cocherel",17886.63283016
"77121","Collegien",618081.60292688
"77122","Combs-la-Ville",266045.10445386
"77123","Compans",254288.34974303
"77124","Conches-sur-Gondoire",316679.16421033
"77125","Conde-Sainte-Libiaire",114068.29349688
"77126","Congis-sur-Therouanne",33254.03802413
"77127","Coubert",147133.7280514
"77128","Couilly-Pont-aux-Dames",172690.52426762
"77129","Coulombs-en-Valois",7432.15502971
"77130","Coulommes",79935.39739266
"77131","Coulommiers",33626.79985167
"77132","Coupvray",169474.58892197
"77133","Courcelles-en-Bassee",14354.32875591
"77134","Courchamp",9864.5399164
"77135","Courpalay",22005.92863757
"77136","Courquetaine",57369.01251512
"77137","Courtacon",11002.98119833
"77138","Courtomer",19634.88155938
"77139","Courtry",525336.57183719
"77140","Coutencon",13260.834667
"77141","Coutevroult",136988.90141211
"77142","Crecy-la-Chapelle",83279.71683447
"77143","Cregy-les-Meaux",95338.13141849
"77144","Crevecoeur-en-Brie",41758.64436106
"77145","Crisenoy",101564.5680087
"77146","Croissy-Beaubourg",680423.16309413
"77147","La Croix-en-Brie",11204.15213265
"77148","Crouy-sur-Ourcq",7649.79719109
"77149","Cucharmoy",11395.11231517
"77150","Cuisy",51182.14245773
"77151","Dagny",15357.06766472
"77152","Dammarie-les-Lys",117691.40895719
"77153","Dammartin-en-Goele",95713.23690823
"77154","Dammartin-sur-Tigeaux",49356.18941592
"77155","Dampmart",219416.23960692
"77156","Darvault",30362.37790211
"77157","Dhuisy",15114.82310229
"77158","Diant",9995.55489444
"77159","Donnemarie-Dontilly",12515.10039687
"77161","Dormelles",20315.71220855
"77162","Doue",18149.95291761
"77163","Douy-la-Ramee",22661.32427267
"77164","Echouboulains",16589.19009964
"77165","Les Ecrennes",35716.73918432
"77166","Ecuelles",41098.32783031
"77167","Egligny",10090.02330407
"77168","Egreville",13291.60968011
"77169","Emerainville",721000.90662126
"77170","Episy",42450.62797328
"77171","Esbly",146396.24473454
"77172","Esmans",25746.04346625
"77173","Etrepilly",42886.13486481
"77174","Everly",11563.84436745
"77175","Evry-Gregy-sur-Yerre",212238.35018612
"77176","Faremoutiers",34698.84594195
"77177","Favieres",119542.28019186
"77178","Fay-les-Nemours",19044.51259543
"77179","Fericy",40749.6285232
"77180","Ferolles-Attilly",292915.07324581
"77181","Ferrieres-en-Brie",556479.38902235
"77182","La Ferte-Gaucher",12847.54901094
"77183","La Ferte-sous-Jouarre",32339.40922487
"77184","Flagy",17377.32317449
"77185","Fleury-en-Biere",97694.83863157
"77186","Fontainebleau",69654.05176355
"77187","Fontaine-Fourches",4363.67618371
"77188","Fontaine-le-Port",57036.17498823
"77190","Fontains",12049.31155384
"77191","Fontenailles",21859.16603815
"77192","Fontenay-Tresigny",45790.21218974
"77193","Forfry",30716.80427942
"77194","Forges",26003.84910628
"77195","Fouju",60708.63380765
"77196","Fresnes-sur-Marne",214505.25737621
"77197","Fretoy",9960.07642343
"77198","Fromont",8984.67002445
"77199","Fublaines",59023.8517882
"77200","Garentreville",10386.46906133
"77201","Gastins",14994.17736307
"77202","La Genevraye",35030.66406536
"77203","Germigny-l'Eveque",45658.02131159
"77204","Germigny-sous-Coulombs",5776.76771624
"77205","Gesvres-le-Chapitre",37939.868351
"77206","Giremoutiers",35833.94797971
"77207","Gironville",7804.36733178
"77208","Gouaix",9757.23895671
"77209","Gouvernes",418050.52912183
"77210","La Grande-Paroisse",26452.46144817
"77211","Grandpuits-Bailly-Carrois",19227.90809884
"77212","Gravon",11601.12856629
"77214","Gressy",275909.52516332
"77215","Gretz-Armainvilliers",198127.35396259
"77216","Grez-sur-Loing",37599.01619218
"77217","Grisy-Suisnes",172352.04593653
"77218","Grisy-sur-Seine",7492.10182519
"77219","Guerard",47076.39105456
"77220","Guercheville",12493.55631731
"77221","Guermantes",379079.32210211
"77222","Guignes",68377.00424452
"77223","Gurcy-le-Chatel",11886.61006341
"77224","Hautefeuille",24136.7407157
"77225","La Haute-Maison",42486.13577724
"77226","Hericy",53520.56613752
