"ID","NAMES","agriculteurs_AsTheCrowFlies_POT_10000"
"75101","Paris 1er Arrondissement",1629.86868115
"75102","Paris 2e  Arrondissement",1608.01796309
"75103","Paris 3e  Arrondissement",1545.63815832
"75104","Paris 4e  Arrondissement",1539.81118075
"75105","Paris 5e  Arrondissement",1536.28498756
"75106","Paris 6e  Arrondissement",1607.50781855
"75107","Paris 7e  Arrondissement",1665.36615318
"75108","Paris 8e  Arrondissement",1678.63406875
"75109","Paris 9e  Arrondissement",1621.57775309
"75110","Paris 10e  Arrondissement",1532.01259399
"75111","Paris 11e  Arrondissement",1442.50861564
"75112","Paris 12e  Arrondissement",1095.33068696
"75113","Paris 13e  Arrondissement",1393.5817475
"75114","Paris 14e  Arrondissement",1508.10037018
"75115","Paris 15e  Arrondissement",1608.22050517
"75116","Paris 16e  Arrondissement",1636.55016653
"75117","Paris 17e  Arrondissement",1650.66661039
"75118","Paris 18e  Arrondissement",1530.47909431
"75119","Paris 19e  Arrondissement",1372.43214477
"75120","Paris 20e  Arrondissement",1305.92183345
"77001","Acheres-la-Foret",146.45403532
"77002","Amillis",203.13605053
"77003","Amponville",167.52669918
"77004","Andrezel",135.44043447
"77005","Annet-sur-Marne",142.31493555
"77006","Arbonne-la-Foret",141.81973382
"77007","Argentieres",172.77816099
"77008","Armentieres-en-Brie",168.95135706
"77009","Arville",151.36482074
"77010","Aubepierre-Ozouer-le-Repos",146.78540769
"77011","Aufferville",178.27972032
"77012","Augers-en-Brie",173.08520073
"77013","Aulnoy",198.80807373
"77014","Avon",87.74360338
"77015","Baby",61.20542906
"77016","Bagneaux-sur-Loing",167.45312044
"77018","Bailly-Romainvilliers",152.97315704
"77019","Balloy",113.98264262
"77020","Bannost-Villegagnon",205.73078252
"77021","Barbey",110.27783868
"77022","Barbizon",131.03857452
"77023","Barcy",120.93900487
"77024","Bassevelle",127.92386343
"77025","Bazoches-les-Bray",110.31727645
"77026","Beauchery-Saint-Martin",128.14493751
"77027","Beaumont-du-Gatinais",76.72583383
"77028","Beautheil",195.98922559
"77029","Beauvoir",162.67735498
"77030","Bellot",169.73237892
"77031","Bernay-Vilbert",197.31664536
"77032","Beton-Bazoches",214.75015531
"77033","Bezalles",207.85516857
"77034","Blandy",104.03745757
"77035","Blennes",86.66334508
"77036","Boisdon",208.70576752
"77037","Bois-le-Roi",112.78444098
"77038","Boissettes",146.71405497
"77039","Boissise-la-Bertrand",151.89569649
"77040","Boissise-le-Roi",155.19473504
"77041","Boissy-aux-Cailles",154.5423594
"77042","Boissy-le-Chatel",190.19795114
"77043","Boitron",157.77077329
"77044","Bombon",100.53264465
"77045","Bougligny",170.19453829
"77046","Boulancourt",120.62086474
"77047","Bouleurs",175.46811331
"77048","Bourron-Marlotte",110.94004248
"77049","Boutigny",177.27654911
"77050","Bransles",82.16828047
"77051","Bray-sur-Seine",120.97952203
"77052","Breau",97.45497153
"77053","Brie-Comte-Robert",195.41428018
"77054","La Brosse-Montceaux",111.96785815
"77055","Brou-sur-Chantereine",170.126227
"77056","Burcy",161.68655179
"77057","Bussieres",148.74643602
"77058","Bussy-Saint-Georges",130.05663929
"77059","Bussy-Saint-Martin",148.99604714
"77060","Buthiers",135.96112272
"77061","Cannes-Ecluse",130.30942321
"77062","Carnetin",142.3660732
"77063","La Celle-sur-Morin",210.45392768
"77065","Cely",154.88189509
"77066","Cerneux",183.19134865
"77067","Cesson",150.28933552
"77068","Cessoy-en-Montois",197.32820523
"77069","Chailly-en-Biere",134.37957652
"77070","Chailly-en-Brie",190.65101614
"77071","Chaintreaux",128.51099182
"77072","Chalautre-la-Grande",110.44499784
"77073","Chalautre-la-Petite",183.10418998
"77075","Chalifert",148.54724871
"77076","Chalmaison",190.78920244
"77077","Chambry",135.04743688
"77078","Chamigny",169.49091158
