"ID","NAMES","agriculteurs_AsTheCrowFlies_POT_0"
"77197","Fretoy",4
"77198","Fromont",4
"77199","Fublaines",0
"77200","Garentreville",16
"77201","Gastins",4
"77202","La Genevraye",0
"77203","Germigny-l'Eveque",0
"77204","Germigny-sous-Coulombs",12
"77205","Gesvres-le-Chapitre",0
"77206","Giremoutiers",4
"77207","Gironville",4
"77208","Gouaix",16
"77209","Gouvernes",0
"77210","La Grande-Paroisse",4
"77211","Grandpuits-Bailly-Carrois",4
"77212","Gravon",0
"77214","Gressy",0
"77215","Gretz-Armainvilliers",0
"77216","Grez-sur-Loing",0
"77217","Grisy-Suisnes",16
"77218","Grisy-sur-Seine",0
"77219","Guerard",12
"77220","Guercheville",8
"77221","Guermantes",0
"77222","Guignes",0
"77223","Gurcy-le-Chatel",4
"77224","Hautefeuille",0
"77225","La Haute-Maison",8
"77226","Hericy",0
"77227","Herme",4
"77228","Hondevilliers",12
"77229","La Houssaye-en-Brie",28
"77230","Ichy",8
"77231","Isles-les-Meldeuses",0
"77232","Isles-les-Villenoy",4
"77233","Iverny",12
"77234","Jablines",4
"77235","Jaignes",4
"77236","Jaulnes",0
"77237","Jossigny",4
"77238","Jouarre",32
"77239","Jouy-le-Chatel",19
"77240","Jouy-sur-Morin",12
"77241","Juilly",8
"77242","Jutigny",4
"77243","Lagny-sur-Marne",7
"77244","Larchant",8
"77245","Laval-en-Brie",8
"77246","Lechelle",4
"77247","Lescherolles",0
"77248","Lesches",0
"77249","Lesigny",8
"77250","Leudon-en-Brie",4
"77251","Lieusaint",3
"77252","Limoges-Fourches",0
"77253","Lissy",0
"77254","Liverdy-en-Brie",0
"77255","Livry-sur-Seine",0
"77256","Lizines",4
"77257","Lizy-sur-Ourcq",8
"77258","Lognes",0
"77259","Longperrier",4
"77260","Longueville",4
"77261","Lorrez-le-Bocage-Preaux",23
"77262","Louan-Villegruis-Fontaine",12
"77263","Luisetaines",8
"77264","Lumigny-Nesles-Ormeaux",24
"77265","Luzancy",0
"77266","Machault",0
"77267","La Madeleine-sur-Loing",0
"77268","Magny-le-Hongre",0
"77269","Maincy",0
"77270","Maisoncelles-en-Brie",16
"77271","Maisoncelles-en-Gatinais",8
"77272","Maison-Rouge",12
"77273","Marchemoret",8
"77274","Marcilly",0
"77275","Les Marets",8
"77276","Mareuil-les-Meaux",0
"77277","Marles-en-Brie",8
"77278","Marolles-en-Brie",0
"77279","Marolles-sur-Seine",0
"77280","Mary-sur-Marne",8
"77281","Mauperthuis",0
"77282","Mauregard",0
"77283","May-en-Multien",0
"77284","Meaux",16
"77285","Le Mee-sur-Seine",0
"77286","Meigneux",4
"77287","Meilleray",8
"77288","Melun",8
"77289","Melz-sur-Seine",29
"77290","Mery-sur-Marne",0
"77291","Le Mesnil-Amelot",0
"77292","Messy",4
"77293","Misy-sur-Yonne",0
"77294","Mitry-Mory",7
"77295","Moisenay",0
"77296","Moissy-Cramayel",0
"77297","Mondreville",20
"77298","Mons-en-Montois",0
"77299","Montarlot",0
"77300","Montceaux-les-Meaux",4
"77301","Montceaux-les-Provins",4
"77302","Montcourt-Fromonville",4
"77303","Montdauphin",4
"77304","Montenils",0
"77305","Montereau-Fault-Yonne",5
"77306","Montereau-sur-le-Jard",8
"77307","Montevrain",8
"77308","Montge-en-Goele",4
"77309","Monthyon",0
"77310","Montigny-le-Guesdier",0
"77311","Montigny-Lencoup",0
"77312","Montigny-sur-Loing",0
"77313","Montmachoux",4
"77314","Montolivet",12
"77315","Montry",0
"77316","Moret-sur-Loing",0
"77317","Mormant",4
"77318","Mortcerf",0
"77319","Mortery",4
"77320","Mouroux",12
"77321","Mousseaux-les-Bray",15
"77322","Moussy-le-Neuf",16
"77323","Moussy-le-Vieux",0
"77325","Mouy-sur-Seine",4
"77326","Nandy",0
"77327","Nangis",12
"77328","Nanteau-sur-Essonne",0
"77329","Nanteau-sur-Lunain",12
"77330","Nanteuil-les-Meaux",4
"77331","Nanteuil-sur-Marne",0
"77332","Nantouillet",0
"77333","Nemours",11
"77335","Chauconin-Neufmontiers",4
"77336","Neufmoutiers-en-Brie",4
"77337","Noisiel",0
"77338","Noisy-Rudignon",0
"77339","Noisy-sur-Ecole",0
"77340","Nonville",4
"77341","Noyen-sur-Seine",0
"77342","Obsonville",8
"77343","Ocquerre",13
"77344","Oissery",0
"77345","Orly-sur-Morin",4
"77347","Les Ormes-sur-Voulzie",0
"77348","Ormesson",0
"77349","Othis",8
"77350","Ozoir-la-Ferriere",3
"77352","Ozouer-le-Voulgis",8
"77353","Paley",0
"77354","Pamfou",4
"77355","Paroy",8
"77356","Passy-sur-Seine",4
"77357","Pecy",8
"77358","Penchard",4
"77359","Perthes",4
"77360","Pezarches",16
"77361","Pierre-Levee",4
"77363","Le Pin",0
"77364","Le Plessis-aux-Bois",4
"77365","Le Plessis-Feu-Aussoux",0
"77366","Le Plessis-l'Eveque",0
"77367","Le Plessis-Placy",0
"77368","Poigny",4
"77369","Poincy",0
"77370","Poligny",12
"77371","Pommeuse",4
"77372","Pomponne",0
"77373","Pontault-Combault",3
"77374","Pontcarre",4
"77376","Precy-sur-Marne",0
"77377","Presles-en-Brie",12
"77378","Pringy",4
"77379","Provins",34
"77380","Puisieux",4
"77381","Quiers",8
"77382","Quincy-Voisins",4
"77383","Rampillon",12
"77384","Reau",4
"77385","Rebais",0
"77386","Recloses",0
"77387","Remauville",13
"77388","Reuil-en-Brie",0
"77389","La Rochette",0
"77390","Roissy-en-Brie",0
"77391","Rouilly",0
"77392","Rouvres",0
"77393","Rozay-en-Brie",12
"77394","Rubelles",0
"77395","Rumont",0
"77396","Rupereux",0
"77397","Saacy-sur-Marne",8
"77398","Sablonnieres",8
"77399","Saint-Ange-le-Viel",0
"77400","Saint-Augustin",8
"77401","Sainte-Aulde",15
"77402","Saint-Barthelemy",17
"77403","Saint-Brice",0
"77404","Sainte-Colombe",8
"77405","Saint-Cyr-sur-Morin",12
"77406","Saint-Denis-les-Rebais",0
"77407","Saint-Fargeau-Ponthierry",9
"77408","Saint-Fiacre",0
"77409","Saint-Germain-Laval",8
"77410","Saint-Germain-Laxis",8
"77411","Saint-Germain-sous-Doue",12
"77412","Saint-Germain-sur-Ecole",0
"77413","Saint-Germain-sur-Morin",4
"77414","Saint-Hilliers",12
"77415","Saint-Jean-les-Deux-Jumeaux",8
"77416","Saint-Just-en-Brie",4
"77417","Saint-Leger",0
"77418","Saint-Loup-de-Naud",0
"77419","Saint-Mammes",0
"77420","Saint-Mard",0
"77421","Saint-Mars-Vieux-Maisons",16
"77423","Saint-Martin-des-Champs",20
"77424","Saint-Martin-du-Boschet",4
"77425","Saint-Martin-en-Biere",8
"77426","Saint-Mery",0
"77427","Saint-Mesmes",8
"77428","Saint-Ouen-en-Brie",8
"77429","Saint-Ouen-sur-Morin",0
"77430","Saint-Pathus",0
"77431","Saint-Pierre-les-Nemours",12
"77432","Saint-Remy-la-Vanne",8
"77433","Saints",19
"77434","Saint-Sauveur-les-Bray",0
"77435","Saint-Sauveur-sur-Ecole",4
"77436","Saint-Simeon",4
"77437","Saint-Soupplets",4
"77438","Saint-Thibault-des-Vignes",0
"77439","Salins",0
"77440","Sammeron",0
"77441","Samois-sur-Seine",0
"77442","Samoreau",0
"77443","Sancy",4
"77444","Sancy-les-Provins",8
"77445","Savigny-le-Temple",4
"77446","Savins",8
"77447","Seine-Port",0
"77448","Sept-Sorts",0
"77449","Serris",0
"77450","Servon",0
"77451","Signy-Signets",4
"77452","Sigy",12
"77453","Sivry-Courtry",4
"77454","Sognolles-en-Montois",8
"77455","Soignolles-en-Brie",12
"77456","Soisy-Bouy",4
"77457","Solers",8
"77458","Souppes-sur-Loing",0
"77459","Sourdun",16
"77460","Tancrou",9
"77461","Thenisy",8
"77462","Thieux",4
"77463","Thomery",0
"77464","Thorigny-sur-Marne",4
"77465","Thoury-Ferottes",0
"77466","Tigeaux",4
"77467","La Tombe",4
"77468","Torcy",4
"77469","Touquin",12
"77470","Tournan-en-Brie",4
"77471","Tousson",24
"77472","La Tretoire",4
"77473","Treuzy-Levelay",0
"77474","Trilbardou",4
"77475","Trilport",0
"77476","Trocy-en-Multien",9
"77477","Ury",8
"77478","Ussy-sur-Marne",16
"77479","Vaires-sur-Marne",0
"77480","Valence-en-Brie",0
"77481","Vanville",12
