"ID","NAMES","agriculteurs_AsTheCowRolls_ACC_0.01"
"75101","Paris 1er Arrondissement",0.776905875343682
"75102","Paris 2e  Arrondissement",0.942545287321684
"75103","Paris 3e  Arrondissement",0.789001763571167
"75104","Paris 4e  Arrondissement",0.892870953843959
"75105","Paris 5e  Arrondissement",0.787817928689142
"75106","Paris 6e  Arrondissement",0.264913098406555
"75107","Paris 7e  Arrondissement",0.581073602093302
"75108","Paris 8e  Arrondissement",0.312641258490146
"75109","Paris 9e  Arrondissement",0.230433293238768
"75110","Paris 10e  Arrondissement",0.670402104470366
"75111","Paris 11e  Arrondissement",0.315311715180937
"75112","Paris 12e  Arrondissement",1.65001190002479
"75113","Paris 13e  Arrondissement",1.06858771206588
"75114","Paris 14e  Arrondissement",0.657010057935448
"75115","Paris 15e  Arrondissement",0
"75116","Paris 16e  Arrondissement",0
"75117","Paris 17e  Arrondissement",0
"75118","Paris 18e  Arrondissement",0.36151932617413
"75119","Paris 19e  Arrondissement",1.33281648732961
"75120","Paris 20e  Arrondissement",1.68128988990551
"77001","Acheres-la-Foret",10.7264354818764
"77002","Amillis",10.3892639599109
"77003","Amponville",10.2951048609473
"77004","Andrezel",11.6357577465202
"77005","Annet-sur-Marne",11.036028614301
"77006","Arbonne-la-Foret",10.0933400147422
"77007","Argentieres",11.5113349162262
"77008","Armentieres-en-Brie",12.2310173583212
"77009","Arville",9.76338834935984
"77010","Aubepierre-Ozouer-le-Repos",11.0906029931432
"77011","Aufferville",8.44186605189942
"77012","Augers-en-Brie",8.976761352115
"77013","Aulnoy",10.4990377168675
"77014","Avon",11.4020840619417
"77015","Baby",15.2008036281686
"77016","Bagneaux-sur-Loing",10.2549666471735
"77018","Bailly-Romainvilliers",10.720411418558
"77019","Balloy",11.4462527473257
"77020","Bannost-Villegagnon",8.69339029742026
"77021","Barbey",12.6327847771241
"77022","Barbizon",10.1894210580821
"77023","Barcy",11.0492989789002
"77024","Bassevelle",13.5822552526239
"77025","Bazoches-les-Bray",11.6614135602236
"77026","Beauchery-Saint-Martin",11.828048595735
"77027","Beaumont-du-Gatinais",13.8476930668128
"77028","Beautheil",10.4398729707898
"77029","Beauvoir",10.9927705353716
"77030","Bellot",10.7465877268476
"77031","Bernay-Vilbert",8.26153017824219
"77032","Beton-Bazoches",6.77622509467909
"77033","Bezalles",7.80390828523572
"77034","Blandy",11.9011296671715
"77035","Blennes",14.0282200809769
"77036","Boisdon",7.44157048280626
"77037","Bois-le-Roi",11.4012041154908
"77038","Boissettes",12.561850292589
"77039","Boissise-la-Bertrand",12.4575880466167
"77040","Boissise-le-Roi",10.5089655580569
"77041","Boissy-aux-Cailles",11.0429383421423
"77042","Boissy-le-Chatel",10.8799696162238
"77043","Boitron",13.104099043652
"77044","Bombon",14.6949768496622
"77045","Bougligny",8.84964273300971
"77046","Boulancourt",12.4084178269508
