"ID","NAMES","cadres_AsTheCrowFlies_POT_7500"
"75101","Paris 1er Arrondissement",651135.91411849
"75102","Paris 2e  Arrondissement",637818.40041431
"75103","Paris 3e  Arrondissement",624013.8021061
"75104","Paris 4e  Arrondissement",631352.68195337
"75105","Paris 5e  Arrondissement",631848.93682334
"75106","Paris 6e  Arrondissement",650346.56177558
"75107","Paris 7e  Arrondissement",649712.46541037
"75108","Paris 8e  Arrondissement",632911.93788198
"75109","Paris 9e  Arrondissement",621514.92266142
"75110","Paris 10e  Arrondissement",594685.15120207
"75111","Paris 11e  Arrondissement",586401.14382426
"75112","Paris 12e  Arrondissement",446705.40784564
"75113","Paris 13e  Arrondissement",570869.48233218
"75114","Paris 14e  Arrondissement",594806.36239454
"75115","Paris 15e  Arrondissement",597813.11897586
"75116","Paris 16e  Arrondissement",546084.09690695
"75117","Paris 17e  Arrondissement",579671.88926049
"75118","Paris 18e  Arrondissement",547792.36874155
"75119","Paris 19e  Arrondissement",506616.89234244
"75120","Paris 20e  Arrondissement",522104.26202599
"77001","Acheres-la-Foret",1515.09066609
"77002","Amillis",865.23248086
"77003","Amponville",800.72897385
"77004","Andrezel",1772.07034181
"77005","Annet-sur-Marne",14508.82941683
"77006","Arbonne-la-Foret",2426.43473689
"77007","Argentieres",1759.7616265
"77008","Armentieres-en-Brie",2579.67065097
"77009","Arville",213.2205062
"77010","Aubepierre-Ozouer-le-Repos",1404.70314873
"77011","Aufferville",570.35586393
"77012","Augers-en-Brie",204.89948161
"77013","Aulnoy",1813.5370026
"77014","Avon",6953.30654261
"77015","Baby",131.05491146
"77016","Bagneaux-sur-Loing",1378.41274362
"77018","Bailly-Romainvilliers",11985.08330588
"77019","Balloy",354.46647003
"77020","Bannost-Villegagnon",374.66700439
"77021","Barbey",750.22680839
"77022","Barbizon",4648.68501377
"77023","Barcy",3444.71570493
"77024","Bassevelle",549.21246322
"77025","Bazoches-les-Bray",308.8987586
"77026","Beauchery-Saint-Martin",264.62281766
"77027","Beaumont-du-Gatinais",63.78116743
"77028","Beautheil",1496.91630906
"77029","Beauvoir",1726.03045765
"77030","Bellot",505.93275387
"77031","Bernay-Vilbert",1448.84861288
"77032","Beton-Bazoches",337.78699795
"77033","Bezalles",313.40743714
"77034","Blandy",2677.78294376
"77035","Blennes",253.81435892
"77036","Boisdon",327.05844363
"77037","Bois-le-Roi",8145.21390095
"77038","Boissettes",11541.28350012
"77039","Boissise-la-Bertrand",12201.01321258
"77040","Boissise-le-Roi",9580.00518671
"77041","Boissy-aux-Cailles",884.81701552
"77042","Boissy-le-Chatel",1603.18658608
"77043","Boitron",697.64678669
"77044","Bombon",1251.91224958
"77045","Bougligny",965.04349467
"77046","Boulancourt",265.75358397
"77047","Bouleurs",6538.40595928
"77048","Bourron-Marlotte",3388.62197436
"77049","Boutigny",6178.2331511
"77050","Bransles",310.36564458
"77051","Bray-sur-Seine",324.85268604
"77052","Breau",1169.90674976
"77053","Brie-Comte-Robert",15417.62893152
"77054","La Brosse-Montceaux",765.12021485
"77055","Brou-sur-Chantereine",36629.60071155
"77056","Burcy",355.98128497
"77057","Bussieres",872.86341966
"77058","Bussy-Saint-Georges",22042.73722834
"77059","Bussy-Saint-Martin",31745.67578441
"77060","Buthiers",440.00291732
"77061","Cannes-Ecluse",1186.32531288
"77062","Carnetin",19792.20744445
"77063","La Celle-sur-Morin",2294.12107315
"77065","Cely",3478.2526707
"77066","Cerneux",208.86532498
"77067","Cesson",13685.78514739
"77068","Cessoy-en-Montois",623.60181072
"77069","Chailly-en-Biere",6665.9504099
"77070","Chailly-en-Brie",1555.08023538
"77071","Chaintreaux",596.36036568
"77072","Chalautre-la-Grande",188.33613871
"77073","Chalautre-la-Petite",907.88112742
"77075","Chalifert",14623.89301476
"77076","Chalmaison",749.90824826
"77077","Chambry",4486.75906338
"77078","Chamigny",1262.55089346
"77079","Champagne-sur-Seine",5576.84907649
"77080","Champcenest",265.78506162
"77081","Champdeuil",3234.20105128
"77082","Champeaux",1779.23719104
"77083","Champs-sur-Marne",69056.86557445
"77084","Changis-sur-Marne",2510.94073827
"77085","Chanteloup-en-Brie",20335.3000626
"77086","La Chapelle-Gauthier",1307.2966177
"77087","La Chapelle-Iger",916.87319658
"77088","La Chapelle-la-Reine",1207.2759513
"77089","La Chapelle-Rablais",755.73323126
"77090","La Chapelle-Saint-Sulpice",697.72195451
"77091","Les Chapelles-Bourbon",2672.15500756
"77093","La Chapelle-Moutils",257.16122519
"77094","Charmentray",6864.6013939
"77095","Charny",4938.54650503
"77096","Chartrettes",8172.47242663
"77097","Chartronges",459.17754394
"77098","Chateaubleau",494.74190283
"77099","Chateau-Landon",436.91620032
"77100","Le Chatelet-en-Brie",3409.18048125
"77101","Chatenay-sur-Seine",603.22945227
"77102","Chatenoy",1080.02182813
"77103","Chatillon-la-Borde",1926.31531877
"77104","Chatres",2668.94644685
"77106","Chauffry",1241.71770619
"77107","Chaumes-en-Brie",1986.34543508
"77108","Chelles",57738.11990578
"77109","Chenoise",446.40642947
"77110","Chenou",485.75325005
"77111","Chessy",16755.49730015
"77112","Chevrainvilliers",1018.83465977
"77113","Chevru",546.7280993
"77114","Chevry-Cossigny",10583.42295456
"77115","Chevry-en-Sereine",449.51452225
