"ID","NAMES","artisans_AsTheCrowFlies_POT_5000"
"75101","Paris 1er Arrondissement",49708.0192329
"75102","Paris 2e  Arrondissement",49510.33207078
"75103","Paris 3e  Arrondissement",47941.257113
"75104","Paris 4e  Arrondissement",46975.72003533
"75105","Paris 5e  Arrondissement",44552.96896006
"75106","Paris 6e  Arrondissement",46567.63708256
"75107","Paris 7e  Arrondissement",47441.60337075
"75108","Paris 8e  Arrondissement",48593.73511254
"75109","Paris 9e  Arrondissement",48816.81803906
"75110","Paris 10e  Arrondissement",46874.7141984
"75111","Paris 11e  Arrondissement",44494.66138821
"75112","Paris 12e  Arrondissement",29968.60736533
"75113","Paris 13e  Arrondissement",36647.9038081
"75114","Paris 14e  Arrondissement",37080.34669842
"75115","Paris 15e  Arrondissement",38941.32944447
"75116","Paris 16e  Arrondissement",36426.31640239
"75117","Paris 17e  Arrondissement",44387.07976469
"75118","Paris 18e  Arrondissement",43201.49457851
"75119","Paris 19e  Arrondissement",40231.64746145
"75120","Paris 20e  Arrondissement",39585.19206578
"77001","Acheres-la-Foret",228.87607203
"77002","Amillis",130.89091875
"77003","Amponville",162.3035898
"77004","Andrezel",304.73097511
"77005","Annet-sur-Marne",1296.49335866
"77006","Arbonne-la-Foret",257.21871104
"77007","Argentieres",413.36526556
"77008","Armentieres-en-Brie",336.53548602
"77009","Arville",77.41940699
"77010","Aubepierre-Ozouer-le-Repos",232.93180686
"77011","Aufferville",114.54360286
"77012","Augers-en-Brie",65.32387311
"77013","Aulnoy",422.84784561
"77014","Avon",862.40187158
"77015","Baby",61.82389978
"77016","Bagneaux-sur-Loing",409.6592648
"77018","Bailly-Romainvilliers",1278.15854327
"77019","Balloy",94.67109222
"77020","Bannost-Villegagnon",97.17091614
"77021","Barbey",174.184561
"77022","Barbizon",410.41141504
"77023","Barcy",439.78371535
"77024","Bassevelle",131.9802273
"77025","Bazoches-les-Bray",115.39736146
"77026","Beauchery-Saint-Martin",49.03941559
"77027","Beaumont-du-Gatinais",59.3851976
"77028","Beautheil",310.06821817
"77029","Beauvoir",389.55481161
"77030","Bellot",150.86324926
"77031","Bernay-Vilbert",289.41326284
"77032","Beton-Bazoches",97.49618701
"77033","Bezalles",74.97574907
"77034","Blandy",204.15799044
"77035","Blennes",90.94063447
"77036","Boisdon",83.45413178
"77037","Bois-le-Roi",669.36831494
"77038","Boissettes",1772.07288997
"77039","Boissise-la-Bertrand",1754.6641014
"77040","Boissise-le-Roi",1276.38182194
"77041","Boissy-aux-Cailles",171.89563159
"77042","Boissy-le-Chatel",487.32134194
"77043","Boitron",184.92767674
"77044","Bombon",163.27667991
"77045","Bougligny",215.86221516
"77046","Boulancourt",88.25706663
"77047","Bouleurs",874.68565201
