"ID","NAMES","ouvrier_AsTheCowRolls_POT_10"
"75101","Paris 1er Arrondissement",144192.21381874
"75102","Paris 2e  Arrondissement",147289.0165052
"75103","Paris 3e  Arrondissement",161537.40009617
"75104","Paris 4e  Arrondissement",154452.39774513
"75105","Paris 5e  Arrondissement",144672.9405294
"75106","Paris 6e  Arrondissement",133984.96704869
"75107","Paris 7e  Arrondissement",121748.64400391
"75108","Paris 8e  Arrondissement",154939.40368522
"75109","Paris 9e  Arrondissement",167821.18507012
"75110","Paris 10e  Arrondissement",185451.71191084
"75111","Paris 11e  Arrondissement",161932.21189771
"75112","Paris 12e  Arrondissement",156210.55747705
"75113","Paris 13e  Arrondissement",142038.78845114
"75114","Paris 14e  Arrondissement",124114.91092485
"75115","Paris 15e  Arrondissement",101334.99000081
"75116","Paris 16e  Arrondissement",109130.5366285
"75117","Paris 17e  Arrondissement",157399.6473889
"75118","Paris 18e  Arrondissement",165287.04839981
"75119","Paris 19e  Arrondissement",171882.7616647
"75120","Paris 20e  Arrondissement",173402.20341871
"77001","Acheres-la-Foret",1199.96985418
"77002","Amillis",1653.97188699
"77003","Amponville",653.35709631
"77004","Andrezel",2120.85136154
"77005","Annet-sur-Marne",9754.97784803
"77006","Arbonne-la-Foret",1953.1131034
"77007","Argentieres",2104.49274784
"77008","Armentieres-en-Brie",2404.43646531
"77009","Arville",518.6192357
"77010","Aubepierre-Ozouer-le-Repos",2386.5946973
"77011","Aufferville",1778.9394357
"77012","Augers-en-Brie",512.37622024
"77013","Aulnoy",3162.36572591
"77014","Avon",4168.64796442
"77015","Baby",592.68149586
"77016","Bagneaux-sur-Loing",3576.43343901
"77018","Bailly-Romainvilliers",6570.38359464
"77019","Balloy",1258.36333145
"77020","Bannost-Villegagnon",727.67076037
"77021","Barbey",2254.81323704
"77022","Barbizon",3606.42476644
"77023","Barcy",7119.17545829
"77024","Bassevelle",543.8602638
"77025","Bazoches-les-Bray",1188.17164968
"77026","Beauchery-Saint-Martin",584.96606823
"77027","Beaumont-du-Gatinais",172.45143927
"77028","Beautheil",1732.74800837
"77029","Beauvoir",2435.40799749
"77030","Bellot",1063.61061464
"77031","Bernay-Vilbert",1646.87398566
"77032","Beton-Bazoches",918.879509
"77033","Bezalles",597.32200818
"77034","Blandy",3813.64054794
"77035","Blennes",293.07303967
"77036","Boisdon",708.25845399
"77037","Bois-le-Roi",7557.81566992
"77038","Boissettes",9735.77945654
"77039","Boissise-la-Bertrand",9741.4533748
"77040","Boissise-le-Roi",8423.0151428
"77041","Boissy-aux-Cailles",509.26528111
"77042","Boissy-le-Chatel",3206.81993155
"77043","Boitron",692.0497552
"77044","Bombon",1215.69957132
"77045","Bougligny",1791.97538096
"77046","Boulancourt",283.32553062
"77047","Bouleurs",4918.27328848
"77048","Bourron-Marlotte",2776.80887939
