"ID","NAMES","population_AsTheCrowFlies_POT_2500"
"75101","Paris 1er Arrondissement",474333.80341243
"75102","Paris 2e  Arrondissement",538387.11307183
"75103","Paris 3e  Arrondissement",580630.86945639
"75104","Paris 4e  Arrondissement",529589.50104418
"75105","Paris 5e  Arrondissement",501738.21810446
"75106","Paris 6e  Arrondissement",479629.64847532
"75107","Paris 7e  Arrondissement",425088.56642661
"75108","Paris 8e  Arrondissement",422709.27425647
"75109","Paris 9e  Arrondissement",557826.61890788
"75110","Paris 10e  Arrondissement",650996.05514784
"75111","Paris 11e  Arrondissement",582362.71038545
"75112","Paris 12e  Arrondissement",318369.87470114
"75113","Paris 13e  Arrondissement",415563.9551498
"75114","Paris 14e  Arrondissement",495853.46977985
"75115","Paris 15e  Arrondissement",462957.8749909
"75116","Paris 16e  Arrondissement",318879.59427528
"75117","Paris 17e  Arrondissement",460950.55843214
"75118","Paris 18e  Arrondissement",524143.55943527
"75119","Paris 19e  Arrondissement",558553.857637
"75120","Paris 20e  Arrondissement",546147.46249619
"77001","Acheres-la-Foret",2033.24012114
"77002","Amillis",915.36663604
"77003","Amponville",589.57774315
"77004","Andrezel",3404.15873364
"77005","Annet-sur-Marne",7958.74206059
"77006","Arbonne-la-Foret",1343.93501926
"77007","Argentieres",3117.6679001
"77008","Armentieres-en-Brie",3125.60390397
"77009","Arville",283.53233426
"77010","Aubepierre-Ozouer-le-Repos",2429.46272857
"77011","Aufferville",675.7550401
"77012","Augers-en-Brie",426.32729338
"77013","Aulnoy",1770.66444419
"77014","Avon",16789.21253626
"77015","Baby",503.84295922
"77016","Bagneaux-sur-Loing",2844.5359309
"77018","Bailly-Romainvilliers",16130.86657286
"77019","Balloy",660.71022797
"77020","Bannost-Villegagnon",785.38817422
"77021","Barbey",1424.56260629
"77022","Barbizon",2772.02076206
"77023","Barcy",1868.57087625
"77024","Bassevelle",605.42397801
"77025","Bazoches-les-Bray",1300.77757525
"77026","Beauchery-Saint-Martin",440.03211656
"77027","Beaumont-du-Gatinais",1170.62843485
"77028","Beautheil",1335.18860625
"77029","Beauvoir",3411.92624613
"77030","Bellot",1017.03216213
"77031","Bernay-Vilbert",2243.89948341
"77032","Beton-Bazoches",963.38664461
"77033","Bezalles",478.44650562
"77034","Blandy",1078.1006299
"77035","Blennes",608.39589261
"77036","Boisdon",719.35387429
"77037","Bois-le-Roi",7663.34185955
"77038","Boissettes",36410.98126407
"77039","Boissise-la-Bertrand",13987.0289606
"77040","Boissise-le-Roi",7551.05313377
"77041","Boissy-aux-Cailles",409.98350949
"77042","Boissy-le-Chatel",5329.22094424
"77043","Boitron",1268.50570775
"77044","Bombon",2205.10667439
"77045","Bougligny",1106.22732543
"77046","Boulancourt",671.728262
"77047","Bouleurs",4797.37441628
"77048","Bourron-Marlotte",3280.25763937
"77049","Boutigny",4247.90372087
"77050","Bransles",527.18373214
"77051","Bray-sur-Seine",3369.58248598
"77052","Breau",1833.29534941
"77053","Brie-Comte-Robert",17540.39810944
"77054","La Brosse-Montceaux",1130.99384207
"77055","Brou-sur-Chantereine",28247.24545169
"77056","Burcy",374.75073923
"77057","Bussieres",1425.49841299
"77058","Bussy-Saint-Georges",30140.34482105
"77059","Bussy-Saint-Martin",31865.88507219
"77060","Buthiers",940.83225539
"77061","Cannes-Ecluse",5269.29649402
"77062","Carnetin",15781.74111719
"77063","La Celle-sur-Morin",3440.9677799
"77065","Cely",2870.27627298
"77066","Cerneux",399.56634407
"77067","Cesson",23613.989227
"77068","Cessoy-en-Montois",1453.70125388
"77069","Chailly-en-Biere",2820.59961889
"77070","Chailly-en-Brie",3180.77938389
"77071","Chaintreaux",1032.53112277
"77072","Chalautre-la-Grande",701.25041721
"77073","Chalautre-la-Petite",1550.06370256
"77075","Chalifert",12269.8709554
"77076","Chalmaison",2119.29200991
"77077","Chambry",4767.47326462
"77078","Chamigny",3078.92253501
"77079","Champagne-sur-Seine",12725.58784721
"77080","Champcenest",368.71060531
"77081","Champdeuil",1930.83979387
"77082","Champeaux",1256.91817972
"77083","Champs-sur-Marne",79769.03442627
"77084","Changis-sur-Marne",2878.959576
"77085","Chanteloup-en-Brie",28863.18257193
"77086","La Chapelle-Gauthier",1740.04745719
"77087","La Chapelle-Iger",876.67494467
"77088","La Chapelle-la-Reine",2836.54917572
"77089","La Chapelle-Rablais",1073.90244054
"77090","La Chapelle-Saint-Sulpice",998.29918282
"77091","Les Chapelles-Bourbon",1569.19005153
"77093","La Chapelle-Moutils",714.13805306
"77094","Charmentray",2198.23168537
"77095","Charny",2117.07504919
"77096","Chartrettes",8729.16590657
"77097","Chartronges",499.60065709
"77098","Chateaubleau",747.88001652
"77099","Chateau-Landon",3147.89686608
"77100","Le Chatelet-en-Brie",4648.24483297
"77101","Chatenay-sur-Seine",1130.11982605
"77102","Chatenoy",764.65669207
"77103","Chatillon-la-Borde",1089.65243128
"77104","Chatres",1780.51876815
"77106","Chauffry",2611.60832277
"77107","Chaumes-en-Brie",4451.76338884
"77108","Chelles",76241.72501644
"77109","Chenoise",1313.82814781
"77110","Chenou",610.52585985
"77111","Chessy",19814.8615149
"77112","Chevrainvilliers",443.52215431
"77113","Chevru",1372.71445212
"77114","Chevry-Cossigny",4750.78248213
"77115","Chevry-en-Sereine",668.79613622
"77116","Choisy-en-Brie",1526.30310167
"77117","Citry",2093.12429873
"77118","Claye-Souilly",13446.90215339
"77119","Clos-Fontaine",742.96166988
"77120","Cocherel",1213.6198297
"77121","Collegien",19195.19544556
"77122","Combs-la-Ville",26776.86862639
"77123","Compans",4809.59543425
"77124","Conches-sur-Gondoire",35973.45967362
"77125","Conde-Sainte-Libiaire",14482.50175321
"77126","Congis-sur-Therouanne",2862.71901719
"77127","Coubert",4192.59981299
"77128","Couilly-Pont-aux-Dames",10587.9089098
"77129","Coulombs-en-Valois",910.81246833
"77130","Coulommes",2914.39804731
"77131","Coulommiers",16005.39697485
"77132","Coupvray",17401.75279095
"77133","Courcelles-en-Bassee",1007.05644308
"77134","Courchamp",417.09135143
"77135","Courpalay",1723.63737615
"77136","Courquetaine",2726.75553774
"77137","Courtacon",447.41813146
"77138","Courtomer",1383.01083401
"77139","Courtry",34017.03907619
"77140","Coutencon",648.33575053
"77141","Coutevroult",10854.59237735
"77142","Crecy-la-Chapelle",5007.7394852
"77143","Cregy-les-Meaux",22271.34601226
"77144","Crevecoeur-en-Brie",1466.50287497
"77145","Crisenoy",1507.70243003
"77146","Croissy-Beaubourg",22522.68734345
"77147","La Croix-en-Brie",785.19332102
"77148","Crouy-sur-Ourcq",1834.67354074
"77149","Cucharmoy",470.38472935
"77150","Cuisy",2970.36436275
"77151","Dagny",831.25279193
"77152","Dammarie-les-Lys",32653.39381931
"77153","Dammartin-en-Goele",13707.80270724
"77154","Dammartin-sur-Tigeaux",2133.32763178
"77155","Dampmart",16806.75158623
"77156","Darvault",9125.36383964
"77157","Dhuisy",436.36567658
"77158","Diant",981.48404177
"77159","Donnemarie-Dontilly",3408.85714032
"77161","Dormelles",1552.00755155
"77162","Doue",1260.0821051
"77163","Douy-la-Ramee",832.86691507
"77164","Echouboulains",758.48064538
"77165","Les Ecrennes",943.09941352
"77166","Ecuelles",7388.09723341
"77167","Egligny",783.39217251
"77168","Egreville",2203.29481781
"77169","Emerainville",42917.8192022
"77170","Episy",1675.63281805
"77171","Esbly",14093.37520535
"77172","Esmans",2374.13885535
"77173","Etrepilly",1312.04125703
"77174","Everly",1535.89923752
