"ID","NAMES","population_AsTheCowRolls_POT_5"
"75101","Paris 1er Arrondissement",698699.79209133
"75102","Paris 2e  Arrondissement",710991.99570257
"75103","Paris 3e  Arrondissement",896028.24757829
"75104","Paris 4e  Arrondissement",836251.73305602
"75105","Paris 5e  Arrondissement",786835.26120782
"75106","Paris 6e  Arrondissement",734628.89068873
"75107","Paris 7e  Arrondissement",604496.03840378
"75108","Paris 8e  Arrondissement",774002.29116152
"75109","Paris 9e  Arrondissement",912547.9883902
"75110","Paris 10e  Arrondissement",1108592.25657665
"75111","Paris 11e  Arrondissement",875278.75851763
"75112","Paris 12e  Arrondissement",679422.55461672
"75113","Paris 13e  Arrondissement",800212.6416175
"75114","Paris 14e  Arrondissement",762625.3914666
"75115","Paris 15e  Arrondissement",620182.95540079
"75116","Paris 16e  Arrondissement",412164.43958888
"75117","Paris 17e  Arrondissement",780799.87425873
"75118","Paris 18e  Arrondissement",748779.36342595
"75119","Paris 19e  Arrondissement",710054.61014484
"75120","Paris 20e  Arrondissement",791298.86169489
"77001","Acheres-la-Foret",2167.35893088
"77002","Amillis",1461.86515991
"77003","Amponville",1455.459756
"77004","Andrezel",2957.06362616
"77005","Annet-sur-Marne",9424.8168517
"77006","Arbonne-la-Foret",2100.31871055
"77007","Argentieres",4979.82259467
"77008","Armentieres-en-Brie",2409.59156305
"77009","Arville",559.4901694
"77010","Aubepierre-Ozouer-le-Repos",5477.22711541
"77011","Aufferville",1355.62978152
"77012","Augers-en-Brie",1058.98946007
"77013","Aulnoy",5694.03583523
"77014","Avon",29381.43488747
"77015","Baby",876.03851808
"77016","Bagneaux-sur-Loing",10201.47164459
"77018","Bailly-Romainvilliers",19272.91740165
"77019","Balloy",1315.32519048
"77020","Bannost-Villegagnon",1007.22117951
"77021","Barbey",2365.2631543
"77022","Barbizon",3936.63959424
"77023","Barcy",6884.25845967
"77024","Bassevelle",684.12278044
"77025","Bazoches-les-Bray",2305.89112912
"77026","Beauchery-Saint-Martin",873.92471978
"77027","Beaumont-du-Gatinais",1192.9478798
"77028","Beautheil",2106.92041914
"77029","Beauvoir",6453.07630584
"77030","Bellot",2175.36538556
"77031","Bernay-Vilbert",3133.84409634
"77032","Beton-Bazoches",1553.12465161
"77033","Bezalles",995.32674315
"77034","Blandy",2764.97300367
"77035","Blennes",1042.62727079
"77036","Boisdon",1417.99801045
"77037","Bois-le-Roi",9002.0899557
"77038","Boissettes",14392.37858553
"77039","Boissise-la-Bertrand",14349.62297299
"77040","Boissise-le-Roi",11029.19769653
"77041","Boissy-aux-Cailles",553.73487214
"77042","Boissy-le-Chatel",7817.77041678
"77043","Boitron",987.20909257
"77044","Bombon",2119.06401245
"77045","Bougligny",1489.17148581
"77046","Boulancourt",875.883145
"77047","Bouleurs",5355.16792795
"77048","Bourron-Marlotte",4532.11328018
"77049","Boutigny",5015.35289703
"77050","Bransles",1907.58647776
"77051","Bray-sur-Seine",4264.03905502
"77052","Breau",3727.89405664
"77053","Brie-Comte-Robert",19080.1287581
"77054","La Brosse-Montceaux",2837.48888779
"77055","Brou-sur-Chantereine",51356.29035572
"77056","Burcy",617.6495564
"77057","Bussieres",1186.95332407
"77058","Bussy-Saint-Georges",54283.11758265
"77059","Bussy-Saint-Martin",63200.38975638
"77060","Buthiers",1240.08221197
"77061","Cannes-Ecluse",8671.74619483
"77062","Carnetin",18689.34835037
"77063","La Celle-sur-Morin",7074.84521644
"77065","Cely",4519.84027687
"77066","Cerneux",1215.43317036
"77067","Cesson",40517.43812556
"77068","Cessoy-en-Montois",2079.36942745
"77069","Chailly-en-Biere",6223.08081848
"77070","Chailly-en-Brie",12746.2015485
"77071","Chaintreaux",3230.96852642
"77072","Chalautre-la-Grande",698.0070697
"77073","Chalautre-la-Petite",3037.56492924
"77075","Chalifert",21524.73142943
"77076","Chalmaison",2582.05795234
"77077","Chambry",13635.77204183
"77078","Chamigny",7317.99497931
"77079","Champagne-sur-Seine",13979.92807437
"77080","Champcenest",618.05238872
"77081","Champdeuil",2026.47503936
"77082","Champeaux",2660.01154437
"77083","Champs-sur-Marne",122886.46713565
"77084","Changis-sur-Marne",3349.81058013
"77085","Chanteloup-en-Brie",37517.07812724
"77086","La Chapelle-Gauthier",3772.68128408
"77087","La Chapelle-Iger",1605.28705353
"77088","La Chapelle-la-Reine",3694.25083653
"77089","La Chapelle-Rablais",2106.19198002
"77090","La Chapelle-Saint-Sulpice",1383.93295239
"77091","Les Chapelles-Bourbon",2933.72075625
"77093","La Chapelle-Moutils",905.74811585
"77094","Charmentray",2966.59810856
"77095","Charny",2915.73183204
"77096","Chartrettes",7305.45727194
"77097","Chartronges",967.57379376
"77098","Chateaubleau",1260.11129153
"77099","Chateau-Landon",3920.31446243
"77100","Le Chatelet-en-Brie",6035.25424785
"77101","Chatenay-sur-Seine",1574.04812301
"77102","Chatenoy",2518.14434389
"77103","Chatillon-la-Borde",2418.65060316
"77104","Chatres",2663.16389948
"77106","Chauffry",1961.97799354
"77107","Chaumes-en-Brie",7299.90688967
"77108","Chelles",95175.33388968
"77109","Chenoise",1443.63117508
"77110","Chenou",2652.00052262
"77111","Chessy",29703.13898993
"77112","Chevrainvilliers",2106.13815674
"77113","Chevru",2433.41163229
"77114","Chevry-Cossigny",11092.54032085
"77115","Chevry-en-Sereine",2267.61363602
"77116","Choisy-en-Brie",2608.04087102
"77117","Citry",3245.06502294
"77118","Claye-Souilly",18579.63287417
"77119","Clos-Fontaine",1941.3761438
"77120","Cocherel",1206.11337202
"77121","Collegien",65246.60313823
"77122","Combs-la-Ville",40791.02377723
"77123","Compans",12403.90492075
"77124","Conches-sur-Gondoire",45738.95422714
"77125","Conde-Sainte-Libiaire",16193.00788987
"77126","Congis-sur-Therouanne",3577.59255051
"77127","Coubert",8151.60354289
"77128","Couilly-Pont-aux-Dames",22198.51807507
"77129","Coulombs-en-Valois",1169.79404839
"77130","Coulommes",3791.69856204
"77131","Coulommiers",20488.74978958
"77132","Coupvray",22185.61222426
"77133","Courcelles-en-Bassee",2085.51580366
"77134","Courchamp",613.84948455
"77135","Courpalay",3261.90884985
"77136","Courquetaine",2814.50413458
"77137","Courtacon",1626.18423228
"77138","Courtomer",2276.49897456
"77139","Courtry",37433.50365828
"77140","Coutencon",767.22468135
"77141","Coutevroult",17699.87390123
"77142","Crecy-la-Chapelle",7579.21367536
"77143","Cregy-les-Meaux",36647.49991988
"77144","Crevecoeur-en-Brie",2353.79649951
"77145","Crisenoy",1947.28128455
"77146","Croissy-Beaubourg",38237.13278062
"77147","La Croix-en-Brie",1069.92317031
"77148","Crouy-sur-Ourcq",1904.75567294
"77149","Cucharmoy",668.07508821
"77150","Cuisy",2611.9649689
"77151","Dagny",1881.12563803
"77152","Dammarie-les-Lys",47338.06561517
"77153","Dammartin-en-Goele",14950.28672169
"77154","Dammartin-sur-Tigeaux",3067.64293554
"77155","Dampmart",21993.12449366
"77156","Darvault",13360.56580991
"77157","Dhuisy",669.46724002
"77158","Diant",2368.12579367
"77159","Donnemarie-Dontilly",3618.01883321
"77161","Dormelles",2373.75289868
"77162","Doue",1642.32069905
"77163","Douy-la-Ramee",724.77568541
"77164","Echouboulains",701.42447851
"77165","Les Ecrennes",2295.10815955
"77166","Ecuelles",9223.79217331
"77167","Egligny",1258.40169023
"77168","Egreville",3017.30988589
"77169","Emerainville",52389.42644609
"77170","Episy",5168.19186822
"77171","Esbly",20152.17136059
"77172","Esmans",5384.2499129
"77173","Etrepilly",2262.80102665
"77174","Everly",2606.96275929
"77175","Evry-Gregy-sur-Yerre",3493.80647437
"77176","Faremoutiers",8129.8406268
"77177","Favieres",7805.36310804
"77178","Fay-les-Nemours",3787.29769375
"77179","Fericy",3902.55241515
"77180","Ferolles-Attilly",12402.3788906
"77181","Ferrieres-en-Brie",36632.00049282
"77182","La Ferte-Gaucher",6557.4070966
"77183","La Ferte-sous-Jouarre",12569.0044975
"77184","Flagy",2515.98646867
"77185","Fleury-en-Biere",4624.64451702
"77186","Fontainebleau",29095.5807414
"77187","Fontaine-Fourches",1032.10182961
"77188","Fontaine-le-Port",5039.64525113
"77190","Fontains",1742.35495693
"77191","Fontenailles",8475.08052245
"77192","Fontenay-Tresigny",6228.94861937
"77193","Forfry",3797.66677389
"77194","Forges",2517.25797239
"77195","Fouju",2379.38682902
"77196","Fresnes-sur-Marne",7031.63337521
"77197","Fretoy",1076.28397193
"77198","Fromont",933.23393042
"77199","Fublaines",9394.64014338
"77200","Garentreville",624.4499491
"77201","Gastins",1336.19452765
"77202","La Genevraye",3890.58372635
"77203","Germigny-l'Eveque",4330.04854657
"77204","Germigny-sous-Coulombs",663.12166174
"77205","Gesvres-le-Chapitre",2992.50813319
"77206","Giremoutiers",8187.90325156
"77207","Gironville",692.81604505
"77208","Gouaix",2370.65560289
"77209","Gouvernes",59060.79675883
"77210","La Grande-Paroisse",4497.13002775
"77211","Grandpuits-Bailly-Carrois",4129.08639083
"77212","Gravon",600.04097005
"77214","Gressy",12422.65243097
"77215","Gretz-Armainvilliers",16633.72813909
"77216","Grez-sur-Loing",7074.37748185
"77217","Grisy-Suisnes",11840.65408973
"77218","Grisy-sur-Seine",1199.6342192
"77219","Guerard",5757.847791
"77220","Guercheville",773.61765648
"77221","Guermantes",58535.62820567
"77222","Guignes",7844.7231769
"77223","Gurcy-le-Chatel",2062.08872686
"77224","Hautefeuille",1236.75826281
"77225","La Haute-Maison",1264.06165845
"77226","Hericy",7227.20878633
"77227","Herme",2213.53572353
"77228","Hondevilliers",1162.66661399
"77229","La Houssaye-en-Brie",3079.36669
"77230","Ichy",606.77500668
"77231","Isles-les-Meldeuses",5869.60509544
"77232","Isles-les-Villenoy",9238.64897916
"77233","Iverny",3475.74611658
"77234","Jablines",3734.90278519
"77235","Jaignes",1924.53335053
"77236","Jaulnes",3843.80609212
"77237","Jossigny",30159.900139
"77238","Jouarre",5997.45666116
"77239","Jouy-le-Chatel",2337.18866195
"77240","Jouy-sur-Morin",4714.5703106
"77241","Juilly",5877.18580903
"77242","Jutigny",4426.74221776
"77243","Lagny-sur-Marne",62748.22223892
"77244","Larchant",2330.79909805
"77245","Laval-en-Brie",3844.004489
"77246","Lechelle",880.24977843
"77247","Lescherolles",2543.02076712
"77248","Lesches",10047.80044225
"77249","Lesigny",23184.35436522
"77250","Leudon-en-Brie",844.25061587
"77251","Lieusaint",33502.47518196
"77252","Limoges-Fourches",4845.58072098
"77253","Lissy",3240.14321171
"77254","Liverdy-en-Brie",2728.33290089
"77255","Livry-sur-Seine",30757.73767947
"77256","Lizines",1493.22341018
"77257","Lizy-sur-Ourcq",6025.6268326
"77258","Lognes",69369.12318862
"77259","Longperrier",12680.5958365
"77260","Longueville",5320.18566565
"77261","Lorrez-le-Bocage-Preaux",2745.79712528
"77262","Louan-Villegruis-Fontaine",528.92056538
"77263","Luisetaines",1162.63744293
"77264","Lumigny-Nesles-Ormeaux",2669.35523422
"77265","Luzancy",5333.47166844
"77266","Machault",3331.60248574
"77267","La Madeleine-sur-Loing",2417.56414776
"77268","Magny-le-Hongre",26018.32830283
"77269","Maincy",35051.90261526
"77270","Maisoncelles-en-Brie",1689.76013604
"77271","Maisoncelles-en-Gatinais",1048.56454123
"77272","Maison-Rouge",1538.2881779
"77273","Marchemoret",5775.04623816
"77274","Marcilly",2432.90813682
"77275","Les Marets",438.99482528
"77276","Mareuil-les-Meaux",13683.59091097
"77277","Marles-en-Brie",5189.32829519
"77278","Marolles-en-Brie",1763.43303607
"77279","Marolles-sur-Seine",3786.88843741
"77280","Mary-sur-Marne",6215.70320432
"77281","Mauperthuis",5350.77180127
"77282","Mauregard",3182.20415996
"77283","May-en-Multien",1540.89566975
"77284","Meaux",61969.05379905
"77285","Le Mee-sur-Seine",66878.46896144
"77286","Meigneux",938.3610082
"77287","Meilleray",806.16359794
"77288","Melun",83071.63424904
"77289","Melz-sur-Seine",829.5623539
"77290","Mery-sur-Marne",4766.17893087
"77291","Le Mesnil-Amelot",1737.61494733
"77292","Messy",13159.18232742
"77293","Misy-sur-Yonne",1599.54192525
"77294","Mitry-Mory",24996.64540789
"77295","Moisenay",3756.89096752
"77296","Moissy-Cramayel",23581.87057138
"77297","Mondreville",449.76873453
"77298","Mons-en-Montois",2824.02046325
"77299","Montarlot",3236.39092443
"77300","Montceaux-les-Meaux",4571.52521313
"77301","Montceaux-les-Provins",1154.87714739
"77302","Montcourt-Fromonville",10470.88860545
"77303","Montdauphin",405.0767995
"77304","Montenils",235.0915527
"77305","Montereau-Fault-Yonne",21466.03968024
"77306","Montereau-sur-le-Jard",2461.66182229
"77307","Montevrain",33853.02150472
"77308","Montge-en-Goele",3247.18679111
"77309","Monthyon",4795.00470753
"77310","Montigny-le-Guesdier",1379.89040751
"77311","Montigny-Lencoup",2594.75891004
"77312","Montigny-sur-Loing",4193.34328276
"77313","Montmachoux",1085.42216476
"77314","Montolivet",533.1097798
"77315","Montry",25145.82523574
"77316","Moret-sur-Loing",13627.76499689
"77317","Mormant",5394.35269393
"77318","Mortcerf",3872.3071664
"77319","Mortery",713.54562635
"77320","Mouroux",16390.57193894
"77321","Mousseaux-les-Bray",4140.36051773
"77322","Moussy-le-Neuf",5594.91532502
"77323","Moussy-le-Vieux",6529.50897845
"77325","Mouy-sur-Seine",4502.96179526
"77326","Nandy",40852.00448844
"77327","Nangis",9098.08049752
"77328","Nanteau-sur-Essonne",945.09115971
"77329","Nanteau-sur-Lunain",1928.28621164
"77330","Nanteuil-les-Meaux",15319.18311724
"77331","Nanteuil-sur-Marne",3977.05550116
"77332","Nantouillet",4679.37831677
"77333","Nemours",20610.86404977
"77335","Chauconin-Neufmontiers",13732.0668229
"77336","Neufmoutiers-en-Brie",1542.41455451
"77337","Noisiel",106324.65246218
"77338","Noisy-Rudignon",1984.66255932
"77339","Noisy-sur-Ecole",4179.3363689
"77340","Nonville",2598.94510215
"77341","Noyen-sur-Seine",1187.6799205
"77342","Obsonville",720.6039785
"77343","Ocquerre",3445.96983508
"77344","Oissery",7989.29986923
"77345","Orly-sur-Morin",2005.6084324
"77347","Les Ormes-sur-Voulzie",2771.31273572
"77348","Ormesson",11008.60527063
"77349","Othis",8669.83782807
"77350","Ozoir-la-Ferriere",33518.98992621
"77352","Ozouer-le-Voulgis",4582.0324046
"77353","Paley",2021.57629607
"77354","Pamfou",2506.40973433
"77355","Paroy",2554.90616115
"77356","Passy-sur-Seine",766.51799828
"77357","Pecy",1986.48127146
"77358","Penchard",14148.00122091
"77359","Perthes",7373.19056344
"77360","Pezarches",3131.43584255
"77361","Pierre-Levee",1123.41565401
"77363","Le Pin",27361.76465882
"77364","Le Plessis-aux-Bois",3117.44343846
"77365","Le Plessis-Feu-Aussoux",1969.66507948
"77366","Le Plessis-l'Eveque",2858.9288534
"77367","Le Plessis-Placy",2174.95397009
"77368","Poigny",7310.45013045
"77369","Poincy",31552.23414408
"77370","Poligny",2803.33680559
"77371","Pommeuse",10343.34470074
"77372","Pomponne",50506.77546993
"77373","Pontault-Combault",53538.19987238
"77374","Pontcarre",26470.829248
"77376","Precy-sur-Marne",1847.15787398
"77377","Presles-en-Brie",6449.61903116
"77378","Pringy",7735.09783414
"77379","Provins",14310.91608642
"77380","Puisieux",566.57648106
"77381","Quiers",1880.78231804
"77382","Quincy-Voisins",12106.85216392
"77383","Rampillon",1669.03516885
"77384","Reau",15196.82055723
"77385","Rebais",4081.79790533
"77386","Recloses",1525.64245093
"77387","Remauville",2192.04793516
"77388","Reuil-en-Brie",10684.51595022
"77389","La Rochette",34770.81000651
"77390","Roissy-en-Brie",42419.5694332
"77391","Rouilly",5176.84035386
"77392","Rouvres",3801.13186193
"77393","Rozay-en-Brie",4100.27866543
"77394","Rubelles",38738.32263821
"77395","Rumont",649.40721628
"77396","Rupereux",548.67228136
"77397","Saacy-sur-Marne",4589.33544194
"77398","Sablonnieres",1600.49823112
"77399","Saint-Ange-le-Viel",1492.27017621
"77400","Saint-Augustin",4385.26604107
"77401","Sainte-Aulde",1949.33089072
"77402","Saint-Barthelemy",1355.95710211
"77403","Saint-Brice",10113.59810116
"77404","Sainte-Colombe",7870.3818248
"77405","Saint-Cyr-sur-Morin",2755.75025997
"77406","Saint-Denis-les-Rebais",3972.10337274
"77407","Saint-Fargeau-Ponthierry",16207.65449913
"77408","Saint-Fiacre",3200.61835928
"77409","Saint-Germain-Laval",12628.49449355
"77410","Saint-Germain-Laxis",8256.14980154
"77411","Saint-Germain-sous-Doue",2105.77624445
"77412","Saint-Germain-sur-Ecole",4021.23470734
"77413","Saint-Germain-sur-Morin",20451.1361927
"77414","Saint-Hilliers",656.11908291
"77415","Saint-Jean-les-Deux-Jumeaux",5987.42657858
"77416","Saint-Just-en-Brie",570.00297168
"77417","Saint-Leger",2116.61240899
"77418","Saint-Loup-de-Naud",3639.28591968
"77419","Saint-Mammes",18014.37046177
"77420","Saint-Mard",9276.67796516
"77421","Saint-Mars-Vieux-Maisons",1726.80646918
"77423","Saint-Martin-des-Champs",4568.73499395
"77424","Saint-Martin-du-Boschet",384.85082976
"77425","Saint-Martin-en-Biere",3333.56972585
"77426","Saint-Mery",2750.66523063
"77427","Saint-Mesmes",5558.61135997
"77428","Saint-Ouen-en-Brie",3882.5268914
"77429","Saint-Ouen-sur-Morin",2911.56168809
"77430","Saint-Pathus",8716.37265198
"77431","Saint-Pierre-les-Nemours",19736.98970963
"77432","Saint-Remy-la-Vanne",3568.08369325
"77433","Saints",3806.97176956
"77434","Saint-Sauveur-les-Bray",1546.08508162
"77435","Saint-Sauveur-sur-Ecole",4586.59506377
"77436","Saint-Simeon",3300.27616123
"77437","Saint-Soupplets",6416.28308551
"77438","Saint-Thibault-des-Vignes",64592.14295095
"77439","Salins",4747.51636949
"77440","Sammeron",8591.29085515
"77441","Samois-sur-Seine",4240.07082614
"77442","Samoreau",13136.09924341
"77443","Sancy",2018.28478199
"77444","Sancy-les-Provins",1163.8080091
"77445","Savigny-le-Temple",43097.98446781
"77446","Savins",2837.33802994
"77447","Seine-Port",12313.17172029
"77448","Sept-Sorts",9314.57110369
"77449","Serris",17645.76811176
"77450","Servon",21887.18493801
"77451","Signy-Signets",2796.39514947
"77452","Sigy",2256.49777821
"77453","Sivry-Courtry",6323.41438367
"77454","Sognolles-en-Montois",1569.0772515
"77455","Soignolles-en-Brie",6097.60219584
"77456","Soisy-Bouy",2027.21987555
"77457","Solers",6701.24775639
"77458","Souppes-sur-Loing",6480.86795802
"77459","Sourdun",6536.751329
"77460","Tancrou",2982.67652212
"77461","Thenisy",2553.48997277
"77462","Thieux",5034.7129067
"77463","Thomery",12901.29403068
"77464","Thorigny-sur-Marne",34468.43979747
"77465","Thoury-Ferottes",2918.72700833
"77466","Tigeaux",2337.59159603
"77467","La Tombe",2591.92370214
"77468","Torcy",83575.93747875
"77469","Touquin",2888.92336914
"77470","Tournan-en-Brie",14670.27236062
"77471","Tousson",1618.35168893
"77472","La Tretoire",2177.08971155
"77473","Treuzy-Levelay",2220.28380541
"77474","Trilbardou",5106.75312003
"77475","Trilport",33404.39650193
"77476","Trocy-en-Multien",2883.45500406
"77477","Ury",3903.13768165
"77478","Ussy-sur-Marne",5334.29692226
"77479","Vaires-sur-Marne",49430.40993196
"77480","Valence-en-Brie",1971.21044249
"77481","Vanville",1284.69094442
"77482","Varennes-sur-Seine",16054.06379032
"77483","Varreddes",22979.97049696
"77484","Vaucourtois",2305.83904436
"77485","Le Vaudoue",2805.79564651
"77486","Vaudoy-en-Brie",1975.11486817
"77487","Vaux-le-Penil",44399.55082316
"77489","Vaux-sur-Lunain",1675.27132631
"77490","Vendrest",1193.77831214
"77491","Veneux-les-Sablons",11132.32547029
"77492","Verdelot",1465.99102993
"77493","Verneuil-l'Etang",7751.57873205
"77494","Vernou-la-Celle-sur-Seine",6935.03585451
"77495","Vert-Saint-Denis",54390.02921187
"77496","Vieux-Champagne",997.75324523
"77498","Vignely",5960.48479647
"77500","Villebeon",1310.67617633
"77501","Villecerf",3233.06158226
"77504","Villemarechal",1953.35900947
"77505","Villemareuil",2495.93940447
"77506","Villemer",2230.81103002
"77507","Villenauxe-la-Petite",2174.9035554
"77508","Villeneuve-le-Comte",5431.13785252
"77509","Villeneuve-les-Bordes",1481.66082651
"77510","Villeneuve-Saint-Denis",5258.31754853
"77511","Villeneuve-sous-Dammartin",7620.58286102
"77512","Villeneuve-sur-Bellot",1682.808145
"77513","Villenoy",18069.78526634
"77514","Villeparisis",39363.44462918
"77515","Villeroy",4062.07525935
"77516","Ville-Saint-Jacques",2645.3264266
"77517","Villevaude",9528.46160974
"77518","Villiers-en-Biere",9359.98794006
"77519","Villiers-Saint-Georges",1510.70470086
"77520","Villiers-sous-Grez",2058.27482128
"77521","Villiers-sur-Morin",12329.18932511
"77522","Villiers-sur-Seine",860.83079528
"77523","Villuis",1370.94308184
"77524","Vimpelles",785.91004779
"77525","Vinantes",2512.59280697
"77526","Vincy-Manoeuvre",319.79773834
"77527","Voinsles",1967.13070689
"77528","Voisenon",22529.41124096
"77529","Voulangis",5838.138886
"77530","Voulton",403.67466791
"77531","Voulx",3019.53289536
"77532","Vulaines-les-Provins",3611.07270133
"77533","Vulaines-sur-Seine",10899.78653172
"77534","Yebles",5309.16673882
"78003","Ablis",4036.62337549
"78005","Acheres",31401.27010283
"78006","Adainville",1949.40407549
"78007","Aigremont",27756.02864064
"78009","Allainville",1382.75198573
"78010","Les Alluets-le-Roi",5406.55500755
"78013","Andelu",4936.85488516
"78015","Andresy",47313.52350079
"78020","Arnouville-les-Mantes",2424.79549347
"78029","Aubergenville",29757.27020186
"78030","Auffargis",8229.11231282
"78031","Auffreville-Brasseuil",34833.81380267
"78033","Aulnay-sur-Mauldre",13408.02675806
"78034","Auteuil",3758.70555357
"78036","Autouillet",3132.49595442
"78043","Bailly",35202.0355155
"78048","Bazainville",4173.42402793
"78049","Bazemont",7833.27461908
"78050","Bazoches-sur-Guyonne",7641.61055017
"78053","Behoust",5894.98847503
"78057","Bennecourt",4868.4694509
"78062","Beynes",12302.73220501
"78068","Blaru",1113.37592216
"78070","Boinville-en-Mantois",2868.88886306
"78071","Boinville-le-Gaillard",2528.52608937
"78072","Boinvilliers",2297.17270971
"78073","Bois-d'Arcy",51161.09886596
"78076","Boissets",1084.60174576
"78077","La Boissiere-Ecole",1445.51548016
"78082","Boissy-Mauvoisin",2432.53448081
"78084","Boissy-sans-Avoir",5033.54437703
"78087","Bonnelles",8175.31044936
"78089","Bonnieres-sur-Seine",5057.05023592
"78090","Bouafle",27626.70737927
"78092","Bougival",78524.70544147
"78096","Bourdonne",4649.75477317
"78104","Breuil-Bois-Robert",17203.73974815
"78107","Breval",4112.67985727
"78108","Les Breviaires",2297.87021
"78113","Brueil-en-Vexin",5938.35964573
"78117","Buc",35102.63186748
"78118","Buchelay",38220.0395908
"78120","Bullion",4974.06543255
"78123","Carrieres-sous-Poissy",69736.89076722
"78124","Carrieres-sur-Seine",121221.10278052
"78125","La Celle-les-Bordes",3155.55233248
"78126","La Celle-Saint-Cloud",72527.53531103
"78128","Cernay-la-Ville",4890.16417958
"78133","Chambourcy",28832.38751296
"78138","Chanteloup-les-Vignes",52590.33060139
"78140","Chapet",10616.83980604
"78143","Chateaufort",15898.33622271
"78146","Chatou",115857.40157977
"78147","Chaufour-les-Bonnieres",1443.99145509
"78152","Chavenay",14215.55628609
"78158","Le Chesnay",107757.6478755
"78160","Chevreuse",14776.43914598
"78162","Choisel",10565.21764956
"78163","Civry-la-Foret",1466.88535977
"78164","Clairefontaine-en-Yvelines",3118.27530819
"78165","Les Clayes-sous-Bois",36887.02005567
"78168","Coignieres",26828.88119983
