"ID","NAMES","cadres_AsTheCrowFlies_ACC_0.005"
"77139","Courtry",3648.7287086526
"77140","Coutencon",17417.7668397421
"77141","Coutevroult",6680.72804350089
"77142","Crecy-la-Chapelle",9496.79047889208
"77143","Cregy-les-Meaux",9550.59637556364
"77144","Crevecoeur-en-Brie",11608.9676516043
"77145","Crisenoy",9730.91975921504
"77146","Croissy-Beaubourg",3681.47388960226
"77147","La Croix-en-Brie",19983.6207686728
"77148","Crouy-sur-Ourcq",21161.7425358976
"77149","Cucharmoy",23367.5215793731
"77150","Cuisy",10666.0945783162
"77151","Dagny",20619.7064354427
"77152","Dammarie-les-Lys",5941.33671587959
"77153","Dammartin-en-Goele",10690.7523440642
"77154","Dammartin-sur-Tigeaux",9893.50301980045
"77155","Dampmart",5012.25520688059
"77156","Darvault",15487.9353233964
"77157","Dhuisy",21724.2411502573
"77158","Diant",22023.3877028129
"77159","Donnemarie-Dontilly",22191.3712805369
"77161","Dormelles",16135.4620817545
"77162","Doue",17992.5747317021
"77163","Douy-la-Ramee",14475.929371051
"77164","Echouboulains",14630.2710381027
"77165","Les Ecrennes",12841.7068912788
"77166","Ecuelles",12098.1724945509
"77167","Egligny",22852.1229023401
"77168","Egreville",25236.6164052163
"77169","Emerainville",2989.96192856964
"77170","Episy",12366.4156589538
"77171","Esbly",6027.79342196082
"77172","Esmans",18239.8644285633
"77173","Etrepilly",14174.493868489
"77174","Everly",28568.5760982212
"77175","Evry-Gregy-sur-Yerre",6911.23402282729
"77176","Faremoutiers",13613.5752867438
"77177","Favieres",6903.08070221891
"77178","Fay-les-Nemours",19698.6413809973
"77179","Fericy",9850.91252179912
"77180","Ferolles-Attilly",5425.20395661416
"77181","Ferrieres-en-Brie",4062.47204922464
"77182","La Ferte-Gaucher",24949.1474111153
"77183","La Ferte-sous-Jouarre",16989.9531260694
"77184","Flagy",17449.7667896192
"77185","Fleury-en-Biere",10157.3682417865
"77186","Fontainebleau",9218.0801449735
"77187","Fontaine-Fourches",35358.431039757
"77188","Fontaine-le-Port",8814.21916759409
"77190","Fontains",17916.6960332431
"77191","Fontenailles",15225.8986268409
"77192","Fontenay-Tresigny",12540.568453553
"77193","Forfry",13355.3026038778
"77194","Forges",15532.2352389051
"77195","Fouju",10184.5294524082
"77196","Fresnes-sur-Marne",7209.9928543925
"77197","Fretoy",22100.3980019643
"77198","Fromont",20178.7342805743
"77199","Fublaines",9555.47217010567
"77200","Garentreville",20571.7404430202
"77201","Gastins",18133.1844177553
"77202","La Genevraye",12883.8167590262
"77203","Germigny-l'Eveque",11777.0657358297
"77204","Germigny-sous-Coulombs",22990.2206079579
"77205","Gesvres-le-Chapitre",12326.9343008828
"77206","Giremoutiers",12837.865455028
"77207","Gironville",25937.9320658177
"77208","Gouaix",29778.2058504181
"77209","Gouvernes",3571.54595677473
"77210","La Grande-Paroisse",13709.2222466
"77211","Grandpuits-Bailly-Carrois",17188.0164936985
"77212","Gravon",23825.5205772507
"77214","Gressy",6683.39117879629
