"ID","NAMES","P09_POP6074_AsTheCrowFlies_POT_2000"
"97201","L AJOUPA-BOUILLON",311.01268846
"97202","LES ANSES-D ARLET",585.03783894
"97203","BASSE-POINTE",633.0472125
"97204","LE CARBET",604.74360131
"97205","CASE-PILOTE",889.66303522
"97206","LE DIAMANT",602.21356232
"97207","DUCOS",1907.00189976
"97208","FONDS-SAINT-DENIS",147.06262341
"97209","FORT-DE-FRANCE",11854.05368304
"97210","LE FRANCOIS",2515.0007395
"97211","GRAND RIVIERE",130.51725912
"97212","GROS-MORNE",1442.41971456
"97213","LE LAMENTIN",4748.00003814
"97214","LE LORRAIN",1117.23088693
"97215","MACOUBA",214.55728832
"97216","LE MARIGOT",600.10008286
"97217","LE MARIN",1202.0192138
"97218","LE MORNE-ROUGE",804.01333997
"97219","LE PRECHEUR",241.24172218
"97220","RIVIERE-PILOTE",1708.01203966
"97221","RIVIERE-SALEE",1495.02515938
"97222","LE ROBERT",2718
"97223","SAINT-ESPRIT",1275.00397182
"97224","SAINT-JOSEPH",2193.94229694
"97225","SAINT-PIERRE",583.00017688
"97226","SAINTE-ANNE",690.00401468
"97227","SAINTE-LUCE",1125.03334272
"97228","SAINTE-MARIE",2671.56635554
"97229","SCHOELCHER",3410.29689658
"97230","LA TRINITE",1783
"97231","LES TROIS-ILETS",874.17228091
"97232","LE VAUCLIN",1287.00005124
"97233","LE MORNE-VERT",389.30014856
"97234","BELLEFONTAINE",238.7031943
