"ID","NAMES","P09_POP_AsTheCrowFlies_POT_10000"
"97201","L AJOUPA-BOUILLON",34529.2088062
"97202","LES ANSES-D ARLET",33774.55765076
"97203","BASSE-POINTE",26253.37248842
"97204","LE CARBET",56597.86336975
"97205","CASE-PILOTE",127256.54393149
"97206","LE DIAMANT",49770.49943541
"97207","DUCOS",138594.32668425
"97208","FONDS-SAINT-DENIS",101006.05326771
"97209","FORT-DE-FRANCE",176768.22765938
"97210","LE FRANCOIS",99512.37843902
"97211","GRAND RIVIERE",15911.02580355
"97212","GROS-MORNE",153949.62014579
"97213","LE LAMENTIN",181360.61503395
"97214","LE LORRAIN",49176.17732811
"97215","MACOUBA",18910.45358137
"97216","LE MARIGOT",65506.40540579
"97217","LE MARIN",49241.61717602
"97218","LE MORNE-ROUGE",55681.5329111
"97219","LE PRECHEUR",15393.1211315
"97220","RIVIERE-PILOTE",77295.81162346
"97221","RIVIERE-SALEE",97948.75413608
"97222","LE ROBERT",114289.36952541
"97223","SAINT-ESPRIT",108386.10848365
"97224","SAINT-JOSEPH",188023.24400512
"97225","SAINT-PIERRE",28640.33419138
"97226","SAINTE-ANNE",29104.43529531
"97227","SAINTE-LUCE",69803.5266794
"97228","SAINTE-MARIE",73716.43390863
"97229","SCHOELCHER",152331.20465607
"97230","LA TRINITE",71371.52534561
"97231","LES TROIS-ILETS",78776.73485326
"97232","LE VAUCLIN",62942.84966041
"97233","LE MORNE-VERT",97246.02773628
"97234","BELLEFONTAINE",95865.28702296
